"Name","Team","Defensive.Snaps","Composite_Score","Player_Grade"
"DORIAN PRINGLE","BOWL GREEN",60,100,"A"
"MATHIS HAYGOOD","SO MISS",32,98.72,"A"
"JORDAN THOMPSON","COAST CAR",67,89.86,"A"
"DILLON MOORE","W MICHIGAN",47,85.39,"A"
"JULIAN FOX","TOLEDO",88,84.39,"A"
"JA'MEZ DRUMMER","DOMINION",37,83.9,"A"
"ZHERIC HILL","LA TECH",29,82.64,"A"
"EJ SMITH","NEVADA",61,80.49,"A"
"TYTUS KHAJAVI","FRESNO ST",38,79.8,"B"
"CURLY ORDONEZ","TEMPLE",53,79.25,"B"
"STEVIE BRACEY","BUFFALO",47,78.45,"B"
"JACKSON FORREST","DOMINION",26,78.15,"B"
"WALKER O'STEEN","JVILLE ST",36,76.98,"B"
"TJ THOMPSON","TROY",43,76.71,"B"
"ISAAC ZAY","TOLEDO",65,75.67,"B"
"ZACH MOWCHAN","E MICHIGAN",74,75.4,"B"
"JASHAWN NELSON","N ILLINOIS",64,75.17,"B"
"KOA NAOTALA","DOMINION",34,74.23,"B"
"ALEX MITCHELL","APP STATE",35,74.09,"B"
"RASHON MYLES JR.","GA SOUTHRN",26,73.22,"B"
"HAYDEN DAWAHARE","KENT STATE",43,71.53,"B"
"DEREK HOUSTON","SACRAMENTO",23,71.23,"B"
"BLAKE MATTHEWS","DELAWARE",40,71.19,"B"
"AIDEN SULLIVAN","OREGON ST",50,71.17,"B"
"JERRY WALL III","CHARLOTTE",49,70.58,"B"
"MARCANTHONY PARKER","NAVY",39,70.08,"B"
"CREWS LAW","E CAROLINA",51,69.43,"B"
"MIKEY ROSA","JVILLE ST",22,68.58,"B"
"TYLER LASSITER","SO MISS",15,67.82,"B"
"JAMIH OTIS","HAWAII",60,67.71,"B"
"IKE ESONWUNE","UAB",44,67.64,"B"
"BOEN PHELPS","BOISE ST",64,67.33,"B"
"DAX COLLINS","TULSA",62,67,"B"
"ROBERT STEVENS III","ARK STATE",62,66.62,"B"
"DEAN FORD","SM HOUSTON",51,66.53,"B"
"DONELIUS JOHNSON","AKRON",47,65.92,"B"
"GAVIN MOUL","DELAWARE",44,65.47,"B"
"STELLAN BOWMAN","CHARLOTTE",31,65.18,"B"
"AYDEN COMBS","LA TECH",22,64.63,"B"
"OUMAR DIOMANDE","COLO STATE",41,64.54,"B"
"JALEN BELL","DELAWARE",26,64.49,"B"
"DWIGHT NUNOO","AKRON",42,64.44,"B"
"BRAYSHAWN LITTLEJOHN","FIU",25,64.39,"B"
"SANDERS ELLIS","BOWL GREEN",55,64.28,"B"
"COLEMAN CAULEY","NAVY",34,64.15,"B"
"DICKSON AGU","TULANE",61,63.23,"B"
"COBY OWENS","GA STATE",36,62.48,"B"
"DYLAN LEE","S JOSE ST",59,61.9,"B"
"JARED LLOYD","MO STATE",45,61.43,"B"
"BEAU BARTON","RICE",24,60.98,"B"
"SAM STONE","TULSA",32,60.09,"B"
"KAMUELA KA'AIHUE","UNLV",45,59.82,"C"
"GARRETT HAWKINS","UTEP",44,59.58,"C"
"COLIN GALLAGHER","DELAWARE",28,59.29,"C"
"TANO LETULI","S DIEGO ST",60,59.1,"C"
"PICKLE STEWART","FIU",30,58.82,"C"
"DARION WHITE","UTSA",42,58.61,"C"
"RYAN GREEN","GA STATE",15,58.52,"C"
"BRIAN BATES JR.","SM HOUSTON",28,58.49,"C"
"ZAIDEN DAVIS","NEW MEX ST",19,58.4,"C"
"JASEIM MITCHELL","COLO STATE",40,57.99,"C"
"MERCURY SWAIM","NEW MEXICO",28,57.76,"C"
"NASERI DANIELSON","S JOSE ST",66,57.47,"C"
"GAVIN WILLIS","CHARLOTTE",59,57.06,"C"
"JOSIAH TAYLOR","FIU",31,57.06,"C"
"MALCOLM MCCAIN","MIAMI OH",66,56.68,"C"
"ERIC STUART","TEMPLE",28,56.37,"C"
"JAXTON ECK","NEW MEXICO",27,55.96,"C"
"AVERY SLEDGE","SO MISS",24,55.9,"C"
"KADIN SCHMITZ","CHARLOTTE",58,55.71,"C"
"COLE NILLES","TEXAS ST",24,54.9,"C"
"ALEX ELLIOTT","N DAK ST",21,54.76,"C"
"ZACH RUFFIN","MEMPHIS",46,54.34,"C"
"GAVIN SELL","N DAK ST",17,53.96,"C"
"DERRELL FARRAR","LIBERTY",48,53.89,"C"
"SAM ROBINSON","USF",57,53.73,"C"
"ALONZO JACKSON JR.","LA TECH",27,53.43,"C"
"TERRENCE COOKS II","TEXAS ST",33,53.38,"C"
"DJ JOHNSON JR.","E CAROLINA",53,53.14,"C"
"JORDAN OWENS","BUFFALO",28,52.89,"C"
"AIDAN THOMPSON","JVILLE ST",29,52.88,"C"
"AARON ALEXANDER","N TEXAS",35,52.33,"C"
"BRADY KERPERIN","N ILLINOIS",19,52.07,"C"
"NOAH FLEMMINGS","LA MONROE",46,51.96,"C"
"TORY GETHERS","NEW MEX ST",44,51.82,"C"
"SONE AUPIU","NEW MEX ST",36,51.66,"C"
"ZAKYE BARKER","N TEXAS",36,51.59,"C"
"SIMEON HARRIS","FRESNO ST",49,51.55,"C"
"BRANDON TYSON","GA SOUTHRN",20,51.53,"C"
"MARIO THOMPSON","DOMINION",47,51.48,"C"
"TYREE ALUALU","TEMPLE",17,51.11,"C"
"FATA PULOKA","SACRAMENTO",23,50.97,"C"
"ALFRED THOMAS","KENNESAW",18,50.78,"C"
"CARSON SLOAN","APP STATE",22,50.73,"C"
"WESLEY EDISON","SO MISS",26,50.53,"C"
"TYWON CHRISTOPHER","KENNESAW",29,50.11,"C"
"MAKAI WILLIAMS","TULANE",23,50.01,"C"
"COOPER MAU","N ILLINOIS",15,49.83,"C"
"DORION JACKSON","TULANE",21,49.63,"C"
"COLTON PHARES","APP STATE",34,49.43,"C"
"WESTEN ARD","W KENTUCKY",34,49.35,"C"
"ALOSIO MALUIA","NEVADA",31,49.07,"C"
"JT HOOTEN","JAMES MAD",53,48.8,"C"
"MIKE KING JR.","SM HOUSTON",21,48.33,"C"
"DREW ESPER","C MICHIGAN",35,47.71,"C"
"BRANDON TUCKER","UTSA",33,47.42,"C"
"JAKE ST. ANDRE","LA LAFAYET",51,47.38,"C"
"MARCELLIUS PULLIAM","COAST CAR",67,47.14,"C"
"CAMERON COOPER","S DIEGO ST",37,46.89,"C"
"LUKE HODGE","TROY",19,46.5,"C"
"NATE FISCHER","FAU",20,46.29,"C"
"JUSTYCE BETTS","W MICHIGAN",19,46.01,"C"
"CHARLIE CHRISTOPHER","OHIO",57,45.17,"C"
"JORDAN DONALD","W KENTUCKY",36,45.16,"C"
"AIDAN VAUGHAN","LIBERTY",32,44.89,"C"
"HARRISON TAGGART","UTAH ST",46,44.68,"C"
"ASHTON TAYLOR","MIDDLE TN",34,44.54,"C"
"TIM THOMAS","SACRAMENTO",23,44.46,"C"
"BARRY MANNING","E MICHIGAN",24,44.44,"C"
"ALEX ROCHA","SACRAMENTO",17,44,"C"
"JACKSON BARKER","E CAROLINA",32,43.88,"C"
"ELIJAH GROVES","SM HOUSTON",23,43.83,"C"
"MIKE MONTGOMERY","MEMPHIS",54,43.62,"C"
"DIEGO AVILES","GA SOUTHRN",21,43.44,"C"
"ZAVIER HAMILTON","USF",21,43.34,"C"
"SHAY SMITH","UTEP",25,42.34,"C"
"SIONE HALA","S DIEGO ST",67,42.16,"C"
"KARSON MOSS","KENNESAW",18,42.04,"C"
"TJ BURKHALTER","TEXAS ST",15,42.03,"C"
"A.J. ODOM","BOWL GREEN",18,42.01,"C"
"DONOVAN WOOLEN","N DAK ST",18,41.9,"C"
"JAMARRI VINSON","UTSA",15,41.71,"C"
"GAVIN FORSHA","BALL ST",29,41.41,"C"
"JOB GRANT","NAVY",36,41.22,"C"
"TREYLIN PAYNE","TEXAS ST",18,41.21,"C"
"KHAMANI POTTS","COLO STATE",23,41.17,"C"
"ASHER CUNNINGHAM","UTAH ST",37,40.69,"C"
"XAVIER WHITE","C MICHIGAN",45,40.69,"C"
"BRETT MCCALLA","C MICHIGAN",57,40.67,"C"
"KESHAWN THOMAS","APP STATE",15,40.51,"C"
"KOLBE FIELDS","LA TECH",28,40.24,"C"
"CONOR MCPHERSON","LA LAFAYET",50,40.01,"C"
"ERIC BUTLER JR.","GA STATE",15,39.75,"D"
"RAY JAMES JR.","N DAK ST",20,39.64,"D"
"MONTRELL CHAPMAN","DOMINION",16,39.48,"D"
"CHRIS THOMPSON JR.","TULSA",81,39.42,"D"
"PERCY COURTNEY JR.","FIU",26,39.35,"D"
"DEE CRAYTON","UNLV",39,39.34,"D"
"AUSTIN HARNETIAUX","RICE",27,38.79,"D"
"TREY RUBINSTEIN","KENT STATE",44,38.63,"D"
"AYDEN JONES","TEXAS ST",21,38.52,"D"
"STONE COMBS","RICE",27,38.46,"D"
"KENDELL ANDERSON","MARSHALL",15,38.46,"D"
"NAKIAN JACKSON","JAMES MAD",60,38.41,"D"
"MICAH JOHNSON","LA LAFAYET",41,38.4,"D"
"JAVANTE MACKEY","TEXAS ST",24,38.15,"D"
"JOSH ANGLIN","KENNESAW",17,37.71,"D"
"CAM SANTEE","UNLV",40,37.01,"D"
"ROCCO NICHOLL","KENT STATE",40,36.87,"D"
"JOSEPH SIPP JR.","FAU",49,36.77,"D"
"JACK FRIES","OHIO",64,36.75,"D"
"BRADLEY ILUNGA-BISSELELE","BUFFALO",18,36.64,"D"
"JASHAWN COOPER","MO STATE",35,36.52,"D"
"K'VION THUNDERBIRD","FRESNO ST",42,36.22,"D"
"KEITH BROWN","WASH STATE",57,36.08,"D"
"TAYLOR POWELL","FRESNO ST",37,35.55,"D"
"CHANCE BARRON","NEW MEX ST",25,35.25,"D"
"RICKEY BANKS","LA MONROE",18,35.17,"D"
"XAVIOUS ANDERSON JR.","S ALABAMA",20,35.05,"D"
