"Name","Team","Defensive.Snaps","Composite_Score","Player_Grade","Defensive.Grades","Coverage.Grade","Run.Defense.Grade","Pass.Rush.Grade","Total.Tackles","Assistant","Stops","Passer.Rating.Allowed","Pass.Stop","Assist.Tackles.on.Run.Plays","Pass.Break.Up","Interceptions","Drops...Off.Targets.Receptions.Forced","Yards.per.Reception.Allowed","Run.Tackle.for.Losss.or.No.Gain","Receiving.Yards.Allowed.per.Snap","Average.Depth.of.Tackle","Lined.up.in.Press.Coverage","Average.Depth.of.Target.per.Coverage","Assist.on.Pass.Plays","Missed.Tackles.on.Pass.Plays","Plays.of.15..Yards.Allowed","Missed.Tackles.on.Run.Plays","Pass.Rush.Productivity","Hurries","Pass.Tackle.for.Loss.or.No.Gain","Dropped.Int","Touchdowns.Allowed","Beaten.Defender","Hits","Forced.Fumble","Pursuit.Pressure","Sacks","Fumble.Recovery","Batted.Passes","Missed.Tackle.Percentage","Run.Stop","Tackle.for.Loss.or.No.Gain","Total.Pressures.Generated","Assist.Tackles","Negative.Plays","Total.Negative.Plays","Total.Positive.Plays","Receptions.Allowed","Completion.Percentage.Allowed","Pass.Yards.Allowed","First.Downs.Allowed","Forced.Incompletions","Sacks.per.Throwaway","Open.Targets","X15..Yards.Allowed.Percentage","Percentage.of.Open.Targets","Percentage.of.First.Down.or.Touchdown.Allowed","Interceptions.per.Target.Coverage.Percentage","Receiving.Yards.per.Coverage.Target","Forced.Incompletion.Percentage","Missed.Tackle.Percentage.on.Run.Plays","Pass.Missed.Tackles.Percentage"
"TRE'SHAWN MOORE","COLO STATE",54,100,"A",79.3,74,78,71.8,12,5,2,91.7,1,3,0,0,0,6,0,0.5,8,NA,2,2,0,0,0,NA,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,5,0,0,1,2,1,12,1,0,0,1,0,0.5,0.5,0,6,0,0,0
"ETHAN STUHLSATZ","WYOMING",70,94.35,"A",70.4,61.2,78.6,54.6,12,4,6,67.9,2,3,0,0,1,6.3,2,0.58,1.83,NA,1,1,1,0,1,NA,0,1,0,0,0,0,0,0,0,0,0,0.143,4,3,0,4,5,3,2,3,0.6,19,1,0,0,4,0,0.8,0.2,0,3.8,0,0.1,0.25
"LUCAS STRUCK","DOMINION",44,91.53,"A",76.5,76.8,63.7,73.8,6,3,3,89.6,2,2,1,0,0,8,0,1.33,2,NA,6.8,1,1,1,0,NA,1,1,0,0,1,0,0,2,1,0,0,0.143,1,1,2,3,3,2,5,3,0.75,24,1,1,1,3,0.056,0.75,0.25,0,6,0.25,0,0.25
"AUSTIN BRAWLEY","NEW MEXICO",36,87.66,"A",89.8,89.5,68.9,59.2,3,1,2,56.3,2,1,2,0,0,-1,0,-0.05,0,NA,1,0,0,0,0,NA,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,1,0.5,-1,0,2,0,1,0,0.5,0,0,-0.5,1,0,0
"IAN FOSTER","MEMPHIS",57,87.02,"A",64.4,62.2,71.1,68.9,11,3,5,99.2,3,2,0,0,0,7.8,0,1.39,3.67,NA,6,1,1,1,0,NA,1,2,0,0,0,1,0,0,0,0,0,0.083,2,2,2,3,5,3,2,5,1,39,2,0,0,5,0.036,1,0.4,0,7.8,0,0,0.143
"TRE FULTON","UNLV",75,85.48,"A",74.4,74.5,68.6,63.6,11,1,2,39.6,1,1,1,0,3,7,0,0.16,8.86,NA,11.2,0,1,0,1,NA,1,0,0,0,0,0,1,0,1,0,0,0.154,1,0,2,1,5,4,2,1,0.2,7,0,1,0,4,0,0.8,0,0,1.4,0.2,0.111,0.25
"RAILYN ADAMS","SM HOUSTON",60,84.87,"A",71.5,65.9,76.5,NA,7,3,3,0,0,3,0,0,0,0,2,0,1.5,NA,0,0,0,0,1,NA,0,0,0,0,0,0,0,0,0,0,0,0.125,3,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0
"LAQUAN ROBINSON","SO MISS",18,84.75,"A",90.5,90.7,76.3,47.4,5,1,3,79.2,2,1,1,0,0,0,0,0,6,NA,-4,0,1,0,0,NA,1,1,1,0,0,0,0,0,0,0,0,0.167,1,1,1,1,1,0,3,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0.333
"RYAN NOLAN","TEXAS ST",55,81.71,"A",82.8,89.4,46,NA,5,2,1,0,0,0,1,1,0,0,0,0,4.5,NA,13,2,0,0,1,NA,0,0,0,0,0,0,0,0,0,0,0,0.167,1,0,0,2,3,1,3,0,0,0,0,1,0,0,0,0,0,0.5,0,0.5,0.333,0
"FIVE HAMILTON","ARK STATE",62,81.06,"A",64.4,56.4,72.1,60,8,5,0,39.6,0,5,0,0,0,0,0,0,16.33,NA,13,0,0,0,1,NA,0,0,0,0,0,0,0,0,0,0,0,0.111,0,0,0,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111,0
