"Name","Team","Defensive.Snaps","Composite_Score","Player_Grade","Defensive.Grades","Coverage.Grade","Run.Defense.Grade","Pass.Rush.Grade","Total.Tackles","Assistant","Stops","Passer.Rating.Allowed","Pass.Break.Up","Drops...Off.Targets.Receptions.Forced","Receiving.Yards.Allowed.per.Snap","Yards.per.Reception.Allowed","Average.Depth.of.Target.per.Coverage","Interceptions","Pass.Stop","Average.Depth.of.Tackle","Assist.Tackles.on.Run.Plays","Plays.of.15..Yards.Allowed","Pass.Tackle.for.Loss.or.No.Gain","Missed.Tackles.on.Pass.Plays","Touchdowns.Allowed","Missed.Tackles.on.Run.Plays","Assist.on.Pass.Plays","Pass.Rush.Productivity","Run.Tackle.for.Losss.or.No.Gain","Dropped.Int","Unblocked.Pass.Rush","Forced.Fumble","Beaten.Defender","Sacks","Fumble.Recovery","Pursuit.Pressure","Hits","Missed.Tackle.Percentage","Run.Stop","Tackle.for.Loss.or.No.Gain","Hurries","Total.Pressures.Generated","Assist.Tackles","Negative.Plays","Total.Negative.Plays","Total.Positive.Plays","Receptions.Allowed","Completion.Percentage.Allowed","Pass.Yards.Allowed","First.Downs.Allowed","Forced.Incompletions","Sacks.per.Throwaway","Open.Targets","X15..Yards.Allowed.Percentage","Percentage.of.Open.Targets","Percentage.of.First.Down.or.Touchdown.Allowed","Interceptions.per.Target.Coverage.Percentage","Receiving.Yards.per.Coverage.Target","Forced.Incompletion.Percentage","Missed.Tackle.Percentage.on.Run.Plays","Pass.Missed.Tackles.Percentage","Total.Tackle.Snaps","NFL.Sacks","First.Contact","Batted.Passes","Interception"
"DIJON JOHNSON","FLORIDA",50,100,"A",78.1,78.3,63,NA,4,3,0,0,1,0,0,0,24.5,1,0,0,0,0,0,0,0,0,3,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,1,0,0,0,0,0,0.5,0,0.5,0,0,4,0,3,0,1
"EVAN JOHNSON","BYU",17,96.78,"A",93.2,93.1,60,NA,1,0,1,2.8,1,0,0.36,4,20.7,1,1,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0.333,4,0,1,0,0,0,0,0,0.333,1.3,0.333,0,0,1,0,1,0,1
"DON SAUNDERS","PURDUE",33,96.59,"A",86.6,87.3,65.2,NA,3,0,2,2.8,1,0,-0.09,-2,4,1,1,-1,0,0,0,0,0,1,0,NA,1,0,0,0,0,0,0,0,0,0.25,1,1,0,0,0,2,1,3,1,0.333,-2,0,1,0,1,0,0.333,0,0.333,-0.7,0.333,0.5,0,4,0,4,0,1
"DESHAUN LEE","IOWA",28,93.38,"A",83,80.8,69.2,NA,1,0,1,2.8,1,0,0.17,3,13,1,0,0,0,0,0,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,1,0.333,3,0,1,0,0,0,0,0,0.333,1,0.333,0,0,1,0,0,0,1
"JYAIRE HILL","MICHIGAN",65,92.82,"A",66.2,68.9,51.2,64,7,2,2,30.6,0,0,-0.13,-1.5,7.3,1,1,5,1,0,1,0,0,1,1,NA,0,0,1,0,0,0,0,1,1,0.125,1,1,1,2,2,4,1,2,2,0.667,-3,0,0,0,2,0,0.667,0,0.333,-1,0,0.2,0,8,0,6,0,1
"DONOVAN JONES","NEBRASKA",64,89.35,"A",74.4,74,63.8,68.7,4,0,2,39.6,2,1,-0.07,-1.5,11.6,0,1,5,0,0,1,0,0,1,0,NA,0,0,0,0,0,0,0,1,1,0.2,1,1,0,1,0,3,2,3,2,0.286,-3,0,2,0,3,0,0.429,0,0,-0.4,0.286,0.333,0,5,0,4,0,0
"THOMAS WILLIAMS","VA TECH",27,89.27,"A",90.8,91.4,68.6,NA,NA,0,0,0,0,0,0,0,15,1,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,NA,0,1,0,1
"ANDREW MARSHALL","NEBRASKA",64,85.33,"A",74.5,74.2,66.1,NA,2,0,1,39.6,1,5,0,0,29,0,0,3,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.167,0,0,2,0,3,0,0
"KADE PHILLIPS","TEXAS",58,84.8,"A",69.8,69.4,64.2,NA,4,0,3,39.6,2,1,0.23,7,17.2,0,3,0,0,0,1,1,0,0,0,NA,0,0,0,0,0,0,0,0,0,0.2,0,1,0,0,0,2,2,2,1,0.2,7,0,2,0,1,0,0.2,0,0,1.4,0.4,0,0.25,5,0,3,0,0
"BRADEN TURNER","NWESTERN",86,82.34,"A",63.5,62.6,74.8,55.1,7,1,3,61,1,4,0.74,13,7.6,0,1,3.75,1,1,0,1,0,0,0,NA,2,0,2,0,0,0,0,0,0,0.125,2,2,2,2,1,7,4,0,3,0.429,39,2,0,0,4,0.019,0.571,0.286,0,5.6,0,0,0.333,8,0,5,0,0
