"Name","Team","Defensive.Snaps","Composite_Score","Player_Grade"
"DIJON JOHNSON","FLORIDA",50,100,"A"
"EVAN JOHNSON","BYU",17,96.78,"A"
"DON SAUNDERS","PURDUE",33,96.59,"A"
"DESHAUN LEE","IOWA",28,93.38,"A"
"JYAIRE HILL","MICHIGAN",65,92.82,"A"
"DONOVAN JONES","NEBRASKA",64,89.35,"A"
"THOMAS WILLIAMS","VA TECH",27,89.27,"A"
"ANDREW MARSHALL","NEBRASKA",64,85.33,"A"
"KADE PHILLIPS","TEXAS",58,84.8,"A"
"BRADEN TURNER","NWESTERN",86,82.34,"A"
"IFY OBIDEGWU","OREGON",46,82.21,"A"
"KENNY WORTHY","CINCINNATI",65,80.54,"A"
"ZABIEN BROWN","ALABAMA",31,80.15,"A"
"MICHEAL GRAHAM JR.","KANSAS ST",15,80.13,"A"
"BYRON BALDWIN JR.","INDIANA",34,79.8,"B"
"ELLIOT WASHINGTON II","CLEMSON",79,79.43,"B"
"DYLAN FLOWERS","DUKE",53,79.1,"B"
"NEHEMIAH CHANDLER","FLORIDA ST",26,78.48,"B"
"JOHN NESTOR","MINNESOTA",25,78.44,"B"
"NICK TAYLOR","W VIRGINIA",53,77.78,"B"
"JONTEZ WILLIAMS","USC",24,77.58,"B"
"JACOB WALLACE","IOWA",28,76.84,"B"
"JUICE CLARKE","ILLINOIS",70,76.41,"B"
"JORDAN THOMAS","OHIO STATE",15,76.16,"B"
"JETT JEFFERSON","MISS STATE",16,75.92,"B"
"RODRICK PLEASANT","UCLA",73,75.54,"B"
"SMITH SNOWDEN","MICHIGAN",58,75.27,"B"
"THERRIAN ALEXANDER III","BYU",17,75.08,"B"
"JALEN MAYO","HOUSTON",73,75.05,"B"
"JOSIAH ZAYAS","PENN STATE",34,74.83,"B"
"CHRIS PEAL","SYRACUSE",40,74.66,"B"
"JOJO SCOTT","KANSAS ST",25,74.59,"B"
"JAMROC GRIMSLEY","MISS STATE",21,74.36,"B"
"TRE POTEAT III","TENNESSEE",21,74.25,"B"
"JACOBE JOHNSON","OKLAHOMA",15,74.17,"B"
"SOMAD EADDY","WAKE",22,73.93,"B"
"JERMAINE MATHEWS JR.","OHIO STATE",36,73.07,"B"
"JULIO HUMPHREY","TEXAS A&M",19,72.17,"B"
"DAVID COFFEY","IOWA STATE",35,71.37,"B"
"VICTOR EVANS III","NEBRASKA",33,70.92,"B"
"KELLEY JONES","MISS STATE",16,70.52,"B"
"KYON LOUD","DUKE",56,70.48,"B"
"KANYE CLARK","FLORIDA",69,70.45,"B"
"SIONE LAULEA","MISSOURI",29,69.15,"B"
"JAQUEZ WHITE","VA TECH",15,69.09,"B"
"WILL JAMES","HOUSTON",75,68.66,"B"
"RAYSHAWN PLEASANT","AUBURN",95,68.2,"B"
"JAYDEN BELLAMY","UCF",25,67.93,"B"
"TYRAN CHAPPELL","MICH STATE",30,67.76,"B"
"SHAMARI EARLS","MICHIGAN",16,67.02,"B"
"RICKEY GIBSON III","TEXAS A&M",18,66.92,"B"
"JAMARI SHARPE","INDIANA",16,66.87,"B"
"NAIIM PARRISH","MINNESOTA",16,66.75,"B"
"DEVON JORDAN","BAYLOR",67,66.24,"B"
"ETHAN O'CONNOR","MIAMI FL",26,65.89,"B"
"MARCELLUS BARNES JR.","SMU",62,65.83,"B"
"NA'EEM OFFORD","OREGON",27,65.51,"B"
"JALYN CRAWFORD","OLE MISS",65,65.48,"B"
"SHELTON LEWIS","ARKANSAS",36,65.47,"B"
"DEZZ RICKS","TEXAS A&M",19,65.28,"B"
"AMARI JACKSON","MARYLAND",22,64.6,"B"
"BRAYLON CONLEY","GEORGIA",25,64.09,"B"
"DEVIN SANCHEZ","OHIO STATE",37,63.87,"B"
"JAY TIMMONS","OHIO STATE",33,63.77,"B"
"KAYLIB SINGLETON","MISS STATE",42,63.09,"B"
"CHASEN JOHNSON","USC",16,62.97,"B"
"BENI NGOYI","IOWA STATE",32,62.9,"B"
"ASHTON STAMPS","ARIZONA ST",26,62.87,"B"
"JOSH FUSSELL","NWESTERN",74,62.85,"B"
"DAMARCUS LEACH","S CAROLINA",17,62.85,"B"
"OSIRIS GILBERT","UCLA",16,62.77,"B"
"JORDAN MATTHEWS","VANDERBILT",39,62.42,"B"
"DEE NEWSOME","PURDUE",17,62.4,"B"
"JAYLEN WATSON","IOWA",28,62.39,"B"
"KAYIN LEE","TENNESSEE",30,62.26,"B"
"DERRICK BARKSDALE","UCLA",64,62.25,"B"
"JA'KEEM JACKSON","LSU",23,62.17,"B"
"JAKWON MORRIS","ILLINOIS",37,62.17,"B"
"NAZIR WARD","SYRACUSE",33,62.15,"B"
"JAILEN DUFFIE","UCF",16,62.05,"B"
"MONTAE PATE","NWESTERN",51,62.02,"B"
"JC HART","UTAH",25,61.94,"B"
"DAQUWAN DUNN","ARIZONA ST",17,61.82,"B"
"DWIGHT BOOTLE II","ARIZONA",28,61.78,"B"
"MONTANA WARREN","ARIZONA ST",21,61.78,"B"
"ELIJAH DAVIS","UTAH",21,61.63,"B"
"GENTRY WILLIAMS","GEORGIA",20,61.49,"B"
"AMIER BOYD","TEXAS TECH",57,61.4,"B"
"KALEB PATTERSON","KANSAS ST",40,61.21,"B"
"JAVAN ROBINSON","WISCONSIN",62,61.1,"B"
"KHMORI HOUSE","ARKANSAS",28,60.95,"B"
"JAHLIL HURLEY","KANSAS",17,60.79,"B"
"CANNON DEVRIES","BYU",19,60.68,"B"
"JA'BRIL RAWLS","FLORIDA ST",68,60.55,"B"
"CADEN HARRIS","GEORGIA",17,60.41,"B"
"JALEN TODD","KANSAS",18,60.27,"B"
"JUDAH JENKINS","MARYLAND",18,60.2,"B"
"ZEKE BERRY","MICHIGAN",35,60.13,"B"
"AUDAVION COLLINS","PENN STATE",32,60.09,"B"
"JAVION WHITE","HOUSTON",77,60.07,"B"
"RICKY FLETCHER","CAL",40,59.87,"C"
"SCOOTER JACKSON","UCLA",82,59.86,"C"
"ZASHON RICH","KANSAS ST",40,59.71,"C"
"AUSTIN ALEXANDER","KANSAS",19,59.53,"C"
"JORDYN CRISS","BYU",33,59.49,"C"
"AYDAN WEST","MINNESOTA",31,59.41,"C"
"RJ COLLINS","KANSAS ST",18,59.4,"C"
"GARRICK DIXON","KANSAS ST",18,59.21,"C"
"TRYSTAN HAYNES","OKLAHOMA",19,59.11,"C"
"GRANT GRAYTON","KENTUCKY",49,58.66,"C"
"JAYLON BRAXTON","OLE MISS",71,58.64,"C"
"JORDAN SMITH","GEORGIA",17,58.35,"C"
"DEUCE BLADES II","WAKE",42,58.33,"C"
"SHAWN LEE JR.","PITTSBURGH",48,58.27,"C"
"ELI BOWEN","OKLAHOMA",32,58.11,"C"
"RED MORGAN","ALABAMA",22,58.09,"C"
"DEMELLO JONES","GEORGIA",17,58.06,"C"
"JOSHUA CLARKE","VA TECH",27,57.3,"C"
"DARYUS DIXSON","PENN STATE",32,57.23,"C"
"ISAIAH MCMILLIAN","KENTUCKY",62,57.21,"C"
"JAE'ON YOUNG","CAL",16,57.16,"C"
"JUDGE COLLIER","S CAROLINA",33,57.1,"C"
"DANIEL HARRIS","CAL",35,57.02,"C"
"DARRELL CAREY","MARYLAND",29,56.97,"C"
"EMMANUEL KARNLEY","WASHINGTON",54,56.86,"C"
"DANIEL COBBS","BAYLOR",48,56.62,"C"
"CAM CALHOUN","OHIO STATE",27,56.45,"C"
"ROCK CALDWELL","UTAH",20,56.21,"C"
"TY REDMOND","TENNESSEE",34,56.03,"C"
"DJ BELL","UCF",23,55.91,"C"
"TYWAN COX","ILLINOIS",33,55.78,"C"
"HUDAURI HINES","PURDUE",47,55.43,"C"
"BRICE POLLOCK","TEXAS TECH",61,55.34,"C"
"SETH JOHNSON","IOWA STATE",36,55.09,"C"
"GAVIN JENKINS","AUBURN",18,54.54,"C"
"ERIC FLETCHER JR.","WISCONSIN",16,54.25,"C"
"CAYDEN DANIELS","VANDERBILT",26,53.35,"C"
"WARREN ROBERSON","TEXAS",37,53.23,"C"
"JAHEIM SINGLETARY","IOWA STATE",26,52.71,"C"
"BRANDON FINNEY JR.","OREGON",66,52.47,"C"
"DYLAN ROBINSON","WASHINGTON",58,51.69,"C"
"JORDAN SCRUGGS","MARYLAND",27,51.53,"C"
"RYLAND GANDY","INDIANA",63,51.52,"C"
"TRE BELL","MICH STATE",42,51.17,"C"
"JABARI MACK","LOUISVILLE",57,51.17,"C"
"JAMES CHENAULT JR.","UTAH",25,51.16,"C"
"J'VARI FLOWERS","FLORIDA",35,50.98,"C"
"KEYSHAWN ROBINSON","W VIRGINIA",23,50.79,"C"
"COURTLAND GUILLORY","OKLAHOMA",34,50.5,"C"
"DEMETRES SAMUEL JR.","SYRACUSE",43,49.82,"C"
"SYEED GIBBS","KANSAS",19,49.65,"C"
"ELIJAH REED","UTAH",28,49.61,"C"
"MARTEL HIGHT","VANDERBILT",23,49.47,"C"
"GRACESON LITTLETON","TEXAS",41,49.27,"C"
"JAY'VION COLE","ARIZONA",41,48.95,"C"
"MARCELLO VITTI","IOWA",29,48.91,"C"
"DJ PICKETT","LSU",38,48.74,"C"
"XAVIER LUCAS","MIAMI FL",39,48.56,"C"
"IBN MCDANIELS","PENN STATE",17,48.35,"C"
"JAYLEN BELL","INDIANA",55,48.31,"C"
"DIJON LEE JR.","ALABAMA",32,48.18,"C"
"CAM CHADWICK JR.","VA TECH",18,48.05,"C"
"CAMERON KEYS","MISSOURI",19,47.88,"C"
"DJ WALLER JR.","LOUISVILLE",69,47.67,"C"
"RICARDO COOPER JR.","MARYLAND",17,47.07,"C"
"QUENTIN TAYLOR","MISS STATE",43,46.71,"C"
"CORMANI MCCLAIN","FLORIDA",52,46.63,"C"
"ASHTON HAMPTON","CLEMSON",81,46.39,"C"
"JORDAN SHAW","TEXAS A&M",19,46.36,"C"
"JACOB FINLEY","CINCINNATI",66,46.32,"C"
"TIM MERRITT","TENNESSEE",17,45.53,"C"
"VICARI SWAIN","S CAROLINA",31,45.37,"C"
"TYRESE BOSS","ARIZONA",25,44.41,"C"
"JAMARE GLASKER","MARYLAND",23,44.39,"C"
"JAHMIR JOSEPH","PENN STATE",16,44.07,"C"
"ORE ADEYI","NWESTERN",58,44.06,"C"
"BRAEDEN MARSHALL","UCF",22,43.87,"C"
"BRAVION ROGERS","TEXAS A&M",18,43.3,"C"
"TRAVON WEST","WAKE",36,42.88,"C"
"REGGIE BUSH II","BAYLOR",21,42.86,"C"
"BRADLEE JONES","RUTGERS",54,42.8,"C"
"MATTHIAS LEACH","BYU",34,42.8,"C"
"ASHAAD WILLIAMS","WAKE",40,42.71,"C"
"ANTIONE JACKSON","UCF",26,42.38,"C"
"BEN HANKS III","FLORIDA",31,42.24,"C"
"CREE THOMAS","COLORADO",57,41.79,"C"
"ZION TRACY","PENN STATE",18,41.36,"C"
"LADAINIAN FIELDS","OKLA STATE",40,40.02,"C"
"ROMAN PEARSON","KANSAS",22,39.99,"D"
"MO HORN","OKLA STATE",26,39.82,"D"
"CAM RICHARDSON","STANFORD",40,39.74,"D"
"RODNEY BIMAGE JR.","ARIZONA ST",29,39.67,"D"
"NICK MCCLELLAN","KANSAS ST",18,39.65,"D"
"ASHTON CUNNINGHAM","BOSTON COL",41,39.63,"D"
"DARION JONES","IOWA",22,38.15,"D"
"QUINDARRIUS JONES","FLORIDA ST",47,38.1,"D"
"ELIJAH CANNON","KANSAS",28,38.09,"D"
"DAMARI BROWN","MIAMI FL",55,36.71,"D"
"BRANDON NICHOLSON","STANFORD",47,36.54,"D"
"ANDRE JORDAN JR.","AUBURN",91,36.38,"D"
"JAI'MIER SCOTT","WISCONSIN",48,35.78,"D"
"MIKEY MUNN","RUTGERS",21,35.77,"D"
"MAX TUCKER","BOSTON COL",47,35.11,"D"
"BO MASCOE","TEXAS",39,34.89,"D"
"CHAMS DIAGNE","W VIRGINIA",60,34.83,"D"
"MISUN KELLEY","CLEMSON",37,34.41,"D"
"LEVAR THORNTON JR.","BAYLOR",66,34.01,"D"
"KEVIN LEVY","RUTGERS",59,33.39,"D"
"CHARLIE COMELLA","BOSTON COL",35,33.13,"D"
"BRYCE WEST","WISCONSIN",46,32.81,"D"
"JAYVON THOMAS","SMU",66,32.79,"D"
"PJ WOODLAND","LSU",36,31.85,"D"
"RASHAD GODFREY JR.","IOWA",29,31.76,"D"
"ZAMARI STEVENSON","WAKE",40,31.23,"D"
"KHAMANI HUDSON","CAL",23,30.67,"D"
"NICK DELOACH JR.","MISSOURI",15,30.46,"D"
"BOO CARTER","COLORADO",57,29.87,"D"
"KELVIN HILL","GA TECH",47,29.19,"D"
"DRE POLLARD","STANFORD",33,28.17,"D"
"RAION STRADER","PITTSBURGH",48,27.84,"D"
"JEREMIAH CHARLES","NEBRASKA",28,27.36,"D"
"LASIAH JACKSON","STANFORD",21,26.99,"D"
"JAXSON GATES","MISSOURI",21,25.48,"D"
"KOLLIN LEWIS","OKLA STATE",24,24.82,"D"
"DOMINICK KELLY","OHIO STATE",22,23.5,"D"
"LEROY BRYANT","STANFORD",31,20.9,"D"
"CARMELO O'NEAL","ALABAMA",16,20.12,"D"
"EVAN SMITH","DUKE",34,16.14,"F"
"BRANDEN STROZIER","CLEMSON",22,15.92,"F"
"KOBI FOREMAN","OKLA STATE",31,13.26,"F"
"AARON GATES","KENTUCKY",41,12.25,"F"
"CHARLES BRANTLEY","MICH STATE",19,11.41,"F"
"BRYCEN SCOTT","LOUISVILLE",22,9.05,"F"
"CORIAN GIPSON","CLEMSON",54,2.22,"F"
"DANTE LOVETT","UCLA",16,0,"F"
