"Name","Team","Defensive.Snaps","Composite_Score","Player_Grade","Defensive.Grades","Coverage.Grade","Run.Defense.Grade","Pass.Rush.Grade","Total.Tackles","Assistant","Stops","Interception","Assist.Tackles.on.Run.Plays","Passer.Rating.Allowed","Receiving.Yards.Allowed.per.Snap","Average.Depth.of.Target.per.Coverage","Average.Depth.of.Tackle","Yards.per.Reception.Allowed","Pass.Stop","Lined.up.in.Press.Coverage","Drops...Off.Targets.Receptions.Forced","Missed.Tackles.on.Run.Plays","Assist.on.Pass.Plays","Pass.Break.Up","Run.Tackle.for.Losss.or.No.Gain","Plays.of.15..Yards.Allowed","Unblocked.Pass.Rush","Pass.Rush.Productivity","Missed.Tackles.on.Pass.Plays","Forced.Fumble","Touchdowns.Allowed","Pass.Tackle.for.Loss.or.No.Gain","Pursuit.Pressure","Hits","Dropped.Int","Sacks","Beaten.Defender","Fumble.Recovery","Batted.Passes","Missed.Tackle.Percentage","Run.Stop","Tackle.for.Loss.or.No.Gain","Hurries","Total.Pressures.Generated","Assist.Tackles","Negative.Plays","Total.Negative.Plays","Total.Positive.Plays","Receptions.Allowed","Completion.Percentage.Allowed","Pass.Yards.Allowed","First.Downs.Allowed","Forced.Incompletions","Sacks.per.Throwaway","Open.Targets","X15..Yards.Allowed.Percentage","Percentage.of.Open.Targets","Percentage.of.First.Down.or.Touchdown.Allowed","Interceptions.per.Target.Coverage.Percentage","Receiving.Yards.per.Coverage.Target","Forced.Incompletion.Percentage","Missed.Tackle.Percentage.on.Run.Plays","Pass.Missed.Tackles.Percentage"
"ASHLYND BARKER","FLORIDA ST",62,100,"A",82.4,79.1,73.5,76.8,7,4,2,1,3,56.3,0.88,27.5,3.5,30,1,NA,0,0,1,0,0,1,2,NA,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,2,4,3,2,3,1,0.5,30,1,0,0,0,0.029,0,0.5,0.5,15,0,0,0
"ELIJAH DOTSON","MISSOURI",19,90.8,"A",92.8,92,73.4,NA,3,0,3,1,0,0,0,7.5,0,0,1,NA,1,0,0,0,1,0,0,NA,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0.5,0,0.5,0,0,0,0
"ZACK HARDEN","MINNESOTA",27,90.8,"A",79.3,78.8,83.3,47.1,5,2,3,0,2,79.2,0.2,-4,0,1,2,NA,0,0,0,0,1,0,2,NA,1,0,0,1,0,1,0,0,0,0,0,0.167,1,2,1,2,2,1,0,2,2,1,2,0,0,0,1,0,0.5,0,0,1,0,0,0.333
"DAMON WALTERS","NWESTERN",92,89.91,"A",65.7,64.9,65.2,NA,6,3,1,2,2,0,0.19,12.2,9,11,1,NA,4,1,1,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0.143,0,0,0,0,3,4,3,1,1,0.167,11,1,0,0,1,0,0.167,0.167,0.333,1.8,0,0.25,0
"MICAH GIFFORD","BAYLOR",18,87.06,"A",92.6,92.3,78.1,NA,5,0,3,1,0,0,0,0,1,0,0,NA,0,0,0,0,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MATTHEW BAILEY","ILLINOIS",70,85.69,"A",75.3,67.5,75.1,81.3,9,3,2,0,3,0,0,0,9,0,1,NA,0,1,0,0,0,0,0,NA,0,0,0,0,1,2,0,0,0,0,0,0.1,1,0,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111,0
"DJ COLEMAN","FLORIDA",75,81.32,"A",76.1,76.3,70,NA,3,3,0,1,3,0,0.14,17.5,0,7,0,NA,2,1,0,0,0,0,0,NA,0,0,0,0,0,0,1,0,0,0,0,0.25,0,0,0,0,3,2,1,2,1,0.25,7,1,0,0,1,0,0.25,0.25,0.25,1.8,0,0.25,0
"ALEX MCLAUGHLIN","WASHINGTON",58,80.7,"A",74.2,77.3,65.6,57.7,7,1,3,1,1,39.6,0.1,2,8.75,3,1,NA,0,1,0,0,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0.125,2,1,0,0,1,1,0,2,1,1,3,0,0,0,1,0,1,0,1,3,0,0.167,0
"TYREN POLLEY JR.","SMU",64,80.42,"A",61.7,54.8,67.2,67.2,11,6,2,0,4,56.3,0.2,18,3.75,5,0,NA,1,2,2,0,0,0,0,NA,0,0,0,0,1,0,0,0,0,0,0,0.154,2,0,1,1,6,4,2,0,1,0.5,5,1,0,0,0,0,0,0.5,0,2.5,0,0.2,0
"JARVIS LEE","SMU",32,78.95,"B",75.2,71.1,61.3,82.7,3,1,2,0,1,39.6,0,32,-2,0,1,NA,1,0,0,0,1,0,0,NA,0,0,0,0,2,1,0,0,0,0,0,0,1,1,1,2,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ISAAC SMITH","MISS STATE",30,76.31,"B",82.9,80.9,79.4,57.7,6,2,2,0,2,56.3,0.33,-0.5,3.5,5,2,NA,1,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,0.5,5,0,0,0,0,0,0,0,0,2.5,0,0,0
"ZACH LUTMER","IOWA",28,75.65,"B",73.4,62.6,67.8,89.1,4,1,2,0,1,62.5,0.5,13,0,9,2,NA,1,0,0,0,0,0,0,NA,1,0,0,1,2,0,0,0,0,0,0,0.2,0,1,2,2,1,2,2,3,1,0.5,9,0,0,0,0,0,0,0,0,4.5,0,0,0.25
"TA'SHAWN JAMES","UCLA",71,75.64,"B",70.3,72.5,62,58.1,5,2,1,2,1,41.7,0.5,15.5,1,18,0,NA,0,1,1,0,0,1,0,NA,1,0,0,0,0,0,0,0,0,0,0,0.286,1,0,0,0,2,2,1,2,1,0.5,18,1,0,0,1,0.028,0.5,0.5,1,9,0,0.333,0.25
"DREW SURGES","IOWA STATE",43,72.23,"B",79,82.5,62.5,NA,6,3,2,0,3,91.7,0.46,4.5,0,6,2,NA,0,1,0,0,0,0,0,NA,0,1,0,0,0,0,0,0,0,0,0,0.143,0,0,0,0,3,2,1,1,2,1,12,0,0,0,1,0,0.5,0,0,6,0,0.25,0
"PEYTON BOWEN","OKLAHOMA",35,71.93,"B",83.8,73.2,90.1,NA,2,0,1,0,0,39.6,0,34,4,0,0,NA,0,0,0,1,1,0,0,NA,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
