"Name","Team","Defensive.Snaps","Composite_Score","Player_Grade","Position","Season","Conference","Defensive.Grades","Run.Defense.Grade","Pass.Rush.Grade","Coverage.Grade","Batted.Passes","Assistant","Stops","Sacks","NFL.Sacks","Hits","Hurries","Total.Pressures.Generated","Beaten.Defender","Pass.Break.Up","Interception","Forced.Fumble","Fumble.Recovery","Tackle.for.Loss.or.No.Gain","Dropped.Int","Pursuit.Pressure","Unblocked.Pass.Rush","First.Contact","Negative.Plays","Pass.Rush.Plays","Pass.Rush.Win.Percentage","Pass.Rush.Pressure.Percentage","Pass.Rush.Productivity","Run.Defense.Plays","Average.Depth.of.Tackle","Negative.Rush.Defense.Percentage","Positive.Rush.Defense.Percentage","Number.of.Negative.Plays","Coverage.Snaps","Receptions.Allowed","Completion.Percentage.Allowed","Pass.Yards.Allowed","Yards.per.Reception.Allowed","Touchdowns.Allowed","First.Downs.Allowed","Interceptions","Forced.Incompletions","Passer.Rating.Allowed","Receiving.Yards.Allowed.per.Snap","Plays.of.15..Yards.Allowed","Successful.Plays.Percentage","Sacks.per.Throwaway","Open.Targets","Drops...Off.Targets.Receptions.Forced","Total.Negative.Plays","Total.Positive.Plays","X15..Yards.Allowed.Percentage","Percentage.of.Open.Targets","Percentage.of.First.Down.or.Touchdown.Allowed","Interceptions.per.Target.Coverage.Percentage","Receiving.Yards.per.Coverage.Target","Average.Depth.of.Target.per.Coverage","Forced.Incompletion.Percentage","Jersey.Number","Total.Tackles","Missed.Tackle.Percentage","Assist.Tackles","Run.Stop","Run.Tackle.for.Losss.or.No.Gain","Missed.Tackle.Percentage.on.Run.Plays","Tackles.on.Run.Plays","Assist.Tackles.on.Run.Plays","Missed.Tackles.on.Run.Plays","Pass.Stop","Pass.Tackle.for.Loss.or.No.Gain","Pass.Missed.Tackles.Percentage","Total.Tackle.Snaps","Total.Tackles..Sacks...Assists...Sacks...Missed.","Assist.on.Pass.Plays","Tackles.on.Pass.Plays","Missed.Tackles.on.Pass.Plays","Conference_Level","Row_ID","row_id"
"CALEB SANDSTROM","APP STATE",52,100,"A","ED",2026,"Sun Belt",86,65,88.1,60,0,0,3,2,0,1,4,7,0,0,0,1,0,1,0,2,2,3,0,30,0.1,0.233,15,21,0,0,0.048,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,3,0,0,1,1,0,1,0,0,2,0,0,3,3,0,0,0,"G5",77,77
"ELISHA BALDRIDGE","FIU",31,95.33,"A","ED",2026,"C-USA",90,70.2,87,NA,0,0,3,2,0,0,2,4,1,0,0,2,0,0,0,2,0,4,0,23,0.13,0.174,13,8,3,0,0.25,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,3,0,0,1,0,0,1,0,0,2,0,0,3,3,0,0,0,"G5",231,231
"BRETT KARHU","NEW MEXICO",23,92.78,"A","ED",2026,"MWC",91.5,60.6,88,66.1,1,0,2,2,0,2,2,6,0,0,0,1,1,0,0,0,1,2,0,17,0.294,0.353,23.5,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,2,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,0,"G5",137,137
"KENO JONES","TROY",33,91.76,"A","ED",2026,"Sun Belt",75.2,52.5,71,79.3,0,1,4,2,0,0,0,2,0,0,0,1,0,0,0,2,0,4,3,2,0,0.5,50,14,2,0.143,0.071,2,17,1,1,11,11,0,1,0,0,112.5,0.65,0,0.412,0.5,0,0,1,2,0,0,1,0,11,-4,0,15,6,0,1,1,0,0,1,0,0,2,0,0,6,6,1,2,0,"G5",118,118
"DEEJAY HOLMES JR.","FIU",40,89.99,"A","ED",2026,"C-USA",84.4,67.7,90.6,NA,0,1,4,1,0,2,2,5,1,0,0,1,1,1,0,0,1,4,3,26,0.192,0.192,11.5,14,1.33,0.143,0.357,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,5,0.167,1,3,1,0.2,3,1,1,1,0,0,6,6,0,0,0,"G5",81,81
"JOSH ROBERTS","FAU",37,89.14,"A","ED",2026,"The American",80,74,76.1,63.6,0,0,5,1,0,1,1,3,2,0,0,0,0,2,0,1,0,3,1,15,0.267,0.2,13.3,18,0.67,0.056,0.222,1,4,1,1,4,4,0,0,0,0,83.3,1,0,0.75,0,0,0,0,0,0,0,0,0,4,4,0,10,5,0,0,3,2,0,3,0,0,2,0,0,5,5,0,1,0,"G5",196,196
"KYRAN DUHON","TULSA",29,88.52,"A","ED",2026,"The American",92,63.4,91.3,NA,1,0,2,2,0,1,3,6,0,0,0,1,0,0,0,0,0,2,0,21,0.286,0.286,19.1,8,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,0,"G5",148,148
"IBRAHIM DIAWARA","COAST CAR",25,84.82,"A","ED",2026,"Sun Belt",90,77.2,83.5,NA,0,1,2,1,0,0,4,5,3,0,0,0,0,0,0,0,1,3,2,15,0.467,0.333,20,10,1,0.1,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,0.25,1,1,0,0,1,1,0,1,0,0.5,4,4,0,0,1,"G5",142,142
"XAVIER ESQILLION","GA STATE",38,81.29,"A","ED",2026,"Sun Belt",86.3,72.4,82.7,61.7,0,1,2,1,0,2,5,8,1,0,0,0,0,0,0,0,1,3,2,26,0.308,0.308,17.3,7,2,0,0.143,0,4,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0.4,1,1,0,0,1,1,0,1,0,0.667,5,5,0,0,2,"G5",119,119
"LAYTON STARKS","BALL ST",16,81.26,"A","ED",2026,"MAC",84,69.4,71.4,70.2,0,0,3,2,0,0,1,3,0,0,0,0,0,1,0,1,1,3,0,11,0.091,0.182,13.6,4,-2,0,0.25,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,11,4,0,0,1,1,0,1,0,0,2,0,0,4,4,0,1,0,"G5",156,156
