"Name","Team","Defensive.Snaps","Composite_Score","Player_Grade"
"CALEB SANDSTROM","APP STATE",52,100,"A"
"ELISHA BALDRIDGE","FIU",31,95.33,"A"
"BRETT KARHU","NEW MEXICO",23,92.78,"A"
"KENO JONES","TROY",33,91.76,"A"
"DEEJAY HOLMES JR.","FIU",40,89.99,"A"
"JOSH ROBERTS","FAU",37,89.14,"A"
"KYRAN DUHON","TULSA",29,88.52,"A"
"IBRAHIM DIAWARA","COAST CAR",25,84.82,"A"
"XAVIER ESQILLION","GA STATE",38,81.29,"A"
"LAYTON STARKS","BALL ST",16,81.26,"A"
"AUSTIN ALEXANDER","W MICHIGAN",58,78.05,"B"
"JABRIEL RHODES-NELSON","GA STATE",44,77.26,"B"
"MYLES BRADLEY","BOWL GREEN",54,76.6,"B"
"MAX STEGE","BOISE ST",39,75.15,"B"
"KEVONTAY WELLS","LA MONROE",31,75.06,"B"
"JAIHIEN ROY","KENT STATE",40,74.91,"B"
"AIDEN BENTON","APP STATE",58,73.99,"B"
"BEN MARSH","BALL ST",31,72.98,"B"
"KENDRICK DUJOUR","E CAROLINA",26,72.48,"B"
"KIERAN DAVIS","E CAROLINA",33,70.82,"B"
"ESAIA BOGAR","WYOMING",41,70.67,"B"
"BRODY HENDERSON","SM HOUSTON",51,68.37,"B"
"BRAYDEN KNOX","N TEXAS",28,67.75,"B"
"ANDREW ZOCK","TOLEDO",31,67.48,"B"
"JULIEN DAVIS","E CAROLINA",43,66.91,"B"
"DAVID ONUOHA","N TEXAS",37,66.79,"B"
"BRENTON WILLIAMS","LIBERTY",54,65.99,"B"
"JAY'SHON THOMAS","N ILLINOIS",52,65.94,"B"
"TAKARI HICKLE","OREGON ST",55,65.9,"B"
"JUSTIN STEARNS","S JOSE ST",28,65.33,"B"
"ZACH JOHNSON","TOLEDO",25,65.09,"B"
"THOMAS DAVIS","TULSA",42,64.96,"B"
"JACOB CRUZ","JVILLE ST",56,64.96,"B"
"JAMES WALLEY JR.","UTSA",29,63.16,"B"
