"Name","Team","Defensive.Snaps","Composite_Score","Player_Grade","Position","Season","Conference","Defensive.Grades","Run.Defense.Grade","Pass.Rush.Grade","Coverage.Grade","Batted.Passes","Assistant","Stops","Sacks","NFL.Sacks","Hits","Hurries","Total.Pressures.Generated","Beaten.Defender","Pass.Break.Up","Interception","Forced.Fumble","Fumble.Recovery","Tackle.for.Loss.or.No.Gain","Dropped.Int","Pursuit.Pressure","Unblocked.Pass.Rush","First.Contact","Negative.Plays","Pass.Rush.Plays","Pass.Rush.Win.Percentage","Pass.Rush.Pressure.Percentage","Pass.Rush.Productivity","Run.Defense.Plays","Average.Depth.of.Tackle","Negative.Rush.Defense.Percentage","Positive.Rush.Defense.Percentage","Number.of.Negative.Plays","Coverage.Snaps","Receptions.Allowed","Completion.Percentage.Allowed","Pass.Yards.Allowed","Yards.per.Reception.Allowed","Touchdowns.Allowed","First.Downs.Allowed","Interceptions","Forced.Incompletions","Passer.Rating.Allowed","Receiving.Yards.Allowed.per.Snap","Plays.of.15..Yards.Allowed","Successful.Plays.Percentage","Sacks.per.Throwaway","Open.Targets","Drops...Off.Targets.Receptions.Forced","Total.Negative.Plays","Total.Positive.Plays","X15..Yards.Allowed.Percentage","Percentage.of.Open.Targets","Percentage.of.First.Down.or.Touchdown.Allowed","Interceptions.per.Target.Coverage.Percentage","Receiving.Yards.per.Coverage.Target","Average.Depth.of.Target.per.Coverage","Forced.Incompletion.Percentage","Jersey.Number","Total.Tackles","Missed.Tackle.Percentage","Assist.Tackles","Run.Stop","Run.Tackle.for.Losss.or.No.Gain","Missed.Tackle.Percentage.on.Run.Plays","Tackles.on.Run.Plays","Assist.Tackles.on.Run.Plays","Missed.Tackles.on.Run.Plays","Pass.Stop","Pass.Tackle.for.Loss.or.No.Gain","Pass.Missed.Tackles.Percentage","Total.Tackle.Snaps","Total.Tackles..Sacks...Assists...Sacks...Missed.","Assist.on.Pass.Plays","Tackles.on.Pass.Plays","Missed.Tackles.on.Pass.Plays","Conference_Level","Row_ID","row_id"
"CARSON TUJAGUE","UTAH ST",54,100,"A","DI",2026,"Pac-12",81.3,82.4,68.5,NA,1,2,5,0,0,0,3,3,0,0,0,0,0,3,0,0,0,4,1,35,0.086,0.086,4.3,19,0.8,0.053,0.316,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,7,0,2,5,3,0,5,2,0,0,0,0,7,7,0,0,0,"G5",188,188
"KA'SHAWN THOMAS","BALL ST",40,92.3,"A","DI",2026,"MAC",80.7,73.7,75.7,NA,0,2,2,2,0,0,2,4,0,0,0,0,0,1,0,1,0,4,1,28,0.107,0.143,10.7,12,2,0.083,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94,6,0,2,1,1,0,2,2,0,1,0,0,6,6,0,0,0,"G5",138,138
"MIKAIO EDWARD","BOISE ST",34,80.55,"A","DI",2026,"Pac-12",81.2,89,64,59.4,0,2,2,0,0,1,2,3,0,0,0,0,0,2,0,0,0,2,0,19,0.105,0.105,5.3,14,-1,0,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,4,0,2,2,2,0,2,2,0,0,0,0,4,4,0,0,0,"G5",155,155
"JACK MORAN","COLO STATE",26,73.78,"B","DI",2026,"Pac-12",71.9,69.4,65.8,60,0,2,3,1,0,0,1,2,0,0,0,0,0,1,0,1,0,1,1,14,0.071,0.143,10.7,12,-0.5,0.083,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,6,0,2,2,1,0,2,2,0,1,0,0,6,6,0,1,0,"G5",214,214
"BRADEN BAYS","RICE",29,73.06,"B","DI",2026,"The American",77.2,72.4,72,NA,0,0,4,0,0,1,0,1,0,0,0,0,0,3,0,0,0,4,2,13,0.077,0.077,3.9,16,0.2,0.125,0.313,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94,5,0,0,4,3,0,5,0,0,0,0,0,5,5,0,0,0,"G5",249,249
"ZEION SIMPSON-SMITH","MIDDLE TN",50,72.33,"B","DI",2026,"C-USA",76,74.9,60.7,63.2,0,3,4,0,0,0,2,2,0,0,0,0,0,1,0,0,0,4,0,25,0.08,0.08,4,25,3,0,0.12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95,7,0,3,1,0,0,1,3,0,3,1,0,7,7,0,3,0,"G5",160,160
"HUNTER ZIRKLE","C MICHIGAN",29,70.82,"B","DI",2026,"MAC",82.9,70.6,74,60,0,0,3,1,0,2,0,3,1,0,0,1,1,0,0,0,0,3,0,21,0.191,0.143,9.5,8,1,0,0.25,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,3,0,0,2,0,0,2,0,0,1,0,0,3,3,0,0,0,"G5",169,169
"ELIAS SHERMAN","ARK STATE",39,70.79,"B","DI",2026,"Sun Belt",76.8,79,64,NA,0,2,2,1,0,0,2,3,0,0,0,0,0,0,0,1,0,3,0,25,0.08,0.12,8,14,2,0,0.357,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92,6,0,2,2,0,0,3,2,0,0,0,0,6,6,0,0,0,"G5",242,242
"DOMINICK BROGNA","DELAWARE",59,70.57,"B","DI",2026,"C-USA",74.5,73.9,66.3,NA,0,2,2,0,0,1,2,3,0,0,0,0,0,1,0,0,0,3,1,26,0.115,0.115,5.8,33,1.5,0.03,0.121,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,4,0,2,2,1,0,2,2,0,0,0,0,4,4,0,0,0,"G5",87,87
"BLAKE BURRIS","FAU",33,70.02,"B","DI",2026,"The American",93.1,80.9,92.4,NA,1,3,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,18,0.111,0.056,2.8,15,-2,0,0.267,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98,4,0,3,1,1,0,1,3,0,0,0,0,4,4,0,0,0,"G5",15,15
