"Name","Team","Defensive.Snaps","Composite_Score","Player_Grade","Defensive.Grades","Run.Defense.Grade","Pass.Rush.Grade","Coverage.Grade","Total.Tackles","Assistant","Stops","Run.Tackle.for.Losss.or.No.Gain","Assist.Tackles.on.Run.Plays","Missed.Tackles.on.Pass.Plays","Average.Depth.of.Tackle","Missed.Tackles.on.Run.Plays","Passer.Rating.Allowed","Receiving.Yards.Allowed.per.Snap","Pass.Rush.Productivity","Unblocked.Pass.Rush","Average.Depth.of.Target.per.Coverage","Assist.on.Pass.Plays","Yards.per.Reception.Allowed","Sacks","Pursuit.Pressure","Pass.Break.Up","Hits","Drops...Off.Targets.Receptions.Forced","Beaten.Defender","Plays.of.15..Yards.Allowed","Forced.Fumble","Lined.up.in.Press.Coverage","Pass.Tackle.for.Loss.or.No.Gain","Fumble.Recovery","Interceptions","Dropped.Int","Touchdowns.Allowed","Batted.Passes","Missed.Tackle.Percentage","Run.Stop","Pass.Stop","Tackle.for.Loss.or.No.Gain","Hurries","Total.Pressures.Generated","Assist.Tackles","Negative.Plays","Total.Negative.Plays","Total.Positive.Plays","Receptions.Allowed","Completion.Percentage.Allowed","Pass.Yards.Allowed","First.Downs.Allowed","Forced.Incompletions","Sacks.per.Throwaway","Open.Targets","X15..Yards.Allowed.Percentage","Percentage.of.Open.Targets","Percentage.of.First.Down.or.Touchdown.Allowed","Interceptions.per.Target.Coverage.Percentage","Receiving.Yards.per.Coverage.Target","Forced.Incompletion.Percentage","Missed.Tackle.Percentage.on.Run.Plays","Pass.Missed.Tackles.Percentage","Total.Tackle.Snaps","NFL.Sacks","First.Contact"
"JACKSON FORREST","DOMINION",45,100,"A",87.3,84.6,71.8,72,9,3,6,3,3,0,-0.33,2,91.7,0.3,16.7,2,5,0,6,1,0,0,1,0,2,0,0,NA,0,0,0,0,0,0,0.182,3,3,3,0,2,3,2,0,1,1,1,6,0,0,0,0,0,0,0,0,6,0,0.25,0,11,0,9
"COLIN GALLAGHER","DELAWARE",45,99.81,"A",88.9,83,80.2,69.9,7,3,4,1,3,0,0,0,39.6,0,16.7,2,3.5,0,0,1,0,1,1,1,0,0,0,NA,0,0,0,0,0,0,0,3,1,1,1,3,3,1,0,3,0,0,0,0,1,1,0,0,0,0,0,0,0.5,0,0,7,0,5
"AIDEN SULLIVAN","OREGON ST",73,99.72,"A",85.1,74.7,87.5,79.5,16,5,6,1,3,0,2.5,1,0,0,33.3,0,0,2,0,1,0,0,0,0,0,0,0,NA,1,0,0,0,0,2,0.059,4,2,2,0,1,5,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,17,0,9
"JACK MURRAY","N ILLINOIS",65,88.66,"A",78.7,75.6,55,76.6,11,6,5,1,6,0,1,0,79.2,0.16,0,0,-1,0,2,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,2,3,1,0,0,6,3,0,2,2,1,4,0,0,0,0,0,0,0,0,2,0,0,0,11,0,5
"ALONZO JACKSON JR.","LA TECH",63,87.14,"A",73.7,78.3,73.9,58.5,12,5,4,0,4,1,5.5,0,0,0,12.5,0,0,1,0,3,4,0,0,0,0,0,0,NA,0,0,0,0,0,1,0.143,0,4,0,1,4,5,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143,14,0,7
"LOGAN BRANTLEY","BOISE ST",36,85.69,"A",81.5,89,61.5,65.8,7,2,4,2,2,0,0.67,0,0,0,7.1,0,0,0,0,0,1,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,3,1,2,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,5
"CLAY MARTINEAU","NEW MEXICO",36,84.19,"A",92.3,91.5,79.8,80.1,7,1,5,1,1,0,3,1,79.2,-0.07,20,1,-2,0,-1,1,0,0,2,0,1,0,1,NA,1,0,0,0,0,0,0.125,3,2,2,0,3,1,0,0,1,1,1,-1,0,0,0,0,0,0,0,0,-1,0,0.167,0,8,0,6
"ETHAN STUHLSATZ","WYOMING",60,80.05,"A",76.6,78.5,69.4,65.3,12,3,5,1,2,0,3.43,1,100,0.38,16.7,2,4,1,8,1,1,0,1,0,1,0,0,NA,0,0,0,0,0,0,0.077,4,1,1,1,3,3,4,1,2,1,1,8,0,0,0,0,0,0,0,0,8,0,0.1,0,13,0,9
"BRENDEN REESE","N TEXAS",37,79.97,"B",82,80.4,65.8,69.9,5,1,4,2,1,0,0.67,0,39.6,0,20,0,4,0,0,1,0,0,0,1,0,0,0,NA,0,1,0,0,0,0,0,3,1,2,0,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3
"ROBERT STEVENS III","ARK STATE",51,79.74,"B",89.1,72.9,66.8,90.6,7,2,4,0,2,0,2.5,0,15.8,0.73,25,1,6.2,0,12,0,0,1,1,2,0,0,1,NA,1,0,1,0,0,0,0,2,2,1,0,1,2,1,1,3,2,0.4,24,0,1,0,0,0,0,0,0.2,4.8,0.2,0,0,7,0,3
