"Name","Team","Defensive.Snaps","Composite_Score","Player_Grade"
"LUCAS STRUCK","DOMINION",58,100,"A"
"BREVIN HAMBLIN","UTAH ST",75,97.96,"A"
"JACK TCHIENCHOU","TULANE",58,91.56,"A"
"MATAGI THOMPSON","HAWAII",72,80.3,"A"
"TULI TAGOVAILOA-AMOSA","S JOSE ST",66,74.71,"B"
"JO'TAVION PIERCE","UAB",61,73.98,"B"
"JAYLEN THOMAS","WASH STATE",64,73.95,"B"
"RYAN NOLAN","TEXAS ST",75,73.21,"B"
"CARL FAUNTROY","LA MONROE",70,71.29,"B"
"DARIUS GIVANCE","N DAK ST",56,69.74,"B"
"JEREMIAH JORDAN","UAB",64,69.06,"B"
"TRE'SHAWN MOORE","COLO STATE",54,69.05,"B"
"COLE BLAYLOCK","S ALABAMA",51,68.11,"B"
"JUAN SALAS","E MICHIGAN",41,67.68,"B"
"JAYDEN DAVIS","LIBERTY",24,66.92,"B"
"BROOKLYN CHEEK","WYOMING",64,66.33,"B"
"JUSTIN TAYLOR","C MICHIGAN",62,66.03,"B"
"JORDAN MCRAE","LA TECH",59,65.34,"B"
"JONATHAN PATTERSON","CHARLOTTE",42,65.26,"B"
"ELIJAH PALMER","HAWAII",68,65.25,"B"
"GREG JOHNSON","DOMINION",25,65.08,"B"
"RAILYN ADAMS","SM HOUSTON",70,64.75,"B"
"KAMRON CHAMBLE","BALL ST",29,64.64,"B"
"MAX MUSTELL","AIR FORCE",61,64.42,"B"
"ADARIUS HUTCHINSON","UTEP",23,63.71,"B"
"JABARI TILLER","LA MONROE",63,63.17,"B"
"JONES THOMAS","WYOMING",64,62.85,"B"
"MARIO EASTERLY","DOMINION",75,62.33,"B"
"JAYLEN LEWIS","W KENTUCKY",51,62.15,"B"
"TAEDEN ROGERS","LA TECH",56,61.52,"B"
"TRAVIS ANDERSON","BOISE ST",56,61.31,"B"
"GUMBO GASKINS","MIDDLE TN",25,61.21,"B"
"DY'LON WOMACK","CHARLOTTE",45,60.6,"B"
"AARON SEARS","GA SOUTHRN",72,60.56,"B"
"ASHTON WILLIAMS","TULSA",61,60.4,"B"
"BRANDON ROSE","COAST CAR",45,60.4,"B"
"JAKYRI JONES","GA SOUTHRN",54,59.56,"C"
"DEUCE LEE","GA STATE",50,59.52,"C"
"DALLAS DALEY","AIR FORCE",61,59.28,"C"
"SAILASA VADRAWALE III","OREGON ST",74,59.12,"C"
"JAYDEN LAWTON","TEXAS ST",40,58.98,"C"
"KALEB PURDY","APP STATE",56,58.82,"C"
"LAQUAN ROBINSON","SO MISS",47,58.56,"C"
"JAYON HARVEY","JAMES MAD",33,58.53,"C"
"SHAMIR STERLIN","FIU",57,58.41,"C"
"AG MCGHEE","ARK STATE",50,58.28,"C"
"MARC WOODS","JVILLE ST",64,58.28,"C"
"TERRENTE HINTON","MARSHALL",30,58.14,"C"
"C.J. COOMBES","N TEXAS",52,58.09,"C"
"AYDEN JACKSON","USF",53,57.73,"C"
"JOSH HUNTER","S DIEGO ST",65,57.67,"C"
"JT HASKINS","OHIO",40,57.64,"C"
"JA'DEN MCBURROWS","APP STATE",39,57.47,"C"
"LANDYN CLEVELAND","UNLV",38,57.41,"C"
"AMARI WALLACE","SACRAMENTO",40,57.2,"C"
"TREY RIDLEY","WASH STATE",27,57.02,"C"
"TAYLEN EADY","N DAK ST",42,56.54,"C"
"CAM MILLER","KENNESAW",23,56.26,"C"
"DEMETRIUS HILL","FIU",33,55.89,"C"
"TAVIN WARD","USF",48,55.63,"C"
"BRAXTON STARNES","COAST CAR",20,55.43,"C"
"COLLIN GILL","CHARLOTTE",48,55.34,"C"
"TAIRAN DAVIS JR.","AKRON",40,55.13,"C"
"ELIJAH BROWN","COLO STATE",57,55.01,"C"
"JASON CROSS JR.","N TEXAS",42,55,"C"
"JASON MARSHALL","E MICHIGAN",49,54.56,"C"
"LANDON SYLVIE","SO MISS",63,54.44,"C"
"KALEN WOODS","MIDDLE TN",66,54.01,"C"
"JAEDEN GOULD","TEMPLE",24,53.88,"C"
"JOEY POPE","W MICHIGAN",60,53.86,"C"
"ANDRUW ELLIS","N ILLINOIS",18,53.84,"C"
"KAL-EL PASCAL","BOWL GREEN",57,53.42,"C"
"DALLAS YOUNG","S ALABAMA",47,53.2,"C"
"JADEN CARRILLO","FRESNO ST",26,52.87,"C"
"DARRELL BRYANT JR.","C MICHIGAN",53,52.76,"C"
"CALEB CLARK-GLOVER","MARSHALL",50,52.48,"C"
"BRYCE WILLIAMS","MIDDLE TN",49,52.42,"C"
"JOE LOTT","TROY",42,52.13,"C"
"JOEL ROGERS","UTSA",37,51.92,"C"
"DERRICK JACKSON III","KENT STATE",40,51.89,"C"
"JEREMIAH VESSEL","LIBERTY",52,51.74,"C"
"JOSH PIERRE-LOUIS","MARSHALL",51,51.71,"C"
"ARMORION SMITH","TOLEDO",23,51.58,"C"
"DILLON TATUM","MIAMI OH",28,51.57,"C"
