"Name","Team","Total_Snaps","Avg_Snaps_Per_Game","Games_Played","Adjusted_Score","Display_Grade"
"JAYDEN BRADLEY","TEXAS ST",77,77,1,100,"A+"
"JOSHUA BARNES","NEW MEXICO",17,17,1,100,"A+"
"MYKE GUNN","LIBERTY",38,38,1,100,"A+"
"SAVEON BROWN","BUFFALO",151,75.5,2,100,"A+"
"ISHMEL ATKINS","SM HOUSTON",93,46.5,2,97.57,"A+"
"MIKE LINDSAY","S DIEGO ST",104,52,2,92.94,"A"
"JARVARIUS SIMS","W MICHIGAN",126,63,2,91.94,"A"
"CHANCE GAMBLE","GA SOUTHRN",107,53.5,2,91.27,"A"
"AARON WARREN","N ILLINOIS",48,24,2,91.14,"A"
"KEN WILLIS","JAMES MAD",104,52,2,90.08,"A"
"IAN FOSTER","MEMPHIS",50,50,1,88.85,"A"
"JIQUAVIOUS MARSHALL","LIBERTY",81,40.5,2,88.84,"A"
"DENVER HARRIS","UNLV",125,62.5,2,87.9,"A"
"ANTHONY MATTISON","MO STATE",40,40,1,87.34,"A"
"JAI-AYVIAUYNN CELESTINE","FIU",102,51,2,86.92,"A"
"JANARD LOCKHARDT","LA TECH",98,49,2,86.43,"A-"
"KOBI BLACKWELL","BUFFALO",143,71.5,2,86.08,"A-"
"KOBI ALBERT","SO MISS",95,47.5,2,85.93,"A-"
"CAESAR MAGEE","SM HOUSTON",73,36.5,2,85.65,"A-"
"DEVIN ROBINSON","TULSA",88,44,2,84.7,"A-"
"JAKEVIAN RODGERS","UTSA",23,23,1,84.05,"A-"
"CALEB RICKS","S DIEGO ST",81,40.5,2,83.96,"A-"
"JA'MARION WAYNE","COAST CAR",92,46,2,83.68,"A-"
"DONOVAN WATKINS","TOLEDO",43,43,1,83.53,"A-"
"JAYDEN ROBERTSON","S JOSE ST",121,60.5,2,83,"A-"
"YASSINE FALKE","N ILLINOIS",71,35.5,2,82.98,"A-"
"ANTHONY PINNACE","BALL ST",67,33.5,2,82.92,"A-"
"TREZ MOORE","TEXAS ST",110,55,2,82.51,"A-"
"JADEN ALLEN","N TEXAS",41,41,1,82.32,"A-"
"AVERY DEMERY","LA LAFAYET",118,59,2,81.68,"A-"
"JYAIRE BROWN","SO MISS",88,44,2,81.54,"A-"
"KESHAWN DAVILA","N TEXAS",54,27,2,81.21,"A-"
"TREY RUBINSTEIN","KENT STATE",35,35,1,81.16,"A-"
"QUANDARIUS KEYES","UNLV",143,71.5,2,80.96,"A-"
"TRAVIS ROMAN","COAST CAR",55,27.5,2,80.96,"A-"
"MARIO THOMPSON","DOMINION",61,61,1,80.53,"A-"
"ELLIS ELLIS JR.","MEMPHIS",74,37,2,80.42,"A-"
"CALEB WOMACK","S JOSE ST",128,64,2,80.18,"A-"
"CATRELL WHITE","AKRON",86,43,2,79.94,"B+"
"TAYDEN BARNES","NEW MEX ST",26,26,1,79.69,"B+"
"TYSON WILLIAMS","TULSA",129,64.5,2,79.46,"B+"
"BRENT GORDON JR.","LA LAFAYET",115,57.5,2,79.27,"B+"
"RAYQUAN ADKINS","E MICHIGAN",115,57.5,2,79.13,"B+"
"JAMARION KOLAGBODI","DELAWARE",92,46,2,78.92,"B+"
"ISRAEL PETITE","TOLEDO",90,45,2,78.2,"B+"
"KJ MINIEFIELD","MIDDLE TN",16,16,1,78.13,"B+"
"ZACH MORRIS","UTSA",77,38.5,2,77.75,"B+"
"NOAH FLORES","ARK STATE",80,40,2,77.55,"B+"
"JAHMIR TORRES","NEW MEXICO",48,24,2,77.5,"B+"
"GRECO CARRILLO","S JOSE ST",55,27.5,2,76.89,"B+"
"JEREMIAH HUGHES","HAWAII",119,59.5,2,76.84,"B+"
"TYSON MCCRARY","GA STATE",58,29,2,76.79,"B+"
"JOSHUA FRANKLIN","W MICHIGAN",100,50,2,76.73,"B+"
"PEYTON TAYLOR","N TEXAS",67,33.5,2,76.12,"B+"
"RONALD MOORE JR.","LIBERTY",32,32,1,76.06,"B+"
"IRABONOISE ONIHA","NAVY",39,39,1,75.99,"B+"
"TRAVIS JACKSON","FAU",34,34,1,75.93,"B+"
"JAION JACKSON","C MICHIGAN",84,42,2,75.89,"B+"
"ANTHONY ROGERS","TULANE",121,60.5,2,75.63,"B+"
"ADRIAN LAING","TEMPLE",37,18.5,2,75.41,"B+"
"QUENTAVIUS SCANDRETT","BALL ST",100,50,2,75.14,"B+"
"TERRENCE JONES","JAMES MAD",25,25,1,74.86,"B+"
"JAVON GILLESPIE","NEW MEX ST",57,28.5,2,74.85,"B+"
"JUAN BERCHAL","APP STATE",82,41,2,74.75,"B+"
"KADEN COOK","JVILLE ST",37,37,1,74.49,"B+"
"JAYLON EDMOND","HAWAII",122,61,2,74.12,"B+"
"CALEB REESE","SACRAMENTO",30,30,1,74.02,"B+"
"DESMAN HEARNS","WYOMING",60,60,1,74.01,"B+"
"ZION FRINK","DOMINION",102,51,2,73.88,"B+"
