"Name","Team","Defensive.Snaps","Composite_Score","Player_Grade","Position","Season","Conference","Defensive.Grades","Run.Defense.Grade","Pass.Rush.Grade","Coverage.Grade","Batted.Passes","Assistant","Stops","Sacks","NFL.Sacks","Hits","Hurries","Total.Pressures.Generated","Beaten.Defender","Pass.Break.Up","Interception","Forced.Fumble","Fumble.Recovery","Tackle.for.Loss.or.No.Gain","Dropped.Int","Pursuit.Pressure","Unblocked.Pass.Rush","First.Contact","Negative.Plays","Pass.Rush.Plays","Pass.Rush.Win.Percentage","Pass.Rush.Pressure.Percentage","Pass.Rush.Productivity","Run.Defense.Plays","Average.Depth.of.Tackle","Negative.Rush.Defense.Percentage","Positive.Rush.Defense.Percentage","Number.of.Negative.Plays","Coverage.Snaps","Receptions.Allowed","Completion.Percentage.Allowed","Pass.Yards.Allowed","Yards.per.Reception.Allowed","Touchdowns.Allowed","First.Downs.Allowed","Interceptions","Forced.Incompletions","Passer.Rating.Allowed","Receiving.Yards.Allowed.per.Snap","Plays.of.15..Yards.Allowed","Successful.Plays.Percentage","Sacks.per.Throwaway","Open.Targets","Drops...Off.Targets.Receptions.Forced","Total.Negative.Plays","Total.Positive.Plays","X15..Yards.Allowed.Percentage","Percentage.of.Open.Targets","Percentage.of.First.Down.or.Touchdown.Allowed","Interceptions.per.Target.Coverage.Percentage","Receiving.Yards.per.Coverage.Target","Average.Depth.of.Target.per.Coverage","Forced.Incompletion.Percentage","Jersey.Number","Total.Tackles","Missed.Tackle.Percentage","Assist.Tackles","Run.Stop","Run.Tackle.for.Losss.or.No.Gain","Missed.Tackle.Percentage.on.Run.Plays","Tackles.on.Run.Plays","Assist.Tackles.on.Run.Plays","Missed.Tackles.on.Run.Plays","Pass.Stop","Pass.Tackle.for.Loss.or.No.Gain","Pass.Missed.Tackles.Percentage","Total.Tackle.Snaps","Total.Tackles..Sacks...Assists...Sacks...Missed.","Assist.on.Pass.Plays","Tackles.on.Pass.Plays","Missed.Tackles.on.Pass.Plays","Conference_Level","Row_ID","row_id"
"TOMIWA DUROJAIYE","S CAROLINA",30,100,"A","DI",2026,"SEC",90.8,83.3,83.8,NA,0,0,4,1,0,2,2,5,1,0,0,0,0,1,0,0,1,4,0,17,0.294,0.294,17.6,13,0.67,0,0.308,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,4,0,0,3,1,0,3,0,0,1,0,0,4,4,0,0,0,"P4",28,28
"DEUCE GERALDS","LSU",29,96.03,"A","DI",2026,"SEC",92.3,74.1,68.9,72.7,0,1,4,1,0,1,4,6,0,0,0,1,0,1,0,2,1,4,1,20,0.15,0.3,17.5,9,5,0,0.333,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99,6,0.143,1,0,0,0,1,0,0,4,1,0.167,7,7,1,3,1,"P4",246,246
"XAVIER LEWIS","N CAROLINA",40,94.9,"A","DI",2026,"ACC",87.2,79.8,79.8,NA,0,1,3,2,0,1,1,4,0,0,0,0,0,0,0,0,1,8,0,21,0.143,0.191,14.3,19,3.75,0,0.263,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,7,0,1,1,0,0,4,1,0,2,0,0,7,7,0,0,0,"P4",210,210
"JIREH MOE","UTAH",52,93.59,"A","DI",2026,"Big 12",85.7,77,80,60,0,1,4,1,0,1,1,3,1,0,0,0,0,2,0,0,0,5,1,35,0.114,0.086,5.7,17,0,0.059,0.235,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,6,0,1,3,2,0,3,1,0,1,0,0,6,6,0,1,0,"P4",203,203
"A.J. HOLMES JR.","TEXAS TECH",57,85.19,"A","DI",2026,"Big 12",71.9,70.1,67.2,NA,0,0,4,1,0,2,2,5,3,0,0,0,0,0,0,3,1,2,1,45,0.089,0.111,6.7,12,3.33,0.083,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,4,0,0,3,0,0,3,0,0,1,0,0,4,4,0,0,0,"P4",47,47
"AYCEN STEVENS","VA TECH",23,85.03,"A","DI",2026,"ACC",91.3,67.3,90.1,60,0,0,2,1,0,1,3,5,2,0,0,1,0,0,0,0,1,2,2,14,0.429,0.357,21.4,9,5,0.111,0.333,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,2,0.333,0,1,0,0,1,0,0,1,0,0.5,3,3,0,0,1,"P4",113,113
"TAVION GADSON","KENTUCKY",39,83.64,"A","DI",2026,"SEC",75.5,70.4,71,60,1,0,4,2,0,0,1,3,0,0,0,0,0,2,0,2,0,3,1,21,0.048,0.143,11.9,18,-0.5,0.056,0.278,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94,4,0.2,0,2,2,0.333,2,0,1,2,0,0,5,5,0,0,0,"P4",116,116
"JAYDEN JACKSON","OKLAHOMA",47,82.65,"A","DI",2026,"SEC",74.1,71.1,69.7,60,0,3,4,0,0,0,2,2,0,0,0,0,0,1,0,0,0,3,2,15,0.133,0.133,6.7,32,2.75,0.063,0.188,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,8,0,3,3,1,0,4,3,0,1,0,0,8,8,0,1,0,"P4",154,154
"MARIO LANDINO","INDIANA",24,79.93,"B","DI",2026,"Big Ten",90.5,76.3,89.7,NA,0,1,1,1,0,0,2,3,1,0,0,1,0,0,0,0,0,2,0,12,0.333,0.25,16.7,12,0,0,0.25,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,2,0,1,0,0,0,0,1,0,1,0,0,2,2,0,0,0,"P4",143,143
"SIALE TAUPAKI","PENN STATE",37,77.29,"B","DI",2026,"Big Ten",69,67.9,64,NA,0,3,3,1,0,0,1,2,0,0,0,0,0,1,0,1,0,3,2,18,0.056,0.111,8.3,19,1,0.105,0.263,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92,7,0,3,3,1,0,3,2,0,0,0,0,6,7,1,0,0,"P4",2,2
