"Name","Team","Defensive.Snaps","Composite_Score","Player_Grade"
"CALEB WOODSON","ALABAMA",49,100,"A"
"COOPER CATALANO","WISCONSIN",57,96.33,"A"
"ELIJAH MELENDEZ","AUBURN",42,91.02,"A"
"MAVERICK BARANOWSKI","MINNESOTA",68,89.38,"A"
"ETHAN WESLOSKI","OKLA STATE",43,87.77,"A"
"SAMMY OMOSIGHO","UCLA",48,85.15,"A"
"TREY LATHAN","KANSAS",71,83.38,"A"
"SULLIVAN SCHLIMGEN","IOWA STATE",60,82.62,"A"
"TJ DOTTERY","LSU",40,80.78,"A"
"TONY ROJAS","PENN STATE",34,80.55,"A"
"MYLES BROWN","VIRGINIA",15,78.73,"B"
"AJ TUITELE","CAL",67,77.08,"B"
"XAVIER ATKINS","AUBURN",40,76.58,"B"
"CAM BUFFINGTON","IOWA",53,76.33,"B"
"VINCENT FIRENZE","WAKE",41,75.86,"B"
"ANTHONY PALANO","BOSTON COL",70,73.28,"B"
"TACKETT CURTIS","UCF",47,72.77,"B"
"JOHNATHAN HALL","UTAH",46,72.5,"B"
"ANTOINE DESLAURIERS","SYRACUSE",57,72.39,"B"
"ISAIAH CHISOM","OKLA STATE",37,71.2,"B"
"NICHOLAS RODRIGUEZ","MISSOURI",58,71.03,"B"
"BRYAN LONGWELL","VANDERBILT",67,68.3,"B"
"KALEB SPENCER","VA TECH",25,67.18,"B"
"OWEN LONG","ARIZONA ST",61,66.95,"B"
"JUSTIN CRYER","TEXAS",63,66.19,"B"
"LUKE METZ","ALABAMA",47,65.79,"B"
"KYLE EFFORD","GA TECH",64,65.39,"B"
"DEVEN BRYANT","USC",44,65.3,"B"
"ISAIAH PATTERSON","W VIRGINIA",33,65.29,"B"
"NATHANIEL STAEHLING","MICHIGAN",44,65.2,"B"
"ASHTON WOODS","W VIRGINIA",20,65.01,"B"
"AMARE CAMPBELL","TENNESSEE",76,64.52,"B"
"ROLIJAH HARDY","INDIANA",32,64.41,"B"
"TAH'J BUTLER","OLE MISS",43,63.81,"B"
"JACOB MANU","WASHINGTON",49,63.79,"B"
"TROY BOWLES","MICHIGAN",60,63.73,"B"
