"Name","Team","Total_Snaps","Avg_Snaps_Per_Game","Games_Played","Adjusted_Score","Display_Grade"
"ANDREW MARSHALL","NEBRASKA",108,54,2,100,"A+"
"JYAIRE HILL","MICHIGAN",123,61.5,2,100,"A+"
"THOMAS WILLIAMS","VA TECH",27,27,1,99.99,"A+"
"JAIRE RAWLISON","W VIRGINIA",21,21,1,98.26,"A+"
"JARVIS LEE","SMU",16,16,1,98.11,"A+"
"JALEN MAYO","HOUSTON",94,47,2,97.63,"A+"
"DONOVAN JONES","NEBRASKA",105,52.5,2,97.43,"A+"
"VERNON GLOVER JR.","TCU",37,37,1,97.4,"A+"
"MARQAVIOUS SABOOR","CINCINNATI",19,19,1,95.52,"A+"
"BRADEN TURNER","NWESTERN",86,86,1,94.49,"A+"
"DIJON JOHNSON","FLORIDA",77,38.5,2,93.23,"A"
"JACKSON VICK","NC STATE",16,16,1,93.22,"A"
"MICHEAL GRAHAM JR.","KANSAS ST",15,15,1,92.71,"A"
"OMAR THORNTON","MIAMI FL",23,23,1,91.83,"A"
"KENSLEY LOUIDOR-FAUSTIN","MISSOURI",48,48,1,91.6,"A"
"NEHEMIAH CHANDLER","FLORIDA ST",26,26,1,91.37,"A"
"DAVID COFFEY","IOWA STATE",92,46,2,91.33,"A"
"JACOB WALLACE","IOWA",63,31.5,2,91.22,"A"
"JETT JEFFERSON","MISS STATE",76,38,2,90.77,"A"
"BYRON BALDWIN JR.","INDIANA",61,30.5,2,90.73,"A"
"SMITH SNOWDEN","MICHIGAN",120,60,2,90.35,"A"
"KADE PHILLIPS","TEXAS",118,59,2,90.23,"A"
"KALEB PATTERSON","KANSAS ST",91,45.5,2,90.09,"A"
"DANIEL HARRIS","CAL",107,53.5,2,90.05,"A"
"EVAN JOHNSON","BYU",84,42,2,89.6,"A"
"JORDAN THOMAS","OHIO STATE",15,15,1,89.47,"A"
"DEMELLO JONES","GEORGIA",40,20,2,89.24,"A"
"TEON PARKS","TCU",17,17,1,89.2,"A"
"KENNY WORTHY","CINCINNATI",107,53.5,2,88.75,"A"
"DESHAUN LEE","IOWA",81,40.5,2,88.73,"A"
"JASON STOKES JR.","COLORADO",34,34,1,88.72,"A"
"JAMROC GRIMSLEY","MISS STATE",21,21,1,87.98,"A"
"JACOBE JOHNSON","OKLAHOMA",15,15,1,87.82,"A"
"RODRICK PLEASANT","UCLA",130,65,2,87.63,"A"
"SOMAD EADDY","WAKE",22,22,1,87.62,"A"
"CANNON DEVRIES","BYU",61,30.5,2,87.36,"A"
"ASHTON HAMPTON","CLEMSON",150,75,2,87.01,"A"
"JAYLON BRAXTON","OLE MISS",120,60,2,86.84,"A"
"THERRIAN ALEXANDER III","BYU",67,33.5,2,86.68,"A"
"DERRICK BARKSDALE","UCLA",120,60,2,86.6,"A-"
"MONTANA WARREN","ARIZONA ST",65,32.5,2,86.46,"A-"
"CHRIS GRAVES JR.","MISSOURI",58,58,1,86.15,"A-"
"DEVON JORDAN","BAYLOR",110,55,2,85.98,"A-"
"JONTEZ WILLIAMS","USC",49,24.5,2,85.96,"A-"
"MICHAEL RICHARD","MICH STATE",21,21,1,85.77,"A-"
"JERMAINE MATHEWS JR.","OHIO STATE",112,56,2,85.71,"A-"
"HASAAN SYKES","KENTUCKY",65,65,1,85.67,"A-"
"MARTEL HIGHT","VANDERBILT",70,35,2,85.27,"A-"
"ELI BOWEN","OKLAHOMA",93,46.5,2,84.72,"A-"
"ISAIAH BROWN-MURRAY","VA TECH",21,21,1,84.69,"A-"
"ELIJAH DAVIS","UTAH",68,34,2,84.59,"A-"
"JAHLIL FLORENCE","MISSOURI",27,27,1,84.41,"A-"
"SIONE LAULEA","MISSOURI",84,42,2,84.32,"A-"
"JESSE OFURIE","RUTGERS",56,56,1,84.3,"A-"
"SHELTON LEWIS","ARKANSAS",85,42.5,2,84.1,"A-"
"TRE POTEAT III","TENNESSEE",38,19,2,83.92,"A-"
"BENI NGOYI","IOWA STATE",57,28.5,2,83.84,"A-"
"RJ JOHNSON","COLORADO",18,18,1,83.83,"A-"
"CHAMARRYUS BOMAR","W VIRGINIA",16,16,1,83.13,"A-"
"IFY OBIDEGWU","OREGON",113,56.5,2,82.88,"A-"
"AUDAVION COLLINS","PENN STATE",62,31,2,82.84,"A-"
"ANTWAN PEEK JR.","CINCINNATI",40,40,1,82.81,"A-"
"JOSIAH ZAYAS","PENN STATE",59,29.5,2,82.58,"A-"
"NAZIR WARD","SYRACUSE",63,31.5,2,82.44,"A-"
"TAYON HOLLOWAY","LOUISVILLE",46,46,1,82.41,"A-"
"PRESTON ASHLEY","COLORADO",18,18,1,82.29,"A-"
"WILL JAMES","HOUSTON",99,49.5,2,82.06,"A-"
"JAY TIMMONS","OHIO STATE",95,47.5,2,82.04,"A-"
"KANYE CLARK","FLORIDA",103,51.5,2,81.91,"A-"
"GENTRY WILLIAMS","GEORGIA",40,20,2,81.85,"A-"
"JAMARI SHARPE","INDIANA",16,16,1,81.68,"A-"
"GRACESON LITTLETON","TEXAS",85,42.5,2,81.59,"A-"
"JD RHYM","HOUSTON",16,16,1,81.24,"A-"
"JAYDEN BELLAMY","UCF",74,37,2,81.1,"A-"
"JALYN CRAWFORD","OLE MISS",108,54,2,80.94,"A-"
"AMIER BOYD","TEXAS TECH",124,62,2,80.88,"A-"
"ETHAN O'CONNOR","MIAMI FL",26,26,1,80.84,"A-"
"DAVIN CHANDLER","VANDERBILT",21,21,1,80.64,"A-"
"CADEN HARRIS","GEORGIA",36,18,2,80.6,"A-"
"ELLIS ROBINSON IV","GEORGIA",23,23,1,76.93,"B+"
"JAYLEN WATSON","IOWA",81,40.5,2,76.81,"B+"
"J'VARI FLOWERS","FLORIDA",62,31,2,76.74,"B+"
"DAIQUAN WHITE","GA TECH",57,57,1,76.65,"B+"
"BRICE POLLOCK","TEXAS TECH",135,67.5,2,76.59,"B+"
"JAYVEN WILLIAMS","BYU",39,39,1,76.55,"B+"
"DEMARCO WARD","PITTSBURGH",27,27,1,76.54,"B+"
"BRIAN NELSON II","NC STATE",31,31,1,76.48,"B+"
"JULIO HUMPHREY","TEXAS A&M",64,32,2,76.45,"B+"
"MARCELLES WILLIAMS","USC",17,17,1,76.12,"B+"
"MARCELLUS BARNES JR.","SMU",87,43.5,2,76.09,"B+"
"AYDAN WEST","MINNESOTA",91,45.5,2,75.96,"B+"
"CHUCK MCDONALD III","ALABAMA",19,19,1,75.91,"B+"
"DEZZ RICKS","TEXAS A&M",71,35.5,2,75.91,"B+"
"JAVAN ROBINSON","WISCONSIN",116,58,2,75.9,"B+"
"ZASHON RICH","KANSAS ST",91,45.5,2,75.62,"B+"
"CHRIS EWALD JR.","MIAMI FL",18,18,1,75.6,"B+"
"DJ WALLER JR.","LOUISVILLE",111,55.5,2,75.35,"B+"
"KK MEIER","CINCINNATI",16,16,1,75.34,"B+"
"KYON LOUD","DUKE",127,63.5,2,75.33,"B+"
"SMILEY BRADFORD","PURDUE",47,47,1,75.32,"B+"
"MILES KHATRI","W VIRGINIA",15,15,1,75.3,"B+"
"ZABIEN BROWN","ALABAMA",91,45.5,2,75.23,"B+"
"CHRISTIAN BODNAR","OKLA STATE",59,59,1,75.14,"B+"
"KENTON DOPSON III","N CAROLINA",18,18,1,75.14,"B+"
"TY REDMOND","TENNESSEE",94,47,2,75.07,"B+"
"KAYLIB SINGLETON","MISS STATE",42,42,1,74.96,"B+"
"JALEN TODD","KANSAS",79,39.5,2,74.89,"B+"
"JAMES CHENAULT JR.","UTAH",61,30.5,2,74.85,"B+"
