"Name","Team","Total_Snaps","Avg_Snaps_Per_Game","Games_Played","Adjusted_Score","Display_Grade"
"DOM NICHOLS","MICHIGAN",105,52.5,2,100,"A+"
"PRINCEWILL UMANMIELEN","LSU",67,33.5,2,100,"A+"
"TAUSILI AKANA","BYU",27,27,1,100,"A+"
"MATAYO UIAGALELEI","OREGON",130,65,2,96.25,"A+"
"SIDNEY STEWART","MARYLAND",58,29,2,92.89,"A"
"MARQUISE LIGHTFOOT","MIAMI FL",69,34.5,2,86.74,"A"
"DAEDEN HOPKINS","MISSOURI",66,33,2,84.76,"A-"
"GARRICK PONDER","BAYLOR",64,32,2,82.12,"A-"
"JEREMY LEWIS","PURDUE",60,30,2,81.61,"A-"
"LAMONT LESTER JR.","COLORADO",66,33,2,80.32,"A-"
"JACK JANIKOWSKI","IOWA STATE",24,24,1,80.23,"A-"
"EPI SITANILEI","OHIO STATE",20,20,1,79.87,"B+"
"KEYSHAWN JOHNSON","SYRACUSE",69,34.5,2,79.82,"B+"
"TAYLOR WEIN","OKLAHOMA",93,46.5,2,79.75,"B+"
"JORDAN ROSS","LSU",60,30,2,78.89,"B+"
"TEITUM TUIOTI","OREGON",121,60.5,2,78.26,"B+"
"JARED SMITH","AUBURN",74,74,1,77.25,"B+"
"JOHN HENRY DALEY","MICHIGAN",95,47.5,2,76.92,"B+"
"JAYLEN HARVEY","N CAROLINA",36,36,1,76.02,"B+"
"JALEN WOODS","UCLA",114,57,2,75.26,"B+"
"JALEN THOMPSON","ARIZONA ST",62,31,2,75.14,"B+"
"TOBY ANENE","COLORADO",86,43,2,74.91,"B+"
"SOLOMON WILLIAMS","CAL",98,49,2,74.43,"B+"
"JAMOND MATHIS","TEXAS TECH",71,35.5,2,73.85,"B+"
"AAKIL WASHINGTON","SMU",65,32.5,2,73.33,"B"
"ZION ELEE","MARYLAND",22,22,1,73.2,"B"
"HUDSON HOOPER","TCU",30,30,1,72.92,"B"
"KENNY SOARES JR.","MICH STATE",72,36,2,72.83,"B"
"SEBASTIAN CHEEKS","WISCONSIN",92,46,2,72.68,"B"
"ZEKE DURHAM-CAMPBELL","W VIRGINIA",80,40,2,72.32,"B"
"ISAAC TERRELL","IOWA STATE",67,33.5,2,71.64,"B"
"JOHN SCHOBEL","TCU",30,30,1,71.45,"B"
"LUKE WAFLE","USC",50,25,2,71.28,"B"
"JAYDEN WOODS","FLORIDA",81,40.5,2,70.91,"B"
"NNANNA ANYANWU","VIRGINIA",22,22,1,70.89,"B"
"KENYATTA JACKSON JR.","OHIO STATE",103,51.5,2,69.97,"B"
"ADAM TRICK","TEXAS TECH",84,42,2,69.93,"B"
"GABE KIRSCHKE","WAKE",96,48,2,69.59,"B"
"SAHIR WEST","UCLA",107,53.5,2,68.55,"B"
"JEREMIAH JOHNSON","W VIRGINIA",15,15,1,68.54,"B"
"SINCERE EDWARDS","UCF",53,26.5,2,68.27,"B"
"COLIN SIMMONS","TEXAS",77,38.5,2,68.23,"B"
"WENDELL GREGORY","KANSAS ST",65,32.5,2,68.09,"B"
"ISAIAH NEAL","PITTSBURGH",63,31.5,2,67.98,"B"
"TUNMISE ADELEYE","SYRACUSE",83,41.5,2,67.88,"B"
"CHASE KENNEDY","ARIZONA",69,34.5,2,67.87,"B"
"TOBI OSUNSANMI","INDIANA",63,31.5,2,67.8,"B"
"ANELU LAFAELE","MICH STATE",44,22,2,67.68,"B"
"KEN TALLEY","UCF",55,27.5,2,67.17,"B"
"ARMONDO BLOUNT","MIAMI FL",54,27,2,67.07,"B"
"JALEEL JOHNSON","OKLA STATE",52,26,2,66.96,"B"
"MATTHEW FOBBS-WHITE","VIRGINIA",29,29,1,66.87,"B"
"IKENNA EZEOGU","PENN STATE",59,29.5,2,66.74,"B"
"JORDAN NORMAN","TENNESSEE",34,34,1,66.62,"B-"
"FISHER CAMAC","VIRGINIA",33,33,1,66.27,"B-"
"LATREVEON MCCUTCHIN","HOUSTON",60,30,2,66.21,"B-"
"TEVARUA TAFITI","STANFORD",56,56,1,66.09,"B-"
"TYSHON REED JR.","DUKE",76,38,2,66.06,"B-"
"JADYN RAMOS","USC",20,20,1,65.42,"B-"
"JACOB LANE","WASHINGTON",66,33,2,65.32,"B-"
"MALIK CHARLES","OKLA STATE",16,16,1,64.39,"B-"
"JORDAN MACK","BAYLOR",51,25.5,2,64.31,"B-"
"SAM GREENE","KENTUCKY",58,29,2,64.12,"B-"
"PAT FARRELL","ILLINOIS",83,41.5,2,64.08,"B-"
"DEVAN THOMPKINS","ALABAMA",76,38,2,63.94,"B-"
"LANCE HOLTZCLAW","UTAH",70,35,2,63.87,"B-"
"E'LLA BOYKIN","BOSTON COL",57,28.5,2,63.45,"B-"
"BRAYDEN MANLEY","GA TECH",23,23,1,63.43,"B-"
"HARPER HOLLOMAN","W VIRGINIA",74,37,2,62.88,"B-"
"DEMETRIUS BALLARD","BOSTON COL",73,36.5,2,62.86,"B-"
"BRYCE DAVIS","DUKE",81,40.5,2,62.8,"B-"
"KAMAR MOTHUDI","CAL",100,50,2,62.79,"B-"
"WILL HELDT","CLEMSON",80,40,2,62.53,"B-"
"ASHTON PORTER","HOUSTON",82,41,2,62.27,"B-"
"BEAU ATKINSON","OHIO STATE",26,26,1,59.33,"C+"
"WILL WHITSON","MISS STATE",74,37,2,59.01,"C+"
"MARIYON DYE","TENNESSEE",50,25,2,58.98,"C+"
"LOGAN GEORGE","WASHINGTON",48,24,2,58.94,"C+"
"AYMERIC KOUMBA","UCF",52,26,2,58.52,"C+"
"BENJAMIN PERRY","LOUISVILLE",38,19,2,58.22,"C+"
"JOSH BURNHAM","INDIANA",26,26,1,57.96,"C+"
"DARRION SMITH","AUBURN",71,35.5,2,57.51,"C+"
"ADEPOJU ADEBAWORE","OKLAHOMA",70,35,2,57.44,"C+"
"KAMERYN CRAWFORD","USC",52,26,2,57.31,"C+"
"TJ BUSH JR.","MINNESOTA",73,36.5,2,57.15,"C+"
"NAHSIR TAYLOR","MARYLAND",48,24,2,57.14,"C+"
"NASIR WYATT","OREGON",25,25,1,57.09,"C+"
"ISAIAH NIXON","UCF",65,32.5,2,56.84,"C+"
"TYREE WEATHERSBY","TENNESSEE",74,37,2,56.63,"C+"
"ANTHONY ADDISON","S CAROLINA",51,25.5,2,56.58,"C+"
"JASON HALL JR.","W VIRGINIA",24,24,1,56.27,"C+"
"MI'QUISE HUMPHREY-GRACE","KENTUCKY",97,48.5,2,56,"C+"
"MARCO JONES","TEXAS A&M",54,27,2,55.91,"C+"
"JALEN WIGGINS","FLORIDA",23,23,1,55.82,"C+"
"DYLAN CARPENTER","LSU",37,18.5,2,55.69,"C+"
"LJ MCCRAY","FLORIDA",69,34.5,2,55.6,"C+"
"DARRIS SMITH","MISSOURI",71,35.5,2,55.53,"C+"
"BLAKE HAWKINS","IOWA STATE",18,18,1,55.27,"C+"
"TAVION ATKINSON","SMU",24,24,1,55.19,"C+"
"SUNTARINE PERKINS","OLE MISS",64,32,2,55.16,"C+"
"LONDON MERRITT","CLEMSON",56,28,2,54.64,"C+"
"DAVID OMOPARIOLA","SYRACUSE",54,27,2,54.6,"C+"
"DAVID SANTIAGO","KANSAS",76,38,2,54.52,"C+"
"CLEV LUBIN","LOUISVILLE",98,49,2,54.27,"C+"
"RILEY PETTIJOHN","OHIO STATE",67,33.5,2,54.21,"C+"
"BRANDON MACK II","HOUSTON",71,35.5,2,53.9,"C+"
"ANTO SAKA","TEXAS A&M",47,23.5,2,53.78,"C+"
"TREY SMITH","PURDUE",43,21.5,2,53.35,"C+"
"ISAIAH WARD","WASHINGTON",49,24.5,2,53.28,"C"
"ELO MODOZIE","PURDUE",17,17,1,52.97,"C"
"CALEB BACON","PENN STATE",51,25.5,2,52.85,"C"
"IRA SINGLETON IV","SMU",68,34,2,52.71,"C"
"KAMRAN JAMES","FLORIDA",49,24.5,2,52.51,"C"
"DANIEL OWENS","MARYLAND",22,22,1,52.38,"C"
"COLE COGSHELL","UCLA",16,16,1,52.26,"C"
"NATE BURRELL","CAL",63,31.5,2,52.23,"C"
"TYLER THOMPSON","LOUISVILLE",49,24.5,2,52.08,"C"
"COLTON VASEK","TEXAS",19,19,1,51.84,"C"
"JASON ABBEY","VA TECH",16,16,1,51.7,"C"
"RYAN DAVIS","BAYLOR",69,34.5,2,51.64,"C"
"COOPER BLOMSTROM","ARIZONA",78,39,2,51.59,"C"
"EMAR'RION WINSTON","ARIZONA ST",44,22,2,51.46,"C"
"CAMERON LENHARDT","NEBRASKA",49,24.5,2,51.27,"C"
"CADEN CRAWFORD","IOWA STATE",57,28.5,2,51.2,"C"
"CURTIS JONES JR.","VA TECH",46,23,2,50.96,"C"
"ANTHONY SMITH","MINNESOTA",86,43,2,50.74,"C"
"SCOTT TAYLOR","UCLA",88,44,2,50.74,"C"
"RAMZAK FRUEAN","WASHINGTON",61,30.5,2,50.66,"C"
"JADEN JONES","MISSOURI",18,18,1,50.51,"C"
"YVAN KEMAJOU","PENN STATE",58,29,2,50.4,"C"
"LANGSTON HARDY","WAKE",111,55.5,2,49.93,"C"
"KORON HAYWARD","TCU",24,24,1,49.67,"C"
"DJ ALLEN","RUTGERS",15,15,1,49.63,"C"
"T.J. SEARCY","TEXAS A&M",48,24,2,49.6,"C"
"YHONZAE PIERRE","ALABAMA",62,31,2,49.48,"C"
"JAMES WILLIAMS","OKLA STATE",50,25,2,49.35,"C"
"DAMON WILSON II","MIAMI FL",61,30.5,2,49.23,"C"
