"Name","Team","Total_Snaps","Avg_Snaps_Per_Game","Games_Played","Adjusted_Score","Display_Grade"
"BRAYDON BRUS","NWESTERN",92,92,1,100,"A+"
"ELIJAH MELENDEZ","AUBURN",120,60,2,96.91,"A+"
"SAMMY OMOSIGHO","UCLA",122,61,2,96.35,"A+"
"MAVERICK BARANOWSKI","MINNESOTA",97,48.5,2,92.87,"A"
"MATT ROSE","STANFORD",58,58,1,92.55,"A"
"MYLES BROWN","VIRGINIA",15,15,1,91.57,"A"
"TJ DOTTERY","LSU",73,36.5,2,91.08,"A"
"TONY ROJAS","PENN STATE",69,34.5,2,89,"A"
"TREY LATHAN","KANSAS",97,48.5,2,88.92,"A"
"SULLIVAN SCHLIMGEN","IOWA STATE",105,52.5,2,87.37,"A"
"GEORGE BALLANCE","VA TECH",23,23,1,87.12,"A"
"KYLE EFFORD","GA TECH",129,64.5,2,83.71,"A-"
"CALEB WOODSON","ALABAMA",73,36.5,2,82.19,"A-"
"VINCENT FIRENZE","WAKE",64,32,2,81.88,"A-"
"ETHAN WESLOSKI","OKLA STATE",101,50.5,2,81.71,"A-"
"CAM BUFFINGTON","IOWA",81,40.5,2,81.55,"A-"
"JACOB MANU","WASHINGTON",96,48,2,81.12,"A-"
"NATHANIEL STAEHLING","MICHIGAN",94,47,2,80.57,"A-"
"JONATHAN THOMPSON","CINCINNATI",74,37,2,80.17,"A-"
"BRYAN LONGWELL","VANDERBILT",108,54,2,80.01,"A-"
"ANTHONY PALANO","BOSTON COL",129,64.5,2,79.89,"B+"
"TROY BOWLES","MICHIGAN",120,60,2,79.84,"B+"
"COOPER CATALANO","WISCONSIN",121,60.5,2,79,"B+"
"JEREMIAH TELANDER","TENNESSEE",77,38.5,2,78.42,"B+"
"DAMAINE WILSON","CINCINNATI",59,29.5,2,78.31,"B+"
"MASON POSA","WISCONSIN",93,46.5,2,77.62,"B+"
"DARIEN WHITAKER JR.","KANSAS ST",17,17,1,77.29,"B+"
"CHRIS COLE","GEORGIA",45,22.5,2,77.02,"B+"
"KALEB SPENCER","VA TECH",47,23.5,2,76.68,"B+"
"KOBIE MCKINZIE","NWESTERN",92,92,1,76.42,"B+"
"JOHNATHAN HALL","UTAH",75,37.5,2,76.23,"B+"
"E.J. LIGHTSEY","GA TECH",128,64,2,75.76,"B+"
"DEVEN BRYANT","USC",67,33.5,2,75.73,"B+"
"OWEN LONG","ARIZONA ST",89,44.5,2,75.73,"B+"
"BEN ROBERTS","TEXAS TECH",114,57,2,75.46,"B+"
"MILES HALL","BYU",30,30,1,75.23,"B+"
"SAMMY BROWN","CLEMSON",138,69,2,75.19,"B+"
"ROLIJAH HARDY","INDIANA",94,47,2,75.17,"B+"
"XAVIER ATKINS","AUBURN",128,64,2,75.09,"B+"
"NICK RINALDI","VANDERBILT",90,45,2,75.07,"B+"
"AJ TUITELE","CAL",88,44,2,74.91,"B+"
"ISAIAH CHISOM","OKLA STATE",68,34,2,74.48,"B+"
"MYLES GRAHAM","FLORIDA",96,48,2,74.4,"B+"
"GABE POWERS","KANSAS ST",72,36,2,74.39,"B+"
"ISAIAH PATTERSON","W VIRGINIA",56,28,2,73.96,"B+"
"CAM WHITE","LOUISVILLE",28,28,1,73.53,"B+"
"TERRELL FOSTER","GEORGIA",25,25,1,73.19,"B"
"OWEN HEINECKE","OKLAHOMA",90,45,2,72.97,"B"
"AMARE CAMPBELL","TENNESSEE",104,52,2,72.64,"B"
"ROBERT WOODYARD JR.","MISSOURI",54,54,1,72.36,"B"
"TACKETT CURTIS","UCF",73,36.5,2,72.34,"B"
"CADE ULUAVE","BYU",50,50,1,72.21,"B"
"JOEY GERLACH","MINNESOTA",23,23,1,71.72,"B"
"TYLER MARTINEZ","COLORADO",87,43.5,2,71.51,"B"
"ANTOINE DESLAURIERS","SYRACUSE",90,45,2,71.47,"B"
"LUKE METZ","ALABAMA",67,33.5,2,71.39,"B"
"KAMAL BONNER","MIAMI FL",18,18,1,71.31,"B"
"CYRUS POLU","UTAH",79,39.5,2,70.88,"B"
"DYLAN WILLIAMS","OREGON",88,44,2,70.71,"B"
"JERRY MIXON","OREGON",78,39,2,70.64,"B"
"WHIT WEEKS","LSU",74,37,2,70.61,"B"
"ISAIAH JONES","INDIANA",96,48,2,70.43,"B"
"JORDAN HALL","MICH STATE",25,25,1,69.92,"B"
"CARSON CRAWFORD","COLORADO",18,18,1,69.75,"B"
"GIDEON ESPN LAMPRON","COLORADO",98,49,2,66.55,"B-"
"ALEXANDER KILGORE","SMU",71,35.5,2,66.39,"B-"
"JAMAL ANDERSON","SMU",47,23.5,2,66.19,"B-"
"AARON CHILES","FLORIDA",87,43.5,2,66.08,"B-"
"NOAH CHAMBERS","VA TECH",47,23.5,2,65.75,"B-"
"ANTWAN PEEK JR.","CINCINNATI",70,70,1,65.31,"B-"
"DEVON JACKSON","OREGON",111,55.5,2,65.31,"B-"
"CARLTON SMITH","MARYLAND",58,29,2,65.2,"B-"
"DK GILLEY","RUTGERS",33,16.5,2,64.62,"B-"
"THOMAS HEIBERGER","WISCONSIN",24,24,1,64.57,"B-"
"EAN RHEA","ILLINOIS",61,30.5,2,64.55,"B-"
"BRYCE DEAS","AUBURN",54,27,2,64.4,"B-"
"REGGIE POWERS III","OKLAHOMA",87,43.5,2,64.36,"B-"
"FRED JOHNSON","S CAROLINA",69,34.5,2,64.04,"B-"
"JOJO HAYDEN","PURDUE",76,38,2,63.66,"B-"
"JADEN ROBINSON","FLORIDA",76,38,2,63.65,"B-"
"BRADLEY GOMPERS","DUKE",60,30,2,63.48,"B-"
"KOOPER EBEL","PENN STATE",62,31,2,63.34,"B-"
"CHRISTIAN ALLIEGRO","OHIO STATE",80,40,2,63.32,"B-"
"MALCOLM JONES","IOWA STATE",22,22,1,63.07,"B-"
"KAM ROBINSON","VIRGINIA",20,20,1,62.93,"B-"
"MICHAEL SHORT","TCU",19,19,1,62.76,"B-"
"JUSTIN WILLIAMS","GEORGIA",35,17.5,2,62.68,"B-"
"JAMIAN RISHER JR.","S CAROLINA",22,22,1,62.64,"B-"
"LANDYN VAN KEKERIX","IOWA",35,17.5,2,62.48,"B-"
"QUINCY DAVIS","KANSAS",89,44.5,2,62.46,"B-"
"MARTELL HUGHES","ARIZONA ST",79,39.5,2,62.44,"B-"
"KYLAND REED","BAYLOR",67,33.5,2,62.16,"B-"
"JAYDEN MONTGOMERY","IOWA",73,36.5,2,62.05,"B-"
"JONATHAN AGUMADU","N CAROLINA",32,32,1,61.83,"B-"
"BRIAN HUFF","MISSOURI",17,17,1,61.68,"B-"
"CHRIS JONES","FLORIDA ST",53,53,1,61.55,"B-"
"GARY BRYANT III","SYRACUSE",23,23,1,61.28,"B-"
"JEREMIAH ALEXANDER","CLEMSON",93,46.5,2,61.24,"B-"
"PHOENIX JACKSON","ARKANSAS",17,17,1,60.98,"B-"
"BEN CUTTER","W VIRGINIA",56,28,2,60.81,"B-"
"DION CRAWFORD","MICH STATE",25,25,1,60.56,"B-"
"AUSTIN ROMAINE","TEXAS TECH",122,61,2,60.55,"B-"
"ISAIAH GLASKER","BYU",52,52,1,60.45,"B-"
"SIMEON COLEMAN","CINCINNATI",79,39.5,2,60.36,"B-"
"JALEN SMITH","MISS STATE",105,52.5,2,59.92,"C+"
"BODIE KAHOUN","BOSTON COL",61,30.5,2,59.72,"C+"
"MASON MURAGIN","ILLINOIS",81,40.5,2,59.65,"C+"
"BRADY PRETZLAFF","MICH STATE",97,48.5,2,59.34,"C+"
"MALACHI CURVEY","KANSAS",15,15,1,59.21,"C+"
"CAM SMITH","PENN STATE",17,17,1,59.2,"C+"
"KEON WYLIE","VA TECH",39,19.5,2,59.17,"C+"
"KALEB BURNS","BAYLOR",48,24,2,59.1,"C+"
"PRAYER YOUNG-BLACKGOAT","ARIZONA ST",16,16,1,59.07,"C+"
"CAEL BREZINA","PENN STATE",46,23,2,59.03,"C+"
"JAMES KREUTZ","ILLINOIS",91,45.5,2,59.02,"C+"
"AJ KRUAH","GEORGIA",19,19,1,58.77,"C+"
"CALEB HARDY","VIRGINIA",16,16,1,58.72,"C+"
"TY MORRIS","RUTGERS",75,37.5,2,58.66,"C+"
"TAH'J BUTLER","OLE MISS",87,43.5,2,58.56,"C+"
"JARED SMITH","AUBURN",37,37,1,58.48,"C+"
"DEMARCO WARD","PITTSBURGH",18,18,1,58.21,"C+"
"KEDRICK WALKER","BAYLOR",19,19,1,58.2,"C+"
"NOAH MIKHAIL","TEXAS A&M",71,35.5,2,58.16,"C+"
"MATTHEW SMITH","NWESTERN",18,18,1,58.01,"C+"
"SHERROD COVIL","VA TECH",26,26,1,57.9,"C+"
"NICHOLAS RODRIGUEZ","MISSOURI",83,41.5,2,57.88,"C+"
"BRANDON MIYAZONO","SMU",48,24,2,57.86,"C+"
"ASHTON WOODS","W VIRGINIA",62,31,2,57.85,"C+"
"TREY REDDICK","MARYLAND",51,25.5,2,57.71,"C+"
"SHAWN MURPHY","S CAROLINA",43,21.5,2,54.63,"C+"
"JEREMIAH MARCELIN","PITTSBURGH",105,52.5,2,54.61,"C+"
"CARSON WILLICH","IOWA STATE",75,37.5,2,54.57,"C+"
"LIONA LEFAU","COLORADO",72,36,2,54.51,"C+"
"TAYE BROWN","ARIZONA",99,49.5,2,54.42,"C+"
"ZAYDEN WALKER","GEORGIA",38,19,2,54.41,"C+"
"MAX CARROLL","TCU",34,34,1,54.37,"C+"
"PAYTON PIERCE","OHIO STATE",93,46.5,2,54.17,"C+"
"RAY CONEY","TEXAS A&M",69,34.5,2,54.1,"C+"
"TATE ROMNEY","OKLA STATE",97,48.5,2,53.89,"C+"
"TRAVION BARNES","BAYLOR",68,34,2,53.88,"C+"
"STANQUAN CLARK","LOUISVILLE",95,47.5,2,53.79,"C+"
"NATHANIEL OWUSU-BOATENG","MICHIGAN",18,18,1,53.61,"C+"
"OMAR GRAHAM JR.","FLORIDA ST",47,47,1,53.57,"C+"
"LUKE MERGOTT","DUKE",95,47.5,2,53.56,"C+"
"ELIJAH ELLISS","UTAH",83,41.5,2,53.54,"C+"
"TRISTAN EXLINE","IOWA STATE",17,17,1,53.15,"C"
"MOSES WALKER","RUTGERS",91,45.5,2,53.11,"C"
"CALEB LAVALLEE","FLORIDA ST",26,26,1,53.03,"C"
"JADYN WALKER","USC",16,16,1,52.97,"C"
"JUSTIN CRYER","TEXAS",112,56,2,52.7,"C"
"AIDEN HALL","WAKE",109,54.5,2,52.64,"C"
"TREY REYNOLDS","UTAH",71,35.5,2,52.64,"C"
"TRENT HENDRICK","UCLA",34,17,2,52.52,"C"
"TY JACKSON","FLORIDA",15,15,1,52.52,"C"
"MONTREZE SMITH JR.","IOWA STATE",18,18,1,52.49,"C"
"KEATON THOMAS","OLE MISS",75,37.5,2,52.34,"C"
"JORDAN MORETA","NC STATE",19,19,1,52.27,"C"
"REX VAN WYHE","KANSAS ST",39,19.5,2,52.26,"C"
"GRANT GODFREY","KENTUCKY",105,52.5,2,52.01,"C"
"JEREMIAH BEASLEY","MISSOURI",39,19.5,2,51.92,"C"
"TRISTAN JERNIGAN","CAL",62,31,2,51.85,"C"
"JD MCKINLEY","CAL",105,52.5,2,51.59,"C"
"VINCENT SHAVERS JR.","NEBRASKA",75,37.5,2,51.53,"C"
"MYLES JOHNSON","FLORIDA",36,18,2,51.49,"C"
"HUDSON MILLER","PURDUE",17,17,1,51.31,"C"
"DASH FIFITA","ARIZONA",17,17,1,50.99,"C"
"CARMYCAH GLASS","HOUSTON",45,22.5,2,50.86,"C"
"PEYTON SEELMANN","N CAROLINA",31,31,1,50.74,"C"
"DEXTER FOSTER","NEBRASKA",74,37,2,50.72,"C"
"RYAN SCOTT","TENNESSEE",15,15,1,50.67,"C"
"DESMAN STEPHENS II","USC",65,32.5,2,50.58,"C"
"QB REESE","ALABAMA",36,18,2,50.37,"C"
"ZACARI THOMAS","BOSTON COL",60,30,2,50.34,"C"
"ISMAEL KANTE","ILLINOIS",111,55.5,2,50.09,"C"
"DANIEL WINGATE","MARYLAND",59,29.5,2,50.04,"C"
"POPO AGUIRRE","NC STATE",31,31,1,49.97,"C"
"MEKHI MASON","KANSAS ST",25,25,1,49.94,"C"
"BEAU GOODWIN","IOWA STATE",40,20,2,49.88,"C"
"BRADLEY SHAW","ARKANSAS",69,34.5,2,49.78,"C"
"CHARLES CORREA","PURDUE",98,49,2,49.78,"C"
"TAVION WALLACE","KENTUCKY",55,27.5,2,49.63,"C"
"JAMES NESTA","OKLAHOMA",45,22.5,2,49.39,"C"
"CHRIS D'APPOLONIA","SYRACUSE",107,53.5,2,48.94,"C"
"DONAVYN PELLOT","UCLA",32,32,1,48.94,"C"
"MATT KINGSBURY","MINNESOTA",88,44,2,48.93,"C"
"JUSTIN OKORONKWO","S CAROLINA",54,27,2,48.71,"C"
"DANTE MCCLELLAN","MISSOURI",26,26,1,48.57,"C"
"WILL FELDER JR.","DUKE",19,19,1,48.55,"C"
"JOHN CURRY","TEXAS TECH",56,56,1,48.48,"C"
"FILIP MACIOROWSKI","CINCINNATI",48,24,2,48.42,"C"
"LUKE FERRELLI","OLE MISS",101,50.5,2,48.26,"C"
"ZACH JOHNSON","STANFORD",17,17,1,48.08,"C"
"OWEN CHAMBLISS","NEBRASKA",50,25,2,47.95,"C"
"JAYDEN JENNINGS","UCF",50,25,2,47.87,"C"
"JADON PERLOTTE","TENNESSEE",18,18,1,43.01,"C-"
"KENDALL JOHNSON","DUKE",73,36.5,2,42.91,"C-"
"ALEX TATSCH","PENN STATE",24,24,1,42.89,"C-"
"NICK MORRIS JR.","DUKE",70,35,2,42.86,"C-"
"KELLEN WILEY JR.","MIAMI FL",30,15,2,42.83,"C-"
"BRAXTON LINDSEY","BYU",41,20.5,2,42.74,"C-"
"RAYLEN WILSON","GEORGIA",35,17.5,2,42.63,"C-"
"WILLIE BRELAND III","IOWA STATE",26,26,1,42.47,"C-"
"CAM TORBOR","W VIRGINIA",53,26.5,2,42.18,"C-"
"JADEN YATES","HOUSTON",86,43,2,42.02,"C-"
"KJ FORD","FLORIDA",19,19,1,41.97,"C-"
"FATT FORREST","MISS STATE",30,30,1,41.65,"C-"
"ANTONIO WATTS","LOUISVILLE",114,57,2,41.62,"C-"
"JAKE CLIFTON","BYU",19,19,1,41.51,"C-"
"ZION ELEE","MARYLAND",27,27,1,41.47,"C-"
"WINSTON BERGLUND","PURDUE",16,16,1,41.4,"C-"
"WESTON POLK","KANSAS ST",17,17,1,41.22,"C-"
"AISEA MOA","MICHIGAN",41,20.5,2,40.53,"C-"
"TYLER LOCKHART","MISS STATE",103,51.5,2,40.43,"C-"
"DAWSON MERRITT","NEBRASKA",38,19,2,40.16,"C-"
"CHASE TAYLOR","MICHIGAN",80,40,2,39.79,"D+"
"BEN BOGLE","ARKANSAS",24,24,1,39.75,"D+"
"DEREK MCDONALD","N CAROLINA",35,35,1,38.75,"D+"
"SEAN ALLISON","RUTGERS",63,31.5,2,38.52,"D+"
"ZAYDRIUS RAINEY-SALE","WASHINGTON",65,32.5,2,38.1,"D+"
"EDWIN SPILLMAN","TENNESSEE",62,31,2,38.02,"D+"
"TIMIR HICKMAN-COLLINS","N CAROLINA",18,18,1,37.77,"D+"
"WHITTMAN WHALEY","WAKE",16,16,1,37.76,"D+"
"XE'REE ALEXANDER","WASHINGTON",57,28.5,2,37.45,"D+"
"ALEX SANFORD JR.","PITTSBURGH",77,38.5,2,37.09,"D+"
"CAMERON LINDSEY","PITTSBURGH",23,23,1,37.08,"D+"
"ELIJAH LITTLEJOHN","GEORGIA",17,17,1,37.02,"D+"
"ELIJAH BARNES","KENTUCKY",90,45,2,36.7,"D+"
"CHASE SMITH","MIAMI FL",59,29.5,2,36.47,"D+"
"JEFF UTZINGER","INDIANA",29,29,1,36.36,"D+"
"FLETCHER COTHRAN","CLEMSON",16,16,1,35.64,"D+"
