"Name","Team","Total_Snaps","Avg_Snaps_Per_Game","Games_Played","Adjusted_Score","Display_Grade"
"ASHLYND BARKER","FLORIDA ST",62,62,1,100,"A+"
"DAMON WALTERS","NWESTERN",92,92,1,100,"A+"
"ALEX MCLAUGHLIN","WASHINGTON",117,58.5,2,96.79,"A+"
"JARVIS LEE","SMU",32,32,1,91.75,"A"
"KINGSTON LOPA","CAL",133,66.5,2,91.47,"A"
"KADEN MCFADDEN","TCU",42,42,1,89.39,"A"
"TY BENEFIELD","LSU",83,41.5,2,86.49,"A-"
"MICAH GIFFORD","BAYLOR",49,24.5,2,86.41,"A-"
"MISTER CLARK","PURDUE",44,44,1,85.74,"A-"
"TA'SHAWN JAMES","UCLA",118,59,2,85.67,"A-"
"LAGONZA HAYWARD","FLORIDA",40,20,2,85.51,"A-"
"CJ HEARD","VANDERBILT",77,38.5,2,85.25,"A-"
"KENNEDY URLACHER","USC",20,20,1,84.73,"A-"
"SAEL REYES","SMU",30,30,1,84.5,"A-"
"PEYTON BOWEN","OKLAHOMA",96,48,2,84.34,"A-"
"ZACH LUTMER","IOWA",81,40.5,2,84.03,"A-"
"ISAAC SMITH","MISS STATE",82,41,2,83.97,"A-"
"BRANDYN HILLMAN","VIRGINIA",29,29,1,83.89,"A-"
"DEVIN VAUGHT","MICH STATE",96,48,2,82.94,"A-"
"MONTINO WILLIAMS","VIRGINIA",20,20,1,81.11,"A-"
"MEKHAI SMITH","MINNESOTA",33,33,1,80.89,"A-"
"MALIK HARTFORD","UCLA",142,71,2,80.78,"A-"
"ROBERT FITZGERALD","NWESTERN",92,92,1,80.08,"A-"
"DREW SURGES","IOWA STATE",71,35.5,2,79.93,"B+"
"MATTHEW BAILEY","ILLINOIS",130,65,2,79.75,"B+"
"SANTANA BANNER","MISSOURI",83,41.5,2,78.86,"B+"
"JAYDEN WILLIAMS","UCF",87,43.5,2,78.76,"B+"
"ISAIAH CROSBY","CAL",99,49.5,2,78.25,"B+"
"ELIJAH DOTSON","MISSOURI",54,27,2,78.17,"B+"
"GREG SMITH","N CAROLINA",42,42,1,78.15,"B+"
"JELANI MCDONALD","TEXAS",101,50.5,2,77.95,"B+"
"JOKER JOHNSON","ARKANSAS",41,41,1,77.6,"B+"
"JIMMY WYRICK","SMU",89,44.5,2,76.87,"B+"
"MJ CANNON","CINCINNATI",112,56,2,76.81,"B+"
"DAVAUGHN PATTERSON","WAKE",118,59,2,76.53,"B+"
"MYLES DAVIS","TEXAS A&M",19,19,1,76.19,"B+"
"KOY BEASLEY","KANSAS ST",78,39,2,76.13,"B+"
"JAYLEN MOSES","SMU",18,18,1,75.09,"B+"
"ANDREW PELLICCIOTTA","DUKE",104,52,2,75.05,"B+"
"JJ DUNNIGAN","MIAMI FL",56,28,2,74.98,"B+"
"DEJUAN LANE","TENNESSEE",105,52.5,2,74.74,"B+"
"MALIK ESQUERRA","TEXAS TECH",119,59.5,2,74.67,"B+"
"RICARDO JONES","VANDERBILT",81,40.5,2,74.48,"B+"
"OMAR THORNTON","MIAMI FL",40,40,1,74.37,"B+"
"RUSHAUN TONGUE","WAKE",116,58,2,74.24,"B+"
"JACKSON BENNEE","UTAH",97,48.5,2,74.08,"B+"
"DJ COLEMAN","FLORIDA",109,54.5,2,73.87,"B+"
"CJ BASS III","MISSOURI",29,29,1,73.86,"B+"
"TAE HARRIS","GA TECH",144,72,2,73.85,"B+"
"ADRIAN MADDOX","KANSAS ST",18,18,1,73.69,"B+"
"PEYTON WILLIAMS","S CAROLINA",62,31,2,73.6,"B+"
"MADDOX QUILLER","TEXAS TECH",18,18,1,73.31,"B"
"TYREN POLLEY JR.","SMU",93,46.5,2,73.03,"B"
"FALETAU SATUALA","BYU",84,42,2,73.01,"B"
"QUAY'SHEED SCOTT","S CAROLINA",46,23,2,72.96,"B"
"JARDIN GILBERT","MISS STATE",81,40.5,2,72.82,"B"
"JAMIR CONN","NEBRASKA",94,47,2,72.78,"B"
"JASPER BEELER","CINCINNATI",118,59,2,72.56,"B"
"JORDAN CASTELL","KENTUCKY",115,57.5,2,72.49,"B"
"MESSIAH DELHOMME","MARYLAND",53,26.5,2,72.19,"B"
"XAVIER STYLES","IOWA",29,29,1,72.07,"B"
"GEIMERE LATIMER II","W VIRGINIA",105,52.5,2,71.98,"B"
"RYLON DILLARD-ALLEN","WASHINGTON",111,55.5,2,71.57,"B"
"JEROME CARTER III","CLEMSON",126,63,2,71.38,"B"
"JAH JAH BOYD","COLORADO",48,24,2,71.22,"B"
"JERON JONES","WASHINGTON",72,36,2,71.04,"B"
"DEVIN TURNER","BAYLOR",59,59,1,70.96,"B"
"NATE RITCHIE","UTAH",112,56,2,70.94,"B"
"RAHSHAWN CLARK","WASHINGTON",94,47,2,70.93,"B"
"ZACK HARDEN","MINNESOTA",95,47.5,2,70.68,"B"
"KYRON JONES","GEORGIA",15,15,1,70.26,"B"
"AARON FLOWERS","OREGON",115,57.5,2,70.13,"B"
"BRYCE THORNTON","FLORIDA",73,36.5,2,69.6,"B"
"KYAN MCDONALD","ARIZONA ST",42,21,2,69.41,"B"
"KALEB HARRIS","AUBURN",115,57.5,2,66.19,"B-"
"CRUCE BROOKINS","PITTSBURGH",104,52,2,66.08,"B-"
