"Name","Team","Defensive.Snaps","Composite_Score","Player_Grade","Defensive.Grades","Coverage.Grade","Run.Defense.Grade","Pass.Rush.Grade","Total.Tackles","Assistant","Stops","Pass.Break.Up","Lined.up.in.Press.Coverage","Interception","Average.Depth.of.Tackle","Receiving.Yards.per.Coverage.Target","Drops...Off.Targets.Receptions.Forced","Average.Depth.of.Target.per.Coverage","Pass.Stop","Plays.of.15..Yards.Allowed","Missed.Tackles.on.Pass.Plays","Assist.on.Pass.Plays","Missed.Tackles.on.Run.Plays","Assist.Tackles.on.Run.Plays","Dropped.Int","Touchdowns.Allowed","Pass.Rush.Productivity","Hurries","Pass.Tackle.for.Loss.or.No.Gain","Run.Tackle.for.Losss.or.No.Gain","Hits","Forced.Fumble","Pursuit.Pressure","Sacks","Fumble.Recovery","Beaten.Defender","Missed.Tackle.Percentage","Run.Stop","Tackle.for.Loss.or.No.Gain","Total.Pressures.Generated","Assist.Tackles","Negative.Plays","Total.Negative.Plays","Total.Positive.Plays","Receptions.Allowed","Completion.Percentage.Allowed","Pass.Yards.Allowed","First.Downs.Allowed","Forced.Incompletions","Sacks.per.Throwaway","Open.Targets","X15..Yards.Allowed.Percentage","Percentage.of.Open.Targets","Percentage.of.First.Down.or.Touchdown.Allowed","Interceptions.per.Target.Coverage.Percentage","Forced.Incompletion.Percentage","Missed.Tackle.Percentage.on.Run.Plays","Pass.Missed.Tackles.Percentage","Total.Tackle.Snaps","NFL.Sacks","First.Contact","Batted.Passes","Interceptions"
"KEN WILLIS","JAMES MAD",69,100,"A",75,73.7,74,58.3,6,0,4,3,NA,0,15,-0.3,0,12.8,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,2,0,0,1,1,3,1,0.25,-1,0,3,0,0,0,0,0,0,0.75,0,0,6,0,4,0,0
"SIMEON HARRIS","FRESNO ST",65,97.47,"A",78.6,77.4,73.6,NA,7,0,6,1,NA,1,13,4,3,6.6,5,1,0,0,0,0,0,0,NA,0,0,1,0,0,0,0,0,0,0,1,1,0,0,2,2,4,6,0.545,44,1,1,0,0,0.024,0,0.091,0.091,0.091,0,0,7,0,5,0,1
"RYAN GADSON","FIU",53,84.96,"A",81.2,80.3,72.2,NA,8,0,5,1,NA,0,3,3,0,2.3,3,0,0,0,0,0,0,0,NA,0,3,0,0,0,0,0,0,0,0,2,3,0,0,1,1,4,6,0.857,21,2,1,0,0,0,0,0.286,0,0.143,0,0,8,0,7,0,0
"ASAAD CHAPMAN","UTSA",55,77.34,"B",83.1,82.5,70.8,NA,2,0,1,1,NA,0,-2,1.4,1,15.2,0,0,0,0,0,0,0,0,NA,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,4,1,0.2,7,0,3,0,0,0,0,0,0,0.6,0,0,2,0,2,0,0
"DEANDRE BOYKINS","FIU",62,75.48,"B",75.3,76,65,NA,7,1,2,2,NA,0,3,4.7,0,1.1,1,0,0,0,0,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,2,5,0.714,33,2,2,0,0,0,0,0.286,0,0.286,0,0,7,0,6,0,0
"ISHMEL ATKINS","SM HOUSTON",36,73.32,"B",76.6,78.4,61.7,NA,3,2,1,1,NA,0,0,0,0,13,1,0,0,0,0,2,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,0,0,0,0,2,0,0,0,0,0,0,0.667,0,0,3,0,1,0,0
"TEDDY FOSTER","USF",43,71.58,"B",75.2,68.6,86.5,NA,5,0,3,1,NA,0,6.67,3.6,2,4.8,1,0,1,0,0,0,0,0,NA,0,0,1,0,0,0,0,0,0,0.167,2,1,0,0,2,2,2,2,0.4,18,0,1,0,0,0,0,0,0,0.2,0,0.333,6,0,5,0,0
"LOYALL MOUZON","FRESNO ST",74,70.97,"B",72.6,74.1,71.3,NA,3,1,0,2,NA,0,0,0.3,0,4.7,0,0,0,0,0,1,1,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,1,0.333,1,1,2,0,0,0,0,0.333,0,0.667,0,0,3,0,2,0,0
"JACKSON LOWE","MIDDLE TN",52,70.67,"B",89,65,74.1,99.7,5,1,3,0,NA,0,4.5,6,0,6,2,0,0,0,0,1,0,0,100,0,0,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,6,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0
"DAMYRION DARBY","S ALABAMA",49,70.23,"B",68.3,67.5,68.2,71.9,7,2,3,0,NA,0,3,5,2,3.7,2,0,1,1,0,1,0,0,37.5,2,0,0,0,0,1,2,0,0,0.125,1,0,4,2,2,1,1,4,0.667,30,1,0,0,0,0,0,0.167,0,0,0,0.167,8,0,5,0,0
