"Name","Team","Defensive.Snaps","Composite_Score","Player_Grade"
"KEN WILLIS","JAMES MAD",69,100,"A"
"SIMEON HARRIS","FRESNO ST",65,97.47,"A"
"RYAN GADSON","FIU",53,84.96,"A"
"ASAAD CHAPMAN","UTSA",55,77.34,"B"
"DEANDRE BOYKINS","FIU",62,75.48,"B"
"ISHMEL ATKINS","SM HOUSTON",36,73.32,"B"
"TEDDY FOSTER","USF",43,71.58,"B"
"LOYALL MOUZON","FRESNO ST",74,70.97,"B"
"JACKSON LOWE","MIDDLE TN",52,70.67,"B"
"DAMYRION DARBY","S ALABAMA",49,70.23,"B"
"JASON HARDY","MIDDLE TN",56,69.79,"B"
"JUAN BERCHAL","APP STATE",59,69.75,"B"
"DONOVAN WATKINS","TOLEDO",68,69.6,"B"
"FRANKIE EDWARDS III","NEW MEXICO",46,68.92,"B"
"ISRAEL PETITE","TOLEDO",63,68.9,"B"
"JOEL KPASSOU","MO STATE",75,68.52,"B"
"JAION JACKSON","C MICHIGAN",59,66.86,"B"
"DRE WALKER","APP STATE",19,66.46,"B"
"DERRICK ROGERS","FAU",41,66.12,"B"
"DJ KELLY","JAMES MAD",55,66.12,"B"
"KIONTRE HARRIS","FRESNO ST",74,66.03,"B"
"KAI RAPOLLA","WASH STATE",26,65.24,"B"
"TJ SMITH","TULANE",23,64.94,"B"
"JQ BROOKS","JVILLE ST",58,64.83,"B"
"JAMAREY SMITH","WASH STATE",27,64.38,"B"
"DAMARIUS MCGHEE","FAU",61,64.12,"B"
"ERIC ADAMS","APP STATE",19,63.8,"B"
"JAI-AYVIAUYNN CELESTINE","FIU",70,63.01,"B"
"YASSINE FALKE","N ILLINOIS",54,62.84,"B"
"IZAIAH GUY","LIBERTY",18,62.74,"B"
"DEVIN ROBINSON","TULSA",20,62.32,"B"
"JAMARION KOLAGBODI","DELAWARE",55,62.18,"B"
"JOEL BOAMAH","MO STATE",75,62.16,"B"
"CJ SOLIS-LUMAR","WASH STATE",24,61.96,"B"
"BARRY DILLON","OHIO",68,61.56,"B"
"MIKE LINDSAY","S DIEGO ST",67,61.2,"B"
"MYLES WOODS","COAST CAR",16,60.17,"B"
"BRENT GORDON JR.","LA LAFAYET",60,58.99,"C"
"RAYQUAN ADKINS","E MICHIGAN",48,58.53,"C"
"KHALIL CONLEY","APP STATE",36,58.26,"C"
"TREZ MOORE","TEXAS ST",81,58.09,"C"
"CJ BLOCKER","COLO STATE",48,57.73,"C"
"ZION FRINK","DOMINION",67,57.36,"C"
"ASHTON MCSHANE","LIBERTY",36,57.02,"C"
"MARION MOORE","N DAK ST",45,56.94,"C"
"JABARI STRAIT","TROY",37,56.91,"C"
"ASHTON LEVELLS-MITCHELL","E CAROLINA",56,56.48,"C"
"KYLE WILLIAMS","ARK STATE",31,56.48,"C"
"ARMONI RUE","LA MONROE",44,56.12,"C"
"JUSTIN COTTRELL","SM HOUSTON",16,56.05,"C"
"ANGELO ROSS","E CAROLINA",53,55.8,"C"
"CAESAR MAGEE","SM HOUSTON",32,55.64,"C"
"BOBBY MILLER","OHIO",25,55.53,"C"
"LAWRENCE JOHNSON","FIU",23,55.27,"C"
"JUSTIN CONTENT","UTEP",59,55.1,"C"
"ADRIAN LAING","TEMPLE",70,54.78,"C"
"KAI WHEATON","OREGON ST",18,54.3,"C"
"MYCHAL YHARBROUGH","MIAMI OH",55,54.17,"C"
"JAYDEN LEWIS","LA MONROE",31,53.97,"C"
"EDDIE PLEASANT III","MARSHALL",69,53.75,"C"
"JOSHUA FRANKLIN","W MICHIGAN",56,53.45,"C"
"MATTHEW MCKENZIE","C MICHIGAN",55,53.39,"C"
"WALLACE FOSTER IV","FAU",16,53.37,"C"
"CHAUNCEY LOGAN JR.","MEMPHIS",23,53.2,"C"
"ELLIS ELLIS JR.","MEMPHIS",35,53.2,"C"
"JONAH MARTINEZ","SO MISS",19,52.76,"C"
"JAMEEL CROFT JR.","CHARLOTTE",64,51.87,"C"
"SHERROD SMITH","BOISE ST",53,51.65,"C"
"DREY BRAXTON","BOWL GREEN",56,51.01,"C"
"KALEB MARTIN","MIAMI OH",28,50.92,"C"
"DIONTE THORNTON","SACRAMENTO",50,50.61,"C"
"THERMAN WILLIAMS","WYOMING",65,49.81,"C"
"ISAIAH HOUI","OREGON ST",47,49.53,"C"
"DAMILL BOSTIC JR.","COAST CAR",31,49.45,"C"
"TAY'VION LAWSON","KENNESAW",64,49.06,"C"
"KYE STOKES","UTAH ST",50,48.99,"C"
"BRYCE GRAYS","UTSA",37,48.33,"C"
"ZANE WOODHAM","TULSA",26,48.33,"C"
"JACE ARNOLD","SM HOUSTON",43,48.01,"C"
"CRAIG ROYAL JR.","TEXAS ST",82,47.91,"C"
"MARKIE GRANT","UTAH ST",26,47.59,"C"
"CHASE USHER","CHARLOTTE",67,47.59,"C"
"JA'CARI HENDERSON","APP STATE",29,47.36,"C"
"TONY NEWSOME JR.","W KENTUCKY",57,47.11,"C"
"JELANI WHITMORE","S DIEGO ST",28,47.05,"C"
"CALEB RICKS","S DIEGO ST",46,46.6,"C"
"KYREN CONDOLL","RICE",63,46.48,"C"
"JOSIRA ANDREWS","BOWL GREEN",53,46.31,"C"
"JAMES JOHNSON","MIDDLE TN",45,46.03,"C"
"JALEN THOMESON","S DIEGO ST",24,46.02,"C"
"MAURION ELEAM","LA LAFAYET",48,45.62,"C"
"NOAH MANGHAM","GA SOUTHRN",48,45.6,"C"
"TRAVIS ROMAN","COAST CAR",45,45.58,"C"
"RONALD MOORE JR.","LIBERTY",15,45.58,"C"
"CHARLES MCCARTHERENS","MARSHALL",30,45.55,"C"
"RAY JAMES JR.","N DAK ST",41,45.53,"C"
"ANTA'VEON MCKENZIE","UAB",63,45.46,"C"
"AMARIYUN KNIGHTEN","MIAMI OH",52,45.37,"C"
"KHAMARI TERRELL","WASH STATE",48,45.13,"C"
"ASA LOCKS","TEMPLE",76,44.89,"C"
"DJ VOLTZ","N DAK ST",44,44.85,"C"
"BRYSON SNELLING","NEVADA",66,44.73,"C"
"AHLSTON WARE","FAU",22,44.61,"C"
"MALAKAI MURPHY","SO MISS",17,44.53,"C"
"ANTHONY PINNACE","BALL ST",23,44.38,"C"
"KAJUAN BANKS","TULANE",16,44.24,"C"
"CATRELL WHITE","AKRON",48,44.22,"C"
"LARON DUES","JAMES MAD",23,44.16,"C"
"MICAH TEASE","TULSA",26,43.91,"C"
"ANTHONY ROGERS","TULANE",30,43.82,"C"
"MIKEY CRAWFORD","BUFFALO",28,43.59,"C"
"DECORIAN THOMPSON","UTEP",30,43.25,"C"
"WILLIE GOODWYN","TULSA",29,43.05,"C"
"LUKE EVANS","KENNESAW",59,43.02,"C"
"MYKE GUNN","LIBERTY",31,43.02,"C"
"KENDALL GRIFFIN","WYOMING",32,42.84,"C"
"CHAMP LEWIS","SO MISS",47,42.65,"C"
"TRE'QUON FEGANS","JVILLE ST",76,42.33,"C"
"DONMIEL ROGERS","E MICHIGAN",25,42.11,"C"
"TRAVIS JACKSON","FAU",59,41.81,"C"
"DARRELL SWEETING","UAB",69,41.68,"C"
"ALEX ELLIOTT","N DAK ST",23,41.63,"C"
"AHAMAD CHAPMAN","UTSA",22,41.54,"C"
"JAHMIR TORRES","NEW MEXICO",19,41.47,"C"
"AVERY DEMERY","LA LAFAYET",50,41.44,"C"
"AIDEN WALKER","NEVADA",71,41.36,"C"
"CALEB WOMACK","S JOSE ST",66,41.26,"C"
"CALEB DOBBS","E MICHIGAN",55,41.26,"C"
"JAMIR BENJAMIN","RICE",63,41.17,"C"
"TAYVION BEASLEY","USF",33,41.09,"C"
"JAY HARPER","LA MONROE",38,40.82,"C"
"JD DREW","TULSA",27,40.49,"C"
"CHANCE GAMBLE","GA SOUTHRN",49,40.32,"C"
"DELVON GULLEY","UAB",68,40.04,"C"
"CALEB PRESLEY","COLO STATE",19,40.03,"C"
"ELIAS MULLICAN","SACRAMENTO",51,39.94,"D"
"NOAH FLORES","ARK STATE",39,39.87,"D"
"MADDEN SOLIAI","BOISE ST",17,39.55,"D"
"KENDALL BANNISTER","OHIO",49,39.52,"D"
"DAWAYNE GALLOWAY JR.","AKRON",21,39.31,"D"
"CALDRA WILLIFORD","TULSA",21,39.26,"D"
"AARON WARREN","N ILLINOIS",29,38.87,"D"
"KAMARI WILLIAMS","BALL ST",22,38.76,"D"
"DEUCE WALKER","GA STATE",41,38.53,"D"
"ORMANIE ARNOLD","NEW MEXICO",53,37.93,"D"
"DEMARIO BOOKHART","LA TECH",19,37.87,"D"
"JAHEIM JENKINS","JVILLE ST",18,37.78,"D"
"GRECO CARRILLO","S JOSE ST",18,37.66,"D"
"KALEB MILES","UTEP",47,36.75,"D"
"JOSIAH COX","S DIEGO ST",41,36.58,"D"
