"Name","Team","Defensive.Snaps","Composite_Score","Player_Grade"
"GRANT LYONS","MIAMI OH",44,100,"A"
"DEIJON LAFFITTE","FRESNO ST",47,85.74,"A"
"AQUANTIS CLEMMONS","RICE",51,84.69,"A"
"RYAN REESE","ARK STATE",50,83.7,"A"
"TORIN BRAZELL","E CAROLINA",29,81.05,"A"
"ASANI REDWOOD","USF",35,81.04,"A"
"NASIM CAIRO","SO MISS",46,78.71,"B"
"KENYATTA HARDGE","MARSHALL",40,76.23,"B"
"MIKAIO EDWARD","BOISE ST",24,74.39,"B"
"LOGAN GOODWIN","BUFFALO",38,74.37,"B"
"SOLOMONE LANGI","S JOSE ST",34,74.23,"B"
"DAMARJHE LEWIS","WASH STATE",15,73.93,"B"
"MARQUIS HOOD","JVILLE ST",41,73.66,"B"
"JAIDEN GRIMES","KENNESAW",42,71.1,"B"
"EARL MILLER JR.","FAU",22,71.07,"B"
"ELIJAH FIELDS","UTEP",52,70.68,"B"
"RASHEED LOVELACE","JAMES MAD",39,70.62,"B"
"AHMED TOUNKARA","W MICHIGAN",44,68.15,"B"
"JAMEL HOWARD","SACRAMENTO",34,68.13,"B"
"JAYDEN WILLIAMS","WYOMING",44,67.75,"B"
"BRACH RICE","MIAMI OH",44,67.43,"B"
"QUAY HOOD","JVILLE ST",42,66.33,"B"
"MACKAVELLI MALOTUMAU","W KENTUCKY",30,66.17,"B"
"ARIAS NASH","TULSA",28,64.55,"B"
"ZA'QWAUN NUNN","LA TECH",16,64.54,"B"
"ZEION SIMPSON-SMITH","MIDDLE TN",37,64.31,"B"
"MALACHI FINAU","S DIEGO ST",30,64.13,"B"
"CAM CUNNINGHAM","UAB",36,63.61,"B"
"TANNER VAUGHAN","NEVADA",41,63.03,"B"
"RYLEN SU'A-FILO","W KENTUCKY",41,62.68,"B"
"JOSH LUKUSA","MO STATE",42,61.7,"B"
"JAYLAND MCGLOTHEN","S JOSE ST",39,61.57,"B"
"JAWAUN CAMPBELL","JVILLE ST",53,61.51,"B"
"RAYMOND MACIAS","UAB",20,61.16,"B"
"DYLAN FRAZIER","SM HOUSTON",35,59.98,"C"
"DANTE DRAKE","WYOMING",43,59.8,"C"
"KEVIN HORNBEAK JR.","TEMPLE",45,59.3,"C"
"JR STEGALL","SO MISS",26,59.12,"C"
"MAVERICK GRACIO","BALL ST",24,58.6,"C"
"DEVIN ANCRUM","CHARLOTTE",39,58.32,"C"
"ELIAS SHERMAN","ARK STATE",47,58.21,"C"
"DJ WESOLAK","COAST CAR",41,58.01,"C"
"ANTHONY BYNUM","GA SOUTHRN",41,57.71,"C"
"DILLAN BOTTS","RICE",50,56.7,"C"
"BRIAN BOOKER","NEW MEXICO",39,56.29,"C"
"JIRAH LEAUPEPETELE","WASH STATE",22,56.02,"C"
"NEHEMIAH DUKES","OHIO",33,55.63,"C"
"JJ DOUGLAS","C MICHIGAN",31,55.28,"C"
"STERLING SANDERS","UAB",22,54.99,"C"
"RYAN JENKINS","USF",24,54.72,"C"
"CARSON TUJAGUE","UTAH ST",52,54.27,"C"
"MORDECAI HINES","FRESNO ST",17,54.07,"C"
"KEVIN ROBERTS","JAMES MAD",27,53.97,"C"
"EDDY SMITH","UTSA",24,52.76,"C"
"NATHAN PIROLLI","LIBERTY",36,52.68,"C"
"ERIQ GEORGE","BOWL GREEN",47,51.65,"C"
"KELLS BUSH","JAMES MAD",47,51.53,"C"
"TYREE MORRIS","UTAH ST",49,51.44,"C"
"TIM BRANTLEY JR.","MO STATE",30,51.15,"C"
"D'NAS WHITE","CHARLOTTE",28,50.98,"C"
