"Name","Team","Total_Snaps","Avg_Snaps_Per_Game","Games_Played","Adjusted_Score","Display_Grade"
"CALEB SANDSTROM","APP STATE",127,42.3333333333333,3,85.17,"A-"
"TAKARI HICKLE","OREGON ST",147,49,3,83.88,"A-"
"DYLAN LABARBERA","NEVADA",197,65.6666666666667,3,83.5,"A-"
"ZACH JOHNSON","TOLEDO",140,46.6666666666667,3,82.2,"A-"
"JEREMIAH TUIILEILA","S JOSE ST",107,35.6666666666667,3,82.14,"A-"
"XAVIER ESQILLION","GA STATE",90,30,3,81.82,"A-"
"KEVONTAY WELLS","LA MONROE",103,34.3333333333333,3,79.15,"B+"
"ELISHA BALDRIDGE","FIU",65,32.5,2,78.9,"B+"
"IBRAHIM DIAWARA","COAST CAR",119,39.6666666666667,3,78.79,"B+"
"JUSTIN STEARNS","S JOSE ST",104,34.6666666666667,3,78.72,"B+"
"THOMAS DAVIS","TULSA",132,44,3,78.38,"B+"
"DEEJAY HOLMES JR.","FIU",72,36,2,77.61,"B+"
"KENO JONES","TROY",113,37.6666666666667,3,77.29,"B+"
"ANDREW ZOCK","TOLEDO",161,53.6666666666667,3,77.23,"B+"
"ESAIA BOGAR","WYOMING",152,50.6666666666667,3,77.16,"B+"
"KAI RUSSELL","KENNESAW",93,31,3,75.69,"B+"
"JABRIEL RHODES-NELSON","GA STATE",112,37.3333333333333,3,75.63,"B+"
"MATTHEW STENBROTEN","N DAK ST",120,40,3,75.44,"B+"
"JAHZON JACKS","FRESNO ST",108,36,3,74.87,"B+"
"OMARI ABOR","AKRON",122,40.6666666666667,3,73.58,"B+"
"MAX STEGE","BOISE ST",134,44.6666666666667,3,73.18,"B"
"JAYDEN VIRGIN-MORGAN","BOISE ST",139,46.3333333333333,3,72.05,"B"
"JULIEN DAVIS","E CAROLINA",134,44.6666666666667,3,71.85,"B"
"KENDRICK DUJOUR","E CAROLINA",54,27,2,71.77,"B"
"KYRAN DUHON","TULSA",91,30.3333333333333,3,71.6,"B"
"TYMERE JACKSON","TEXAS ST",129,43,3,71.59,"B"
"BRETT KARHU","NEW MEXICO",99,33,3,70.95,"B"
"NOAH MATTHEWS","DELAWARE",100,33.3333333333333,3,70.84,"B"
"BRANDON GORHAM","DELAWARE",103,34.3333333333333,3,69.77,"B"
"KELTON MCCASLIN","N DAK ST",114,38,3,69.76,"B"
"DARREN AGU","NEW MEXICO",107,35.6666666666667,3,69.33,"B"
"DYLAN HAMPSTEN","FRESNO ST",113,37.6666666666667,3,68.44,"B"
"GABE PETERSON","NEW MEX ST",82,41,2,68.39,"B"
"DJIBRIL RAHMAN","S DIEGO ST",136,45.3333333333333,3,68.29,"B"
