"Name","Team","Total_Snaps","Avg_Snaps_Per_Game","Games_Played","Adjusted_Score","Display_Grade"
"LOGAN GOODWIN","BUFFALO",142,47.3333333333333,3,85.55,"A-"
"ZEION SIMPSON-SMITH","MIDDLE TN",120,40,3,82.25,"A-"
"ELIAS SHERMAN","ARK STATE",142,47.3333333333333,3,81.52,"A-"
"CARSON TUJAGUE","UTAH ST",160,53.3333333333333,3,80.79,"A-"
"LUCAS CONTI","UNLV",78,39,2,80.16,"A-"
"MIKAIO EDWARD","BOISE ST",104,34.6666666666667,3,76.5,"B+"
"RYAN REESE","ARK STATE",148,49.3333333333333,3,74.97,"B+"
"ANTHONY BYNUM","GA SOUTHRN",116,38.6666666666667,3,74.62,"B+"
"JAWAUN CAMPBELL","JVILLE ST",137,45.6666666666667,3,71.25,"B"
"GRANT LYONS","MIAMI OH",100,33.3333333333333,3,70.73,"B"
"GRIFFEN WILLIS","NAVY",94,47,2,69.88,"B"
"SOLOMONE LANGI","S JOSE ST",86,28.6666666666667,3,69.64,"B"
"TORIN BRAZELL","E CAROLINA",87,29,3,68.85,"B"
"TYREE MORRIS","UTAH ST",151,50.3333333333333,3,68.49,"B"
"MARQUIS HOOD","JVILLE ST",96,32,3,68.05,"B"
"JAYLAND MCGLOTHEN","S JOSE ST",100,33.3333333333333,3,67.59,"B"
"DEIJON LAFFITTE","FRESNO ST",114,38,3,66.04,"B-"
"KEVIN HORNBEAK JR.","TEMPLE",106,35.3333333333333,3,66.04,"B-"
"BRACH RICE","MIAMI OH",97,32.3333333333333,3,65.41,"B-"
"WILKY DENAUD","FAU",119,39.6666666666667,3,65.26,"B-"
"MASE LEWIS","S ALABAMA",112,37.3333333333333,3,64.9,"B-"
"ELIJAH FIELDS","UTEP",125,41.6666666666667,3,64.23,"B-"
"NASIM CAIRO","SO MISS",117,39,3,63.68,"B-"
"HUNTER ZIRKLE","C MICHIGAN",59,29.5,2,62.46,"B-"
"KENYATTA HARDGE","MARSHALL",127,42.3333333333333,3,61.87,"B-"
"KA'SHAWN THOMAS","BALL ST",102,34,3,61.66,"B-"
"JAYLEN GEORGE","TULSA",130,43.3333333333333,3,61.63,"B-"
"JJ DOUGLAS","C MICHIGAN",110,36.6666666666667,3,61.63,"B-"
"DYLAN FRAZIER","SM HOUSTON",126,42,3,61.53,"B-"
"DOMINICK BROGNA","DELAWARE",133,44.3333333333333,3,61.31,"B-"
"JEREMIAH SANDIFORD","NEW MEX ST",49,24.5,2,61.21,"B-"
"TANNER VAUGHAN","NEVADA",139,46.3333333333333,3,60.84,"B-"
"KEVIN ROBERTS","JAMES MAD",84,28,3,60.53,"B-"
"JEREMIAH BAILEY","UTSA",145,48.3333333333333,3,60.18,"B-"
"NATHAN PIROLLI","LIBERTY",103,34.3333333333333,3,60.14,"B-"
"E'MAURI SMILEY","S ALABAMA",43,21.5,2,60.06,"B-"
"AQUANTIS CLEMMONS","RICE",105,35,3,60,"B-"
"PAUL HUTSON III","WASH STATE",81,27,3,59.81,"C+"
"SHAKAUN BOWSER","UTEP",88,29.3333333333333,3,59.74,"C+"
"BLAKE BURRIS","FAU",103,34.3333333333333,3,59.61,"C+"
"ROBBY HARRISON","COLO STATE",54,27,2,59.31,"C+"
"KAMERON HAMILTON","TULANE",103,34.3333333333333,3,59.3,"C+"
"GAVRIEL LIGHTFOOT","S DIEGO ST",120,40,3,59.17,"C+"
"TONY CARTER","ARK STATE",69,34.5,2,59.13,"C+"
"QUAY HOOD","JVILLE ST",97,32.3333333333333,3,58.86,"C+"
"ASANI REDWOOD","USF",123,41,3,58.78,"C+"
"LUCAS LAMBERT-PIPKIN","TOLEDO",73,24.3333333333333,3,58.35,"C+"
"ROOSEVELT ANDREWS III","MIAMI OH",90,45,2,58.07,"C+"
