"Name","Team","Total_Snaps","Avg_Snaps_Per_Game","Games_Played","Adjusted_Score","Display_Grade"
"JACKSON FORREST","DOMINION",114,38,3,99.36,"A+"
"EJ SMITH","NEVADA",200,66.6666666666667,3,88.96,"A"
"HAYDEN DAWAHARE","KENT STATE",80,40,2,87.57,"A"
"COLIN GALLAGHER","DELAWARE",119,39.6666666666667,3,87.05,"A"
"WALKER O'STEEN","JVILLE ST",135,45,3,86.38,"A-"
"ROBERT STEVENS III","ARK STATE",179,59.6666666666667,3,86.24,"A-"
"MARCANTHONY PARKER","NAVY",109,54.5,2,84.93,"A-"
"AIDEN SULLIVAN","OREGON ST",158,52.6666666666667,3,84.66,"A-"
"DILLON MOORE","W MICHIGAN",156,52,3,84.07,"A-"
"JULIAN FOX","TOLEDO",190,63.3333333333333,3,83.65,"A-"
"ALONZO JACKSON JR.","LA TECH",160,53.3333333333333,3,83.57,"A-"
"JUSTYCE BETTS","W MICHIGAN",79,26.3333333333333,3,83.44,"A-"
"DAX COLLINS","TULSA",152,50.6666666666667,3,83.08,"A-"
"KOLBE FIELDS","LA TECH",114,38,3,82.95,"A-"
"SIONE HALA","S DIEGO ST",162,54,3,82.67,"A-"
"DONELIUS JOHNSON","AKRON",126,42,3,81.79,"A-"
"CURLY ORDONEZ","TEMPLE",176,58.6666666666667,3,81.16,"A-"
"DEAN FORD","SM HOUSTON",138,46,3,80.14,"A-"
"DORIAN PRINGLE","BOWL GREEN",167,55.6666666666667,3,79.55,"B+"
"JASHAWN NELSON","N ILLINOIS",154,51.3333333333333,3,79.07,"B+"
"GARRETT HAWKINS","UTEP",137,45.6666666666667,3,78.39,"B+"
"STEVIE BRACEY","BUFFALO",140,46.6666666666667,3,78.39,"B+"
"BLAKE MATTHEWS","DELAWARE",90,45,2,78.27,"B+"
"ZAKYE BARKER","N TEXAS",127,42.3333333333333,3,78.18,"B+"
"MATHIS HAYGOOD","SO MISS",147,49,3,78.07,"B+"
"BRANDON TUCKER","UTSA",118,39.3333333333333,3,78.03,"B+"
"TYWON CHRISTOPHER","KENNESAW",159,53,3,77.57,"B+"
"COLE NILLES","TEXAS ST",43,21.5,2,77.48,"B+"
"CONOR MCPHERSON","LA LAFAYET",175,58.3333333333333,3,77.18,"B+"
"BRENDEN REESE","N TEXAS",58,29,2,77.09,"B+"
"COLEMAN CAULEY","NAVY",107,53.5,2,76.68,"B+"
"DICKSON AGU","TULANE",185,61.6666666666667,3,76.61,"B+"
"DYLAN LEE","S JOSE ST",192,64,3,76.51,"B+"
"ZACH MOWCHAN","E MICHIGAN",198,66,3,76.38,"B+"
"JORDAN THOMPSON","COAST CAR",153,51,3,76.19,"B+"
"TJ THOMPSON","TROY",102,34,3,76.07,"B+"
"GANNON WEATHERSBY","JAMES MAD",65,32.5,2,75.81,"B+"
"JT HOOTEN","JAMES MAD",127,42.3333333333333,3,75.42,"B+"
"ZAVIER HAMILTON","USF",92,30.6666666666667,3,75.42,"B+"
"RASHON MYLES JR.","GA SOUTHRN",152,50.6666666666667,3,75.38,"B+"
"JAXTON ECK","NEW MEXICO",79,39.5,2,75.34,"B+"
"ALEX MITCHELL","APP STATE",127,42.3333333333333,3,75.21,"B+"
"GAVIN WILLIS","CHARLOTTE",187,62.3333333333333,3,75.21,"B+"
"JARED LLOYD","MO STATE",140,46.6666666666667,3,75.12,"B+"
"KOA NAOTALA","DOMINION",101,33.6666666666667,3,75.12,"B+"
"ZHERIC HILL","LA TECH",153,51,3,74.95,"B+"
"IKE ESONWUNE","UAB",179,59.6666666666667,3,74.93,"B+"
"DARION WHITE","UTSA",149,49.6666666666667,3,74.82,"B+"
"MAKAI WILLIAMS","TULANE",121,40.3333333333333,3,74.72,"B+"
"KEVON MERRELL","E CAROLINA",84,42,2,74.02,"B+"
"NAKIAN JACKSON","JAMES MAD",163,54.3333333333333,3,73.86,"B+"
"JA'MEZ DRUMMER","DOMINION",140,46.6666666666667,3,73.71,"B+"
"ISAAC ZAY","TOLEDO",172,57.3333333333333,3,73.44,"B+"
"MARCELLIUS PULLIAM","COAST CAR",153,51,3,73.17,"B"
"BOEN PHELPS","BOISE ST",159,53,3,72.92,"B"
"ASHER CUNNINGHAM","UTAH ST",131,43.6666666666667,3,69.56,"B"
"TERRENCE COOKS II","TEXAS ST",140,46.6666666666667,3,69.21,"B"
"JACK MURRAY","N ILLINOIS",188,62.6666666666667,3,69.01,"B"
"JAMIH OTIS","HAWAII",125,62.5,2,68.95,"B"
"FATA PULOKA","SACRAMENTO",133,44.3333333333333,3,68.75,"B"
"TYLER LASSITER","SO MISS",31,15.5,2,68.44,"B"
"CASHMIRE LEWIS","BOWL GREEN",48,24,2,68.25,"B"
"AYDEN JONES","TEXAS ST",110,36.6666666666667,3,68,"B"
"BRIAN BATES JR.","SM HOUSTON",123,41,3,67.99,"B"
"GAVIN SELL","N DAK ST",112,37.3333333333333,3,67.95,"B"
"DERRELL FARRAR","LIBERTY",149,49.6666666666667,3,67.93,"B"
"DONOVAN WOOLEN","N DAK ST",118,39.3333333333333,3,67.79,"B"
"GAVIN MOUL","DELAWARE",153,51,3,67.75,"B"
"AARON ALEXANDER","N TEXAS",115,38.3333333333333,3,67.65,"B"
"NOAH FLEMMINGS","LA MONROE",165,55,3,67.52,"B"
"XAVIER WHITE","C MICHIGAN",147,49,3,67.48,"B"
"ALEX ROCHA","SACRAMENTO",124,41.3333333333333,3,67.4,"B"
"JAYDEN FLAKER","NEW MEXICO",40,20,2,67.06,"B"
"DORION JACKSON","TULANE",43,21.5,2,66.8,"B"
"MIKE MONTGOMERY","MEMPHIS",159,53,3,66.77,"B"
"STEVEN PEREZ","WYOMING",49,24.5,2,66.45,"B-"
"COLTON PHARES","APP STATE",139,46.3333333333333,3,66.38,"B-"
"KADIN SCHMITZ","CHARLOTTE",156,52,3,66.19,"B-"
"DEE CRAYTON","UNLV",83,41.5,2,65.91,"B-"
"AVERY JONES","N ILLINOIS",99,49.5,2,65.81,"B-"
"DREW ESPER","C MICHIGAN",64,32,2,65.46,"B-"
"DJ JOHNSON JR.","E CAROLINA",164,54.6666666666667,3,65.26,"B-"
"SIMEON HARRIS","FRESNO ST",87,43.5,2,65.17,"B-"
"JAYDON HOOD","GA STATE",90,45,2,64.98,"B-"
"K'VION THUNDERBIRD","FRESNO ST",146,48.6666666666667,3,64.89,"B-"
"MALCOLM MCCAIN","MIAMI OH",174,58,3,64.53,"B-"
"JOSIAH TAYLOR","FIU",98,32.6666666666667,3,64.51,"B-"
"COOPER KING","RICE",83,27.6666666666667,3,64.43,"B-"
"COBY OWENS","GA STATE",149,49.6666666666667,3,64.24,"B-"
"MICHAEL MOLNAR","OHIO",165,55,3,64.03,"B-"
"WESTEN ARD","W KENTUCKY",92,46,2,64.03,"B-"
"TYTUS KHAJAVI","FRESNO ST",121,40.3333333333333,3,63.91,"B-"
"KARSON MOSS","KENNESAW",42,21,2,63.83,"B-"
"ASHTON TAYLOR","MIDDLE TN",136,45.3333333333333,3,63.65,"B-"
"BRETT MCCALLA","C MICHIGAN",161,53.6666666666667,3,63.65,"B-"
"ISAIAH HUNG","WASH STATE",106,35.3333333333333,3,63.49,"B-"
"BEAU BARTON","RICE",45,22.5,2,63.42,"B-"
"JAYLEN WESTER","W KENTUCKY",107,53.5,2,63.32,"B-"
"SAM ROBINSON","USF",145,48.3333333333333,3,63.26,"B-"
"CLAY MARTINEAU","NEW MEXICO",78,26,3,63.22,"B-"
"BLAYNE MYRICK","MIAMI OH",130,43.3333333333333,3,63.19,"B-"
"BARON HOPSON","KENNESAW",71,35.5,2,62.89,"B-"
"ALOSIO MALUIA","NEVADA",49,24.5,2,62.74,"B-"
"SAM STONE","TULSA",87,29,3,62.73,"B-"
"CHRIS THOMPSON JR.","TULSA",165,55,3,62.71,"B-"
"TORY GETHERS","NEW MEX ST",111,55.5,2,62.64,"B-"
"JACK ELLISON","WASH STATE",36,18,2,62.55,"B-"
