"Name","Team","Defensive.Snaps","Composite_Score","Player_Grade","Position","Season","Conference","Defensive.Grades","Run.Defense.Grade","Pass.Rush.Grade","Coverage.Grade","Batted.Passes","Assistant","Stops","Sacks","NFL.Sacks","Hits","Hurries","Total.Pressures.Generated","Beaten.Defender","Pass.Break.Up","Interception","Forced.Fumble","Fumble.Recovery","Tackle.for.Loss.or.No.Gain","Dropped.Int","Pursuit.Pressure","Unblocked.Pass.Rush","First.Contact","Negative.Plays","Pass.Rush.Plays","Pass.Rush.Win.Percentage","Pass.Rush.Pressure.Percentage","Pass.Rush.Productivity","Run.Defense.Plays","Average.Depth.of.Tackle","Negative.Rush.Defense.Percentage","Positive.Rush.Defense.Percentage","Number.of.Negative.Plays","Coverage.Snaps","Receptions.Allowed","Completion.Percentage.Allowed","Pass.Yards.Allowed","Yards.per.Reception.Allowed","Touchdowns.Allowed","First.Downs.Allowed","Interceptions","Forced.Incompletions","Passer.Rating.Allowed","Receiving.Yards.Allowed.per.Snap","Plays.of.15..Yards.Allowed","Successful.Plays.Percentage","Sacks.per.Throwaway","Open.Targets","Drops...Off.Targets.Receptions.Forced","Total.Negative.Plays","Total.Positive.Plays","X15..Yards.Allowed.Percentage","Percentage.of.Open.Targets","Percentage.of.First.Down.or.Touchdown.Allowed","Interceptions.per.Target.Coverage.Percentage","Receiving.Yards.per.Coverage.Target","Average.Depth.of.Target.per.Coverage","Forced.Incompletion.Percentage","Jersey.Number","Total.Tackles","Missed.Tackle.Percentage","Assist.Tackles","Run.Stop","Run.Tackle.for.Losss.or.No.Gain","Missed.Tackle.Percentage.on.Run.Plays","Tackles.on.Run.Plays","Assist.Tackles.on.Run.Plays","Missed.Tackles.on.Run.Plays","Pass.Stop","Pass.Tackle.for.Loss.or.No.Gain","Pass.Missed.Tackles.Percentage","Total.Tackle.Snaps","Total.Tackles..Sacks...Assists...Sacks...Missed.","Assist.on.Pass.Plays","Tackles.on.Pass.Plays","Missed.Tackles.on.Pass.Plays","Conference_Level","Row_ID","Lined.up.in.Press.Coverage","row_id"
"JAYDEN WOODS","FLORIDA",55,100,"A","ED",2026,"SEC",68.9,50.8,81.4,64.1,0,1,4,3,0,0,8,11,3,0,0,0,0,0,0,3,0,4,4,33,0.333,0.333,21.2,17,1,0.176,0.176,3,5,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.25,1,1,0,0.5,1,1,2,3,0,0,8,8,0,1,0,"P4",228,NA,228
"EMMANUEL OYEBADEJO","FLORIDA",37,99.48,"A","ED",2026,"SEC",84.5,65,85.7,60,1,1,2,4,0,0,3,7,1,0,0,0,0,0,0,2,0,2,0,24,0.25,0.292,22.9,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,5,0,1,0,0,0,0,1,0,2,0,0,5,5,0,0,0,"P4",210,NA,210
"WILL HELDT","CLEMSON",51,91.76,"A","ED",2026,"ACC",77.3,69.1,76.8,60.8,0,2,2,2,0,1,5,8,2,0,0,0,0,0,0,1,1,4,2,24,0.333,0.333,20.8,23,17,0.043,0.174,1,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,5,0.286,2,0,0,0.25,1,2,1,2,0,0.333,7,7,0,0,1,"P4",119,NA,119
"CLEV LUBIN","LOUISVILLE",62,86.1,"A","ED",2026,"ACC",81.5,64.6,88,61.5,0,1,1,2,0,1,5,8,2,0,0,0,0,0,0,2,1,1,1,29,0.241,0.276,17.2,26,1,0.039,0.077,1,7,0,0,0,0,0,0,0,0,0,0,0,0.571,0,0,0,0,0,0,0,0,0,0,0,0,50,4,0,1,1,0,0,1,1,0,0,0,0,4,4,0,0,0,"P4",56,NA,56
"SEBASTIAN CHEEKS","WISCONSIN",33,80.17,"A","ED",2026,"Big Ten",79.9,80.8,82.1,54,0,1,2,1,0,2,1,4,3,0,0,1,0,0,0,1,0,2,3,18,0.333,0.222,13.9,13,1,0.077,0.231,1,2,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,15,3,0.4,1,1,0,0.333,1,1,1,1,0,0.5,4,5,0,0,1,"P4",18,NA,18
"ARMONDO BLOUNT","MIAMI FL",61,79.67,"B","ED",2026,"ACC",66.6,69.4,66.6,60,0,1,2,1,0,3,5,9,1,0,0,0,0,1,0,1,2,0,2,48,0.146,0.188,10.4,12,0,0.083,0.25,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18,3,0,1,1,1,0,1,1,0,1,0,0,3,3,0,0,0,"P4",183,NA,183
"KAM FRANKLIN","OLE MISS",44,78.89,"B","ED",2026,"SEC",74.2,79.2,61,NA,1,3,3,0,0,0,6,6,2,0,0,0,0,3,0,4,1,0,1,27,0.111,0.148,7.4,17,-0.67,0,0.294,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,0.143,3,2,2,0,2,3,0,1,1,0.5,7,7,0,1,1,"P4",163,NA,163
"TAJE MCCOY","GA TECH",25,75.91,"B","ED",2026,"ACC",90.8,65.1,94.7,NA,0,3,1,1,0,1,0,2,0,0,0,1,0,0,0,0,1,2,0,6,0.167,0.333,25,19,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,4,0,3,0,0,0,0,3,0,1,0,0,4,4,0,0,0,"P4",77,NA,77
"JAYDEN BRYANT","KANSAS ST",29,70.81,"B","ED",2026,"Big 12",76.5,58.5,81.2,NA,0,1,2,2,0,1,2,5,0,0,0,0,0,0,0,2,0,2,1,17,0.176,0.294,20.6,12,0,0.083,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,3,0,1,0,0,0,0,1,0,2,0,0,3,3,0,0,0,"P4",170,NA,170
"TARIQ BONEY","MICHIGAN",16,69.87,"B","ED",2026,"Big Ten",83.1,80.8,82,60,0,1,4,1,0,1,0,2,0,0,0,0,0,3,0,0,0,4,1,6,0.333,0.333,25,9,-0.67,0.111,0.333,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,41,5,0,1,3,3,0,3,1,0,1,0,0,5,5,0,0,0,"P4",251,NA,251
