"Name","Team","Defensive.Snaps","Composite_Score","Player_Grade"
"JAYDEN WOODS","FLORIDA",55,100,"A"
"EMMANUEL OYEBADEJO","FLORIDA",37,99.48,"A"
"WILL HELDT","CLEMSON",51,91.76,"A"
"CLEV LUBIN","LOUISVILLE",62,86.1,"A"
"SEBASTIAN CHEEKS","WISCONSIN",33,80.17,"A"
"ARMONDO BLOUNT","MIAMI FL",61,79.67,"B"
"KAM FRANKLIN","OLE MISS",44,78.89,"B"
"TAJE MCCOY","GA TECH",25,75.91,"B"
"JAYDEN BRYANT","KANSAS ST",29,70.81,"B"
"TARIQ BONEY","MICHIGAN",16,69.87,"B"
"PRINCEWILL UMANMIELEN","LSU",59,67.3,"B"
"TOBI OSUNSANMI","INDIANA",31,67.02,"B"
"NNANNA ANYANWU","VIRGINIA",26,66.01,"B"
"DAMON WILSON II","MIAMI FL",41,65.62,"B"
"LORENZO COWAN","KENTUCKY",22,65.43,"B"
"COOPER BLOMSTROM","ARIZONA",44,64.89,"B"
"ANTHONY ADDISON","S CAROLINA",38,64.17,"B"
"PAUL OYEWALE","TCU",45,62.55,"B"
"NOAH CARTER","GA TECH",21,61.22,"B"
"JOHN HENRY DALEY","MICHIGAN",19,61.08,"B"
"LANGDEN KITCHEN","MISSOURI",51,60.21,"B"
"ADEPOJU ADEBAWORE","OKLAHOMA",30,59.76,"C"
"DREW CAMPBELL","IOWA",22,59.12,"C"
"DAVID SANTIAGO","KANSAS",52,59.01,"C"
"DAEDEN HOPKINS","MISSOURI",54,58.88,"C"
"DARIEN WHITAKER JR.","KANSAS ST",43,58.79,"C"
"TYSHON REED JR.","DUKE",28,58.68,"C"
"KARTER MENZ","MINNESOTA",33,58.24,"C"
"MARQUISE LIGHTFOOT","MIAMI FL",51,57.96,"C"
"BLAKE PURCHASE","OLE MISS",47,56.95,"C"
"SINCERE EDWARDS","UCF",33,56.85,"C"
"DEMETRIUS BALLARD","BOSTON COL",32,56.66,"C"
"KORON HAYWARD","TCU",22,56.1,"C"
"BRYCE DAVIS","DUKE",33,56.03,"C"
"JALEN THOMPSON","ARIZONA ST",51,55.97,"C"
"AYCEN STEVENS","VA TECH",45,55.49,"C"
"KEVIN O'CONNOR","DUKE",24,54.36,"C"
"E'LLA BOYKIN","BOSTON COL",38,54.23,"C"
"ISAIAH NIXON","UCF",58,53.95,"C"
"TUNMISE ADELEYE","SYRACUSE",53,53.76,"C"
"JALEN WOODS","UCLA",58,53.73,"C"
"LEROY HARRIS III","KANSAS",55,53.16,"C"
"STEVEN SOLES JR.","ARKANSAS",42,53.06,"C"
"AYMERIC KOUMBA","UCF",29,53.04,"C"
"JAYLEN HARVEY","N CAROLINA",47,51.53,"C"
"AMAREE WILLIAMS","MISS STATE",58,51.33,"C"
"DESMOND UMEOZULU","ALABAMA",30,51.28,"C"
"YHONZAE PIERRE","ALABAMA",34,50.75,"C"
"MATTHEW FOBBS-WHITE","VIRGINIA",53,49.65,"C"
"BLAKE HAWKINS","IOWA STATE",16,49.47,"C"
"TYREE WEATHERSBY","TENNESSEE",32,49.34,"C"
"KEYSHAWN BURGOS","PURDUE",36,48.47,"C"
"SAHIR WEST","UCLA",56,48.42,"C"
"JAHIEM LAWSON","CLEMSON",47,48.24,"C"
"TJ BUSH JR.","MINNESOTA",31,47.48,"C"
"EDWIN KOLENGE","VANDERBILT",47,47.31,"C"
"QUA RUSSAW","OHIO STATE",23,47.07,"C"
"ADAM TRICK","TEXAS TECH",51,46.86,"C"
"JACOB LANE","WASHINGTON",36,46.82,"C"
"ANTHONY SMITH","MINNESOTA",38,46.45,"C"
"DOM NICHOLS","MICHIGAN",17,46.36,"C"
"JUSTIN HILL","ALABAMA",17,45.94,"C"
"LANCE HOLTZCLAW","UTAH",28,45.21,"C"
"KENNY SOARES JR.","MICH STATE",53,44.46,"C"
"KEN TALLEY","UCF",53,43.95,"C"
"DAVID AFOGHO","W VIRGINIA",20,43.75,"C"
"FISHER CAMAC","VIRGINIA",57,43.54,"C"
"MARQUES WHITE","SMU",42,43.11,"C"
"KASH DILLON","UTAH",27,42.82,"C"
"LADAMION GUYTON","TEXAS TECH",32,42.75,"C"
"TYLER THOMPSON","LOUISVILLE",28,42.49,"C"
"YVAN KEMAJOU","PENN STATE",28,42.34,"C"
"DANNY OKOYE","OKLAHOMA",30,42.12,"C"
"JARED SMITH","AUBURN",49,41.88,"C"
"BRAD SPENCE","TEXAS",22,41.47,"C"
"AAKIL WASHINGTON","SMU",37,40.92,"C"
"TAYLOR WEIN","OKLAHOMA",41,40.63,"C"
"JALEEL JOHNSON","OKLA STATE",17,40.43,"C"
"BREEON ISHMAIL","PURDUE",47,40.34,"C"
"TOBY ANENE","COLORADO",40,39.86,"D"
"HARVEY DYSON III","NC STATE",52,39.83,"D"
