"Name","Team","Defensive.Snaps","Composite_Score","Player_Grade"
"DEVAN THOMPKINS","ALABAMA",47,100,"A"
"XAVIER LEWIS","N CAROLINA",51,90.98,"A"
"WILL SMITH JR.","OHIO STATE",17,83.18,"A"
"WILL ECHOLES","OLE MISS",54,78.69,"B"
"JAMIR PEREZ","OHIO STATE",17,75.21,"B"
"A.J. HOLMES JR.","TEXAS TECH",50,71.72,"B"
"RASHARD PERRY","SYRACUSE",46,70.38,"B"
"MICHAEL KILBANE","NWESTERN",37,69.85,"B"
"C.J. FITE","ARIZONA ST",41,68.48,"B"
"DONTA SIMPSON","MISSOURI",20,67.75,"B"
"EAMON SMALLS","KANSAS",34,65.75,"B"
"DAVID STONE","OKLAHOMA",42,65.06,"B"
"JASON MOORE","OHIO STATE",25,63.91,"B"
"CODY SIGLER","AUBURN",55,63.04,"B"
"ANSEL DIN-MBUH","TCU",42,60.47,"B"
"QUENCY WIGGINS","COLORADO",16,60.07,"B"
"WILL HUBERT","IOWA",18,58.58,"C"
"TRAEVON MITCHELL","BAYLOR",36,57.6,"C"
"XAVIER GILLIAM","TENNESSEE",35,57.27,"C"
"JACE GILBERT","IOWA STATE",20,56.68,"C"
"JOSEPH ANDERSON","IOWA",20,56.54,"C"
"TAWFIQ THOMAS","GA TECH",39,56.47,"C"
"JALEN MARSHALL","MISSOURI",30,55.76,"C"
"KEVIN MOORER JR.","ARIZONA",37,54.9,"C"
"ALEX VANSUMEREN","USC",48,53.09,"C"
"HAMMOND RUSSELL IV","WISCONSIN",21,52.74,"C"
"JOSH HOUGH","CINCINNATI",22,52.45,"C"
"HERO KANU","TEXAS",27,52.43,"C"
"NICK JAMES","PITTSBURGH",60,51.81,"C"
"TAVION GADSON","KENTUCKY",50,51.79,"C"
"ZAIMIR HAWK","IOWA STATE",20,51.4,"C"
"JOHN WALKER","OHIO STATE",20,51.16,"C"
"JERAMIAH MCCLOUD","FLORIDA",46,51.08,"C"
"DEUCE GERALDS","LSU",47,51.08,"C"
"MICAH AMEDEE","BOSTON COL",36,50.93,"C"
"NATE GABRIEL","W VIRGINIA",60,50.22,"C"
"DILLAN FONTUS","SYRACUSE",26,50.17,"C"
"NISSI OGBEBOR","SYRACUSE",43,49.93,"C"
"ZACH LOHAVICHAN","WAKE",45,49.24,"C"
"NOLAN VILS","WISCONSIN",17,49.06,"C"
"DAVID OKE","ARKANSAS",36,48.87,"C"
"ANTHONY BRITTON","VIRGINIA",41,48.67,"C"
"COLBY CRONK","NC STATE",20,47.29,"C"
"JADEN WILLIAMS","KENTUCKY",45,46.88,"C"
"SEAN FITZSIMMONS","PITTSBURGH",57,46.85,"C"
"SANTANA HOPPER","COLORADO",58,46.51,"C"
"CHIDDI OBIAZOR","INDIANA",30,46.28,"C"
"BEN ROBERTS","MICH STATE",41,45.78,"C"
"BRYCE HAWTHORNE","IOWA",17,45.51,"C"
"JIDE ABASIRI","USC",52,45.47,"C"
"LONDON SIMMONS","ALABAMA",23,45.35,"C"
"KHALIL LAUFAU","HOUSTON",59,45.29,"C"
"EMERSON JOY","W VIRGINIA",25,45.2,"C"
"BRADLEY MANN","VANDERBILT",36,44.78,"C"
"KOLE BRIEHLER","STANFORD",31,44.4,"C"
"BLAKE HEROLD","KANSAS",63,44.33,"C"
"CHRISTIAN DAVIS","SMU",45,44.19,"C"
"JUSTIN SCOTT","MIAMI FL",54,43.9,"C"
"LEROY JACKSON","N CAROLINA",57,43.53,"C"
"SAMU TAUMANUPEPE","COLORADO",22,43.42,"C"
"TOMIWA DUROJAIYE","S CAROLINA",50,43.38,"C"
"JAHSEAR WHITTINGTON","NEBRASKA",29,42.65,"C"
"JAYDEN WILLIAMS","CAL",25,42.58,"C"
"DAYLEN RUSSELL","LOUISVILLE",23,42.03,"C"
"JOE BARNA","ILLINOIS",38,41.91,"C"
"JERRY LAWSON","OKLA STATE",15,41.74,"C"
"LANDON RINK","TEXAS A&M",17,41.54,"C"
"TYRIQUE TUCKER","INDIANA",39,41.48,"C"
"JACOB ANDERSON","WISCONSIN",19,41.01,"C"
"JEHIEM OATIS","OLE MISS",23,40.31,"C"
"ELHADJ FALL","VA TECH",47,39.55,"D"
"WOO SPENCER","SMU",33,39.29,"D"
"AMARE ADAMS","CLEMSON",32,38.91,"D"
"SIALE TAUPAKI","PENN STATE",24,38.6,"D"
"BRENDAN BETT","FLORIDA",35,38.45,"D"
"DEVAN KENNEDY","IOWA",16,37.5,"D"
"JOURDIN CRAWFORD","AUBURN",40,37.2,"D"
"ANDY BURBURIJA","CLEMSON",34,37.04,"D"
"DJ HICKS","TEXAS A&M",31,36.91,"D"
"DARIN CONLEY","WASHINGTON",41,36.74,"D"
"STERLING WEBB","MISSOURI",27,36.68,"D"
"ASHUN SHEPPHARD","CAL",17,36.51,"D"
"MALIK BLOCTON","LSU",34,36.06,"D"
"DYLAN MANUEL","COLORADO",56,36.06,"D"
"STEPHIYLAN GREEN","LSU",46,35.72,"D"
"DYLAN ROBERTS","NWESTERN",26,35.59,"D"
"ZAIRE ANGOY","RUTGERS",25,35.57,"D"
"JOSH BURNHAM","INDIANA",31,35.24,"D"
"COREY MCINTYRE JR.","W VIRGINIA",56,35.06,"D"
"KERVINS CHOUTE","VIRGINIA",17,35.03,"D"
"DALLAS AFALAVA","WAKE",56,34.94,"D"
"BRYSON LAMB","IOWA STATE",22,34.93,"D"
"DILLAN JOHNSON","WISCONSIN",17,34.82,"D"
"EDDRICK HOUSTON","OHIO STATE",15,34.68,"D"
"TERRANCE GREEN","ALABAMA",40,34.28,"D"
"ISSA OUATTARA","VANDERBILT",60,34.24,"D"
"MAX BALOUN","IOWA STATE",18,34.22,"D"
"DANIEL LYONS","FLORIDA ST",46,34.14,"D"
