"Name","Team","Defensive.Snaps","Composite_Score","Player_Grade","Defensive.Grades","Run.Defense.Grade","Pass.Rush.Grade","Coverage.Grade","Total.Tackles","Assistant","Stops","Assist.Tackles.on.Run.Plays","Missed.Tackles.on.Run.Plays","Average.Depth.of.Tackle","Pursuit.Pressure","Run.Tackle.for.Losss.or.No.Gain","Pass.Rush.Productivity","Passer.Rating.Allowed","Average.Depth.of.Target.per.Coverage","Yards.per.Reception.Allowed","Receiving.Yards.Allowed.per.Snap","Assist.on.Pass.Plays","Unblocked.Pass.Rush","Drops...Off.Targets.Receptions.Forced","Sacks","Missed.Tackles.on.Pass.Plays","Beaten.Defender","Plays.of.15..Yards.Allowed","Hits","Pass.Tackle.for.Loss.or.No.Gain","Lined.up.in.Press.Coverage","Batted.Passes","Pass.Break.Up","Forced.Fumble","Interceptions","Touchdowns.Allowed","Fumble.Recovery","Dropped.Int","Missed.Tackle.Percentage","Run.Stop","Pass.Stop","Tackle.for.Loss.or.No.Gain","Hurries","Total.Pressures.Generated","Assist.Tackles","Negative.Plays","Total.Negative.Plays","Total.Positive.Plays","Receptions.Allowed","Completion.Percentage.Allowed","Pass.Yards.Allowed","First.Downs.Allowed","Forced.Incompletions","Sacks.per.Throwaway","Open.Targets","X15..Yards.Allowed.Percentage","Percentage.of.Open.Targets","Percentage.of.First.Down.or.Touchdown.Allowed","Interceptions.per.Target.Coverage.Percentage","Receiving.Yards.per.Coverage.Target","Forced.Incompletion.Percentage","Missed.Tackle.Percentage.on.Run.Plays","Pass.Missed.Tackles.Percentage","Total.Tackle.Snaps","NFL.Sacks","First.Contact"
"SAMMY OMOSIGHO","UCLA",62,100,"A",92.9,93.4,74.8,90.6,11,1,6,1,0,1.83,2,1,23.1,0,0,0,0,0,2,0,1,0,0,0,2,0,NA,0,0,1,0,0,0,0,0,5,1,1,3,6,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,9
"JUSTIN OKORONKWO","S CAROLINA",57,90.74,"A",79.3,86.6,59.5,69.4,17,7,6,6,0,4.2,0,1,0,101.7,-1.8,8.4,1.45,1,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,1,0,0,3,3,1,0,0,7,1,1,2,5,1,42,1,0,0,0,0,0,0.2,0,8.4,0,0,0,17,0,6
"LUKE METZ","ALABAMA",52,87.13,"A",84.9,86.5,66.7,72.3,9,5,3,4,0,4,0,1,16.7,109.7,4.3,19.5,1.95,1,3,1,0,0,0,1,1,0,NA,1,0,0,0,0,0,0,0,2,1,1,3,4,5,0,0,1,2,0.667,39,1,0,0,0,0.05,0,0.333,0,13,0,0,0,9,0,5
"ASHTON WOODS","W VIRGINIA",50,78.12,"B",78.7,81,67.6,65.4,9,2,5,1,0,4.5,1,0,20.8,0,0,0,0,1,2,0,1,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,4,1,0,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,6
"POPO AGUIRRE","NC STATE",55,75.18,"B",84.1,91.6,45.5,79.1,8,2,5,1,0,4.25,0,1,12.5,56.3,3,3,0.19,1,3,2,0,1,0,0,0,1,NA,0,0,1,0,0,0,0,0.111,3,2,2,3,3,2,2,0,2,2,0.5,6,0,0,0,0,0,0,0,0,1.5,0,0,0.25,9,0,5
"ARION CARTER","TENNESSEE",43,74.77,"B",69.7,73.1,74.6,57.5,9,3,4,3,0,4,0,0,50,90.3,4,5.7,0.94,0,3,0,1,0,0,0,1,1,NA,0,0,0,0,0,0,0,0,2,2,1,1,3,3,5,2,1,3,1,17,1,0,0,1,0,0.333,0.333,0,5.7,0,0,0,9,0,5
"ALEX SANFORD JR.","PITTSBURGH",55,74.76,"B",75.2,83.5,52.7,64.6,12,5,2,4,0,2.67,1,2,15,118.8,4,13,0.68,1,2,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,2,0,2,3,3,5,2,1,1,1,1,13,1,0,0,1,0,1,1,0,13,0,0,0,12,0,5
"JONATHAN THOMPSON","CINCINNATI",39,74.5,"B",90.6,69.6,93.1,71.7,6,1,5,1,0,0,0,1,14.3,56.3,4,4,0.2,0,0,1,1,0,0,0,0,0,NA,0,0,1,0,0,0,0,0,2,3,1,0,1,1,2,0,1,1,0.5,4,0,0,0,0,0,0,0,0,2,0,0,0,6,0,5
"GIDEON ESPN LAMPRON","COLORADO",64,73.14,"B",57.2,53.6,83.7,53.5,11,4,3,4,1,8.5,2,1,25,42.4,4.3,8,0.42,0,0,2,0,1,1,0,0,0,NA,0,0,0,0,0,0,0,0.154,2,1,1,3,3,4,8,2,1,1,0.333,8,0,0,0,0,0,0,0,0,2.7,0,0.111,0.25,13,0,5
"JEREMIAH MARCELIN","PITTSBURGH",71,71.12,"B",69.4,81,73,60.9,10,5,4,5,2,0.33,0,2,4.2,91.7,4,6,0.22,0,0,0,0,0,2,0,1,0,NA,0,0,0,0,0,0,0,0.167,3,1,2,0,1,5,6,1,0,1,1,6,0,0,0,1,0,1,0,0,6,0,0.2,0,12,0,6
