"Name","Team","Defensive.Snaps","Composite_Score","Player_Grade"
"GREG SMITH","N CAROLINA",70,100,"A"
"KP PRICE","BOSTON COL",69,95.55,"A"
"KALEB BEASLEY","LOUISVILLE",65,90.96,"A"
"ALEX MCLAUGHLIN","WASHINGTON",75,89.18,"A"
"RABBIT EVANS","UTAH",55,88.62,"A"
"DEMARI HENDERSON","UCF",65,86.46,"A"
"DEVIN VAUGHT","MICH STATE",66,78.44,"B"
"CHRISTIAN PIERCE","USC",71,77.65,"B"
"ADRIAN WILSON","ARIZONA ST",42,74.07,"B"
"MATTHEW BAILEY","ILLINOIS",59,72.03,"B"
"JOHN SLAUGHTER","PURDUE",69,70.94,"B"
"SANTANA BANNER","MISSOURI",64,70.3,"B"
"DAVAUGHN PATTERSON","WAKE",68,69.86,"B"
"CRUCE BROOKINS","PITTSBURGH",44,69.5,"B"
"PEYTON BOWEN","OKLAHOMA",54,66.56,"B"
"TYREN POLLEY JR.","SMU",62,66.52,"B"
"MATTHEW JUNG","WISCONSIN",46,66.35,"B"
"PEYTON WILLIAMS","S CAROLINA",66,66.05,"B"
"MARCUS WILLIAMS","MISS STATE",53,65.74,"B"
"LYRIK RAWLS","ARIZONA ST",51,64.59,"B"
"RICARDO JONES","VANDERBILT",61,63.96,"B"
"WESLEY FAIR","KANSAS ST",51,63.86,"B"
"JORDAN CASTELL","KENTUCKY",83,63.02,"B"
"KAJ SANDERS","RUTGERS",68,63,"B"
"MARCUS NEAL JR.","PENN STATE",30,62.57,"B"
"NATE RITCHIE","UTAH",40,62.2,"B"
"ROBERT FITZGERALD","NWESTERN",64,61.38,"B"
"VABOUE TOURE","PENN STATE",18,61.31,"B"
"PRESTON ZACHMAN","INDIANA",48,61.29,"B"
"DAVIEN KERR","SYRACUSE",42,58.81,"C"
"JADEN MANGHAM","PURDUE",47,58.52,"C"
"JELANI MCDONALD","TEXAS",41,58.03,"C"
"KJ BOLDEN","GEORGIA",39,57.16,"C"
"EARL LITTLE JR.","OHIO STATE",31,56.67,"C"
