"Name","Team","Total_Snaps","Avg_Snaps_Per_Game","Games_Played","Adjusted_Score","Display_Grade"
"XAVIER LEWIS","N CAROLINA",91,45.5,2,100,"A+"
"WILL HOLMES","ILLINOIS",68,34,2,94.77,"A+"
"BEAR ALEXANDER","OREGON",103,51.5,2,92.5,"A"
"A.J. HOLMES JR.","TEXAS TECH",145,48.3333333333333,3,91.57,"A"
"TOMIWA DUROJAIYE","S CAROLINA",107,35.6666666666667,3,82.39,"A-"
"JORDAN ALLEN","KANSAS ST",67,33.5,2,80.68,"A-"
"XAVIER GILLIAM","TENNESSEE",115,38.3333333333333,3,80.58,"A-"
"CORTEZ HARRIS","VA TECH",36,18,2,80.3,"A-"
"NICK JAMES","PITTSBURGH",145,48.3333333333333,3,76.69,"B+"
"CODY SIGLER","AUBURN",142,47.3333333333333,3,76.33,"B+"
"JIDE ABASIRI","USC",104,34.6666666666667,3,76.12,"B+"
"WILL ECHOLES","OLE MISS",128,42.6666666666667,3,75.85,"B+"
"JIREH MOE","UTAH",83,41.5,2,75.81,"B+"
"TAWFIQ THOMAS","GA TECH",145,48.3333333333333,3,74.54,"B+"
"DEUCE GERALDS","LSU",97,32.3333333333333,3,73.63,"B+"
"NISSI OGBEBOR","SYRACUSE",129,43,3,73.6,"B+"
"JERAMIAH MCCLOUD","FLORIDA",127,42.3333333333333,3,73.55,"B+"
"KEVIN MOORER JR.","ARIZONA",56,28,2,73.22,"B"
"TREY PIERCE","MICHIGAN",107,35.6666666666667,3,73.2,"B"
"LEROY JACKSON","N CAROLINA",99,49.5,2,72.13,"B"
"DEVAN KENNEDY","IOWA",32,16,2,71.85,"B"
"ANSEL DIN-MBUH","TCU",68,34,2,71.69,"B"
"SANTANA HOPPER","COLORADO",145,48.3333333333333,3,71.45,"B"
"ELI COENEN","MICH STATE",113,37.6666666666667,3,71.07,"B"
"JAYDEN JACKSON","OKLAHOMA",110,36.6666666666667,3,70.96,"B"
"NATE GABRIEL","W VIRGINIA",149,49.6666666666667,3,70.86,"B"
"MALCOLM ALCORN-CROWDER","SMU",94,31.3333333333333,3,70.37,"B"
"TAVION GADSON","KENTUCKY",120,40,3,69.97,"B"
"DONTA SIMPSON","MISSOURI",42,21,2,69.13,"B"
"WILL SMITH JR.","OHIO STATE",33,16.5,2,69.12,"B"
"RASHARD PERRY","SYRACUSE",97,32.3333333333333,3,68.85,"B"
"DILLAN FONTUS","SYRACUSE",87,29,3,68.69,"B"
"MYLACHI WILLIAMS","VA TECH",30,15,2,68.12,"B"
"BRYCE HAWTHORNE","IOWA",80,26.6666666666667,3,68.07,"B"
"JOE HJELLE","INDIANA",67,22.3333333333333,3,67.93,"B"
"JEFFSON LAFONTANT","UCF",113,37.6666666666667,3,67.52,"B"
"BRENDAN FLAKES","NWESTERN",86,43,2,65.98,"B-"
"KHALIL LAUFAU","HOUSTON",132,44,3,65.77,"B-"
"DEREK COLMAN-BRUSA","WASHINGTON",91,30.3333333333333,3,65.66,"B-"
"JOHN WALKER","OHIO STATE",94,31.3333333333333,3,65.16,"B-"
"COLBY CRONK","NC STATE",36,18,2,65.13,"B-"
"CHRISTIAN DAVIS","SMU",97,32.3333333333333,3,64.63,"B-"
"MARIO LANDINO","INDIANA",117,39,3,64.08,"B-"
"JAHSEAR WHITTINGTON","NEBRASKA",86,28.6666666666667,3,64,"B-"
"QUENCY WIGGINS","COLORADO",49,24.5,2,63.67,"B-"
"DALLAS AFALAVA","WAKE",140,46.6666666666667,3,63.56,"B-"
"ALEX VANSUMEREN","USC",106,35.3333333333333,3,63.31,"B-"
"SIALE TAUPAKI","PENN STATE",76,25.3333333333333,3,63.16,"B-"
"KJ HENSON","W VIRGINIA",78,26,3,62.9,"B-"
"C.J. FITE","ARIZONA ST",80,40,2,62.84,"B-"
"WILL HUBERT","IOWA",69,23,3,62.23,"B-"
"A'MAURI WASHINGTON","OREGON",81,40.5,2,61.93,"B-"
"EYAN THOMAS","MARYLAND",73,24.3333333333333,3,61.92,"B-"
"HORACE LOCKETT","UCF",88,29.3333333333333,3,61.71,"B-"
"IAN GEFFRARD","TEXAS",67,22.3333333333333,3,61.55,"B-"
"KENNETH MERRIEWEATHER","IOWA",51,25.5,2,61.09,"B-"
"ELHADJ FALL","VA TECH",87,29,3,61.02,"B-"
"DAYLEN RUSSELL","LOUISVILLE",80,26.6666666666667,3,60.8,"B-"
"KOLE BRIEHLER","STANFORD",61,30.5,2,60.77,"B-"
"JASON MOORE","OHIO STATE",73,24.3333333333333,3,60.76,"B-"
"ZACH LOHAVICHAN","WAKE",128,42.6666666666667,3,60.63,"B-"
"TRAEVON MITCHELL","BAYLOR",52,26,2,60.5,"B-"
"STERLING WEBB","MISSOURI",63,31.5,2,60.39,"B-"
"JULIEN LAVENTURE","TEXAS TECH",37,18.5,2,60.19,"B-"
"DJ HICKS","TEXAS A&M",83,27.6666666666667,3,60.01,"B-"
"BLAKE HEROLD","KANSAS",144,48,3,59.15,"C+"
"JOSH HOUGH","CINCINNATI",71,23.6666666666667,3,58.88,"C+"
"TYRIQUE TUCKER","INDIANA",103,34.3333333333333,3,56.27,"C+"
"DARIN CONLEY","WASHINGTON",115,38.3333333333333,3,56.26,"C+"
"JUSTIN SCOTT","MIAMI FL",116,38.6666666666667,3,56.11,"C+"
"HERO KANU","TEXAS",91,30.3333333333333,3,55.93,"C+"
"JADEN WILLIAMS","KENTUCKY",115,38.3333333333333,3,55.89,"C+"
"RONDO PORTER","RUTGERS",116,38.6666666666667,3,55.86,"C+"
"DARRION HENRY-YOUNG","VIRGINIA",57,28.5,2,55.74,"C+"
"KADEAR DEMBELE","WAKE",57,28.5,2,55.55,"C+"
"VINCENT CARROLL-JACKSON","GA TECH",122,40.6666666666667,3,55.25,"C+"
"CURT NEAL","PURDUE",119,39.6666666666667,3,54.87,"C+"
"MATEEN IBIROGBA","TEXAS TECH",134,44.6666666666667,3,54.68,"C+"
"MATTHEW JOHNSON","OREGON",56,28,2,54.62,"C+"
"KEDRICK BINGLEY-JONES","ALABAMA",61,20.3333333333333,3,54.39,"C+"
"EAMON SMALLS","KANSAS",57,28.5,2,54.36,"C+"
"TRAVIS BATES","KANSAS ST",123,41,3,54.25,"C+"
"PRESTON WATSON","DUKE",95,31.6666666666667,3,54.13,"C+"
"DALLAS WALKER IV","AUBURN",131,43.6666666666667,3,53.73,"C+"
"BRYSON LAMB","IOWA STATE",98,32.6666666666667,3,53.72,"C+"
"HAMMOND RUSSELL IV","WISCONSIN",82,27.3333333333333,3,53.72,"C+"
"ISAIAH JOHNSON","N CAROLINA",77,38.5,2,53.6,"C+"
"ENOW ETTA","MICHIGAN",84,42,2,53.54,"C+"
"BEN ROBERTS","MICH STATE",87,29,3,53.4,"C+"
"GERARD JOHNSON III","VA TECH",31,15.5,2,53.23,"C"
"LAVON JOHNSON","MARYLAND",74,24.6666666666667,3,53.19,"C"
"KARSON KAUFUSI","UTAH",90,30,3,52.95,"C"
"CHRIS MURRAY","AUBURN",70,35,2,52.75,"C"
"JAMES SMITH","OHIO STATE",57,28.5,2,52.74,"C"
"ZAIMIR HAWK","IOWA STATE",78,26,3,52.73,"C"
"MATT HERRON","WAKE",107,35.6666666666667,3,52.56,"C"
"JARTAVIUS FLOUNOY","SYRACUSE",35,17.5,2,52.26,"C"
"RILEY VAN POPPEL","NEBRASKA",76,25.3333333333333,3,52.17,"C"
"JJ HANNE","GEORGIA",47,15.6666666666667,3,52.05,"C"
"CHRIS MARABLE JR.","BOSTON COL",45,22.5,2,51.96,"C"
"BRADLEY MANN","VANDERBILT",53,26.5,2,51.68,"C"
"DAVID OKE","ARKANSAS",87,29,3,51.67,"C"
"STEPHIYLAN GREEN","LSU",83,27.6666666666667,3,51.64,"C"
"HOSEA WHEELER","BAYLOR",102,34,3,51.62,"C"
"JAMAAL WHYCE JR.","BAYLOR",90,30,3,51.61,"C"
"BRYCE BUTLER","TEXAS TECH",59,19.6666666666667,3,51.47,"C"
"DENIGEL COOPER","WISCONSIN",44,22,2,51.43,"C"
"TRENTON TURNER","UCF",45,22.5,2,51.43,"C"
"EDDRICK HOUSTON","OHIO STATE",92,30.6666666666667,3,51.41,"C"
"KAM FRANKLIN","OLE MISS",63,31.5,2,51.4,"C"
"DAVID STONE","OKLAHOMA",119,39.6666666666667,3,51.36,"C"
"LUKE GAFFNEY","IOWA",42,21,2,51.31,"C"
"LONDON SIMMONS","ALABAMA",71,23.6666666666667,3,51.18,"C"
"COREY MCINTYRE JR.","W VIRGINIA",126,42,3,51.15,"C"
"ANTHONY BRITTON","VIRGINIA",65,32.5,2,51.06,"C"
"JAMARI LYONS","FLORIDA",43,21.5,2,51.05,"C"
"BRENDAN BETT","FLORIDA",102,34,3,50.92,"C"
"JACE GILBERT","IOWA STATE",55,18.3333333333333,3,50.91,"C"
"JOURDIN CRAWFORD","AUBURN",81,27,3,50.91,"C"
"DYLAN MANUEL","COLORADO",147,49,3,50.83,"C"
"DEREK WILKINS","CAL",109,36.3333333333333,3,50.63,"C"
"KEMARI COPELAND","VA TECH",89,29.6666666666667,3,50.57,"C"
"JONAH LEA'EA","MICHIGAN",63,21,3,50.49,"C"
"ZAIRE ANGOY","RUTGERS",70,23.3333333333333,3,50.49,"C"
"KALEN EDWARDS","KENTUCKY",69,23,3,50.48,"C"
"MARKIS DEAL","TCU",55,27.5,2,50.39,"C"
"SEAN FITZSIMMONS","PITTSBURGH",125,41.6666666666667,3,50.01,"C"
"KAMREN WASHINGTON","BAYLOR",72,24,3,49.97,"C"
"BRAD GURLEY JR.","UCF",75,25,3,49.94,"C"
"MIKESHUN BEELER","MICH STATE",64,21.3333333333333,3,49.84,"C"
"MARCUS CALVIN","KANSAS",121,40.3333333333333,3,49.74,"C"
"MICAH AMEDEE","BOSTON COL",99,33,3,49.7,"C"
"TYLER GANT","NWESTERN",82,41,2,49.69,"C"
"TERRANCE GREEN","ALABAMA",86,28.6666666666667,3,49.68,"C"
"JARAY BLEDSOE","MISS STATE",102,34,3,47.34,"C"
