"Name","Team","SNAPS","Composite_Score","Player_Grade","Runblock.Grade","Percentage.of.Positive.Grade","Passblock.Grade","Defeated.Runblock.Percentage","Knockdown.Percentage","Pass.Block.Efficiency","Pressure.allowed.Percentage","Hurries.Allowed","Beaten.by.Defender","Hits.Allowed","Sacks.Allowed"
"NINO FRANCAVILLA","BUFFALO",84,100,"A",81.6,0.095,82.1,0,0,100,0,0,1,0,0
"JOE ROUNDS","SO MISS",64,96.6,"A",78.2,0.141,66.6,0.111,0,0,0,0,1,0,0
"TYHLER WILLIAMS","GA STATE",48,90.18,"A",73.9,0.104,84.4,0.043,0,0,0,0,0,0,0
"MIKEL UDENGWU","TEXAS ST",55,87.55,"A",68.1,0.073,82.5,0.115,0,100,0,0,0,0,0
"K'LEYONE IOSUA","UTAH ST",48,80.05,"A",64.8,0.063,83,0.095,0,100,0,0,0,0,0
"ALEXIS SANCHEZ","BOWL GREEN",69,76.01,"B",66.2,0.043,84.1,0.083,0,100,0,0,0,0,0
"KENTON JERIDO","S ALABAMA",90,73.83,"B",63.1,0.089,67.5,0.2,0.057,100,0.057,0,0,1,1
"CHRIS MORENO","MIDDLE TN",51,69.44,"B",63.7,0.078,81.5,0.045,0,0,0,0,0,0,0
"JAMES WILLIAMS","NEW MEX ST",55,64.54,"B",66.6,0.055,82.6,0,0,0,0,0,0,0,0
"JAYDEN THOMAS","APP STATE",43,64.4,"B",62.9,0.047,80.3,0.143,0,0,0,0,0,0,0
"ZACH GREENBERG","JAMES MAD",54,61.19,"B",65.7,0.074,64.5,0.097,0,0,0,0,1,0,0
"AARON FENIMORE","LIBERTY",69,60.93,"B",58.3,0.043,83.2,0.171,0,0,0,0,0,0,0
"MATEO GUEVARA","KENNESAW",58,60.29,"B",66.3,0.052,67.8,0.071,0,98.3,0.033,1,0,0,0
"GRIFFIN SCROGGS","UNLV",59,59.82,"C",65.1,0.085,75,0.132,0,0,0.048,1,1,0,0
"LUKE LAPEZE","UTSA",54,58.95,"C",63.6,0.056,70.5,0.136,0,0,0,0,1,0,0
"COLIN LYONS","AKRON",58,58.03,"C",54.7,0,83.9,0.227,0,100,0,0,0,0,0
"JOSEPH HARBERT","S JOSE ST",74,57.94,"C",56.9,0.014,84.9,0.094,0,100,0,0,0,0,0
"LUCAS MRACHKOVSKIY","JVILLE ST",50,57.54,"C",58.1,0.04,81.7,0.143,0,0,0,0,0,0,0
"KADEN ROBNETT","NEW MEXICO",64,57.47,"C",72.6,0.078,50,0,0,0,0,0,1,0,0
"STEVEN DEMBOSKI","DELAWARE",59,57.44,"C",57,0.034,77.5,0.111,0,100,0,0,1,0,0
"NIC CRUJI","CHARLOTTE",76,57.39,"C",58.5,0.026,85.5,0.167,0,0,0,0,0,0,0
"ISAIAH VILLANUEVA","MO STATE",41,56.17,"C",52.9,0.024,81.4,0.318,0,0,0,0,0,0,0
