"Name","Team","Offensive.Snaps","Composite_Score","Player_Grade","Season","Position","Conference","Conference_Level","Pass.Grade","Dropbacks","Attempts","Completion","Completion.Percentage","Adjusted.Completion.Percentage","Passing.Yards","Yards.per.Attempt.Pass","Yards.After.Catch.per.Completion.Percentage","Passing.Touchdowns","Interceptions","Sacks","Average.Time.to.Throw","Batted.Passes","Pass.Break.Up","Turnover.Worthy.Plays","Turnover.Worthy.Plays.Percentage","Big.Time.Throws","Big.Time.Throw.Percentage","Dropped.Passes","NFL.Passer.Rating","Average.Depth.of.Targets","Short.of.Sticks.Percentage","Percentage.of.Pass.Attempts.passed.First.Down.Markers","Air.Yards.Percentage","First.Downs","Play.Action.Percentage","Accuracy.Attempts","Accurate.Plus.Percentage","Catchable.Innacurate.Percentage","Uncatchable.Innacurage.Percentage","Other.Percentage","Accurate.Throw.Percentage","Rush.Grade","Rush.Yards","Yards.per.Attempt.Rush","Rush.Touchdowns","First.Down.Runs","Fumbles","Fumbles.Lost","Missed.Tackles.on.Runs","Yards.before.Contact.per.Attempt","Yards.after.Contract.per.Attempt","Scrambles","First.down.or.Touchdown.percentage","Missed.Tackles.forced.per.Attempt","Explosive.Runs","Change.of.direction.percentage","row_id"
"CADEN CREEL","JVILLE ST",58,100,"A",2026,"QB","C-USA","G5",89.5,34,30,23,"76.70%","80.00%",344,11.5,"42.40%",5,1,1,2.45,0,1,1,"2.90%",4,"13.30%",1,139.4,10.1,"46.70%","53.30%","57.60%",17,"50.00%",30,"30.00%","23.30%","16.70%","0","60.00%",70.5,54,6,0,4,0,0,1,3.9,2.1,3,"44.40%",0.11,2,"0.00%",18
"COLE GONZALES","CHARLOTTE",76,91.43,"A",2026,"QB","The American","G5",79.5,46,43,28,"65.10%","77.50%",322,7.5,"46.30%",3,2,1,2.6,1,2,1,"2.20%",5,"11.60%",3,91.4,7.6,"51.20%","41.90%","56.50%",15,"21.70%",40,"7.50%","32.50%","20.00%","7.50%","47.50%",59.5,37,7.4,2,2,0,0,1,5.6,1.8,2,"40.00%",0.2,2,"0.00%",14
"BLAKE BAKER","LA TECH",28,86.99,"A",2026,"QB","Sun Belt","G5",87.3,15,15,11,"73.30%","84.60%",232,15.5,"55.20%",3,0,0,2.37,1,0,0,"0.00%",1,"6.70%",0,154.9,9.8,"26.70%","60.00%","44.80%",8,"53.30%",13,"7.70%","0","15.40%","15.40%","84.60%",63.3,1,1,0,1,0,0,0,1,0,0,"100%",0,0,"0.00%",19
"QUINN HENICLE","DOMINION",56,82.86,"A",2026,"QB","Sun Belt","G5",63.6,19,13,9,"69.20%","76.90%",143,11,"38.50%",2,1,3,3.05,0,0,1,"5.30%",0,"0.00%",1,113.1,11.2,"46.20%","53.80%","67.80%",9,"10.50%",11,"9.10%","18.20%","9.10%","18.20%","72.70%",71.6,84,6.5,2,7,0,0,3,2.3,2.5,3,"53.80%",0.23,6,"0.00%",50
"RICKIE COLLINS","KENNESAW",58,76.38,"B",2026,"QB","C-USA","G5",71.8,30,26,20,"76.90%","84.00%",179,6.9,"65.40%",1,0,2,2.7,0,1,0,"0.00%",1,"3.90%",1,107.7,5.8,"73.10%","23.10%","38.60%",11,"23.30%",24,"8.30%","25.00%","12.50%","8.30%","62.50%",72.2,52,8.7,2,3,1,1,3,4.5,3.7,2,"50.00%",0.5,2,"0.00%",22
"DEUCE BAILEY","COAST CAR",69,74.17,"B",2026,"QB","Sun Belt","G5",71.9,52,43,22,"51.20%","66.70%",373,8.7,"45.60%",3,0,4,3.45,2,6,1,"1.90%",2,"4.70%",2,104.1,10.8,"27.90%","55.80%","56.60%",20,"19.20%",34,"5.90%","11.80%","26.50%","26.50%","61.80%",67,54,10.8,0,1,0,0,1,3.4,0,5,"20.00%",0.2,2,"0.00%",55
"MALACHI SINGLETON","APP STATE",52,74.08,"B",2026,"QB","Sun Belt","G5",69.5,27,25,22,"88.00%","91.70%",291,11.6,"71.50%",3,0,2,2.56,0,0,1,"3.70%",0,"0.00%",0,154.8,7,"64.00%","32.00%","31.30%",17,"55.60%",23,"8.70%","13.00%","8.70%","8.70%","78.30%",62.7,5,1.7,0,2,0,0,0,0,1.7,0,"66.70%",0,0,"0.00%",21
"LUNCH WINFIELD","LA LAFAYET",51,69.25,"B",2026,"QB","Sun Belt","G5",79.8,26,23,16,"69.60%","72.70%",196,8.5,"59.20%",0,2,0,2.75,0,0,0,"0.00%",1,"4.30%",0,59.3,7.6,"60.90%","34.80%","40.80%",13,"42.30%",20,"10.00%","25.00%","20.00%","15.00%","55.00%",71,84,10.5,1,4,0,0,3,2.3,3.9,3,"50.00%",0.38,4,"20.00%",34
"NICK MINICUCCI","DELAWARE",59,68.92,"B",2026,"QB","C-USA","G5",69.1,40,36,20,"55.60%","65.70%",331,9.2,"29.00%",2,1,1,2.77,0,3,2,"5.00%",1,"2.80%",3,93.6,13.8,"38.90%","58.30%","72.20%",16,"20.00%",34,"2.90%","23.50%","29.40%","5.90%","47.10%",52.9,17,3.4,1,2,1,0,1,0.4,3,3,"40.00%",0.2,1,"0.00%",25
"HAUSS HEJNY","COLO STATE",70,67.96,"B",2026,"QB","Pac-12","G5",63.5,37,35,24,"68.60%","74.30%",259,7.4,"66.80%",5,0,0,2.39,0,2,0,"0.00%",2,"5.70%",2,129.6,6.7,"51.40%","48.60%","39.00%",11,"18.90%",33,"9.10%","18.20%","21.20%","6.10%","60.60%",62.8,35,3.5,0,1,0,0,4,1.3,2.2,2,"10.00%",0.4,1,"0.00%",37
