"Name","Team","Jersey.Number.x","Position","Season","Conference.x","Rush.Grade","Key.Plays.x","Attempts","Rush.Yards","Yards.per.Attempt","Rush.Touchdowns","First.Down.Runs","Fumbles.x","Fumbles.Lost.x","Missed.Tackles.on.Runs","Yards.before.Contact","Yards.before.Contact.per.Attempt","Yards.after.Contact","Yards.after.Contract.per.Attempt","Scrambles","First.down.or.Touchdown.percentage","Missed.Tackles.forced.per.Attempt","Explosive.Runs","Change.of.direction.percentage","Team.Name","Jersey.Number.y","Conference.y","Receiving.Grade","Key.Plays.y","Receiving.Snaps","Snaps.on.Press.Coverage","Targets","Receptions","Receiving.Yards","Yards.per.Reception","Receiving.Touchdowns","Receiving.First.Downs","Dropped.Passes","Fumbles.y","Fumbles.Lost.y","Catchable.Targets","Contested.Targets","Contested.Catches","Yards.after.Catch","Yards.After.Catch.per.Reception","Receiving.Yards.after.Contract","Contested.Catches.Percentage","Yards.per.Route.Run","Average.Depth.of.Target","Explosive.Plays","Missed.Tackles.forced.on.Receptions","Percentage.of.Catchable.Passes.Caught","Dropped.Catchable.Passes.Percentage","Contested.Catches.Caught.Percentage","Passer.Rating.when.Targetted","Slot.Target.Percentage","Deep.Target.Percentage","Completion.Percentage.when.Targeted","Percentage.of.Targets.per.Receiving.Snaps","Conference","Conference_Level","Offensive.Snaps","Composite_Score","Player_Grade"
"JAYLIN CARTER","MEMPHIS",6,"HB",2026,"The American",88.6,13,19,183,9.6,4,8,0,0,5,43,2.3,140,7.4,0,0.421,0.26,5,0.053,"MEMPHIS",6,"The American",78.2,1,2,0,1,1,18,18,0,1,0,0,0,1,0,0,15,15,0,0,9,3,1,1,"100%","0.00%","0.00%",118.8,0,0.5,0,"100%","The American","G5",30,100,"A"
"JAI'DEN THOMAS","UNLV",9,"HB",2026,"MWC",78.9,13,21,151,7.2,1,6,0,0,10,25,1.2,126,6,0,0.286,0.48,5,0.191,"UNLV",9,"MWC",39.9,2,16,1,2,1,-2,-2,0,0,1,0,0,2,0,0,2,2,2,0,-0.13,-0.5,0,1,"50.00%","50.00%","0.00%",56.3,0,0.125,0,"50.00%","MWC","G5",52,79.82,"B"
"KEVEUN MASON","TEMPLE",26,"HB",2026,"The American",82.8,13,20,158,7.9,2,6,0,0,4,82,4.1,76,3.8,0,0.3,0.2,4,0.05,"TEMPLE",26,"The American",73.7,3,9,0,2,2,34,17,0,1,0,0,0,2,0,0,38,19,7,0,3.78,-2,1,0,"100%","0.00%","0.00%",118.8,0,0.222,0,"100%","The American","G5",40,79.08,"B"
"AJAY ALLEN","W KENTUCKY",3,"HB",2026,"C-USA",79.3,12,20,99,5,2,10,0,0,10,9,0.5,90,4.5,0,0.5,0.5,4,0.25,"W KENTUCKY",3,"C-USA",60.8,2,21,1,4,2,7,3.5,0,1,0,0,0,2,0,0,5,2.5,2,0,0.33,1.5,0,0,"100%","0.00%","0.00%",56.3,0.048,0.191,0,"50.00%","C-USA","G5",49,77.95,"B"
"DOMINIC KELLEY","NEVADA",0,"HB",2026,"MWC",87.5,10,11,152,13.8,2,5,0,0,4,110,10,42,3.8,0,0.455,0.36,2,0.273,"NEVADA",0,"MWC",55.6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%","0.00%","0.00%",0,0,0,0,"0.00%","MWC","G5",26,73.81,"B"
"STEVEN ROBINSON","SO MISS",14,"HB",2026,"Sun Belt",79.3,17,23,123,5.3,3,10,0,0,3,49,2.1,74,3.2,0,0.435,0.13,3,0.087,"SO MISS",14,"Sun Belt",53.7,1,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,"0.00%","0.00%","0.00%",39.6,0.077,0.077,0,"0.00%","Sun Belt","G5",36,66.52,"B"
"KHAMANI ALEXANDER","CHARLOTTE",5,"HB",2026,"The American",76.1,6,14,138,9.9,1,5,0,0,4,26,1.9,112,8,0,0.357,0.29,4,0,"CHARLOTTE",5,"The American",58,1,14,0,2,1,5,5,0,0,0,0,0,1,1,0,3,3,1,0,0.36,4,0,0,"100%","0.00%","50.00%",56.3,0,0.143,0,"50.00%","The American","G5",35,65.37,"B"
"LATRELLE MURRELL","KENNESAW",6,"HB",2026,"C-USA",91,7,9,88,9.8,2,5,0,0,7,9,1,79,8.8,0,0.556,0.78,3,0,"KENNESAW",6,"C-USA",58,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%","0.00%","0.00%",0,0,0,0,"0.00%","C-USA","G5",21,63.51,"B"
"JAMES JONES","NEW MEX ST",2,"HB",2026,"C-USA",68,11,20,135,6.8,1,4,0,0,4,67,3.4,68,3.4,0,0.2,0.2,3,0,"NEW MEX ST",2,"C-USA",69.1,1,4,0,1,1,2,2,1,1,0,0,0,1,0,0,2,2,0,0,0.5,0,0,0,"100%","0.00%","0.00%",118.8,0,0.25,0,"100%","C-USA","G5",28,61.59,"B"
"A'MARION PETERSON","UTSA",28,"HB",2026,"The American",91.1,6,8,96,12,1,4,0,0,6,29,3.6,67,8.4,0,0.5,0.75,2,0,"UTSA",28,"The American",57.9,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%","0.00%","0.00%",0,0,0,0,"0.00%","The American","G5",NA,59.69,"C"
"CONNOR WALENDZAK","TOLEDO",8,"HB",2026,"MAC",85.4,3,7,76,10.9,1,1,0,0,6,61,8.7,15,2.1,0,0.143,0.86,1,0.143,"TOLEDO",8,"MAC",64.8,1,14,0,3,3,18,6,0,0,0,0,0,3,0,0,8,2.7,1,0,1.29,3.3,0,0,"100%","0.00%","0.00%",91.7,0,0.214,0,"100%","MAC","G5",25,54.64,"C"
"ROD ROBINSON II","UAB",2,"HB",2026,"The American",75,6,15,70,4.7,0,4,0,0,7,12,0.8,58,3.9,0,0.267,0.47,2,0.133,"UAB",2,"The American",74.6,2,15,1,2,2,14,7,1,1,0,0,0,2,0,0,13,6.5,7,0,0.93,0.5,0,2,"100%","0.00%","0.00%",135.4,0,0.133,0,"100%","The American","G5",32,54.05,"C"
"WILL HENDERSON III","UTSA",1,"HB",2026,"The American",74.6,5,10,101,10.1,1,2,0,0,4,77,7.7,24,2.4,0,0.2,0.4,1,0.2,"UTSA",1,"The American",56.6,2,17,0,2,2,10,5,0,1,0,0,0,2,0,0,12,6,5,0,0.59,-1,0,0,"100%","0.00%","0.00%",87.5,0,0.118,0,"100%","The American","G5",32,53.76,"C"
"D'ANDRE HARDEMAN JR.","RICE",28,"HB",2026,"The American",76.9,10,12,84,7,1,4,1,0,7,39,3.3,45,3.8,0,0.333,0.58,4,0.083,"RICE",28,"The American",57,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%","0.00%","0.00%",0,0,0,0,"0.00%","The American","G5",23,53.25,"C"
"JAHIEM WHITE","N TEXAS",1,"HB",2026,"The American",64,5,16,61,3.8,1,3,0,0,7,13,0.8,48,3,0,0.188,0.44,2,0.125,"N TEXAS",1,"The American",73.5,6,21,1,8,7,36,5.1,0,2,0,0,0,7,1,0,50,7.1,11,0,1.71,-1.6,0,1,"100%","0.00%","12.50%",85.4,0.048,0.381,0,"87.50%","The American","G5",44,52.03,"C"
"ANTONIO MARTIN","MIDDLE TN",8,"HB",2026,"C-USA",70.9,9,15,93,6.2,0,4,0,0,5,15,1,78,5.2,0,0.267,0.33,3,0.133,"MIDDLE TN",8,"C-USA",67.5,2,12,0,2,2,10,5,0,0,0,0,0,2,0,0,12,6,-1,0,0.83,-1,0,2,"100%","0.00%","0.00%",87.5,0,0.167,0,"100%","C-USA","G5",30,51.79,"C"
"JABARI BATES","S JOSE ST",6,"HB",2026,"MWC",67.5,10,21,120,5.7,0,5,0,0,3,62,3,58,2.8,0,0.238,0.14,4,0.048,"S JOSE ST",6,"MWC",29.9,3,12,0,3,1,13,13,0,0,1,0,0,3,1,0,20,20,3,0,1.08,-2.3,0,0,"33.30%","33.30%","33.30%",47.9,0.083,0.25,0,"33.30%","MWC","G5",57,51.5,"C"
