"Name","Team.Name","Offensive.Snaps","Composite_Score","Player_Grade"
"JEREMIAH SCOBY","BOWL GREEN",49,100,"A"
"CADEN JENSEN","LA LAFAYET",38,78,"B"
"ELI FINLEY","LA TECH",33,76.8,"B"
"DARRIN FUGITT","APP STATE",29,73.18,"B"
"TOBY PAYNE","MARSHALL",49,69.4,"B"
"MATT WAGNER","BOISE ST",49,67.76,"B"
"KEYAN BURNETT","UNLV",38,60.95,"B"
"FABIAN ROGOSCH","TROY",30,58.77,"C"
"LUKE GILBERT","JVILLE ST",31,57.86,"C"
"ERIC OLSEN","OREGON ST",45,54.66,"C"
"DAVID ALPERS III","JVILLE ST",20,53.57,"C"
"JAKE WILSON","WYOMING",37,50.51,"C"
"JAMEL HOWSE","APP STATE",22,50.28,"C"
"LEON HAUGHTON JR.","DOMINION",55,47.27,"C"
"CADE KEITH","NEW MEXICO",53,46.96,"C"
"JOSHUA LONG","E MICHIGAN",69,46.48,"C"
"BRANDON YOUNG JR.","UTSA",17,45.73,"C"
"ELI JACON-DUFFY","BOWL GREEN",63,44.78,"C"
"HUNTER TIPTON","MEMPHIS",43,44.7,"C"
"JAMES RESAR","FIU",50,44.61,"C"
"DECORION TEMPLE","OREGON ST",54,40.95,"C"
"JOSIAH THOMAS","NEW MEX ST",15,40.81,"C"
"TATE HOOVER","BALL ST",43,40.18,"C"
"DJ ASIASI","NEVADA",43,38.58,"D"
"BRYCE ANDERSON","LA MONROE",37,35.97,"D"
"CC EZIRIM","W KENTUCKY",36,35.93,"D"
"JAMESON SCISSUM","JVILLE ST",21,35.54,"D"
"CLINT WALKER","BUFFALO",84,35.47,"D"
"ELIJAH ALEXANDER","AKRON",30,34.18,"D"
"MATT BURON","GA STATE",19,33.68,"D"
"LAKELSEY JOHNSON JR.","LIBERTY",42,33.59,"D"
"RIVER HELMS","GA SOUTHRN",58,32.98,"D"
"ELIJAH SESSOMS","DELAWARE",30,32.66,"D"
"AIDAN O'CALLAGHAN","MEMPHIS",20,31.81,"D"
"ZEKE WIMBUSH","LIBERTY",33,30.43,"D"
"JACKSON VERDUGO","FIU",43,30.01,"D"
"ISAAC SCHOENFELD","WYOMING",15,29.71,"D"
"TEDDY GAWLIK","LA LAFAYET",36,29.06,"D"
"DILLON HIPP","MO STATE",21,28.36,"D"
"MAX WHISNER","SM HOUSTON",27,27.98,"D"
"CYRUS ELLISON","COAST CAR",31,27.76,"D"
"BLAKE SMITH","TEXAS ST",29,27.41,"D"
"CASH CHEEKS","UTEP",32,26.84,"D"
"COLE KELLER","JAMES MAD",48,26.83,"D"
"KAMAEHU KOPA-KAAWALAUOLE","S JOSE ST",32,25.71,"D"
"TREVOR WILSON","BUFFALO",52,25.5,"D"
"PRESTON KILGORE","SO MISS",34,25.44,"D"
"BREC LONG","N TEXAS",38,25.37,"D"
"COLLIN REMENOWSKY","UTAH ST",22,25.14,"D"
"BRENDAN LOFTUS","MIAMI OH",16,25.1,"D"
"LUKE DOUGLAS","APP STATE",25,24.9,"D"
"TERIK MULDER","KENT STATE",25,24.55,"D"
"KYLE FRENDT","WYOMING",19,24.49,"D"
"WYATT SULLIVAN","USF",34,24.21,"D"
"SCOTT ISACKS","UAB",42,24.11,"D"
"JORDAN CLARK","RICE",25,24.07,"D"
"GAVIN CORREIA","FRESNO ST",25,23.69,"D"
"HUNTER HOPPERTON","KENT STATE",22,23.42,"D"
"LUKE CLYBURN","USF",31,23.42,"D"
"ROD GIBBS","S ALABAMA",66,22.32,"D"
"BRAYDEN BOCKLER","LA TECH",22,21.73,"D"
"MAX REESE","N TEXAS",47,21.13,"D"
"JOSH BURRELL","ARK STATE",27,20.74,"D"
"TAYVION GALLOWAY","MIDDLE TN",26,18.08,"F"
"ISMAEL SMITH FLORES","E CAROLINA",23,18.02,"F"
"DOMINIC TOY","COLO STATE",41,17.68,"F"
"WESLEY CAMPBELL VI","GA STATE",28,17.5,"F"
"GLEN WEBER","N ILLINOIS",20,17.39,"F"
"DAVIS LANE","RICE",48,17.35,"F"
"WILL SWARTZ","RICE",29,16.73,"F"
"ADAM PARKS","W MICHIGAN",52,15.82,"F"
"GERARD BULLOCK JR.","KENNESAW",29,15.3,"F"
"CONNER CRAVAACK","AKRON",29,15.13,"F"
"TANNER LEMASTER","E MICHIGAN",33,14.96,"F"
"AJ JOHNSON","FAU",74,14.82,"F"
"LOFTON HOWARD","W KENTUCKY",34,13.97,"F"
"CALEB RYAN","LIBERTY",17,13.96,"F"
"JEREMIAH BECK JR.","SO MISS",24,13.93,"F"
"TY STAMEY","TEXAS ST",21,13.75,"F"
"AJ MILLER","OHIO",25,13.05,"F"
"PETER CLARKE","TEMPLE",49,12.91,"F"
"JOSH HUMES","DELAWARE",21,12.46,"F"
"GUS MCGEE","CHARLOTTE",38,12.36,"F"
"JACKSON WORLEY","TROY",59,12.25,"F"
"NATE LEVICKI","W MICHIGAN",30,11.89,"F"
"CHRISTIAN ROSS","MIAMI OH",25,10.39,"F"
"JUICE VEREEN","COLO STATE",28,10.29,"F"
"JERRY LYDIATT","NEW MEX ST",28,10.22,"F"
"JACK PEDERSEN","WASH STATE",54,10.12,"F"
"ANDREW METZGER","OHIO",19,9.68,"F"
"BRADY RHOADS","CHARLOTTE",15,9.48,"F"
"JP MIKHAEL","GA SOUTHRN",26,8.95,"F"
"CHRIS GACAYAN II","TULSA",26,8.44,"F"
"REED JESIOLOWSKI","KENNESAW",45,7.42,"F"
"JACKSON FORD","S DIEGO ST",28,7.12,"F"
"TY THOMPSON","TULANE",27,6.6,"F"
"JAKE APPLEGET","FRESNO ST",38,5.69,"F"
"ANTONIO FERGUSON","UAB",44,5.44,"F"
"EZRA BURGESS","ARK STATE",19,5.32,"F"
"JASON FOWLER","N ILLINOIS",21,4.9,"F"
"MATT BYRNES","UNLV",36,4.86,"F"
"KAUASI HANSEN","UTAH ST",24,4.82,"F"
"CARTER ECK","NEVADA",16,4.74,"F"
"THATCHER MILLER","JAMES MAD",20,4.74,"F"
"JEWLYEN ROBERTS","TULSA",22,4.69,"F"
"JAKE FURTNEY","OHIO",25,4.6,"F"
"BLANE CLEAVER","BOWL GREEN",20,4.45,"F"
"SCOTT MOORE","DELAWARE",16,4.45,"F"
"AVION MCBRIDE","GA STATE",26,4.43,"F"
"MAX MOSEY","RICE",16,4.41,"F"
"DEVON TAUAEFA","HAWAII",16,4.21,"F"
"JAMES FALK","RICE",29,4.14,"F"
"ELIJAH MULIUFI","S DIEGO ST",16,4.07,"F"
"EVAN DANGLER","USF",27,3.93,"F"
"RYAN WOLFER","S DIEGO ST",16,3.81,"F"
"JOE STEIN","N ILLINOIS",18,3.78,"F"
"JACOB NEWELL","TOLEDO",18,3.73,"F"
"KIME FANGUPO","S DIEGO ST",17,3.71,"F"
"CADE CALLAHAN","LA MONROE",25,3.69,"F"
"EVAN POTICHER","MIDDLE TN",19,3.63,"F"
"KYLE MULLENIX","GA STATE",19,3.61,"F"
"NADER CHIRCHI","COLO STATE",40,3.59,"F"
"GABE MILBOURN","OREGON ST",18,3.53,"F"
"SAM LEE","TOLEDO",28,3.52,"F"
"BEN GRICE","RICE",34,3.43,"F"
"EMILIANO SOLDEVILLA","LA LAFAYET",25,3.4,"F"
"SIMON MAPA","NEW MEXICO",34,3.34,"F"
"DAWSON JOHNSON","TULANE",26,3.29,"F"
"CARSON SU'ESU'E","NEW MEX ST",23,3.25,"F"
"BRODERICK PETERS","SO MISS",38,3.25,"F"
"ISAIAH BUTLER-TANNER","UTSA",29,3.18,"F"
"KACHE KAIO","UTAH ST",57,2.84,"F"
"ALEX SCHERLE","BALL ST",28,2.75,"F"
"MATT SMITH","SM HOUSTON",21,1.08,"F"
"TYLER LITTLE","ARK STATE",29,1.01,"F"
"LOGAN MAULDIN","CHARLOTTE",16,0.6,"F"
"RUSTY VANWETZINGA IV","C MICHIGAN",21,0.48,"F"
"RYDER KUSCH","TEMPLE",26,0,"F"
