"Name","Team","SNAPS","Composite_Score","Player_Grade","Runblock.Grade","Percentage.of.Positive.Grade","Passblock.Grade","Defeated.Runblock.Percentage","Knockdown.Percentage","Pass.Block.Efficiency","Pressure.allowed.Percentage","Hurries.Allowed","Beaten.by.Defender","Hits.Allowed","Sacks.Allowed"
"ASHTON BEERS","MINNESOTA",49,100,"A",78.9,0.163,82.5,0.125,0,100,0,0,0,0,0
"DOMINICK GIUDICE","MISSOURI",38,90.13,"A",68.4,0.132,81.5,0.176,0,100,0,0,0,0,0
"KASEN CARPENTER","KANSAS",59,88.82,"A",78.8,0.136,81.6,0.054,0,100,0,0,0,0,0
"COLIN SORENSEN","MISSOURI",41,83.03,"A",71.9,0.122,81,0.083,0,100,0,0,0,0,0
"RYAN RODRIGUEZ","MIAMI FL",56,82.26,"A",73.6,0.143,77.8,0.217,0,0,0,0,0,0,0
"BRUCE MITCHELL","BYU",45,80.31,"A",81.2,0.178,80.9,0.043,0,0,0,0,0,0,0
"WILL WAY","WAKE",43,74.14,"B",66.3,0.07,66.8,0.25,0,100,0,0,1,0,0
"TOMMY RICARD","VA TECH",39,73.87,"B",75.5,0.154,78.4,0.08,0,0,0,0,0,0,0
"JAKE RENFRO","ILLINOIS",44,73.25,"B",70.4,0.091,81.1,0.045,0,100,0,0,0,0,0
"SEAN KINNEY","COLORADO",34,70.03,"B",60.5,0.088,70.7,0.15,0,100,0,0,0,0,0
"CANON BOONE","MISS STATE",51,69.72,"B",67.7,0.059,82.4,0.273,0,0,0,0,0,0,0
"ZACH HENNING","ARIZONA",55,66.57,"B",71.7,0.109,83.2,0.1,0,0,0,0,0,0,0
"CALEB NITTA","OKLAHOMA",31,66.21,"B",68.2,0.129,78.2,0.111,0,0,0,0,0,0,0
"DEMETRIUS HUNTER","COLORADO",44,66.09,"B",63.4,0.045,81.9,0.115,0,100,0,0,0,0,0
"MICHAEL HERSHEY","MARYLAND",55,65.82,"B",76.1,0.109,83.6,0.048,0,0,0,0,0,0,0
