"Name","Team","Offensive.Snaps","Composite_Score","Player_Grade"
"GREG JOHNSON","MINNESOTA",49,100,"A"
"AMIR HERRING","KANSAS",51,82.2,"A"
"ZACK OWENS","MISSOURI",41,79.45,"B"
"TAVAKE TUIKOLOVATU","KANSAS",59,79.44,"B"
"KADE PIEPER","IOWA",39,75.39,"B"
"KHALIEF CANTY JR.","MISSOURI",40,75.02,"B"
"CHARLIE ADAMS","KANSAS ST",33,74.84,"B"
"MAIKA MATELAU","ILLINOIS",44,74.25,"B"
"CHRIS VIGNA","RUTGERS",27,73.46,"B"
"JAYVON MCFADDEN","COLORADO",78,73.44,"B"
"BRADY WAYBURN","UCF",42,72.52,"B"
"CHAUNCEY GOODEN","COLORADO",67,72.48,"B"
"SHADRE HURST","HOUSTON",76,71.13,"B"
"XAVIER LOZOWICKI","CINCINNATI",61,70.82,"B"
"SONNY MAKASINI","BYU",45,70.61,"B"
"RHINO TAPA'ATOUTAI","ARIZONA",55,68.84,"B"
"OWEN SPELL","UCF",39,68.84,"B"
"TONY NELSON","MINNESOTA",38,68.66,"B"
"ALEXANDER DOOST","ARIZONA",55,67.29,"B"
"TRISTAN WILSON","MISSOURI",38,66.61,"B"
"BRANDON HENDERSON","ILLINOIS",39,66.37,"B"
"JADEN BALL","MINNESOTA",28,66.29,"B"
"RYAN BERGER","WAKE",67,66.25,"B"
"CARTER SWEAZIE","UCLA",34,65.56,"B"
"TYSON RUFFINS","CAL",90,64.56,"B"
"SEUSEU ALOFAITULI","MIAMI FL",41,64.29,"B"
"AMARE GRAYSON","W VIRGINIA",76,64.2,"B"
"ADDISON NICHOLS","SMU",69,64.17,"B"
"DREW EVANS","INDIANA",47,63.42,"B"
"OLUWAFUNTO AKINSHILO","SYRACUSE",66,63.16,"B"
"GEIREAN HATCHETT","WASHINGTON",41,63.11,"B"
"KEITON JONES","KANSAS ST",41,62.15,"B"
"EBUBEDIKE NNABUGWU","S CAROLINA",30,62.01,"B"
"EVAN TENGESDAHL","CINCINNATI",61,61.76,"B"
"KEVIN PEAY JR.","GA TECH",57,61.65,"B"
"JULIAN ARMELLA","UCLA",31,61.63,"B"
"BYRON WASHINGTON","SYRACUSE",51,61.39,"B"
"NOLAN HAY","S CAROLINA",51,61.22,"B"
"JOHN MILLS","WASHINGTON",68,60.87,"B"
"CURTIS PEAGLER","MISSOURI",38,60.47,"B"
"SOLATOA MOEA'I","UTAH",50,60.39,"B"
"GABE VANSICKLE","OHIO STATE",43,60.31,"B"
"ZYKIE HELTON","GEORGIA",31,60.06,"B"
"JAKE COOK","OHIO STATE",28,59.89,"C"
"WILL TOMPKINS","PENN STATE",28,59.51,"C"
"KELVIN OBOT","UTAH",46,59.06,"C"
"ALEX WOODS","SMU",69,58.33,"C"
"NICK SHARPE","MICH STATE",70,58.19,"C"
"DYLAN SIKORSKI","TEXAS",33,58.09,"C"
"BLAKE IVY","TEXAS A&M",53,58,"C"
"DANIEL CALHOUN","GEORGIA",29,57.83,"C"
"TJ LOCKHART","MISS STATE",27,57.58,"C"
"ANTHONY ROBSOCK","MARYLAND",26,57.47,"C"
"TELLEK LOCKETTE","MARYLAND",30,57.14,"C"
"AUSTIN SIEREVELD","OHIO STATE",47,57.13,"C"
"DANTAE CHIN","RUTGERS",37,56.4,"C"
"DELANO TOWNSEND","OLE MISS",76,56.36,"C"
"MICAH BANUELOS","PURDUE",57,56.09,"C"
"JORDAN CHURCH","TEXAS TECH",73,56.06,"C"
"LUKE MONTGOMERY","OHIO STATE",47,55.73,"C"
"KWABENA ASAMOAH","RUTGERS",64,55.66,"C"
"TYLER THOMAS","TEXAS A&M",37,55.64,"C"
"EDDY PIERRE-LOUIS","OKLAHOMA",50,55.6,"C"
"COLIN CUBBERLY","WISCONSIN",61,55.14,"C"
"HANK PURVIS","S CAROLINA",33,54.88,"C"
"BROCK BROWNFIELD","PURDUE",52,54.69,"C"
"DJ CHESTER","MISS STATE",42,54.68,"C"
"JACK HINES","WAKE",67,54.12,"C"
"COOPER COUSINS","PENN STATE",44,53.92,"C"
"LAURENCE SEYMORE III","TEXAS",36,53.91,"C"
"ANDRÉ OTTO","FLORIDA ST",69,53.78,"C"
"HEATH OZAETA","OKLAHOMA",40,53.29,"C"
"MONTAVIOUS CUNNINGHAM","VA TECH",42,53.26,"C"
"ALANI NOA","USC",52,52.66,"C"
"TJ SHANAHAN JR.","FLORIDA",47,52.41,"C"
"JORDAN KNOX","KENTUCKY",58,52.41,"C"
"RYAN HOWERTON","MARYLAND",55,52.2,"C"
"MICHAEL CARROLL","ALABAMA",76,52.11,"C"
"BRENDAN BLACK","NEBRASKA",74,52.08,"C"
"EMMANUEL KOJO POKU","S CAROLINA",45,51.89,"C"
