"Name","Team","Offensive.Snaps","Composite_Score","Player_Grade","Runblock.Grade","Passblock.Grade","Percentage.of.Positive.Grade","Pass.Block.Efficiency","Knockdown.Percentage","Defeated.Runblock.Percentage","Pressure.allowed.Percentage","Beaten.by.Defender","Hurries.Allowed","Hits.Allowed","Sacks.Allowed"
"WHIT HAFER","MISSOURI",41,100,"A",86.1,84.1,0.146,100,0,0.083,0,0,0,0,0
"NATHAN ROY","MINNESOTA",49,89.53,"A",77.7,75.5,0.143,100,0,0.125,0,2,0,0,0
"PAKI FINAU","BYU",45,88.44,"A",90.4,84.6,0.178,0,0,0.043,0,0,0,0,0
"TOLU OLAJIDE","WAKE",67,88.08,"A",71,85.4,0.104,100,0,0.179,0,1,0,0,0
"DEANDRE HARPER","KANSAS",43,79.22,"B",81.1,65,0.163,94.4,0,0.071,0.067,0,1,0,0
"CHRISTIAN MARTIN","ILLINOIS",44,73.36,"B",67.4,61,0.091,97.7,0.045,0.136,0.045,1,0,1,0
"TYREE ADAMS","TEXAS A&M",73,72.94,"B",87.7,80.2,0.123,0,0,0.061,0.025,0,1,0,0
"BO HUGHLEY","COLORADO",78,72.25,"B",67.4,79,0.051,98.4,0.031,0.087,0.031,1,0,1,0
"JACK LANGE","MISSOURI",46,71.91,"B",54.8,87,0.022,100,0,0.211,0,0,0,0,0
"MALACHI GOODMAN","PENN STATE",56,71.91,"B",75.9,84.4,0.107,0,0,0.069,0,0,0,0,0
"MOSHOOD GIWA","RUTGERS",64,71.02,"B",71.3,69.4,0.047,98.9,0.023,0.05,0.023,0,0,1,0
"JUSTIN TERRY","VA TECH",41,70.62,"B",79.2,75,0.146,0,0,0.191,0.05,0,1,0,0
"JUDE MCCOSKEY","PURDUE",57,70.48,"B",49.9,83.9,0.07,100,0,0.125,0,0,0,0,0
"JACK DOTZLER","IOWA",67,69.41,"B",71.7,78.6,0.09,0,0,0.222,0,1,0,0,0
"RYAN HOWARD","KANSAS ST",46,69.24,"B",70.4,85.8,0.087,0,0,0.136,0,0,0,0,0
"CALVIN CLEMENTS","KANSAS",60,69.04,"B",62.7,69.6,0.083,97.5,0,0.216,0.045,0,1,0,0
"JACOB PONTON","TEXAS TECH",73,68.16,"B",73.6,85.6,0.069,0,0,0.118,0,0,0,0,0
"PRESTON CUSHMAN","UCF",33,68.12,"B",57.3,72.8,0.061,100,0,0.125,0,1,0,0,0
"RAHTREL PERRY","MARYLAND",55,67.24,"B",75.6,79.6,0.091,0,0,0.143,0,2,0,0,0
"LEON BELL","COLORADO",78,67.02,"B",60,73.7,0.051,98.4,0.031,0.065,0.031,0,0,1,0
"LOGAN REICHERT","MISSOURI",33,66.92,"B",58.5,48.5,0.091,95.5,0.091,0.182,0.091,1,0,1,0
"REECE PARMENTER","UTAH",31,66.39,"B",61.6,74.7,0.032,100,0,0.042,0,0,0,0,0
"TREVION MACK","SYRACUSE",66,66.31,"B",80.1,81.6,0.076,0,0,0.032,0,1,0,0,0
"AIDAN MARTIN","WAKE",66,66.28,"B",72.9,61.6,0.076,98.7,0,0.107,0.026,2,1,0,0
"JOE COTTON","CINCINNATI",61,66.07,"B",63.6,86.4,0.098,0,0,0.119,0,0,0,0,0
"NICK MORROW","KANSAS",35,66.07,"B",81.8,44.1,0.143,95.5,0,0,0.063,1,1,0,0
"LUKE WORK","MISSOURI",38,65.36,"B",69.8,53.6,0.079,97.6,0,0.176,0.048,0,1,0,0
"TREVOR LAUCK","IOWA",39,65.25,"B",74.1,86.8,0.077,0,0,0,0,0,0,0,0
"AIDAN LYNCH","VA TECH",43,64.26,"B",70.1,78.6,0.07,0,0,0.13,0,0,0,0,0
"ANTHONY DONKOH","PENN STATE",44,62.44,"B",67.7,75.7,0.068,0,0,0.2,0,1,0,0,0
"MELVIN SIANI","TEXAS",55,62.16,"B",69.4,80.6,0.073,0,0.031,0.087,0.031,0,0,1,0
"JAHZARE JACKSON","GEORGIA",31,61.43,"B",72.5,82.8,0.065,0,0,0,0,0,0,0,0
"CEDRIC JEFFERSON","UTAH",60,60.37,"B",72.9,58.5,0.067,98.1,0,0.059,0.039,2,1,0,0
"SEAN THOMPKINS JR.","LSU",27,60.27,"B",61.8,80.6,0.074,0,0,0.125,0,0,0,0,0
"DAYNE ARNETT","S CAROLINA",34,59.96,"C",71.5,82.4,0.059,0,0,0,0,0,0,0,0
"HENRY TABANSI","UCF",42,59.7,"C",68.6,68.4,0.048,97.8,0,0,0.043,0,1,0,0
"JUDEA MILON","CINCINNATI",61,59.62,"C",54.5,84.2,0.066,0,0,0.214,0,0,0,0,0
"LANCE HEARD","KENTUCKY",58,59.42,"C",69.7,86.5,0.052,0,0,0,0,0,0,0,0
"NUKU MAFI","PURDUE",57,59.22,"C",67.8,67.6,0.07,97,0,0.125,0.061,1,2,0,0
"ZEREOUE WILLIAMS","UTAH",53,59.12,"C",47.6,86.2,0,100,0,0.071,0,0,0,0,0
"ALVIN EBOSELE","HOUSTON",76,59.09,"C",82.2,64.3,0.118,0,0.027,0.077,0.054,1,1,0,1
"FREDERICK WILLIAMS III","CAL",84,58.29,"C",70.3,83.7,0.083,0,0,0.083,0.021,1,1,0,0
"HOWARD SAMPSON","TEXAS TECH",73,57.69,"C",73,68.3,0.069,0,0,0.059,0,1,0,0,0
"JACKSON LLOYD","ALABAMA",76,56.39,"C",70,79.2,0.053,0,0,0.027,0,1,0,0,0
"GUS HAWKINS","KANSAS ST",46,56.03,"C",67.9,83,0.043,0,0,0,0,0,0,0,0
"NATHAN KNAPIK","ILLINOIS",44,56,"C",63.4,45,0.068,97.7,0,0.182,0.045,1,1,0,0
"PJ WILLIAMS","SMU",69,55.96,"C",68.3,82.1,0.043,0,0,0,0,0,0,0,0
"EKENE OGBOKO","GEORGIA",42,55.72,"C",81.3,62,0.095,0,0,0.063,0.039,1,1,0,0
"WILKIN FORMBY","TEXAS A&M",53,55.43,"C",61.9,84.1,0.038,0,0,0.083,0,0,0,0,0
"ANDREW GENTRY","BYU",45,55.04,"C",52.8,81.4,0.044,0,0,0.217,0,0,0,0,0
"JIMOTHY LEWIS JR.","CAL",83,54.96,"C",73.3,73.6,0.084,0,0,0.139,0.043,0,2,0,0
"DAVID SANDERS JR.","TENNESSEE",41,54.21,"C",64.5,76.9,0.049,0,0.053,0.091,0.053,0,0,0,1
"DANIEL SHIPP","MINNESOTA",41,54.19,"C",69,38.5,0.073,97.6,0,0.15,0.048,2,1,0,0
"STANTON RAMIL","AUBURN",76,53.42,"C",68.3,78.2,0.053,0,0,0.091,0.023,0,1,0,0
"CHAMP WESTBROOKS","ARIZONA ST",40,53.26,"C",67.5,78.6,0.05,0,0,0,0,1,0,0,0
"ELIJAH PRITCHETT","NEBRASKA",66,53.16,"C",66.8,72.7,0.076,0,0.029,0.129,0.057,0,1,1,0
