"Name","Team","Offensive.Snaps","Composite_Score","Player_Grade"
"WHIT HAFER","MISSOURI",41,100,"A"
"NATHAN ROY","MINNESOTA",49,89.53,"A"
"PAKI FINAU","BYU",45,88.44,"A"
"TOLU OLAJIDE","WAKE",67,88.08,"A"
"DEANDRE HARPER","KANSAS",43,79.22,"B"
"CHRISTIAN MARTIN","ILLINOIS",44,73.36,"B"
"TYREE ADAMS","TEXAS A&M",73,72.94,"B"
"BO HUGHLEY","COLORADO",78,72.25,"B"
"JACK LANGE","MISSOURI",46,71.91,"B"
"MALACHI GOODMAN","PENN STATE",56,71.91,"B"
"MOSHOOD GIWA","RUTGERS",64,71.02,"B"
"JUSTIN TERRY","VA TECH",41,70.62,"B"
"JUDE MCCOSKEY","PURDUE",57,70.48,"B"
"JACK DOTZLER","IOWA",67,69.41,"B"
"RYAN HOWARD","KANSAS ST",46,69.24,"B"
"CALVIN CLEMENTS","KANSAS",60,69.04,"B"
"JACOB PONTON","TEXAS TECH",73,68.16,"B"
"PRESTON CUSHMAN","UCF",33,68.12,"B"
"RAHTREL PERRY","MARYLAND",55,67.24,"B"
"LEON BELL","COLORADO",78,67.02,"B"
"LOGAN REICHERT","MISSOURI",33,66.92,"B"
"REECE PARMENTER","UTAH",31,66.39,"B"
"TREVION MACK","SYRACUSE",66,66.31,"B"
"AIDAN MARTIN","WAKE",66,66.28,"B"
"JOE COTTON","CINCINNATI",61,66.07,"B"
"NICK MORROW","KANSAS",35,66.07,"B"
"LUKE WORK","MISSOURI",38,65.36,"B"
"TREVOR LAUCK","IOWA",39,65.25,"B"
"AIDAN LYNCH","VA TECH",43,64.26,"B"
"ANTHONY DONKOH","PENN STATE",44,62.44,"B"
"MELVIN SIANI","TEXAS",55,62.16,"B"
"JAHZARE JACKSON","GEORGIA",31,61.43,"B"
"CEDRIC JEFFERSON","UTAH",60,60.37,"B"
"SEAN THOMPKINS JR.","LSU",27,60.27,"B"
"DAYNE ARNETT","S CAROLINA",34,59.96,"C"
"HENRY TABANSI","UCF",42,59.7,"C"
"JUDEA MILON","CINCINNATI",61,59.62,"C"
"LANCE HEARD","KENTUCKY",58,59.42,"C"
"NUKU MAFI","PURDUE",57,59.22,"C"
"ZEREOUE WILLIAMS","UTAH",53,59.12,"C"
"ALVIN EBOSELE","HOUSTON",76,59.09,"C"
"FREDERICK WILLIAMS III","CAL",84,58.29,"C"
"HOWARD SAMPSON","TEXAS TECH",73,57.69,"C"
"JACKSON LLOYD","ALABAMA",76,56.39,"C"
"GUS HAWKINS","KANSAS ST",46,56.03,"C"
"NATHAN KNAPIK","ILLINOIS",44,56,"C"
"PJ WILLIAMS","SMU",69,55.96,"C"
"EKENE OGBOKO","GEORGIA",42,55.72,"C"
"WILKIN FORMBY","TEXAS A&M",53,55.43,"C"
"ANDREW GENTRY","BYU",45,55.04,"C"
"JIMOTHY LEWIS JR.","CAL",83,54.96,"C"
"DAVID SANDERS JR.","TENNESSEE",41,54.21,"C"
"DANIEL SHIPP","MINNESOTA",41,54.19,"C"
"STANTON RAMIL","AUBURN",76,53.42,"C"
"CHAMP WESTBROOKS","ARIZONA ST",40,53.26,"C"
"ELIJAH PRITCHETT","NEBRASKA",66,53.16,"C"
"SAMSON OKUNLOLA","MIAMI FL",56,52.74,"C"
"SETH SMITH","S CAROLINA",27,52.62,"C"
"DARIUS GRAY","S CAROLINA",44,52.11,"C"
"KEVIN BROWN","W VIRGINIA",76,52.07,"C"
"TRISTAN BOUNDS","ARIZONA",55,52,"C"
"CARTER SMITH","INDIANA",47,51.99,"C"
"ASHTON LEPO","OKLA STATE",43,51.76,"C"
"JAKE TAYLOR","IOWA STATE",43,51.45,"C"
"JALEN KLEMM","ARIZONA ST",42,51.31,"C"
"TEREZ DAVIS","OLE MISS",81,51.1,"C"
"KAM PRINGLE","SYRACUSE",66,50.13,"C"
"ROBERT WRIGHT JR.","MICH STATE",33,50,"C"
"XAVIER CHAPLIN","FLORIDA ST",69,49.67,"C"
