"Name","Team","Offensive.Snaps","Composite_Score","Player_Grade","Season","Position","Conference","Conference_Level","Pass.Grade","Dropbacks","Attempts","Completion","Completion.Percentage","Adjusted.Completion.Percentage","Passing.Yards","Yards.per.Attempt.Pass","Yards.After.Catch.per.Completion.Percentage","Passing.Touchdowns","Interceptions","Sacks","Average.Time.to.Throw","Batted.Passes","Pass.Break.Up","Turnover.Worthy.Plays","Turnover.Worthy.Plays.Percentage","Big.Time.Throws","Big.Time.Throw.Percentage","Dropped.Passes","NFL.Passer.Rating","Average.Depth.of.Targets","Short.of.Sticks.Percentage","Percentage.of.Pass.Attempts.passed.First.Down.Markers","Air.Yards.Percentage","First.Downs","Play.Action.Percentage","Accuracy.Attempts","Accurate.Plus.Percentage","Catchable.Innacurate.Percentage","Uncatchable.Innacurage.Percentage","Other.Percentage","Accurate.Throw.Percentage","Rush.Grade","Rush.Yards","Yards.per.Attempt.Rush","Rush.Touchdowns","First.Down.Runs","Fumbles","Fumbles.Lost","Missed.Tackles.on.Runs","Yards.before.Contact.per.Attempt","Yards.after.Contract.per.Attempt","Scrambles","First.down.or.Touchdown.percentage","Missed.Tackles.forced.per.Attempt","Explosive.Runs","Change.of.direction.percentage","row_id"
"MASON HEINTSCHEL","PITTSBURGH",70,100,"A",2026,"QB","ACC","P4",89.8,46,42,32,"76.20%","82.50%",443,10.6,"35.20%",7,0,1,3.05,0,3,2,"4.30%",4,"9.50%",1,149.1,10.4,"47.60%","47.60%","65.90%",22,"28.30%",39,"15.40%","10.30%","12.80%","7.70%","76.90%",70.8,36,7.2,0,2,0,0,1,2.8,1.2,3,"40.00%",0.2,1,"0.00%",63
"DARIAN MENSAH","MIAMI FL",54,92.57,"A",2026,"QB","ACC","P4",93,32,31,27,"87.10%","90.00%",400,12.9,"45.00%",5,0,0,2.31,0,0,0,"0.00%",3,"9.70%",0,158.3,10.1,"48.40%","48.40%","57.30%",19,"18.80%",30,"23.30%","3.30%","10.00%","3.30%","86.70%",57,4,2,0,0,0,0,0,-0.5,0,1,"0.00%",0,0,"0.00%",17
"JULIAN SAYIN","OHIO STATE",47,90.3,"A",2026,"QB","Big Ten","P4",92.6,28,25,21,"84.00%","88.00%",320,12.8,"23.80%",3,0,2,2.63,0,1,0,"0.00%",1,"4.00%",1,158.3,13.1,"40.00%","60.00%","79.40%",19,"28.60%",24,"41.70%","0","12.50%","4.20%","87.50%",63.7,3,3,1,1,0,0,1,-7,10,1,"100%",1,0,"0.00%",45
"CUTTER BOLEY","ARIZONA ST",45,89.64,"A",2026,"QB","Big 12","P4",83.3,29,27,21,"77.80%","92.00%",387,14.3,"83.50%",6,0,1,2.51,0,1,0,"0.00%",1,"3.70%",2,158.3,5.3,"63.00%","29.60%","18.40%",15,"55.20%",25,"8.00%","20.00%","4.00%","8.00%","76.00%",60.5,6,3,0,0,0,0,0,3,0,1,"0.00%",0,0,"0.00%",51
"JOSH HOOVER","INDIANA",47,85.36,"A",2026,"QB","Big Ten","P4",92.9,17,16,13,"81.30%","86.70%",231,14.4,"30.30%",4,0,1,2.42,0,0,0,"0.00%",2,"12.50%",0,158.3,14.8,"31.30%","62.50%","76.60%",12,"29.40%",15,"20.00%","26.70%","13.30%","6.70%","60.00%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"JAYDEN MAIAVA","USC",52,81.56,"A",2026,"QB","Big Ten","P4",92.3,27,26,23,"88.50%","88.50%",349,13.4,"59.90%",3,1,0,2.66,0,0,0,"0.00%",1,"3.90%",0,141.2,7.4,"53.80%","46.20%","41.50%",17,"37.00%",25,"12.00%","20.00%","8.00%","4.00%","72.00%",53.3,-2,-0.7,0,0,0,0,1,-1,0.3,1,"0.00%",0.33,0,"0.00%",10
"FAIZON BRANDON","TENNESSEE",53,80.5,"A",2026,"QB","SEC","P4",78.2,24,17,13,"76.50%","87.50%",226,13.3,"45.60%",3,0,1,3.04,1,0,0,"0.00%",1,"5.90%",1,157.5,10.1,"41.20%","52.90%","54.40%",11,"50.00%",15,"6.70%","40.00%","6.70%","13.30%","53.30%",70.1,82,7.5,2,5,0,0,3,3.8,3.3,6,"45.50%",0.27,2,"0.00%",67
"KAMARIO TAYLOR","MISS STATE",52,79.43,"B",2026,"QB","SEC","P4",75.8,40,34,22,"64.70%","72.70%",354,10.4,"44.40%",4,0,1,3.06,1,1,1,"2.50%",1,"2.90%",2,138.6,10.9,"44.10%","52.90%","57.30%",23,"45.00%",33,"15.20%","15.20%","21.20%","3.00%","63.60%",65.7,59,11.8,1,3,0,0,2,0.4,3.4,5,"60.00%",0.4,3,"0.00%",61
"AUSTIN SIMMONS","MISSOURI",37,79.38,"B",2026,"QB","SEC","P4",91.5,21,19,17,"89.50%","89.50%",252,13.3,"30.20%",4,0,1,2.56,0,0,0,"0.00%",0,"0.00%",0,158.3,11.6,"36.80%","63.20%","69.80%",11,"28.60%",19,"31.60%","21.10%","15.80%","0","63.20%",57.3,2,2,0,0,0,0,0,2,0,1,"0.00%",0,0,"0.00%",37
"LANORRIS SELLERS","S CAROLINA",43,77.68,"B",2026,"QB","SEC","P4",88.7,26,24,19,"79.20%","83.30%",270,11.3,"45.20%",3,0,2,2.41,0,0,0,"0.00%",2,"8.30%",1,153.1,11.3,"54.20%","45.80%","55.20%",15,"46.20%",23,"13.00%","13.00%","13.00%","4.30%","73.90%",62.9,5,5,0,1,0,0,1,-1,6,0,"100%",1,0,"0.00%",33
