"Name","Team.Name","Offensive.Snaps","Composite_Score","Player_Grade","Jersey.Number","Position","Season","Conference","Receiving.Grade","Key.Plays","Receiving.Snaps","Snaps.on.Press.Coverage","Targets","Receptions","Receiving.Yards","Yards.per.Reception","Receiving.Touchdowns","Receiving.First.Downs","Dropped.Passes","Fumbles","Fumbles.Lost","Catchable.Targets","Contested.Targets","Contested.Catches","Yards.after.Catch","Yards.After.Catch.per.Reception","Receiving.Yards.after.Contract","Contested.Catches.Percentage","Yards.per.Route.Run","Average.Depth.of.Target","Explosive.Plays","Missed.Tackles.forced.on.Receptions","Percentage.of.Catchable.Passes.Caught","Dropped.Catchable.Passes.Percentage","Contested.Catches.Caught.Percentage","Passer.Rating.when.Targetted","Slot.Target.Percentage","Deep.Target.Percentage","Completion.Percentage.when.Targeted","Percentage.of.Targets.per.Receiving.Snaps","Conference_Level"
"PATRICK OVERMYER","HOUSTON",73,100,"A",9,"TE",2026,"Big 12",65.7,8,29,2,8,6,84,14,0,4,1,0,0,7,1,1,40,6.7,21,1,2.9,9.3,3,1,0.857,0.143,"12.50%",108.3,0.138,0.276,0,0.75,"P4"
"RANDY PITTMAN JR.","SMU",44,97.97,"A",5,"TE",2026,"ACC",80.7,6,23,2,5,5,75,15,1,4,0,0,0,5,0,0,45,9,17,0,3.26,7.4,2,1,1,0,"0.00%",158.3,0.087,0.217,0.2,1,"P4"
"MASON MINI","CAL",81,90.49,"A",85,"TE",2026,"ACC",67.6,7,39,13,7,5,69,13.8,1,3,0,0,0,5,3,2,7,1.4,7,0.667,1.77,14,2,0,1,0,"42.90%",102.7,0,0.179,0.286,0.714,"P4"
"WILLIE RODRIGUEZ","KENTUCKY",35,88.47,"A",81,"TE",2026,"SEC",82.8,5,16,1,6,4,48,12,1,4,0,0,0,4,0,0,43,10.8,18,0,3,9.3,1,1,1,0,"0.00%",130.6,0.125,0.375,0.167,0.667,"P4"
"MIKKEL SKINNER","KENTUCKY",26,87.86,"A",8,"TE",2026,"SEC",86.7,5,13,1,4,4,61,15.3,1,4,0,0,0,4,0,0,56,14,15,0,4.69,1.3,2,0,1,0,"0.00%",158.3,0,0.308,0,1,"P4"
"JALEEL SKINNER","LOUISVILLE",50,82.26,"A",88,"TE",2026,"ACC",79.1,3,21,1,4,3,55,18.3,0,3,0,0,0,3,0,0,42,14,23,0,2.62,6.5,2,2,1,0,"0.00%",116.7,0.095,0.191,0,0.75,"P4"
"BENJI BLACKBURN","STANFORD",54,73.74,"B",88,"TE",2026,"ACC",62.7,7,33,4,11,8,67,8.4,0,2,1,0,0,9,3,1,22,2.8,10,0.333,2.03,6.4,2,0,0.889,0.111,"27.30%",88.1,0.182,0.333,0,0.727,"P4"
"LUKE REYNOLDS","VA TECH",27,73.36,"B",85,"TE",2026,"ACC",85,7,16,0,5,5,56,11.2,1,1,0,1,1,5,0,0,23,4.6,11,0,3.5,6.6,1,1,1,0,"0.00%",152.9,0.188,0.313,0,1,"P4"
"JAMARI JOHNSON","OREGON",60,72.29,"B",9,"TE",2026,"Big Ten",59.8,5,36,3,5,4,57,14.3,1,3,0,0,0,4,0,0,11,2.8,7,0,1.58,10.6,2,1,1,0,"0.00%",153.8,0.111,0.139,0.4,0.8,"P4"
"CALEB ODOM","OLE MISS",47,70.73,"B",4,"TE",2026,"SEC",78.2,5,19,1,3,3,66,22,1,3,0,0,0,3,0,0,17,5.7,5,0,3.47,16.3,2,0,1,0,"0.00%",158.3,0.105,0.158,0.333,1,"P4"
"TERRANCE CARTER JR.","TEXAS TECH",59,70.08,"B",7,"TE",2026,"Big 12",69.3,7,30,4,5,4,43,10.8,0,2,0,0,0,4,3,2,28,7,11,0.667,1.43,8,2,1,1,0,"60.00%",102.5,0.067,0.167,0.2,0.8,"P4"
"TREY'DEZ GREEN","LSU",69,67.84,"B",7,"TE",2026,"SEC",70.2,5,32,3,5,4,58,14.5,0,3,0,0,0,4,0,0,36,9,13,0,1.81,7.2,2,1,1,0,"0.00%",115,0.063,0.156,0,0.8,"P4"
"KEVIN ROCHE JR.","GA TECH",45,67.62,"B",86,"TE",2026,"ACC",65.1,4,22,3,6,4,37,9.3,0,2,0,0,0,5,1,1,20,5,16,1,1.68,5.5,2,1,0.8,0,"16.70%",83.3,0.136,0.273,0,0.667,"P4"
"ROCKY BEERS","OKLAHOMA",29,55.88,"C",81,"TE",2026,"SEC",71.3,2,12,4,3,3,43,14.3,1,1,0,0,0,3,0,0,20,6.7,1,0,3.58,7.7,1,1,1,0,"0.00%",158.3,0,0.25,0,1,"P4"
"JEREMIAH HASLEY","DUKE",75,55.38,"C",85,"TE",2026,"ACC",62.8,4,27,3,6,2,36,18,0,2,1,0,0,3,0,0,24,12,11,0,1.33,9.2,1,3,0.667,0.333,"0.00%",54.9,0.074,0.222,0,0.333,"P4"
"JA'RICOUS HAIRSTON","VA TECH",26,54.94,"C",13,"TE",2026,"ACC",83.3,2,6,0,1,1,33,33,0,1,0,0,0,1,0,0,19,19,12,0,5.5,14,1,1,1,0,"0.00%",118.8,0,0.167,0,1,"P4"
"DAVID CLEMENT","SYRACUSE",57,51.85,"C",0,"TE",2026,"ACC",92.4,3,12,1,2,2,35,17.5,1,2,0,0,0,2,0,0,3,1.5,3,0,2.92,16,1,0,1,0,"0.00%",158.3,0.083,0.167,0.5,1,"P4"
"DJ VONNAHME","IOWA",35,51.52,"C",81,"TE",2026,"Big Ten",56.5,5,23,0,8,4,42,10.5,0,2,1,0,0,5,3,1,28,7,6,0.333,1.83,7.1,2,0,0.8,0.2,"37.50%",65.6,0.13,0.348,0.125,0.5,"P4"
"PIERCE WALSH","MINNESOTA",24,49.27,"C",19,"TE",2026,"Big Ten",78.3,2,10,0,2,2,28,14,1,2,0,0,0,2,0,0,10,5,4,0,2.8,9,1,0,1,0,"0.00%",158.3,0,0.2,0,1,"P4"
"LUKE DEHNICKE","NWESTERN",39,48.75,"C",84,"TE",2026,"Big Ten",64.9,2,24,0,3,2,41,20.5,0,1,0,0,0,2,0,0,15,7.5,11,0,1.71,12,1,1,1,0,"0.00%",109.7,0.125,0.125,0.333,0.667,"P4"
"ALEX HONIG","NWESTERN",30,48.61,"C",86,"TE",2026,"Big Ten",86.9,2,6,0,3,2,25,12.5,1,2,0,0,0,2,0,0,11,5.5,2,0,4.17,10.3,0,0,1,0,"0.00%",131.9,0.167,0.5,0,0.667,"P4"
"BRADY CLOUGH","BOSTON COL",47,48.51,"C",84,"TE",2026,"ACC",53,5,32,1,7,4,32,8,0,2,0,1,1,4,0,0,12,3,10,0,1,9.1,0,1,1,0,"0.00%",68.8,0.094,0.219,0.143,0.571,"P4"
"ELIJAH LAGG","PITTSBURGH",36,48.21,"C",17,"TE",2026,"ACC",66.4,2,19,0,3,3,23,7.7,1,2,0,0,0,3,1,1,10,3.3,1,1,1.21,5.7,0,0,1,0,"33.30%",138.2,0.053,0.158,0,1,"P4"
"EMAREE WINSTON","TEXAS",28,47.81,"C",85,"TE",2026,"SEC",63.3,2,13,0,2,2,25,12.5,0,1,0,0,0,2,0,0,23,11.5,15,0,1.92,1,1,1,1,0,"0.00%",118.8,0,0.154,0,1,"P4"
