"Name","Team.Name","Offensive.Snaps","Composite_Score","Player_Grade"
"PATRICK OVERMYER","HOUSTON",73,100,"A"
"RANDY PITTMAN JR.","SMU",44,97.97,"A"
"MASON MINI","CAL",81,90.49,"A"
"WILLIE RODRIGUEZ","KENTUCKY",35,88.47,"A"
"MIKKEL SKINNER","KENTUCKY",26,87.86,"A"
"JALEEL SKINNER","LOUISVILLE",50,82.26,"A"
"BENJI BLACKBURN","STANFORD",54,73.74,"B"
"LUKE REYNOLDS","VA TECH",27,73.36,"B"
"JAMARI JOHNSON","OREGON",60,72.29,"B"
"CALEB ODOM","OLE MISS",47,70.73,"B"
"TERRANCE CARTER JR.","TEXAS TECH",59,70.08,"B"
"TREY'DEZ GREEN","LSU",69,67.84,"B"
"KEVIN ROCHE JR.","GA TECH",45,67.62,"B"
"ROCKY BEERS","OKLAHOMA",29,55.88,"C"
"JEREMIAH HASLEY","DUKE",75,55.38,"C"
"JA'RICOUS HAIRSTON","VA TECH",26,54.94,"C"
"DAVID CLEMENT","SYRACUSE",57,51.85,"C"
"DJ VONNAHME","IOWA",35,51.52,"C"
"PIERCE WALSH","MINNESOTA",24,49.27,"C"
"LUKE DEHNICKE","NWESTERN",39,48.75,"C"
"ALEX HONIG","NWESTERN",30,48.61,"C"
"BRADY CLOUGH","BOSTON COL",47,48.51,"C"
"ELIJAH LAGG","PITTSBURGH",36,48.21,"C"
"EMAREE WINSTON","TEXAS",28,47.81,"C"
"AJ IA","ARIZONA ST",19,47.68,"C"
"WALKER LYONS","BYU",33,47.14,"C"
"GARRETT OAKLEY","KANSAS ST",26,47.11,"C"
"CADEN PIENING","UCF",28,46.72,"C"
"GEORGE BURHENN","PURDUE",37,46.34,"C"
"NOAH BENNEE","UTAH",32,45.86,"C"
"VINCE BENETTI","IOWA STATE",35,45.49,"C"
"CARSON KENT","PITTSBURGH",42,43.85,"C"
"ANDREW RAPPLEYEA","PENN STATE",29,43.38,"C"
"CHARLIE WILLIAMS","COLORADO",64,42.06,"C"
"JAYDEN SAVOURY","MICH STATE",39,41.36,"C"
"ADDISON OSTRENGA","IOWA",29,40.73,"C"
"JAYVONTAY CONNER","VANDERBILT",28,40.14,"C"
