"Name","Team.Name","Offensive.Snaps","Composite_Score","Player_Grade","Jersey.Number","Position","Season","Conference","Receiving.Grade","Key.Plays","Receiving.Snaps","Snaps.on.Press.Coverage","Targets","Receptions","Receiving.Yards","Yards.per.Reception","Receiving.Touchdowns","Receiving.First.Downs","Dropped.Passes","Fumbles","Fumbles.Lost","Catchable.Targets","Contested.Targets","Contested.Catches","Yards.after.Catch","Yards.After.Catch.per.Reception","Receiving.Yards.after.Contract","Contested.Catches.Percentage","Yards.per.Route.Run","Average.Depth.of.Target","Explosive.Plays","Missed.Tackles.forced.on.Receptions","Percentage.of.Catchable.Passes.Caught","Dropped.Catchable.Passes.Percentage","Contested.Catches.Caught.Percentage","Passer.Rating.when.Targetted","Slot.Target.Percentage","Deep.Target.Percentage","Completion.Percentage.when.Targeted","Percentage.of.Targets.per.Receiving.Snaps","Conference_Level","Catch_Rate","Yards_Per_Tgt","Tgt_Per_Snap"
"MALACHI TONEY","MIAMI FL",51,100,"A",1,"WR",2026,"ACC",91.3,14,32,8,13,12,233,19.4,3,9,0,0,0,12,0,0,99,8.3,28,0,7.28,12,5,4,1,0,"0.00%",158.3,0.344,0.406,0.308,0.923,"P4",0.923076923076923,17.9230769230769,0.40625
"KJ DUFF","RUTGERS",62,93.74,"A",8,"WR",2026,"Big Ten",75.2,11,44,19,17,10,201,20.1,3,8,0,0,0,11,6,2,62,6.2,11,0.333,4.57,15.9,5,0,0.909,0,"35.30%",140,0,0.386,0.235,0.588,"P4",0.588235294117647,11.8235294117647,0.386363636363636
"KOBY HOWARD","PENN STATE",28,80.54,"A",6,"WR",2026,"Big Ten",94.1,6,18,3,7,6,161,26.8,1,5,0,0,0,6,1,1,75,12.5,41,1,8.94,16.1,5,4,1,0,"14.30%",158.3,0.278,0.389,0.286,0.857,"P4",0.857142857142857,23,0.388888888888889
"UMARI HATCHER","SYRACUSE",48,80.46,"A",2,"WR",2026,"ACC",89.7,9,29,9,11,8,147,18.4,2,7,0,0,0,8,2,2,47,5.9,23,1,5.07,14.8,4,2,1,0,"18.20%",154.4,0.069,0.379,0.273,0.727,"P4",0.727272727272727,13.3636363636364,0.379310344827586
"JEREMIAH SMITH","OHIO STATE",36,79.02,"B",4,"WR",2026,"Big Ten",88,8,24,4,9,8,151,18.9,2,8,0,0,0,8,2,2,20,2.5,9,1,6.29,18.1,5,0,1,0,"22.20%",158.3,0.042,0.375,0.333,0.889,"P4",0.888888888888889,16.7777777777778,0.375
"NIK MCMILLAN","KANSAS",28,74.83,"B",5,"WR",2026,"Big 12",95.6,6,13,2,7,6,130,21.7,1,6,0,0,0,7,2,1,34,5.7,30,0.5,10,16.3,5,2,0.857,0,"28.60%",158.3,0.154,0.538,0.286,0.857,"P4",0.857142857142857,18.5714285714286,0.538461538461538
"CARLOS HERNANDEZ","WAKE",28,72.77,"B",8,"WR",2026,"ACC",89,6,22,1,8,5,165,33,1,5,0,0,0,5,0,0,132,26.4,89,0,7.5,10.3,5,3,1,0,"0.00%",145.8,0.273,0.364,0.125,0.625,"P4",0.625,20.625,0.363636363636364
"QUE'SEAN BROWN","VA TECH",16,70.58,"B",3,"WR",2026,"ACC",89.4,6,11,0,8,6,109,18.2,1,4,0,0,0,6,0,0,113,18.8,58,0,9.91,11,3,4,1,0,"0.00%",156.3,0.455,0.727,0.25,0.75,"P4",0.75,13.625,0.727272727272727
"REED HARRIS","ARIZONA ST",39,70.36,"B",3,"WR",2026,"Big 12",88.1,8,25,7,7,6,137,22.8,2,6,0,0,0,7,1,0,76,12.7,56,0,5.48,10.9,5,1,0.857,0,"14.30%",158.3,0.08,0.28,0.143,0.857,"P4",0.857142857142857,19.5714285714286,0.28
"DONOVAN OLUGBODE","MISSOURI",30,67.41,"B",1,"WR",2026,"SEC",82.7,9,17,0,8,8,116,14.5,2,5,0,1,1,8,1,1,34,4.3,7,1,6.82,10.3,2,1,1,0,"12.50%",158.3,0.059,0.471,0.125,1,"P4",1,14.5,0.470588235294118
