"Name","Team","SNAPS","Composite_Score","Player_Grade"
"BRIAN WILLIAMS JR.","UTEP",52,100,"A"
"ADAM LEPKOWSKI","UAB",70,82.36,"A"
"COLIN LYONS","AKRON",71,75.37,"B"
"VAN WELLS","OREGON ST",74,74.41,"B"
"PHILLIP OCON","COLO STATE",66,73.41,"B"
"ISAAC LUCAS","S DIEGO ST",57,73.38,"B"
"ALEXIS SANCHEZ","BOWL GREEN",49,72.57,"B"
"JOHN BOCK II","TULANE",44,71.36,"B"
"GRANT HAWORTH","BALL ST",73,70.89,"B"
"DAVEION HARLEY","FIU",77,66.17,"B"
"LANDON HRON","N ILLINOIS",70,64.34,"B"
"CHANDLER STRONG","N TEXAS",66,64.24,"B"
"KAIN MCDONALD","COAST CAR",50,63.97,"B"
"JACOB NORCROSS","NEVADA",74,63.84,"B"
"LOSINI MAKA","C MICHIGAN",43,62.8,"B"
"STEWART TAUFA","BOISE ST",74,62.65,"B"
"CHRIS MORENO","MIDDLE TN",45,60.58,"B"
"BRAYDEN WALKER","DOMINION",54,60.23,"B"
"TYLER CAPPI","TROY",69,60.16,"B"
"KADEN ROBNETT","NEW MEXICO",44,56.62,"C"
"MALACHI PRECIADO","TULSA",75,55.36,"C"
"ETHAN SPENCER","HAWAII",72,54.59,"C"
"JAMES WILLIAMS","NEW MEX ST",72,52.61,"C"
"BRADEN CUNNINGHAM","FAU",80,52.4,"C"
"BEN MIDEA","KENT STATE",74,52.4,"C"
"TYHLER WILLIAMS","GA STATE",70,51.35,"C"
"AARON FENIMORE","LIBERTY",68,51.12,"C"
"LUKE RECTOR","TOLEDO",52,50.77,"C"
"LUCAS MRACHKOVSKIY","JVILLE ST",76,50.73,"C"
"NOAH DUNHAM","WASH STATE",51,50.71,"C"
"CHANTZ CHARGUALAF","UTAH ST",45,50.61,"C"
"GRIFFIN SCROGGS","UNLV",66,50.34,"C"
"TY FURNISH","GA SOUTHRN",70,49.12,"C"
"MIKEL UDENGWU","TEXAS ST",76,48.99,"C"
"NINO FRANCAVILLA","BUFFALO",71,47.17,"C"
"MATEO GUEVARA","KENNESAW",59,46.8,"C"
"BROCK STUKES","SM HOUSTON",66,46.39,"C"
"JOE ROUNDS","SO MISS",43,45.97,"C"
"BRANDON BEST","E CAROLINA",40,45.91,"C"
"LUKE LAPEZE","UTSA",80,45.51,"C"
"JAYDEN THOMAS","APP STATE",48,45.29,"C"
"JOJO MATAUTIA","NEW MEXICO",32,45.18,"C"
"ZACH GREENBERG","JAMES MAD",34,44.03,"C"
"PHILLIP GRAY","MEMPHIS",56,39.51,"D"
"NICHOLAS GALLEGOS","E MICHIGAN",53,38.39,"D"
"JOSEPH HARBERT","S JOSE ST",79,38.12,"D"
"MASON MYERS","ARK STATE",46,36.42,"D"
"SEAN DUGERY","LA MONROE",64,36.07,"D"
"JASON MACIEJCZAK","WYOMING",31,35.79,"D"
"ALEC JOHNSON","W KENTUCKY",52,33.99,"D"
"JOHN STONE","TEMPLE",57,31.69,"D"
"SPENCER BECKEMAN","W MICHIGAN",45,29.83,"D"
"STEVEN DEMBOSKI","DELAWARE",72,29.08,"D"
"KRIS MANU","MIAMI OH",31,28.76,"D"
"NIC CRUJI","CHARLOTTE",56,28.69,"D"
"KENTON JERIDO","S ALABAMA",78,25.02,"D"
"NATE BLEDSOE","RICE",47,24.42,"D"
"COOPER FORDHAM","LA LAFAYET",44,21.65,"D"
"OSCAR WEIGEL","FRESNO ST",49,19.71,"F"
"K'LEYONE IOSUA","UTAH ST",59,18.89,"F"
"ANDREW DUDLEY","MARSHALL",66,7.1,"F"
"ROY BRACKINS III","LA TECH",58,0,"F"
