"Name","Team","Offensive.Snaps","Composite_Score","Player_Grade","Runblock.Grade","Passblock.Grade","Percentage.of.Positive.Grade","Knockdown.Percentage","Defeated.Runblock.Percentage","Pass.Block.Efficiency","Pressure.allowed.Percentage","Beaten.by.Defender","Hurries.Allowed","Sacks.Allowed","Hits.Allowed"
"BRIAN BEIDATSCH","MIAMI OH",28,100,"A",83.3,79.7,0.143,0,0,0,0,0,0,0,0
"CHAD SCHUSTER","W MICHIGAN",41,99.96,"A",86,84.4,0.122,0,0,0,0,0,0,0,0
"MAKHETE GUEYE","MO STATE",36,94.45,"A",70.9,84.4,0.111,0,0.083,0,0,0,0,0,0
"STERLING WIGGINS","ARK STATE",52,92.83,"A",75.3,81.7,0.096,0,0.061,0,0,0,0,0,0
"CARLOS SLAYDEN","AKRON",61,91.56,"A",74.1,89.1,0.066,0,0.087,0,0,0,0,0,0
"ANDREW LOWRY","MIAMI OH",25,91.43,"A",73.7,71.5,0.12,0,0.045,0,0,0,0,0,0
"MOFE ADEWOLE","KENT STATE",74,88.46,"A",79.3,74.3,0.095,0,0.079,0,0.028,0,1,0,0
"SEBASTIAN ESPINOZA","MO STATE",33,86.56,"A",81.6,47.2,0.152,0,0.111,0,0.067,0,1,0,0
"ETHAN HUBBARD","S ALABAMA",78,85.27,"A",63.2,85.3,0.051,0,0.143,0,0,0,0,0,0
"ZAY ALEXANDER","LA LAFAYET",37,84.78,"A",81,66,0.108,0,0.056,0,0.053,0,1,0,0
"MARTIN KOIVISTO","C MICHIGAN",64,84.5,"A",69.8,80.4,0.063,0,0.051,0,0,0,0,0,0
"BRAYLON JENKINS","WYOMING",61,84.42,"A",80.8,79.7,0.082,0,0,0,0.036,0,1,0,0
"DEANDRE MARSHALL","UTSA",25,83.86,"A",67,81.9,0.04,0,0.125,0,0,0,0,0,0
"JACOB BOOTH","C MICHIGAN",67,82.42,"A",65,83.3,0.06,0,0.051,0,0,0,0,0,0
"BEN GALLOWAY","FAU",80,82.34,"A",59.7,85.3,0.038,0,0.158,0,0,0,0,0,0
"JA'KAVION NONAR","FAU",75,82.21,"A",63.9,88.4,0.027,0,0.121,0,0,0,0,0,0
"DAVID APPLEWHITE","LA MONROE",64,81.82,"A",64,74.8,0.078,0,0.216,0,0,2,0,0,0
"REESE OSEI-WUSU","S ALABAMA",78,81.5,"A",69.6,76,0.077,0,0.143,0,0,2,0,0,0
"CHRIS HOOD","BALL ST",73,81.29,"A",78.9,67.7,0.069,0,0.037,0,0.022,0,1,0,0
"IBRAHIM TRAORE","TOLEDO",61,81.09,"A",64.4,87.8,0.049,0,0.033,0,0,0,0,0,0
"WILLIAM BOONE","TEXAS ST",83,80.93,"A",61,82.4,0.048,0,0.104,0,0,0,0,0,0
"SIMEON AFALAVA","S JOSE ST",79,80.53,"A",60.3,88.3,0.025,0,0.132,0,0,0,0,0,0
"MATT HOFER","TOLEDO",61,79.78,"B",62,84.3,0.033,0,0.1,0,0,0,0,0,0
"DJ FOX","JAMES MAD",32,79.3,"B",58.9,83.8,0.031,0,0.133,0,0,0,0,0,0
"TRUMAIN LAWSON","OHIO",69,79.13,"B",60.4,85.5,0.029,0,0.108,0,0,0,0,0,0
"DEACON RAWLS","JAMES MAD",34,78.69,"B",65.2,79.2,0.059,0,0,0,0,0,0,0,0
"HENRY SELLARDS","NEVADA",74,78.26,"B",70,84.7,0.054,0,0,0,0,1,0,0,0
"TIGANA CISSE","OHIO",40,78.07,"B",61.5,83.2,0.025,0,0.1,0,0,0,0,0,0
"JOHN HOLTHAUS","COLO STATE",66,77.94,"B",72.3,75.1,0.045,0,0.071,0,0.026,0,1,0,0
"DEVON MANUEL","APP STATE",76,76.39,"B",58.7,89.4,0.013,0,0.091,0,0,0,0,0,0
"JAYCE MITCHELL","LA LAFAYET",31,76.37,"B",51.4,79.1,0.065,0.053,0.25,0,0.053,1,0,1,0
"JORDON JONES","TROY",69,76.31,"B",61.8,77.3,0.043,0,0.158,0,0.032,0,1,0,0
"TYLER BRUMFIELD","E MICHIGAN",53,75.91,"B",61.8,87,0.019,0,0.045,0,0,0,0,0,0
"JUSTIN MICHAELIS","RICE",28,75.82,"B",56.7,77.4,0.036,0,0.111,0,0,0,0,0,0
"PHERLESKI MARTIN","GA STATE",72,75.56,"B",63.4,74.4,0.042,0,0.116,0,0,1,0,0,0
"ETHAN GREEN","USF",56,74.39,"B",60.8,84.5,0.018,0,0.043,0,0,0,0,0,0
"MANASSE ITETE","ARK STATE",50,74.37,"B",58.4,84.2,0.02,0,0.065,0,0,0,0,0,0
"LUKE NEEDHAM","RICE",39,72.34,"B",51.4,78.3,0.026,0,0.12,0,0,0,0,0,0
"JONNY LESTER","WASH STATE",42,71.97,"B",74.6,51.3,0.071,0.04,0.059,0,0.04,1,0,1,0
"ROLAN FULLWOOD","FRESNO ST",62,71.91,"B",63.3,71.2,0.048,0.031,0.067,0,0.031,0,0,0,1
"KEYON COX","UAB",70,70.95,"B",62.6,65.4,0.057,0,0.125,0,0,2,0,0,0
"JEREMIAH ORR","JVILLE ST",67,70.71,"B",51.5,85.5,0,0,0.114,0,0,0,0,0,0
"DARION REED","TULANE",51,70.08,"B",59.1,80,0.02,0,0.077,0,0,1,0,0,0
"VAL ERICKSON","LIBERTY",38,70.01,"B",56.5,85.9,0,0,0.042,0,0,0,0,0,0
"TRA'JON TOWNSEND","TROY",60,69.87,"B",65.8,68.5,0.033,0.039,0.059,0,0.039,0,0,0,1
"KING LARGE","MO STATE",62,69.32,"B",67.2,70.9,0.065,0,0.029,0,0.039,1,1,0,0
"DANIEL JONES","COAST CAR",40,69.07,"B",61.9,66.4,0.05,0.048,0.105,0,0.048,1,0,1,0
"JOHNNY WILLIAMS IV","N TEXAS",66,69.06,"B",75.2,63.5,0.091,0.029,0.094,0,0.118,0,3,1,0
"MICHAEL WOOTEN","USF",56,68.99,"B",67.2,64.5,0.036,0,0.043,0,0.03,0,1,0,0
"GEORGE JACKSON","LA LAFAYET",44,68.83,"B",73.9,35.4,0.114,0,0.125,0,0.1,0,2,0,0
"NETO UMEOZULU","N TEXAS",72,68.7,"B",55.7,77.2,0.028,0,0.2,0,0.054,0,2,0,0
"CAM EAST","TULSA",75,68.46,"B",48.4,87.6,0.013,0,0.133,0,0,1,0,0,0
"MANUEL SERNA","S JOSE ST",79,68.4,"B",59.2,77.7,0.025,0,0.053,0,0.024,0,1,0,0
"D.J. GETH","LIBERTY",68,68.17,"B",58.9,86.3,0.015,0,0.051,0,0.035,0,1,0,0
"JOHN WATKINS","TEMPLE",57,68.13,"B",62.5,66.3,0.035,0.033,0.037,0,0.033,0,0,1,0
"ZACH AAMLAND","TEMPLE",57,68.11,"B",62.5,65.4,0.053,0,0.111,0,0.033,1,1,0,0
"BEN ROEBUCK","W MICHIGAN",59,67.98,"B",52.1,84.7,0,0,0.138,0,0,1,0,0,0
"KEVIN EVEHE","LIBERTY",25,67.7,"B",58.6,81.3,0,0,0,0,0,0,0,0,0
"BIG AL OLIVER","APP STATE",25,67.17,"B",56.7,69.9,0.04,0,0.214,0,0.091,0,1,0,0
"JAMES THOMAS JR.","BOWL GREEN",52,66.98,"B",59.4,64.6,0.077,0,0.138,0,0.087,0,2,0,0
"TEKO SHOATS","OREGON ST",75,66.98,"B",68.7,79,0.027,0,0.056,0,0.018,2,1,0,0
"DEAN BRISKI","HAWAII",72,66.97,"B",61.6,80,0.014,0,0.087,0,0.02,1,1,0,0
"CAM STANCIL","JVILLE ST",76,66.88,"B",52.1,82.3,0,0,0.048,0,0,0,0,0,0
"TYLER ETHRIDGE","BOISE ST",74,66.85,"B",60.5,63.1,0.054,0.031,0.191,0,0.031,2,0,0,1
"SULLY BURNS","TEXAS ST",83,66.69,"B",56.3,68.9,0.036,0,0.167,0,0.029,1,1,0,0
"ANTHONY CACCESE","DELAWARE",72,66.65,"B",56.7,83.6,0,0,0.074,0,0.022,0,1,0,0
"DAYLON METOYER","BOISE ST",78,66.33,"B",63.6,69.1,0.051,0,0.152,0,0.063,1,2,0,0
"KARSTEN UPCHURCH","W KENTUCKY",77,65.97,"B",54.3,83.2,0,0,0.091,0,0.023,0,1,0,0
"KRISTOS FERNANDEZ","CHARLOTTE",56,65.32,"B",61.8,64,0.018,0,0.083,0,0.031,0,1,0,0
"RYAN MICKOW","TULANE",51,64.48,"B",65.3,61.2,0.039,0,0.039,0,0,2,0,0,0
"JACKSON BROWN","UNLV",62,63.94,"B",63,63.3,0.048,0.03,0.172,0,0.091,0,2,0,1
"ROSS LIEGEL","N ILLINOIS",70,63.54,"B",57.5,78.9,0.014,0,0.065,0,0,2,0,0,0
"MA'KYI LEE","NEW MEX ST",64,63.47,"B",68.6,52.6,0.063,0.051,0.08,0,0.077,0,1,1,1
"BRODY DUFFEL","TULSA",75,63.47,"B",46.8,78.6,0,0.023,0.133,0,0.023,0,0,1,0
"COLE MILLWARD","NEW MEXICO",47,62.55,"B",57.4,71,0.043,0,0.125,0,0.087,0,2,0,0
"REX JOHNSEN","WYOMING",61,61.79,"B",66.7,48.7,0.066,0.036,0.03,0,0.071,0,1,0,1
"BRYCE WEAVER","E CAROLINA",73,61.74,"B",64.1,60.7,0.041,0.023,0.067,0,0.023,2,0,1,0
"BUBBA CRAIG","DOMINION",25,61.09,"B",59,53.6,0.04,0,0.083,0,0,2,0,0,0
"J'VEN WILLIAMS","CHARLOTTE",56,60.87,"B",52.6,65.1,0.018,0,0.167,0,0.031,1,1,0,0
"JOE CROCKER","BUFFALO",32,60.05,"B",65.8,53.6,0.031,0,0.143,0,0.04,2,1,0,0
"CHRISTIAN WILLIAMS","LIBERTY",46,59.36,"C",61.7,69.3,0.022,0.05,0.039,0,0.1,0,1,1,0
"ALLEN JONES JR.","AKRON",36,58.4,"C",56.5,60.6,0,0,0.091,0,0.04,0,1,0,0
"DANIEL MICHEL","JAMES MAD",34,58.26,"C",59.2,66.4,0,0.048,0,0,0.048,0,0,0,1
"TYLER LAWRENCE","NEW MEXICO",44,58.08,"C",60.2,73,0.023,0,0,0,0.048,1,1,0,0
"OSCAR COLON","FIU",56,57.71,"C",61.1,61.5,0.036,0,0,0,0.059,0,2,0,0
"JADARIOUS LEE","KENNESAW",59,57.66,"C",60.6,57.9,0.017,0.022,0.143,0,0.044,1,1,0,1
"TYLER MEADOWS","KENT STATE",74,57.18,"C",53.9,72.8,0.014,0,0.053,0,0.056,0,2,0,0
"JOSIAH TIMOTEO","OREGON ST",56,57.09,"C",62.5,68,0.018,0.026,0.056,0,0.053,1,1,0,1
"TARIQ MONTGOMERY","MARSHALL",66,57,"C",50.4,67.5,0,0,0.147,0,0.031,1,1,0,0
