"Name","Team","Offensive.Snaps","Composite_Score","Player_Grade"
"BRIAN BEIDATSCH","MIAMI OH",28,100,"A"
"CHAD SCHUSTER","W MICHIGAN",41,99.96,"A"
"MAKHETE GUEYE","MO STATE",36,94.45,"A"
"STERLING WIGGINS","ARK STATE",52,92.83,"A"
"CARLOS SLAYDEN","AKRON",61,91.56,"A"
"ANDREW LOWRY","MIAMI OH",25,91.43,"A"
"MOFE ADEWOLE","KENT STATE",74,88.46,"A"
"SEBASTIAN ESPINOZA","MO STATE",33,86.56,"A"
"ETHAN HUBBARD","S ALABAMA",78,85.27,"A"
"ZAY ALEXANDER","LA LAFAYET",37,84.78,"A"
"MARTIN KOIVISTO","C MICHIGAN",64,84.5,"A"
"BRAYLON JENKINS","WYOMING",61,84.42,"A"
"DEANDRE MARSHALL","UTSA",25,83.86,"A"
"JACOB BOOTH","C MICHIGAN",67,82.42,"A"
"BEN GALLOWAY","FAU",80,82.34,"A"
"JA'KAVION NONAR","FAU",75,82.21,"A"
"DAVID APPLEWHITE","LA MONROE",64,81.82,"A"
"REESE OSEI-WUSU","S ALABAMA",78,81.5,"A"
"CHRIS HOOD","BALL ST",73,81.29,"A"
"IBRAHIM TRAORE","TOLEDO",61,81.09,"A"
"WILLIAM BOONE","TEXAS ST",83,80.93,"A"
"SIMEON AFALAVA","S JOSE ST",79,80.53,"A"
"MATT HOFER","TOLEDO",61,79.78,"B"
"DJ FOX","JAMES MAD",32,79.3,"B"
"TRUMAIN LAWSON","OHIO",69,79.13,"B"
"DEACON RAWLS","JAMES MAD",34,78.69,"B"
"HENRY SELLARDS","NEVADA",74,78.26,"B"
"TIGANA CISSE","OHIO",40,78.07,"B"
"JOHN HOLTHAUS","COLO STATE",66,77.94,"B"
"DEVON MANUEL","APP STATE",76,76.39,"B"
"JAYCE MITCHELL","LA LAFAYET",31,76.37,"B"
"JORDON JONES","TROY",69,76.31,"B"
"TYLER BRUMFIELD","E MICHIGAN",53,75.91,"B"
"JUSTIN MICHAELIS","RICE",28,75.82,"B"
"PHERLESKI MARTIN","GA STATE",72,75.56,"B"
"ETHAN GREEN","USF",56,74.39,"B"
"MANASSE ITETE","ARK STATE",50,74.37,"B"
"LUKE NEEDHAM","RICE",39,72.34,"B"
"JONNY LESTER","WASH STATE",42,71.97,"B"
"ROLAN FULLWOOD","FRESNO ST",62,71.91,"B"
"KEYON COX","UAB",70,70.95,"B"
"JEREMIAH ORR","JVILLE ST",67,70.71,"B"
"DARION REED","TULANE",51,70.08,"B"
"VAL ERICKSON","LIBERTY",38,70.01,"B"
"TRA'JON TOWNSEND","TROY",60,69.87,"B"
"KING LARGE","MO STATE",62,69.32,"B"
"DANIEL JONES","COAST CAR",40,69.07,"B"
"JOHNNY WILLIAMS IV","N TEXAS",66,69.06,"B"
"MICHAEL WOOTEN","USF",56,68.99,"B"
"GEORGE JACKSON","LA LAFAYET",44,68.83,"B"
"NETO UMEOZULU","N TEXAS",72,68.7,"B"
"CAM EAST","TULSA",75,68.46,"B"
"MANUEL SERNA","S JOSE ST",79,68.4,"B"
"D.J. GETH","LIBERTY",68,68.17,"B"
"JOHN WATKINS","TEMPLE",57,68.13,"B"
"ZACH AAMLAND","TEMPLE",57,68.11,"B"
"BEN ROEBUCK","W MICHIGAN",59,67.98,"B"
"KEVIN EVEHE","LIBERTY",25,67.7,"B"
"BIG AL OLIVER","APP STATE",25,67.17,"B"
"JAMES THOMAS JR.","BOWL GREEN",52,66.98,"B"
"TEKO SHOATS","OREGON ST",75,66.98,"B"
"DEAN BRISKI","HAWAII",72,66.97,"B"
"CAM STANCIL","JVILLE ST",76,66.88,"B"
"TYLER ETHRIDGE","BOISE ST",74,66.85,"B"
"SULLY BURNS","TEXAS ST",83,66.69,"B"
"ANTHONY CACCESE","DELAWARE",72,66.65,"B"
"DAYLON METOYER","BOISE ST",78,66.33,"B"
"KARSTEN UPCHURCH","W KENTUCKY",77,65.97,"B"
"KRISTOS FERNANDEZ","CHARLOTTE",56,65.32,"B"
"RYAN MICKOW","TULANE",51,64.48,"B"
"JACKSON BROWN","UNLV",62,63.94,"B"
"ROSS LIEGEL","N ILLINOIS",70,63.54,"B"
"MA'KYI LEE","NEW MEX ST",64,63.47,"B"
"BRODY DUFFEL","TULSA",75,63.47,"B"
