"Name","Team.Name","Offensive.Snaps","Composite_Score","Player_Grade","Receiving.Yards","Receiving.Touchdowns","Targets","Receptions","Receiving.Yards.after.Contract","Contested.Targets","Receiving.Grade","Snaps.on.Press.Coverage","Yards.per.Route.Run","Passer.Rating.when.Targetted","Missed.Tackles.forced.on.Receptions","Yards.After.Catch.per.Reception","Average.Depth.of.Target","Contested.Catches","Dropped.Passes","Fumbles","Fumbles.Lost","Receiving.Snaps","Receiving.First.Downs","Catchable.Targets","Contested.Catches.Percentage","Slot.Target.Percentage","Deep.Target.Percentage","Completion.Percentage.when.Targeted","Explosive.Plays","Percentage.of.Catchable.Passes.Caught","Dropped.Catchable.Passes.Percentage","Percentage.of.Targets.per.Receiving.Snaps"
"HUNTER TIPTON","MEMPHIS",43,100,"A",229,1,10,9,38,2,92.4,2,9.54,152.1,6,14.1,11,2,0,0,0,24,7,9,1,0.292,0.417,0.2,4,1,0,0.9
"ELIJAH ALEXANDER","AKRON",30,56.09,"C",60,2,7,6,22,1,84.1,1,2.4,142,2,8,5.4,0,0,0,0,25,4,6,0,0.08,0.28,0.143,2,1,0,0.857
"LUKE GILBERT","JVILLE ST",31,43.05,"C",139,1,3,2,14,0,76.3,0,6.04,149.3,1,45,18.3,0,0,0,0,23,1,2,0,0.043,0.13,0.667,2,1,0,0.667
"CHRISTIAN ROSS","MIAMI OH",25,38.78,"D",65,1,4,4,1,0,94,0,8.13,158.3,0,7.8,8.5,0,0,0,0,8,3,4,0,0,0.5,0,1,1,0,1
"CADE KEITH","NEW MEXICO",53,37.55,"D",68,1,3,2,6,0,69.9,2,4.25,149.3,1,14,21,0,0,0,0,16,2,2,0,0.125,0.188,0.667,2,1,0,0.667
"DARRIN FUGITT","APP STATE",29,37.11,"D",66,0,8,7,12,0,70.7,1,2.87,101,1,7.7,1.1,0,0,0,0,23,2,7,0,0.043,0.348,0,2,1,0,0.875
"PETER CLARKE","TEMPLE",49,30.41,"D",31,0,7,6,19,0,76.2,0,1.82,45.5,1,4.2,1.6,0,0,0,0,17,2,6,0,0,0.412,0,0,1,0,0.857
"RIVER HELMS","GA SOUTHRN",58,30.29,"D",23,0,6,5,2,1,55.4,3,0.61,82.6,0,0.8,4,0,0,0,0,38,1,5,0,0.026,0.158,0,0,1,0,0.833
"COLE KELLER","JAMES MAD",48,30.13,"D",37,0,2,2,18,0,85.1,0,3.7,118.8,2,13.5,5,0,0,0,0,10,2,2,0,0.1,0.2,0,2,1,0,1
"CASH CHEEKS","UTEP",32,29.97,"D",29,3,2,2,0,0,74.4,0,1.38,158.3,0,1,13.5,0,0,0,0,21,2,2,0,0.048,0.095,0,1,1,0,1
"TEDDY GAWLIK","LA LAFAYET",36,28.83,"D",36,0,3,2,12,1,77.6,0,3,107.6,1,8.5,8.3,0,0,0,0,12,1,3,0,0.083,0.25,0,1,0.667,0,0.667
"MATT WAGNER","BOISE ST",49,27.33,"D",22,0,4,2,2,1,62.6,2,0.88,66.7,0,3,6.8,1,0,0,0,25,2,2,1,0,0.16,0,1,1,0,0.5
"COLESON ARENDS","W KENTUCKY",13,26.3,"D",18,1,3,2,8,0,85.1,0,2.57,122.2,0,8.5,2,0,0,0,0,7,2,2,0,0.143,0.429,0,0,1,0,0.667
"WYATT SULLIVAN","USF",34,25.39,"D",21,0,4,2,13,2,50.6,0,0.78,65.6,1,7.5,4,0,1,0,0,27,1,3,0,0.074,0.148,0,1,0.667,0.333,0.5
"JAKE WILSON","WYOMING",37,24.7,"D",35,0,3,3,13,0,68.3,0,1.75,115.3,1,7,4.7,0,0,0,0,20,2,3,0,0.05,0.15,0,1,1,0,1
"KEYAN BURNETT","UNLV",38,24.25,"D",11,0,3,2,2,2,59.9,1,0.46,72.9,0,1,8.3,1,0,0,0,24,0,2,0.5,0.083,0.125,0,0,1,0,0.667
"KYLE FRENDT","WYOMING",19,24.03,"D",18,1,1,1,0,0,74.9,1,2.57,158.3,0,0,22,0,0,0,0,7,1,1,0,0,0.143,1,1,1,0,1
"MAX REESE","N TEXAS",47,22.19,"D",27,1,3,2,0,0,76.7,0,1.59,134.7,0,0,14,0,0,0,0,17,1,2,0,0.118,0.176,0.333,1,1,0,0.667
"ZEKE WIMBUSH","LIBERTY",33,22.15,"D",36,0,2,2,9,0,66.5,0,1.64,118.8,1,7.5,10.5,0,0,0,0,22,2,2,0,0.091,0.091,0,1,1,0,1
"NATE LEVICKI","W MICHIGAN",30,21.98,"D",28,0,2,2,2,0,81.3,0,5.6,118.8,0,11.5,2.5,0,0,0,0,5,1,2,0,0,0.4,0,1,1,0,1
"RYDER KUSCH","TEMPLE",26,21.54,"D",29,0,3,3,2,0,74.1,0,2.64,106.9,0,6.3,3.3,0,0,0,0,11,2,3,0,0.182,0.273,0,1,1,0,1
"JEREMIAH BECK JR.","SO MISS",24,21.42,"D",18,0,5,4,5,0,62.4,1,1.2,81.7,0,2.3,3.8,0,1,0,0,15,2,5,0,0,0.333,0,0,0.8,0.2,0.8
"JUICE VEREEN","COLO STATE",28,21.36,"D",10,0,2,2,3,1,58.9,1,0.5,87.5,0,1.5,3.5,1,0,0,0,20,1,2,1,0,0.1,0,1,1,0,1
"BRANDON YOUNG JR.","UTSA",17,20.76,"D",1,1,2,1,0,1,64.3,1,0.11,95.8,0,0,10,0,0,0,0,9,1,2,0,0,0.222,0,0,0.5,0,0.5
"GRANT HOLLIER","GA STATE",13,19.84,"F",44,0,3,1,7,0,61.9,0,2.93,81.9,0,30,12.7,0,0,0,0,15,1,1,0,0,0.2,0,1,1,0,0.333
"JACKSON FORD","S DIEGO ST",28,19.79,"F",19,1,1,1,0,0,67.6,0,1.73,158.3,0,0,22,0,0,0,0,11,1,1,0,0,0.091,1,1,1,0,1
"ANDREW METZGER","OHIO",19,18.74,"F",18,0,1,1,3,0,77.3,0,4.5,118.8,0,10,8,0,0,0,0,4,1,1,0,0,0.25,0,1,1,0,1
"SCOTT MOORE","DELAWARE",16,18.66,"F",14,0,1,1,3,0,63.7,2,1.17,118.8,0,11,3,0,0,0,0,12,1,1,0,0,0.083,0,0,1,0,1
"TERIK MULDER","KENT STATE",25,18.31,"F",25,0,2,2,1,0,60.3,1,1.32,118.8,0,1,11.5,0,0,0,0,19,1,2,0,0.105,0.105,0.5,1,1,0,1
"ERIC OLSEN","OREGON ST",45,18.18,"F",3,0,5,3,1,1,54,1,0.14,64.6,0,1.3,5.6,0,0,0,0,21,0,3,0,0.095,0.238,0.2,0,1,0,0.6
"DEVON TAUAEFA","HAWAII",16,17.89,"F",16,0,2,2,6,0,69.9,0,2.67,100,1,8,0,0,0,0,0,6,1,2,0,0,0.333,0,0,1,0,1
"LOFTON HOWARD","W KENTUCKY",34,17.88,"F",14,0,5,3,2,0,66.4,1,1.4,25,0,2.3,2.6,0,0,0,0,10,1,3,0,0.2,0.5,0,0,1,0,0.6
"ELI FINLEY","LA TECH",33,17.7,"F",12,0,3,2,9,0,53.4,2,0.4,74.3,1,4.5,2.7,0,0,1,1,30,0,2,0,0.067,0.1,0,0,1,0,0.667
"BLAKE SMITH","TEXAS ST",29,17.66,"F",7,0,3,2,3,0,53.5,3,0.39,70.1,0,0.5,4.7,0,0,0,0,18,0,2,0,0.111,0.167,0,0,1,0,0.667
"JAKE APPLEGET","FRESNO ST",38,17.58,"F",17,0,2,2,0,0,64,1,0.77,102.1,0,0,8.5,0,0,0,0,22,2,2,0,0.045,0.091,0,0,1,0,1
"KORAUN PERDUE","MIDDLE TN",12,17.3,"F",14,0,3,1,8,0,47.4,2,0.78,49.3,4,9,9.7,0,2,0,0,18,1,3,0,0.056,0.167,0,0,0.333,0.667,0.333
"BRODERICK PETERS","SO MISS",38,17.14,"F",10,0,1,1,5,0,66.3,1,1.67,108.3,1,7,3,0,0,0,0,6,1,1,0,0,0.167,0,0,1,0,1
"BLANE CLEAVER","BOWL GREEN",20,16.27,"F",10,0,1,1,-1,0,86.2,0,5,108.3,0,5,5,0,0,0,0,2,0,1,0,0,0.5,0,0,1,0,1
"AJ JOHNSON","FAU",74,16.25,"F",11,1,2,2,1,0,58.8,0,0.52,129.2,0,1,7,0,0,0,0,21,1,2,0,0,0.095,0,0,1,0,1
"SCOTT ISACKS","UAB",42,16.19,"F",10,0,1,1,0,0,82.3,0,3.33,108.3,0,0,10,0,0,0,0,3,1,1,0,0,0.333,0,0,1,0,1
"CONNER CRAVAACK","AKRON",29,16.1,"F",13,0,2,1,3,1,58.6,0,0.68,70.8,0,5,7,0,0,0,0,19,1,1,0,0.053,0.105,0,0,1,0,0.5
"JOSH BURRELL","ARK STATE",27,16.02,"F",8,0,1,1,2,0,72.3,1,1.33,100,0,14,-6,0,0,0,0,6,1,1,0,0.167,0.167,0,0,1,0,1
"JASON FOWLER","N ILLINOIS",21,15.86,"F",25,0,4,2,8,0,43.4,1,0.81,69.8,1,11.5,3,0,2,0,0,31,1,4,0,0.065,0.129,0,1,0.5,0.5,0.5
"JAMES RESAR","FIU",50,15.78,"F",0,0,3,0,0,2,50.5,1,0,39.6,0,0,7.3,0,0,0,0,26,0,0,0,0,0.115,0,0,0,0,0
