"Name","Team.Name","Offensive.Snaps","Composite_Score","Player_Grade"
"JESSE LEGREE","OREGON ST",46,100,"A"
"CHANCE MORROW","BUFFALO",69,99.12,"A"
"EASTON MESSER","FAU",90,96.46,"A"
"MAGUIRE ANDERSON","FIU",48,81.87,"A"
"BRENDAN JENKINS","S ALABAMA",76,79.32,"B"
"DA'WAIN LOFTON","DELAWARE",38,76.25,"B"
"TERRENCE SMITH JR.","COLO STATE",35,74.47,"B"
"CHRIS REED","SM HOUSTON",65,73.63,"B"
"JACKSON HARPER","COLO STATE",27,73.2,"B"
"TK KEYES","TROY",49,72.64,"B"
"ISAIAH MYERS","MO STATE",30,72.31,"B"
"RICO BOND","TOLEDO",15,71.8,"B"
"KELBY VALSIN","FAU",87,70.56,"B"
"AKEEM WRIGHT","BOISE ST",31,68.03,"B"
"KAM THOMAS","UTEP",27,66,"B"
"CAM'RON LACY","MIDDLE TN",30,65.81,"B"
"ASHTON HOLLINS","GA SOUTHRN",41,65.27,"B"
"CHRIS DAWN JR.","TEXAS ST",41,64.32,"B"
"EZEKIEL AVIT","FRESNO ST",28,63.91,"B"
"ELI WOOD","UTAH ST",78,63.7,"B"
"RUSSELL BABINEAUX","LA LAFAYET",20,63.41,"B"
"AVEION CHENAULT","W MICHIGAN",62,62.96,"B"
"JOJO STONE","FIU",34,62.51,"B"
"DESTYN HILL","TULANE",40,61.37,"B"
"CARSON CLARK","S JOSE ST",54,61.24,"B"
"BRYSON RODGERS","USF",26,61.01,"B"
"COOPER HOCH","S JOSE ST",70,61,"B"
"COLTON HINTON","COAST CAR",16,60.69,"B"
"JOSH RODRIGUEZ","DOMINION",45,59.08,"C"
"EGYPT NELSON","W MICHIGAN",36,58.91,"C"
"TAMA UILIATA","HAWAII",38,58.47,"C"
"MEKHI ANDERSON","UTSA",29,58.29,"C"
"DEAREE ROGERS","N ILLINOIS",42,58.02,"C"
"JOSIAH FREEMAN","FRESNO ST",27,57.94,"C"
"JALEN MICKENS","LA TECH",31,57.39,"C"
"JEREMIAH MELVIN","E CAROLINA",37,55.65,"C"
"TROY OMEIRE","NEW MEXICO",28,55.57,"C"
"SAM PICKETT III","APP STATE",55,54.67,"C"
"EJ REID","UAB",23,53.5,"C"
"TK KING","NEW MEX ST",23,53.38,"C"
"JAVON ROBINSON","UTAH ST",29,53.32,"C"
"BAYLIN BROOKS","W MICHIGAN",56,51.68,"C"
"JOSHUA PORTER","USF",37,50.86,"C"
"XAYVION TURNER-BRADSHAW","MARSHALL",33,50.85,"C"
"JAYLEN BONELLI","ARK STATE",55,50.73,"C"
"DOMINIQUE HENRY","FAU",83,50.59,"C"
"AUDRIC HARRIS","HAWAII",26,50.51,"C"
"AJ JONES","MIDDLE TN",29,49.66,"C"
"CHAUNCY COBB","ARK STATE",42,49.23,"C"
"TAZ REDDICKS","UNLV",27,49.07,"C"
"ADJATAY DABBS","TOLEDO",44,48.75,"C"
"DA'REALYST CLARK","KENT STATE",35,48.7,"C"
"WAYNE HARRIS","KENT STATE",37,48.35,"C"
"KYLEN EVANS","TEXAS ST",30,47.07,"C"
"ERIC NELSON JR.","FIU",35,46.54,"C"
"RASEAN JONES","BOISE ST",66,46.26,"C"
"KAINOA CARVALHO","HAWAII",34,44.82,"C"
"CHARLIE COENEN","WYOMING",41,44.23,"C"
"JEREMIAH WARE","GA SOUTHRN",23,43.72,"C"
"RODSHAUN DORSEY","GA STATE",30,43.31,"C"
"MAKAI JACKSON","LIBERTY",48,42.96,"C"
"RILEY NEER","OHIO",51,42.8,"C"
"ADRIAN NORTON","MARSHALL",39,42.48,"C"
"BRAYDEN MUNROE","KENNESAW",43,42.21,"C"
"DJ DARLING","NEW MEXICO",21,42.2,"C"
"MEKHI MILLER","MO STATE",21,42.18,"C"
"CLAYTON COPPOCK JR.","COAST CAR",46,42.06,"C"
"CARVER CHEEKS","UTEP",36,41.89,"C"
"GARRETT MMAHAT","TULANE",22,41.13,"C"
"JAYCE FREEMAN","TEMPLE",54,41.1,"C"
"JAMARION MCDOUGLE","BALL ST",33,41.02,"C"
"DERRICK ELEY","CHARLOTTE",73,40.41,"C"
"JYWON BOYD","TROY",26,40.06,"C"
"AJ WILSON","UTSA",31,39.98,"D"
"DEONDRE JOHNSON","JVILLE ST",50,39.82,"D"
"MARSHAUN BROWN","NEVADA",30,39.52,"D"
"CORRI MILLINER","N TEXAS",36,37.83,"D"
"JOSIAH THOMAS","NEW MEX ST",15,37.81,"D"
"TYCHAUN CHAPMAN","MEMPHIS",20,37.62,"D"
"DERRICK AVERY JR.","GA STATE",32,37.31,"D"
"ARHMAD BRANCH","USF",51,37.09,"D"
"KENDALL HARRIS","DOMINION",22,36.92,"D"
"BRYSON HAMMER","TOLEDO",24,36.79,"D"
"NAVELLE DEAN","KENNESAW",47,35.96,"D"
"ZION BOOKER","KENNESAW",42,35.84,"D"
"LA'DON BRYANT","N ILLINOIS",44,35.24,"D"
"ROBBY WASHINGTON","COAST CAR",43,35.1,"D"
"DJ ALLEN JR.","UTSA",34,34.94,"D"
"KYLE MCNEAL","FIU",41,34.76,"D"
"JAHLIL MCCLAIN","FRESNO ST",20,34.61,"D"
"COREY SCOTT","JAMES MAD",39,34.44,"D"
"JORDAN ANDERSON","S JOSE ST",26,34.29,"D"
"JMARIYAE ROBINSON","MO STATE",25,33.51,"D"
"TYSON CARTER","FIU",18,33.41,"D"
"TAESHAUN LYONS","UNLV",54,33.35,"D"
"GRADY O'NEILL","SM HOUSTON",49,33.23,"D"
"JAVON ROGERS","KENNESAW",22,32.71,"D"
"ARDELL BANKS","KENT STATE",19,32.63,"D"
"HAROLD MACK","E MICHIGAN",58,32.46,"D"
"DEMICK STARLING","UTAH ST",41,32.43,"D"
"JAMILL WILLIAMS","JVILLE ST",20,32.41,"D"
"DAVID AMADOR II","UTSA",25,32.33,"D"
"M.J. JOHNSON","SO MISS",16,32.02,"D"
"QUINCY BURROUGHS","W KENTUCKY",34,31.88,"D"
"JAYLEN HIMES","SO MISS",40,31.87,"D"
"NOAH GREVIOUS","JAMES MAD",18,31.43,"D"
"MARCEL WILLIAMS","AKRON",29,31.27,"D"
"JOSH DALLAS","GA SOUTHRN",48,31.15,"D"
"JUSTIN STEVENSON","N TEXAS",33,31.11,"D"
"DONOVAN HAMILTON","BALL ST",37,31.1,"D"
"BRANDON HILLS","AKRON",26,30.51,"D"
"CHRIS LOFTON","APP STATE",55,30.49,"D"
