"Name","Team","Total_Snaps","Avg_Snaps_Per_Game","Games_Played","Adjusted_Score","Display_Grade"
"CHANDLER DONAWAY","WYOMING",48,48,1,100,"A+"
"DEYLIN HASERT","GA STATE",26,26,1,100,"A+"
"ISAIAH BULLERDICK","CHARLOTTE",73,36.5,2,100,"A+"
"GIOVANNI PANOZZO","WYOMING",55,55,1,99.67,"A+"
"JUSTIN DELEON","TEXAS ST",30,30,1,98.71,"A+"
"WIL SAXTON","ARK STATE",105,52.5,2,98.05,"A+"
"TRISTIAN SMITH","ARK STATE",115,57.5,2,95.25,"A+"
"JOHNATHAN BUSH","WYOMING",30,30,1,94.99,"A+"
"KALAN ELLIS","S DIEGO ST",109,54.5,2,94.81,"A+"
"KADIN LYNCH","UTAH ST",33,33,1,94.67,"A+"
"DARIUS NEALS","KENNESAW",27,27,1,93.95,"A+"
"WILL HUTCHENS","LA TECH",25,25,1,93.87,"A+"
"DEVONTAE ARMSTRONG","MIAMI OH",25,25,1,93.09,"A"
"EVAN BUSHONG","JAMES MAD",74,37,2,92.49,"A"
"CHASE MIDEAU","MO STATE",31,31,1,92.46,"A"
"MALIK ALIANE","NEW MEXICO",105,52.5,2,92.03,"A"
"ZERIAN HUDSON","SO MISS",25,25,1,90.95,"A"
"LANCE JOHNSON","JVILLE ST",44,44,1,90.32,"A"
"JACKSON PRUITT","TEMPLE",113,56.5,2,89.85,"A"
"TAZIO ROSSO","LA TECH",25,25,1,89.79,"A"
"TYLER BROWN","JAMES MAD",85,42.5,2,89.36,"A"
"SHALIK HUBBARD","S ALABAMA",168,84,2,89.32,"A"
"LIPE MOALA","HAWAII",77,77,1,89.29,"A"
"JOSIAH PETAIA","WYOMING",95,47.5,2,88.81,"A"
"CONNOR DRAKE","DOMINION",57,57,1,87.89,"A"
"RASHEED JACKSON","TEXAS ST",138,69,2,87.83,"A"
"NATHAN ELU","OREGON ST",146,73,2,87.67,"A"
"JOSH WAITE","OHIO",30,30,1,87.62,"A"
"NICK BAKKEN","WASH STATE",107,53.5,2,87.55,"A"
"PATRICK METHLIE","DELAWARE",29,29,1,87.4,"A"
"AHMAD CARWISE","TOLEDO",106,53,2,87.26,"A"
"DYLAN SENDA","TOLEDO",31,31,1,86.93,"A"
"JOEP ENGBERS","LIBERTY",134,67,2,86.85,"A"
"BRADEN HALES","COLO STATE",119,59.5,2,86.61,"A-"
"BRANDON LAWHORN MOORE","MIAMI OH",26,26,1,86.48,"A-"
"MATTHEW GREENE","MO STATE",68,34,2,86.42,"A-"
"COOPER YOUNG","UAB",27,27,1,86.28,"A-"
