"Name","Team.Name","Total_Snaps","Avg_Snaps_Per_Game","Games_Played","Adjusted_Score","Display_Grade"
"CADEN JENSEN","LA LAFAYET",38,38,1,90.97,"A"
"HUNTER TIPTON","MEMPHIS",86,43,2,86.31,"A-"
"JEREMIAH SCOBY","BOWL GREEN",98,49,2,73.8,"B+"
"DARRIN FUGITT","APP STATE",58,29,2,71.37,"B"
"DAVID ALPERS III","JVILLE ST",20,20,1,69.94,"B"
"LUKE GILBERT","JVILLE ST",62,31,2,67.06,"B"
"MATT WAGNER","BOISE ST",98,49,2,64.33,"B-"
"ELI FINLEY","LA TECH",66,33,2,64.05,"B-"
"ELIJAH ALEXANDER","AKRON",60,30,2,62.03,"B-"
"KEYAN BURNETT","UNLV",76,38,2,59.57,"C+"
"CADE KEITH","NEW MEXICO",106,53,2,59.23,"C+"
"JOSIAH THOMAS","NEW MEX ST",15,15,1,57.81,"C+"
"TOBY PAYNE","MARSHALL",98,49,2,57.53,"C+"
"JAKE WILSON","WYOMING",74,37,2,54.59,"C+"
"FABIAN ROGOSCH","TROY",60,30,2,54.09,"C+"
"ERIC OLSEN","OREGON ST",90,45,2,53.38,"C+"
"LAKELSEY JOHNSON JR.","LIBERTY",42,42,1,50.44,"C"
"BRANDON YOUNG JR.","UTSA",34,17,2,50.08,"C"
"RIVER HELMS","GA SOUTHRN",116,58,2,48.37,"C"
"LEON HAUGHTON JR.","DOMINION",110,55,2,47.61,"C"
"JAMES RESAR","FIU",100,50,2,46.82,"C"
"ELI JACON-DUFFY","BOWL GREEN",126,63,2,46.08,"C-"
"TEDDY GAWLIK","LA LAFAYET",72,36,2,45.45,"C-"
"JAMEL HOWSE","APP STATE",44,22,2,45.28,"C-"
"COLE KELLER","JAMES MAD",96,48,2,44.94,"C-"
"CASH CHEEKS","UTEP",64,32,2,44.86,"C-"
"JOSHUA LONG","E MICHIGAN",138,69,2,44.26,"C-"
"DECORION TEMPLE","OREGON ST",108,54,2,42.88,"C-"
"TATE HOOVER","BALL ST",86,43,2,42.73,"C-"
"COLESON ARENDS","W KENTUCKY",13,13,1,42.5,"C-"
"ZEKE WIMBUSH","LIBERTY",66,33,2,42.49,"C-"
"KAMAEHU KOPA-KAAWALAUOLE","S JOSE ST",32,32,1,41.83,"C-"
"DJ ASIASI","NEVADA",86,43,2,41.63,"C-"
"WYATT SULLIVAN","USF",68,34,2,40.79,"C-"
"CHRISTIAN ROSS","MIAMI OH",50,25,2,40.54,"C-"
"KYLE FRENDT","WYOMING",38,19,2,40.17,"C-"
"CLINT WALKER","BUFFALO",168,84,2,39.64,"D+"
"BRYCE ANDERSON","LA MONROE",74,37,2,39.2,"D+"
"ELIJAH SESSOMS","DELAWARE",60,30,2,37.29,"D+"
"BLAKE SMITH","TEXAS ST",58,29,2,36.46,"D+"
"BRAYDEN BOCKLER","LA TECH",22,22,1,35.54,"D+"
"MAX REESE","N TEXAS",94,47,2,35.46,"D+"
"PETER CLARKE","TEMPLE",98,49,2,35.46,"D+"
"TERIK MULDER","KENT STATE",50,25,2,35.2,"D+"
"MAX WHISNER","SM HOUSTON",54,27,2,35,"D+"
"CC EZIRIM","W KENTUCKY",74,37,2,34.07,"D+"
"SCOTT ISACKS","UAB",84,42,2,33.72,"D+"
