"Name","Team.Name","Total_Snaps","Avg_Snaps_Per_Game","Games_Played","Adjusted_Score","Display_Grade"
"JESSE LEGREE","OREGON ST",92,46,2,100,"A+"
"CHANCE MORROW","BUFFALO",138,69,2,99.69,"A+"
"CAM'RON LACY","MIDDLE TN",60,30,2,92.62,"A"
"EASTON MESSER","FAU",180,90,2,89.18,"A"
"RICO BOND","TOLEDO",15,15,1,85.85,"A-"
"BRENDAN JENKINS","S ALABAMA",151,75.5,2,84.14,"A-"
"MAGUIRE ANDERSON","FIU",97,48.5,2,82.98,"A-"
"JALEN MICKENS","LA TECH",62,31,2,82.96,"A-"
"KELBY VALSIN","FAU",174,87,2,82.69,"A-"
"COOPER HOCH","S JOSE ST",139,69.5,2,82.48,"A-"
"DAMARION WITTEN","MIAMI OH",38,38,1,81.17,"A-"
"JAMILL WILLIAMS","JVILLE ST",40,20,2,81.11,"A-"
"ADJATAY DABBS","TOLEDO",88,44,2,79.94,"B+"
"SAM PICKETT III","APP STATE",110,55,2,79.81,"B+"
"ASHTON HOLLINS","GA SOUTHRN",82,41,2,79.51,"B+"
"ELI WOOD","UTAH ST",156,78,2,79.23,"B+"
"RUSSELL BABINEAUX","LA LAFAYET",20,20,1,78.7,"B+"
"DA'WAIN LOFTON","DELAWARE",76,38,2,77.12,"B+"
"COLTON HINTON","COAST CAR",32,16,2,74.87,"B+"
"JAYLEN HAMPTON","CHARLOTTE",138,69,2,74.24,"B+"
"CHRIS REED","SM HOUSTON",129,64.5,2,74.16,"B+"
"JACKSON HARPER","COLO STATE",54,27,2,73.87,"B+"
"TK KEYES","TROY",98,49,2,73.26,"B"
"TK KING","NEW MEX ST",46,23,2,72.47,"B"
"CLAYTON COPPOCK JR.","COAST CAR",92,46,2,72.36,"B"
"JEREMIAH MELVIN","E CAROLINA",74,37,2,72.19,"B"
"RJ VICK","COLO STATE",104,52,2,71.35,"B"
"RILEY NEER","OHIO",102,51,2,71.2,"B"
"MAKAI JACKSON","LIBERTY",96,48,2,71.19,"B"
"CHRIS DAWN JR.","TEXAS ST",82,41,2,70.57,"B"
"AVEION CHENAULT","W MICHIGAN",124,62,2,70.18,"B"
