"Name","Team","Offensive.Snaps","Composite_Score","Player_Grade","Season","Position","Conference","Conference_Level","Pass.Grade","Dropbacks","Attempts","Completion","Completion.Percentage","Adjusted.Completion.Percentage","Passing.Yards","Yards.per.Attempt.Pass","Yards.After.Catch.per.Completion.Percentage","Passing.Touchdowns","Interceptions","Sacks","Average.Time.to.Throw","Batted.Passes","Pass.Break.Up","Turnover.Worthy.Plays","Turnover.Worthy.Plays.Percentage","Big.Time.Throws","Big.Time.Throw.Percentage","Dropped.Passes","NFL.Passer.Rating","Average.Depth.of.Targets","Short.of.Sticks.Percentage","Percentage.of.Pass.Attempts.passed.First.Down.Markers","Air.Yards.Percentage","First.Downs","Play.Action.Percentage","Accuracy.Attempts","Accurate.Plus.Percentage","Catchable.Innacurate.Percentage","Uncatchable.Innacurage.Percentage","Other.Percentage","Accurate.Throw.Percentage","Rush.Grade","Rush.Yards","Yards.per.Attempt.Rush","Rush.Touchdowns","First.Down.Runs","Fumbles","Fumbles.Lost","Missed.Tackles.on.Runs","Yards.before.Contact.per.Attempt","Yards.after.Contract.per.Attempt","Scrambles","First.down.or.Touchdown.percentage","Missed.Tackles.forced.per.Attempt","Explosive.Runs","Change.of.direction.percentage","row_id"
"KEVIN JENNINGS","SMU",29,100,"A",2026,"QB","ACC","P4",93.6,20,17,14,"82.30%","87.50%",337,19.8,"55.20%",5,0,1,3.06,0,1,0,"0.00%",1,"5.90%",0,158.3,11.8,"41.20%","52.90%","47.20%",14,"40.00%",0,"0","0","0","0","0",69.6,14,7,0,2,0,0,0,6,1,2,"100%",0,1,"0.00%",10
"JADEN CRAIG","TCU",61,89.2,"A",2026,"QB","Big 12","P4",94.1,37,32,24,"75.00%","90.60%",391,12.2,"31.50%",4,0,1,2.8,0,0,0,"0.00%",5,"15.60%",5,155.1,13.5,"40.60%","59.40%","70.10%",19,"56.80%",0,"0","0","0","0","0",64,59,8.4,0,1,1,0,2,1.7,6.7,4,"14.30%",0.29,1,"0.00%",15
"DARIAN MENSAH","MIAMI FL",34,83.36,"A",2026,"QB","ACC","P4",91.4,17,15,14,"93.30%","93.30%",252,16.8,"38.90%",3,0,0,2.79,0,1,0,"0.00%",1,"6.70%",0,158.3,12.5,"46.70%","53.30%","64.70%",13,"29.40%",15,"33.30%","13.30%","6.70%","0","80.00%",71.1,21,10.5,0,2,0,0,0,0,0,2,"100%",0,2,"0.00%",18
"JULIAN LEWIS","COLORADO",51,81.45,"A",2026,"QB","Big 12","P4",82.3,27,24,18,"75.00%","85.70%",379,15.8,"54.10%",4,0,3,2.87,2,1,1,"3.70%",2,"8.30%",0,156.3,11.6,"54.20%","33.30%","46.70%",12,"77.80%",0,"0","0","0","0","0",62.8,3,3,1,1,0,0,0,3,0,0,"100%",0,0,"0.00%",54
"GUNNER STOCKTON","GEORGIA",25,76.98,"B",2026,"QB","SEC","P4",79.8,17,16,13,"81.30%","87.50%",234,14.6,"76.90%",5,0,0,2.66,0,1,0,"0.00%",2,"12.50%",1,158.3,9.6,"50.00%","50.00%","28.20%",10,"52.90%",0,"0","0","0","0","0",57.3,3,3,0,0,0,0,1,-1,4,1,"0.00%",1,0,"0.00%",7
"CJ BAILEY","NC STATE",41,75.58,"B",2026,"QB","ACC","P4",91.7,23,20,13,"65.00%","82.30%",281,14.1,"52.30%",1,0,1,3.29,1,0,0,"0.00%",1,"5.00%",1,125,16.4,"25.00%","60.00%","47.70%",15,"43.50%",16,"18.80%","18.80%","12.50%","25.00%","68.80%",73.5,27,5.4,1,2,0,0,3,3,2.2,2,"40.00%",0.6,1,"0.00%",38
"LINCOLN KIENHOLZ","LOUISVILLE",51,75.17,"B",2026,"QB","ACC","P4",83.9,27,24,17,"70.80%","86.40%",341,14.2,"68.90%",2,0,0,2.64,0,0,0,"0.00%",1,"4.20%",2,141,5.5,"70.80%","20.80%","31.10%",13,"51.80%",22,"18.20%","13.60%","13.60%","4.50%","72.70%",63.4,42,7,2,2,0,0,3,4.3,2.5,3,"33.30%",0.5,1,"0.00%",20
"JC FRENCH IV","CINCINNATI",55,72,"B",2026,"QB","Big 12","P4",91.1,33,27,24,"88.90%","88.90%",293,10.8,"56.30%",2,0,0,2.56,0,0,0,"0.00%",2,"7.40%",0,136.6,6,"63.00%","37.00%","45.10%",15,"36.40%",7,"57.10%","28.60%","14.30%","0","57.10%",61.7,52,7.4,0,3,0,0,1,4.9,1.7,6,"42.90%",0.14,2,"0.00%",16
"ROCCO BECHT","PENN STATE",59,69.48,"B",2026,"QB","Big Ten","P4",92.4,32,28,22,"78.60%","85.70%",286,10.2,"36.70%",3,0,1,2.6,0,2,0,"0.00%",4,"14.30%",2,144.9,9.6,"64.30%","35.70%","63.30%",12,"28.10%",0,"0","0","0","0","0",55.8,17,4.3,0,1,0,0,0,3.5,0.3,3,"25.00%",0,1,"0.00%",8
"ANTHONY COLANDREA","NEBRASKA",58,68.93,"B",2026,"QB","Big Ten","P4",87.8,29,25,20,"80.00%","83.30%",222,8.9,"49.10%",4,1,2,2.71,0,0,0,"0.00%",1,"4.00%",0,126.6,9.1,"52.00%","44.00%","56.80%",13,"37.90%",0,"0","0","0","0","0",86.1,34,11.3,0,1,0,0,0,1.7,3,2,"33.30%",0,2,"0.00%",19
