"Name","Team","Offensive.Snaps","Composite_Score","Player_Grade"
"KEVIN JENNINGS","SMU",29,100,"A"
"JADEN CRAIG","TCU",61,89.2,"A"
"DARIAN MENSAH","MIAMI FL",34,83.36,"A"
"JULIAN LEWIS","COLORADO",51,81.45,"A"
"GUNNER STOCKTON","GEORGIA",25,76.98,"B"
"CJ BAILEY","NC STATE",41,75.58,"B"
"LINCOLN KIENHOLZ","LOUISVILLE",51,75.17,"B"
"JC FRENCH IV","CINCINNATI",55,72,"B"
"ROCCO BECHT","PENN STATE",59,69.48,"B"
"ANTHONY COLANDREA","NEBRASKA",58,68.93,"B"
"AUSTIN SIMMONS","MISSOURI",69,66.26,"B"
"MALIK WASHINGTON","MARYLAND",76,64.48,"B"
"SAM LEAVITT","LSU",75,63.66,"B"
"BYRUM BROWN","AUBURN",73,61.19,"B"
"TRINIDAD CHAMBLISS","OLE MISS",44,60.59,"B"
"BILLY EDWARDS JR.","N CAROLINA",38,60.56,"B"
"JAYDEN MAIAVA","USC",61,57.58,"C"
"DREW MESTEMAKER","OKLA STATE",87,56.96,"C"
"CUTTER BOLEY","ARIZONA ST",65,56.84,"C"
"BEAU PRIBULA","VIRGINIA",28,56.2,"C"
"DEVON DAMPIER","UTAH",54,53.3,"C"
"KATIN HOUSER","ILLINOIS",73,51.81,"C"
"AARON PHILO","FLORIDA",46,51.54,"C"
"TY HAWKINS","SMU",23,51.2,"C"
"WALKER EGET","DUKE",57,50.47,"C"
"KAMARIO TAYLOR","MISS STATE",75,50.37,"C"
"BEAR BACHMEIER","BYU",60,49.45,"C"
"ETHAN GRUNKEMEYER","VA TECH",76,48.82,"C"
"JARON-KEAWE SAGAPOLUTELE","CAL",64,48.62,"C"
"JOSH HOOVER","INDIANA",38,48.59,"C"
"MASON MCKENZIE","BOSTON COL",62,47.98,"C"
"STEVE ANGELI","SYRACUSE",91,47.4,"C"
"RYAN BROWNE","PURDUE",86,45.41,"C"
"GIO LOPEZ","WAKE",70,44.86,"C"
"NATE BENNETT","BAYLOR",64,42.01,"C"
"NOAH FIFITA","ARIZONA",67,40.09,"C"
"ALESSIO MILIVOJEVIC","MICH STATE",54,38.02,"D"
"JULIAN SAYIN","OHIO STATE",65,36.99,"D"
"JARED CURTIS","VANDERBILT",54,36,"D"
"CONNER WEIGMAN","HOUSTON",27,35.98,"D"
"DANTE MOORE","OREGON",61,34.98,"D"
"FAIZON BRANDON","TENNESSEE",68,33.79,"D"
"ARCH MANNING","TEXAS",80,33.64,"D"
"KEELON RUSSELL","ALABAMA",67,32.97,"D"
"MARCEL REED","TEXAS A&M",63,32.36,"D"
"DEMOND WILLIAMS JR.","WASHINGTON",75,30.77,"D"
"BRYCE UNDERWOOD","MICHIGAN",63,29.74,"D"
"MASON HEINTSCHEL","PITTSBURGH",74,29.59,"D"
"DRAKE LINDSEY","MINNESOTA",69,28.72,"D"
"COLTON JOSEPH","WISCONSIN",48,27.59,"D"
"AJ SURACE","RUTGERS",70,27.52,"D"
"HANK BROWN","IOWA",60,27.01,"D"
"AVERY JOHNSON","KANSAS ST",69,26.05,"D"
"ISAIAH MARSHALL","KANSAS",70,25.62,"D"
"LANORRIS SELLERS","S CAROLINA",57,25.15,"D"
"TRAMELL JONES JR.","FLORIDA",21,23.9,"D"
"NICO IAMALEAVA","UCLA",65,23.79,"D"
"ALONZA BARNETT III","UCF",56,23.61,"D"
"WILL HAMMOND","TEXAS TECH",71,23.14,"D"
"TAIT REYNOLDS","CLEMSON",67,22.01,"D"
"JAYLEN RAYNOR","IOWA STATE",54,19,"F"
"JOHN MATEER","OKLAHOMA",65,18.31,"F"
"AJ HILL","ARKANSAS",21,17.23,"F"
"ALBERTO MENDOZA","GA TECH",76,16.73,"F"
"KJ JACKSON","ARKANSAS",60,7.22,"F"
"KENNY MINCHEY","KENTUCKY",65,0,"F"
