"Name","Team","Offensive.Snaps","Composite_Score","Player_Grade"
"FAME IJEBOI","PURDUE",29,100,"A"
"NATE SHEPPARD","DUKE",54,99.49,"A"
"JADAN BAUGH","FLORIDA",25,96.82,"A"
"JAVIAN MALLORY","MIAMI FL",7,90.22,"A"
"DESEAN BISHOP","TENNESSEE",31,88.6,"A"
"TURBO RICHARD","INDIANA",21,87.63,"A"
"CAM EDWARDS","MICH STATE",51,83.52,"A"
"MARK FLETCHER JR.","MIAMI FL",32,78.83,"B"
"KEWAN LACY","OLE MISS",37,75.15,"B"
"JUSTICE HAYNES","GA TECH",40,73.95,"B"
"FLUFF BOTHWELL","MISS STATE",37,73.55,"B"
"ANTWAN RAYMOND","RUTGERS",41,73.22,"B"
"MATT FULLER","S CAROLINA",24,72.02,"B"
"KING MILLER","USC",34,71.13,"B"
"GI'BRAN PAYNE","CINCINNATI",26,70.85,"B"
"J'KOBY WILLIAMS","TEXAS TECH",31,64.13,"B"
"WAYSHAWN PARKER","UTAH",36,63.99,"B"
"HOLLYWOOD SMOTHERS","TEXAS",20,63.98,"B"
"LJ MARTIN","BYU",26,63.09,"B"
"BO JACKSON","OHIO STATE",28,62.86,"B"
"MICAH WELCH","COLORADO",24,62.45,"B"
"DANIEL HILL","ALABAMA",30,62.03,"B"
"RODNEY FIELDS JR.","KANSAS ST",35,58.96,"C"
"CADEN KNIGHTEN","BAYLOR",28,57.58,"C"
"DAWSON PENDERGRASS","BAYLOR",61,56.61,"C"
"LEE BEEBE JR.","INDIANA",25,56.51,"C"
"OMAR MABSON II","AUBURN",24,56.46,"C"
"CALEB HAWKINS","OKLA STATE",52,56.2,"C"
"DAUNE MORRIS","TENNESSEE",10,56.17,"C"
"WAYNE KNIGHT","UCLA",27,55.74,"C"
"ADAM MOHAMMED","CAL",72,55.12,"C"
"NATE FRAZIER","GEORGIA",11,54.99,"C"
"ABU SAMA III","WISCONSIN",31,54.15,"C"
"IVERSON HOWARD","MARYLAND",25,52.39,"C"
"JAMAL ROBERTS","MISSOURI",31,52.21,"C"
"JAMAL RULE","NEBRASKA",31,52.13,"C"
"JOE JACKSON","KANSAS ST",19,51.45,"C"
"KEDRICK REESCANO","ARIZONA",28,48.86,"C"
"ISAIAH MOZEE","NEBRASKA",14,47.32,"C"
"JEREMIAH COBB","AUBURN",44,47.27,"C"
"KYSON BROWN","ARIZONA ST",18,46.51,"C"
"CA'LIL VALENTINE","ILLINOIS",23,46.3,"C"
"GIDEON DAVIDSON","CLEMSON",28,45.06,"C"
"DAMON FERGUSON JR.","PITTSBURGH",17,44.69,"C"
"DIERRE HILL JR.","OREGON",35,44.52,"C"
"DJ BUTLER","HOUSTON",8,44.3,"C"
"HARRY DALTON III","MARYLAND",33,44.29,"C"
"MEKHI NELSON","NEBRASKA",28,43.14,"C"
"DILIN JONES","LSU",55,41.89,"C"
"JEFFREY OVERTON JR.","VA TECH",24,41.57,"C"
"ISAAC BROWN","LOUISVILLE",39,40.19,"C"
"CAM COOK","W VIRGINIA",59,40.17,"C"
"MICHAEL TURNER","BAYLOR",12,40.14,"C"
"JABREE COLEMAN","S CAROLINA",10,40.13,"C"
"KAMARI MOULTON","IOWA",30,39.65,"D"
"MAKHI HUGHES","HOUSTON",36,39.45,"D"
"CARSON HANSEN","PENN STATE",24,39.15,"D"
"AIDEN FLORA","IOWA STATE",13,38.44,"D"
"MARCELLOUS HAWKINS JR.","VA TECH",27,38.31,"D"
"RALEEK BROWN","TEXAS",32,38.1,"D"
"CLAY THEVENIN","RUTGERS",23,35.63,"D"
"WAYMOND JORDAN","USC",25,33.56,"D"
"SAVION HITER","MICHIGAN",9,33.52,"D"
"DEUCE LAWRENCE","WAKE",28,33.49,"D"
"CHRIS JOHNSON JR.","CLEMSON",10,33.04,"D"
"LA'VELL WRIGHT","PITTSBURGH",14,32.94,"D"
"NICK PEAL","GEORGIA",8,32.66,"D"
"MAKHILYN YOUNG","VANDERBILT",31,32.33,"D"
"JAIVIAN THOMAS","UCLA",13,30.51,"D"
"CJ BAXTER","KENTUCKY",18,30.49,"D"
"LLOYD AVANT","OKLAHOMA",25,29.6,"D"
"AIDAN LAUGHERY","ILLINOIS",21,28.93,"D"
"SEDRICK ALEXANDER","VANDERBILT",36,28.82,"D"
"XAI'SHAUN EDWARDS","MISSOURI",17,28.21,"D"
"JORDAN MARSHALL","MICHIGAN",36,28.05,"D"
"JASON PATTERSON","KENTUCKY",18,27.93,"D"
"EVAN DICKENS","BOSTON COL",35,27.58,"D"
"DUKE CLARK","FLORIDA",20,26.1,"D"
"MALACHI HOSLEY","GA TECH",15,25.55,"D"
"DUKE WATSON","UCF",20,24.5,"D"
"RUEBEN OWENS II","TEXAS A&M",49,24.39,"D"
"JAMES PEOPLES","PENN STATE",14,24.35,"D"
"TY CLARK III","WAKE",37,23.42,"D"
"AYO ADEYI","OKLA STATE",22,23.01,"D"
"CJ CAMPBELL","DUKE",28,21.79,"D"
"JAMARION MORROW","TEXAS A&M",19,21.56,"D"
"BRYSON WASHINGTON","AUBURN",10,20.32,"D"
"JORDON DAVISON","OREGON",36,18.45,"F"
"KOLIN WILSON","MISS STATE",18,18.38,"F"
"DARIUS TAYLOR","MINNESOTA",29,17.8,"F"
"JAY HARRIS","KANSAS ST",9,17.04,"F"
"ANTHONY WOODS","UCLA",17,14.92,"F"
"TREY COOLEY","WASHINGTON",8,14.83,"F"
"CAMERON DICKEY","TEXAS TECH",41,14.77,"F"
"JAVIN GORDON","TENNESSEE",22,13.39,"F"
"YASIN WILLIS","KANSAS",26,11.99,"F"
"CHRISTIAN CLARK","S CAROLINA",15,11.92,"F"
"BO WALKER","GEORGIA",9,11.17,"F"
"JAQUAIL SMITH","COLORADO",12,6.81,"F"
"SHAVANE ANDERSON JR.","SYRACUSE",18,4.81,"F"
"SUTTON SMITH","ARKANSAS",49,0,"F"
