"Name","Team","Jersey.Number.x","Position","Season","Conference.x","Rush.Grade","Key.Plays.x","Attempts","Rush.Yards","Yards.per.Attempt","Rush.Touchdowns","First.Down.Runs","Fumbles.x","Fumbles.Lost.x","Missed.Tackles.on.Runs","Yards.before.Contact","Yards.before.Contact.per.Attempt","Yards.after.Contact","Yards.after.Contract.per.Attempt","Scrambles","First.down.or.Touchdown.percentage","Missed.Tackles.forced.per.Attempt","Explosive.Runs","Change.of.direction.percentage","Team.Name","Jersey.Number.y","Conference.y","Receiving.Grade","Key.Plays.y","Receiving.Snaps","Snaps.on.Press.Coverage","Targets","Receptions","Receiving.Yards","Yards.per.Reception","Receiving.Touchdowns","Receiving.First.Downs","Dropped.Passes","Fumbles.y","Fumbles.Lost.y","Catchable.Targets","Contested.Targets","Contested.Catches","Yards.after.Catch","Yards.After.Catch.per.Reception","Receiving.Yards.after.Contract","Contested.Catches.Percentage","Yards.per.Route.Run","Average.Depth.of.Target","Explosive.Plays","Missed.Tackles.forced.on.Receptions","Percentage.of.Catchable.Passes.Caught","Dropped.Catchable.Passes.Percentage","Contested.Catches.Caught.Percentage","Passer.Rating.when.Targetted","Slot.Target.Percentage","Deep.Target.Percentage","Completion.Percentage.when.Targeted","Percentage.of.Targets.per.Receiving.Snaps","Conference","Conference_Level","Offensive.Snaps","Composite_Score","Player_Grade"
"FAME IJEBOI","PURDUE",2,"HB",2026,"Big Ten",76.1,14,27,114,4.2,3,10,0,0,9,19,0.7,95,3.5,0,0.37,0.33,3,0.148,"PURDUE",2,"Big Ten",62.3,5,31,0,7,6,42,7,0,2,1,0,0,7,1,1,45,7.5,26,1,1.35,-0.4,0,4,"85.70%","14.30%","14.30%",91.7,0,0.226,0,"85.70%","Big Ten","P4",29,100,"A"
"NATE SHEPPARD","DUKE",20,"HB",2026,"ACC",74.6,10,26,150,5.8,1,7,0,0,7,27,1,123,4.7,0,0.269,0.27,6,0.077,"DUKE",20,"ACC",84.4,4,14,0,6,5,41,8.2,2,4,0,0,0,5,0,0,43,8.6,19,0,2.93,-1,0,3,"100%","0.00%","0.00%",134.7,0.071,0.429,0,"83.30%","ACC","P4",54,99.5,"A"
"JADAN BAUGH","FLORIDA",13,"HB",2026,"SEC",89.9,10,15,178,11.9,2,5,0,0,7,89,5.9,89,5.9,0,0.333,0.47,4,0.067,"FLORIDA",13,"SEC",53.2,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%","0.00%","0.00%",0,0,0,0,"0.00%","SEC","P4",25,96.89,"A"
"JAVIAN MALLORY","MIAMI FL",21,"HB",2026,"ACC",88.9,6,10,142,14.2,2,5,0,0,7,20,2,122,12.2,0,0.5,0.7,4,0.2,"MIAMI FL",21,"ACC",54.6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%","0.00%","0.00%",0,0,0,0,"0.00%","ACC","P4",7,90.11,"A"
"DESEAN BISHOP","TENNESSEE",18,"HB",2026,"SEC",82.5,13,20,147,7.3,2,7,0,0,2,58,2.9,89,4.5,0,0.35,0.1,5,0.05,"TENNESSEE",18,"SEC",67.8,1,10,0,1,1,15,15,0,1,0,0,0,1,0,0,12,12,9,0,1.5,3,1,1,"100%","0.00%","0.00%",118.8,0,0.1,0,"100%","SEC","P4",31,88.47,"A"
"TURBO RICHARD","INDIANA",1,"HB",2026,"Big Ten",81.1,9,11,108,9.8,1,7,0,0,10,32,2.9,76,6.9,0,0.636,0.91,5,0.182,"INDIANA",1,"Big Ten",63.9,0,3,0,1,1,5,5,0,0,0,0,0,1,0,0,10,10,4,0,1.67,-5,0,0,"100%","0.00%","0.00%",87.5,0,0.333,0,"100%","Big Ten","P4",21,87.37,"A"
"CAM EDWARDS","MICH STATE",0,"HB",2026,"Big Ten",66.5,16,21,150,7.1,2,8,1,1,6,43,2,107,5.1,0,0.381,0.29,3,0,"MICH STATE",0,"Big Ten",59.9,0,9,0,2,1,5,5,0,0,0,0,0,1,0,0,1,1,0,0,0.56,4.5,0,0,"100%","0.00%","0.00%",56.3,0,0.222,0,"50.00%","Big Ten","P4",51,83.76,"A"
"MARK FLETCHER JR.","MIAMI FL",4,"HB",2026,"ACC",76.9,7,7,105,15,2,5,0,0,3,26,3.7,79,11.3,0,0.714,0.43,3,0,"MIAMI FL",4,"ACC",58.9,1,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,24,0,0,"0.00%","0.00%","100%",39.6,0,0.5,1,"0.00%","ACC","P4",32,78.91,"B"
"JAYDEN SCOTT","NC STATE",1,"HB",2026,"ACC",91,6,9,128,14.2,2,3,0,0,5,9,1,119,13.2,0,0.333,0.56,2,0.111,"NC STATE",1,"ACC",57.8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%","0.00%","0.00%",0,0,0,0,"0.00%","ACC","P4",NA,77.11,"B"
"KEWAN LACY","OLE MISS",5,"HB",2026,"SEC",85.7,9,13,87,6.7,2,8,0,0,8,35,2.7,52,4,0,0.615,0.62,3,0.077,"OLE MISS",5,"SEC",55.5,0,19,0,2,1,-1,-1,0,0,0,0,0,1,0,0,0,0,0,0,-0.05,-3,0,0,"100%","0.00%","0.00%",56.3,0,0.105,0,"50.00%","SEC","P4",37,75.23,"B"
