"Name","Team.Name","Offensive.Snaps","Composite_Score","Player_Grade"
"REED HARRIS","ARIZONA ST",39,100,"A"
"COLLIN DIXON","ILLINOIS",44,96,"A"
"JOSEPH WILLIAMS","COLORADO",70,86.96,"A"
"KJ DUFF","RUTGERS",62,85.63,"A"
"NA'EEM ABDUL-RAHIM GLADDING","MARYLAND",50,82.54,"A"
"CHARLIE BECKER","INDIANA",42,80.49,"A"
"JEREMIAH SMITH","OHIO STATE",36,78.2,"B"
"DEANDRE MOORE JR.","COLORADO",70,70.96,"B"
"MALACHI TONEY","MIAMI FL",51,70.53,"B"
"LAWAYNE MCCOY","LOUISVILLE",65,68.24,"B"
"JACORY BARNEY JR.","NEBRASKA",62,67.18,"B"
"WYATT YOUNG","OKLA STATE",44,67.03,"B"
"DALLAS WILSON","FLORIDA",38,66.81,"B"
"DONOVAN OLUGBODE","MISSOURI",30,66.01,"B"
"T.J. MOORE","CLEMSON",40,65.62,"B"
"CAYDEN LEE","MISSOURI",30,64.52,"B"
"CHRIS DURR JR.","MARYLAND",39,64.13,"B"
"DAWSON POUGH","BOSTON COL",46,62.34,"B"
"YANNICK SMITH","SMU",55,60.25,"B"
"NIK MCMILLAN","KANSAS",28,59.42,"C"
"JONAH BURTON","DUKE",36,58.86,"C"
"JOSH MANNING","KANSAS ST",45,58.62,"C"
"ANTHONY EVANS III","MISS STATE",42,58.57,"C"
"KOBY YOUNG","HOUSTON",65,57.97,"C"
"SOMOURIAN WINGO","MIAMI FL",15,57.96,"C"
"TRE RICHARDSON","LOUISVILLE",60,57.77,"C"
"JV GIBSON","CINCINNATI",39,56.49,"C"
"EVAN STEWART","OREGON",58,56.13,"C"
"CHASE SOWELL","PENN STATE",36,55.83,"C"
"VERNELL BROWN III","FLORIDA",40,55.33,"C"
"MALACHI HENRY","CINCINNATI",28,55.16,"C"
"TONY DIAZ","IOWA",46,52.99,"C"
"JALEN HALE","SMU",34,52.97,"C"
"KYLER KASPER","BYU",33,52.74,"C"
"WADEN CHARLES","UCF",31,51.56,"C"
"TYRELL HENRY","WISCONSIN",43,51.24,"C"
"JUSTIN BOWICK","OKLA STATE",80,50.78,"C"
"GAVIN FREEMAN","BAYLOR",101,50.69,"C"
"NOAH JENNINGS","MINNESOTA",33,50.5,"C"
"VANDREVIUS JACOBS","MIAMI FL",15,50.41,"C"
"COY EAKIN","TEXAS TECH",36,50.27,"C"
"ISAIAH HORTON","TEXAS A&M",57,49.83,"C"
"HORATIO FIELDS","OLE MISS",68,49.19,"C"
"OMARI HAYES","IOWA STATE",15,48.84,"C"
"CHRIS MARSHALL","ARKANSAS",73,48.2,"C"
"KALEB WEBB","MARYLAND",53,47.57,"C"
"KWAZI GILMER","NEBRASKA",64,47.35,"C"
"SEMAJ MORGAN","UCLA",25,46.73,"C"
"EUGENE WILSON III","LSU",65,46.36,"C"
"DEUCE ALEXANDER","OLE MISS",64,45.79,"C"
"CAM COLEMAN","TEXAS",49,45.63,"C"
"ZION RAGINS","MISS STATE",38,45.63,"C"
"CARLOS HERNANDEZ","WAKE",28,45.51,"C"
"GIOVANNI RICHARDSON","ARIZONA",35,45.22,"C"
"TERRY BUSSEY","TEXAS A&M",38,45.12,"C"
"CHRIS BROOKS JR.","WISCONSIN",47,44.9,"C"
"CHAUNCEY MAGWOOD","PURDUE",36,44.84,"C"
"JACKSON HARRIS","LSU",40,44.81,"C"
"SANFRISCO MAGEE","MISS STATE",29,44.76,"C"
"KAYDEN DIXON-WYATT","USC",41,44.71,"C"
"UMARI HATCHER","SYRACUSE",48,44.18,"C"
"EMMETT MOSLEY V","TEXAS",37,43.46,"C"
"LEGEND GLASKER","BYU",23,43.32,"C"
"DRE'LON MILLER","BAYLOR",16,42.3,"C"
"RADARIOUS JACKSON","TENNESSEE",25,42.18,"C"
"CATAURUS HICKS","PITTSBURGH",52,41.52,"C"
"CHRIS BARNES","OKLA STATE",78,41.47,"C"
"TRENT MOSLEY","USC",35,40.78,"C"
"ASAAD WASEEM","PURDUE",27,40.59,"C"
"AYDEN GREENE","VA TECH",29,40.57,"C"
"YAMIR KNIGHT","SMU",50,40.29,"C"
"DAKORIEN MOORE","OREGON",54,40.03,"C"
"ISMAEL CISSE","ARKANSAS",32,39.92,"D"
"JUNIOR SHERRILL","VANDERBILT",55,39.43,"D"
"RICO SCOTT","ALABAMA",60,39.41,"D"
"DE'NYLON MORRISSETTE","PURDUE",27,38.97,"D"
"XAVIER TOWNSEND","PURDUE",29,38.7,"D"
"BRAYLON STALEY","TENNESSEE",40,38.46,"D"
"JJ BUCHANAN","MICHIGAN",48,37.51,"D"
"IAN STRONG","CAL",90,37.17,"D"
"JEREMIAH KOGER","AUBURN",55,37.11,"D"
"KOBY HOWARD","PENN STATE",28,37.09,"D"
"BRIAN ROWE JR.","UCLA",44,37.04,"D"
"REECE VANDER ZEE","IOWA",35,36.32,"D"
"RYAN WINGO","TEXAS",43,36.24,"D"
"AMARE THOMAS","HOUSTON",73,36.22,"D"
"TRELL HARRIS","OKLAHOMA",29,35.53,"D"
"TYLER BROWN","CLEMSON",29,35.4,"D"
"JAVON TRACY","MINNESOTA",31,35.16,"D"
"CHAS NIMROD","AUBURN",69,35.05,"D"
"CHASE HENDRICKS","CAL",88,35.03,"D"
"MARIO CRAVER","TEXAS A&M",41,34.94,"D"
"KENNY JOHNSON","TEXAS TECH",52,34.87,"D"
"TERRENCE LEWIS","OKLA STATE",34,34.69,"D"
"QUE'SEAN BROWN","VA TECH",16,33.72,"D"
"TRENT WALKER","HOUSTON",46,32.98,"D"
"DEZMEN ROEBUCK","WASHINGTON",56,32.7,"D"
"HUDSON CLEMENT","ILLINOIS",40,32.15,"D"
"RIC'DARIOUS FARMER","UCF",20,32.11,"D"
"KENNY DARBY","KENTUCKY",20,31.72,"D"
"DALEN PENSON","GA TECH",45,30.38,"D"
"JALEN SMITH","MINNESOTA",37,30.26,"D"
"TJ ABRAMS","FLORIDA",27,29.64,"D"
"KEATON KUBECKA","KANSAS",36,29.32,"D"
"RYAN COLEMAN-WILLIAMS","ALABAMA",58,29.01,"D"
"RASHID WILLIAMS","WASHINGTON",50,28.93,"D"
"ANTONIO MEEKS","WAKE",24,28.8,"D"
"NAHZAE COX","KANSAS",36,28.61,"D"
"BAILEY STOCKTON","FLORIDA",14,28.58,"D"
"TRAYLON RAY","OLE MISS",20,28.19,"D"
"JORDAN CLAY","WASHINGTON",12,28.15,"D"
"LARENZO FENNER","CINCINNATI",23,28.14,"D"
"EUGENE HILTON JR.","WISCONSIN",17,28.07,"D"
"BRANDON WHITE","KANSAS ST",23,28.06,"D"
"FREDRICK MOORE","MICH STATE",73,28,"D"
"LOTZEIR BROOKS","ALABAMA",37,27.88,"D"
"BRANDON INNISS","OHIO STATE",24,27.61,"D"
"BRYANT WESCO JR.","CLEMSON",41,27.19,"D"
"JOURDIN HOUSTON","RUTGERS",42,26.85,"D"
"WINSTON WATKINS JR.","LSU",68,26.69,"D"
"TREYSHUN HURRY","LOUISVILLE",70,26.33,"D"
"BRADEN PEGAN","UTAH",45,25.8,"D"
"DAVION BROWN","VA TECH",28,25.17,"D"
"NIC ANDERSON","KENTUCKY",35,25.06,"D"
"CREED WHITTEMORE","UTAH",21,24.7,"D"
"KESHAUN SINGLETON","AUBURN",76,24.55,"D"
"CADE WOLFORD","CINCINNATI",20,24.54,"D"
"NYCK HARBOR","S CAROLINA",32,24.13,"D"
"JAMARI HAWKINS","ARKANSAS",29,24.05,"D"
"CENSERE LEE","PITTSBURGH",41,23.85,"D"
"BEN BLACK III","RUTGERS",35,23.73,"D"
"KAM SHANKS","WAKE",24,23.51,"D"
"JEREMIAH MCCLELLAN","OREGON",63,23.43,"D"
