"Name","Team","Total_Snaps","Avg_Snaps_Per_Game","Games_Played","Adjusted_Score","Display_Grade"
"DRAKE METCALF","VIRGINIA",37,37,1,100,"A+"
"COLIN SORENSEN","MISSOURI",41,41,1,95.04,"A+"
"RYAN RODRIGUEZ","MIAMI FL",90,45,2,94.03,"A+"
"DOMINICK GIUDICE","MISSOURI",107,53.5,2,93.34,"A+"
"CHRISTO KELLY","N CAROLINA",42,42,1,91.59,"A"
"ASHTON BEERS","MINNESOTA",118,59,2,87.77,"A"
"RHYS WOODROW","MIAMI FL",39,39,1,85.55,"A-"
"JAKE RENFRO","ILLINOIS",117,58.5,2,81.93,"A-"
"CALEB NITTA","OKLAHOMA",31,31,1,81.11,"A-"
"DEMETRIUS HUNTER","COLORADO",44,44,1,81.01,"A-"
"TOMMY RICARD","VA TECH",127,63.5,2,80.72,"A-"
"KASEN CARPENTER","KANSAS",129,64.5,2,79.8,"B+"
"MARK NABOU JR.","TEXAS A&M",131,65.5,2,79.14,"B+"
"SEAN KINNEY","COLORADO",97,48.5,2,76.79,"B+"
"JAHEIM BUCHANON","TCU",69,69,1,76.77,"B+"
"ISAIAH KEMA","UTAH",31,31,1,76.12,"B+"
"ANTHONY BOSWELL","HOUSTON",75,75,1,75.88,"B+"
"BRUCE MITCHELL","BYU",105,52.5,2,75.62,"B+"
"SAM PENDLETON","TENNESSEE",68,68,1,74.81,"B+"
"MICHAEL HERSHEY","MARYLAND",131,65.5,2,71.21,"B"
"WILL WAY","WAKE",113,56.5,2,71.17,"B"
"CANON BOONE","MISS STATE",126,63,2,71.15,"B"
"TANA ALO-TUPUOLA","ARIZONA ST",106,53,2,70.7,"B"
"KYLE ALTUNER","VA TECH",38,38,1,69.93,"B"
"JUSTIN EVANS","NEBRASKA",130,65,2,69.53,"B"
"WES KING","W VIRGINIA",108,54,2,68.09,"B"
"TRENT FRALEY","MICH STATE",150,75,2,67.82,"B"
"ZACH HENNING","ARIZONA",122,61,2,66.71,"B"
"SHERIDAN WILSON","TEXAS TECH",151,75.5,2,66.51,"B-"
"DYLAN VILLAROUEL","KANSAS ST",116,58,2,66.06,"B-"
"BRAELIN MOORE","LSU",146,73,2,65.09,"B-"
"BRADYN WELCH-JOINER","FLORIDA ST",69,69,1,64.04,"B-"
"BRADEN SMITH","IOWA STATE",102,51,2,63.77,"B-"
"CAEL WINTER","IOWA",113,56.5,2,63.75,"B-"
"RILEY ROBELL","UCLA",114,57,2,62.22,"B-"
"BOAZ STANLEY","PURDUE",143,71.5,2,62.03,"B-"
"JOSHUA BATES","SMU",69,69,1,61.77,"B-"
"JAMESON RIGGS","GA TECH",126,63,2,61.41,"B-"
"BRAY LYNCH","INDIANA",95,47.5,2,58.12,"C+"
"TARAN TYO","CINCINNATI",117,58.5,2,57.86,"C+"
"MATT CRAYCRAFT","DUKE",139,69.5,2,56.3,"C+"
"EVAN WIBBERLEY","LOUISVILLE",126,63,2,56.12,"C+"
"COLETON PRICE","KENTUCKY",122,61,2,56.04,"C+"
"JAKE GUARNERA","MICHIGAN",115,57.5,2,54.15,"C+"
"NIC MOORE","TENNESSEE",62,62,1,52.74,"C"
"TOBIAS RAYMOND","USC",120,60,2,52.33,"C"
"ALEX HARRISON","UTAH",99,49.5,2,51.8,"C"
"HARRISON MOORE","FLORIDA",103,51.5,2,51.27,"C"
"BRYCEN SANDERS","OLE MISS",134,67,2,49.69,"C"
"LYNDON COOPER","VANDERBILT",133,66.5,2,49.57,"C"
"BROCK RIKER","PENN STATE",115,57.5,2,49.24,"C"
"CARSON HINZMAN","OHIO STATE",112,56,2,47.87,"C"
"IAPANI LALOULU","OREGON",125,62.5,2,47.75,"C"
"TERRENCE SALAMI","RUTGERS",134,67,2,47.36,"C"
"JAKE MAIKKULA","OKLAHOMA",65,65,1,46.18,"C-"
"NOAH BEST","OKLAHOMA",107,53.5,2,45.77,"C-"
"TYLER MERCER","OKLA STATE",174,87,2,45.63,"C-"
"ASHTON RIVERA","CAL",35,35,1,41.12,"C-"
"BASTIAN SWINNEY","CAL",119,59.5,2,41.12,"C-"
"RYAN CARRETTA","PITTSBURGH",144,72,2,40.87,"C-"
"JOE CRUZ","SYRACUSE",132,66,2,40.01,"C-"
"CONNOR ROBERTSON","TEXAS",135,67.5,2,39.66,"D+"
"RACIN DELGATTY","ALABAMA",144,72,2,38.56,"D+"
"CARTER MILLER","S CAROLINA",86,43,2,37.26,"D+"
"JACKSON CARSELLO","NWESTERN",34,34,1,37.26,"D+"
"KOLT DIETERICH","WASHINGTON",143,71.5,2,36.51,"D+"
"HARRIS SEWELL","CLEMSON",128,64,2,36.36,"D+"
"CHARLIE HOITINK","STANFORD",70,70,1,35.42,"D+"
"PAUL BOWLING","FLORIDA ST",33,33,1,34.44,"D+"
"COLE BEST","AUBURN",149,74.5,2,33.55,"D+"
"DJ WILLIAMS","BOSTON COL",93,46.5,2,33.25,"D"
"AUSTIN KAWECKI","WISCONSIN",108,54,2,32.5,"D"
"CADEN KITLER","ARKANSAS",163,81.5,2,32.07,"D"
"KOLTIN SIERACKI","BAYLOR",102,102,1,23.61,"D-"
"CONNOR MEADOWS","UCF",99,49.5,2,22.02,"D-"
"MICHAEL CROUNSE","BOSTON COL",47,47,1,21.8,"D-"
