"Name","Team","Total_Snaps","Avg_Snaps_Per_Game","Games_Played","Adjusted_Score","Display_Grade"
"JAVIAN MALLORY","MIAMI FL",7,7,1,100,"A+"
"NATE SHEPPARD","DUKE",108,54,2,100,"A+"
"FAME IJEBOI","PURDUE",58,29,2,97.05,"A+"
"JADAN BAUGH","FLORIDA",50,25,2,96.54,"A+"
"JAYDEN SCOTT","NC STATE",0,NA,1,90.25,"A"
"J.J. HILL","MISS STATE",0,NA,1,84.41,"A-"
"TURBO RICHARD","INDIANA",42,21,2,83.32,"A-"
"MARQUISE DAVIS","LOUISVILLE",0,NA,1,83,"A-"
"DESEAN BISHOP","TENNESSEE",62,31,2,82.49,"A-"
"TYLIK HILL","SYRACUSE",46,46,1,82.19,"A-"
"CAM EDWARDS","MICH STATE",102,51,2,82.09,"A-"
"XAY DAVIS","VIRGINIA",0,NA,1,81.76,"A-"
"JAMAL RULE","NEBRASKA",62,31,2,80.8,"A-"
"KAMARI MOULTON","IOWA",60,30,2,78.21,"B+"
"J'KOBY WILLIAMS","TEXAS TECH",62,31,2,75.65,"B+"
"NOAH VAUGHN","VIRGINIA",0,NA,1,75.1,"B+"
"ADAM MOHAMMED","CAL",142,71,2,74.73,"B+"
"WAYNE KNIGHT","UCLA",54,27,2,74.6,"B+"
"WAYSHAWN PARKER","UTAH",72,36,2,73.99,"B+"
"KEWAN LACY","OLE MISS",74,37,2,72.91,"B"
"DAUNE MORRIS","TENNESSEE",10,10,1,72.54,"B"
"MATT FULLER","S CAROLINA",48,24,2,71.86,"B"
"BO JACKSON","OHIO STATE",56,28,2,71.48,"B"
"LANDEN CHAMBERS","UCF",15,15,1,71.48,"B"
"NATE FRAZIER","GEORGIA",11,11,1,71.09,"B"
"JUSTICE HAYNES","GA TECH",80,40,2,70.81,"B"
"JEREMY PAYNE","TCU",0,NA,1,70.41,"B"
"HOLLYWOOD SMOTHERS","TEXAS",40,20,2,69.83,"B"
"OUSMANE KROMAH","FLORIDA ST",50,50,1,69.74,"B"
"DILIN JONES","LSU",110,55,2,69.72,"B"
"ANTWAN RAYMOND","RUTGERS",82,41,2,69.69,"B"
"CAM COOK","W VIRGINIA",118,59,2,69.58,"B"
"GI'BRAN PAYNE","CINCINNATI",52,26,2,69.51,"B"
"RODNEY FIELDS JR.","KANSAS ST",70,35,2,69.06,"B"
