"Name","Team","Offensive.Snaps","Composite_Score","Player_Grade","Runblock.Grade","Passblock.Grade","Percentage.of.Positive.Grade","Knockdown.Percentage","Pass.Block.Efficiency","Percentage.of.Negative.Grade","Pressure.allowed.Percentage","Hurries.Allowed","Beaten.by.Defender","Hits.Allowed","Sacks.Allowed"
"ROGER CARREON","BOISE ST",57,100,"A",84.2,84.5,0.158,0,0,0.035,0,0,0,0,0
"CARSON RASMUSSEN","BOISE ST",80,87.57,"A",76.6,86.6,0.113,0,0,0.075,0,0,0,0,0
"MUSTAFA KANNEH","DELAWARE",66,86.48,"A",75.7,87.1,0.076,0,0,0.015,0,0,0,0,0
"HADINE DIABY","JVILLE ST",31,82.94,"A",72.1,82,0.065,0,0,0,0,0,0,0,0
"JACKSON PRUITT","TEMPLE",76,81.08,"A",69,84.4,0.066,0,0,0.013,0,0,0,0,0
"GIOVANNI PANOZZO","WYOMING",52,81.04,"A",71.3,85.4,0.058,0,0,0.019,0,0,0,0,0
"SNOOP LEOTA-AMAAMA","NEVADA",60,78.96,"B",67.1,84.9,0.05,0,0,0,0,0,0,0,0
"GRACESON SPANN","SM HOUSTON",58,77.32,"B",64.9,86.8,0.052,0,0,0.017,0,0,0,0,0
"VINCENT FIACABLE","FAU",70,76.59,"B",66.8,88.2,0.043,0,0,0.029,0,0,0,0,0
"AIDEN JONES","FAU",70,76.38,"B",66.3,87,0.057,0.048,0,0.057,0.048,0,0,1,1
"TYLER VOLTIN","OREGON ST",64,75.66,"B",64.9,86.7,0.031,0,0,0,0,0,0,0,0
"EVAN BUSHONG","JAMES MAD",75,74.64,"B",63.7,84.5,0.053,0,0,0.04,0,0,0,0,0
"DENELL NIX JR.","SM HOUSTON",58,73.54,"B",62.1,86.8,0.035,0,0,0.017,0,0,0,0,0
"CONNOR DRAKE","DOMINION",67,73.53,"B",63.9,66,0.06,0.04,0,0.045,0.04,0,0,1,0
"BRADEN HALES","COLO STATE",71,72.71,"B",72.3,82.6,0.056,0,0,0.056,0.019,1,0,0,0
"RASHEED JACKSON","TEXAS ST",71,72.62,"B",62.8,67.8,0.056,0.037,0,0.042,0.037,0,0,1,0
"LOGAN COX","DOMINION",67,72.19,"B",66.7,46.1,0.09,0.04,0,0.075,0.04,0,0,1,0
"COLE PRINCIPE","RICE",53,71.4,"B",60,83.3,0.094,0,0,0.132,0,0,0,0,0
"TIGANA CISSE","OHIO",42,71,"B",61.9,84.9,0.024,0,0,0.024,0,0,0,0,0
"DARIUS NEALS","KENNESAW",51,70.37,"B",59.2,84.2,0.039,0,0,0.039,0,0,0,0,0
"JAMAL SILER","S ALABAMA",74,70.21,"B",60.4,85,0.068,0,0,0.108,0,0,0,0,0
"OMORUYI ALIU-OTOKITI","UTEP",35,69.68,"B",57.5,73.8,0.029,0.059,0,0.057,0.059,0,0,1,0
"BRADY BARROWMAN","BALL ST",61,68.74,"B",65.4,69.3,0.049,0,0,0.033,0,0,1,0,0
"JACOB RUSSELL","C MICHIGAN",55,68.64,"B",59.7,76.9,0.055,0,0,0.073,0,0,0,0,0
"CHANDLER TELFAIRE","DELAWARE",66,68.46,"B",59.2,87.1,0.015,0,0,0.03,0,0,0,0,0
"RYAN WALKER","JVILLE ST",52,68.22,"B",65.9,67.5,0.039,0,0,0.019,0,0,1,0,0
"TRISTIAN SMITH","ARK STATE",55,67.98,"B",57,85.5,0.055,0,0,0.091,0,0,0,0,0
"JOEP ENGBERS","LIBERTY",59,67.83,"B",57.3,83.7,0.017,0,0,0.017,0,0,0,0,0
"SKYLER GRANT","MEMPHIS",69,67.8,"B",57.8,83.4,0.029,0,0,0.043,0,0,0,0,0
"GRAYSON MAINS","TEMPLE",76,67.36,"B",60.9,78.1,0.118,0,0,0.132,0.032,1,0,0,0
"ETHAN NEWMAN","NEVADA",60,67.03,"B",57.3,84.9,0,0,0,0,0,0,0,0,0
"WILL LARKINS","OREGON ST",48,66.73,"B",68.9,71.6,0.042,0,0,0.021,0.042,1,0,0,0
"AUSTIN ELLIS","LA TECH",68,65.97,"B",55,85.7,0.015,0,0,0.029,0,0,0,0,0
"IAN MAYES","TULSA",62,65.53,"B",65.5,76.4,0.048,0,0,0.048,0.036,1,0,0,0
"JOHN IANNUZZI","C MICHIGAN",61,65.12,"B",57.6,77.8,0.066,0,0,0.131,0,0,0,0,0
"TYLER BROWN","JAMES MAD",75,64.45,"B",57.9,68.7,0.013,0.031,0,0.027,0.031,0,0,0,1
"TAVO MOTU'APUAKA","UTAH ST",35,64.17,"B",56.5,83.3,0,0,0,0.029,0,0,0,0,0
"GAVIN MCLAUGHLIN","COAST CAR",51,64.17,"B",56.2,81.4,0,0.031,0,0.039,0.031,0,0,1,0
"HUNTER WHITENACK","W MICHIGAN",65,64.14,"B",62.2,78.6,0.062,0,0,0.077,0.036,1,0,0,0
"LUKE SANDY","CHARLOTTE",65,63.95,"B",54.1,88.3,0,0,0,0.031,0,0,0,0,0
"CALIB PEREZ","UAB",43,63.83,"B",64.3,42,0.047,0.08,0,0.116,0.08,0,0,2,0
"JACOB SCHORSCH","MIAMI OH",58,63.76,"B",52.9,86.8,0.017,0,0,0.052,0,0,0,0,0
"JACKSON BELLAMY","BUFFALO",37,63.74,"B",56,82,0,0,0,0.027,0,0,0,0,0
"PATRICK VALENT","RICE",54,63.66,"B",65.6,61.5,0.074,0,0,0.056,0.05,1,0,0,0
"BRYCE PARSON","OHIO",55,63.53,"B",58.3,78.7,0,0,0,0.036,0,0,0,0,0
"RYAN MITCHELL","MO STATE",71,62.82,"B",50.8,90,0,0,0,0.028,0,0,0,0,0
"GUZZY KAYED","E MICHIGAN",66,62.39,"B",62,81.4,0.061,0,0,0.121,0.026,1,0,0,0
"EVAN LAWRENCE","S DIEGO ST",79,62.29,"B",55.4,75.4,0.025,0.027,0,0.076,0.027,0,0,0,1
"CHANDLER DONAWAY","WYOMING",59,62.1,"B",61.7,78.7,0.034,0,0,0.102,0,0,1,0,0
"ROBBY MARTIN","MARSHALL",75,61.91,"B",52.2,87.1,0.027,0,0,0.093,0,0,0,0,0
"MISAEL SANDOVAL","BALL ST",61,61.15,"B",52.8,84.8,0,0,0,0.049,0,0,0,0,0
"QUENTIS GRIFFIN JR.","LA MONROE",82,61.08,"B",74.2,53.9,0.085,0.019,0,0.11,0.057,2,0,0,1
"CHARLTON LUNIEWSKI","S DIEGO ST",70,61,"B",59,82.5,0.029,0,0,0.057,0.029,1,0,0,0
"SHALIK HUBBARD","S ALABAMA",74,60.8,"B",63.9,67.7,0.081,0,0,0.135,0.037,1,0,0,0
"MALIK ALIANE","NEW MEXICO",62,60.31,"B",57.7,75.4,0.048,0,0,0.113,0,0,1,0,0
"NATHAN ELU","OREGON ST",64,60.3,"B",63,62.6,0.047,0.026,0,0.078,0.051,1,0,1,0
"JACOB WELCH","N ILLINOIS",69,59.95,"C",56.3,84.3,0.015,0,0,0.043,0.02,1,0,0,0
"CALEB COOK","USF",55,59.24,"C",60.2,54.9,0.036,0,0,0.055,0,0,1,0,0
"MATTHEW GREENE","MO STATE",71,58.56,"C",64.1,72.5,0.056,0,0,0.07,0.05,2,0,0,0
"JAKOBY ISOM","LA LAFAYET",66,58.54,"C",68.6,45.8,0.152,0,0,0.167,0.043,1,2,0,0
"GEORGE MAILE","UTAH ST",51,58.45,"C",50.9,86.3,0,0,0,0.078,0,0,0,0,0
"ASHANTI COLE","LA TECH",83,57.9,"C",59.9,76.9,0.012,0,0,0.024,0.02,1,1,0,0
"NICK BAKKEN","WASH STATE",68,57.44,"C",69.7,54.3,0.088,0,0,0.118,0.057,2,0,0,0
"MAARTEN WOUDSMA","MEMPHIS",42,57.28,"C",54.4,60.6,0,0.04,0,0.071,0.04,0,0,1,0
"DEANDRE DUFFUS","GA STATE",60,57.02,"C",51.4,84.2,0.017,0,0,0.083,0,0,1,0,0
"JONATHAN HARDER","TOLEDO",33,56.97,"C",51.6,82.4,0,0,0,0.091,0,0,0,0,0
"GREG SMITH JR.","MIAMI OH",55,56.23,"C",57.5,55,0.018,0.057,0,0.109,0.057,0,0,0,2
"ZAIRE FLOURNOY","FIU",82,55.69,"C",62.5,75.3,0.037,0,0,0.085,0.04,2,0,0,0
"ANTONIO TRIPP JR.","FIU",82,55.48,"C",60.1,67.7,0.024,0.06,0,0.085,0.08,1,0,3,0
"BRODY BOLYN","BOWL GREEN",32,54.9,"C",66.7,48.2,0.094,0,0,0.125,0.059,1,1,0,0
"TREVARIS EDWARDS","MIDDLE TN",47,54.86,"C",57.6,38.6,0.021,0.048,0,0.064,0.048,0,1,0,1
"WIL SAXTON","ARK STATE",43,54.02,"C",56.7,65.6,0,0,0,0.07,0,0,1,0,0
"AHMAD CARWISE","TOLEDO",80,53.6,"C",46.7,80.2,0.013,0,0,0.075,0,0,1,0,0
"PRECIOUS EKEH","KENNESAW",65,53.58,"C",51.7,71.2,0.031,0,0,0.077,0.026,1,0,0,0
"VAL ERICKSON","LIBERTY",25,52.94,"C",49,79.9,0,0,0,0.12,0,0,0,0,0
"BAMIDELE BADUSI","TEXAS ST",52,52.88,"C",47.7,81.9,0.019,0,0,0.154,0,0,0,0,0
"BRANDON STONER","GA SOUTHRN",55,52.23,"C",60.1,66.8,0.036,0,0,0.055,0.063,2,0,0,0
"ALOALI'I MAUI","SO MISS",79,52.21,"C",57.5,73.1,0.025,0,0,0.101,0.018,1,1,0,0
"DYLAN SENDA","TOLEDO",47,50.37,"C",58.5,51.4,0,0,0,0.043,0,0,2,0,0
"KEON JOHNSON","N TEXAS",89,50.29,"C",58.8,61.2,0.011,0,0,0.056,0,0,3,0,0
"VAL KONDRATENKO","BUFFALO",27,50.1,"C",58.1,36.2,0,0,0,0.037,0,0,1,0,0
"PARKER MITCHELL","MEMPHIS",44,50,"C",55.3,59.1,0,0,0,0.023,0.05,1,0,0,0
"ETHAN KRAMER","E CAROLINA",72,49.85,"C",59.5,65.8,0.069,0,0,0.139,0.037,1,2,0,0
"GINO QUINONES","FRESNO ST",70,49.33,"C",53.6,66.6,0,0.029,0,0.086,0.059,1,0,1,0
"ISAIAH BULLERDICK","CHARLOTTE",32,49.12,"C",56.1,37.8,0,0.048,0,0.094,0.048,0,1,1,0
"ETHAN WILLIAMS","GA SOUTHRN",64,49.01,"C",61.8,47.2,0.031,0,0,0.047,0.056,2,0,0,0
"TYLER CHEN","S JOSE ST",74,48.94,"C",58.2,69.8,0.014,0.02,0,0.081,0.061,2,0,1,0
"BRYCE WEAVER","E CAROLINA",72,48.92,"C",64.9,65.1,0.056,0,0,0.111,0.074,2,1,0,0
"DONOVAN LAWRENCE","UAB",60,48.9,"C",58.1,67,0.05,0,0,0.117,0.061,2,0,0,0
"MAC WALTERS","APP STATE",41,48.71,"C",53.1,69.5,0,0,0,0.073,0.04,1,0,0,0
"ALEX BIRCHMEIER","LIBERTY",34,48.49,"C",61.4,33.5,0.029,0,0,0.059,0.05,1,0,0,0
"CAYDEN SWEATT","APP STATE",40,48.23,"C",53.7,63.2,0.025,0,0,0.1,0.048,1,0,0,0
"JAYMAR TASI","NEW MEXICO",59,47.55,"C",58.6,28.7,0.068,0.063,0,0.17,0.063,0,2,0,2
"TYLER CHAMBERS","N ILLINOIS",69,47.16,"C",70.4,28.5,0.043,0.02,0,0.072,0.059,2,1,1,0
"ZACH SMITH","COLO STATE",71,46.87,"C",57.3,50.6,0.014,0.019,0,0.07,0.039,1,1,1,0
"JOSHUA DANIEL","COAST CAR",62,46.66,"C",57,62.3,0.032,0,0,0.097,0.056,2,0,0,0
"KALVIN JANSSEN","WYOMING",59,46.26,"C",54,54,0.017,0.027,0,0.119,0.027,0,2,1,0
"GRESHAM PERRY","TULANE",62,46.13,"C",55,61.4,0.016,0,0,0.097,0.029,1,1,0,0
"NONSO OMEZI","W KENTUCKY",61,45.97,"C",57.9,53.2,0.033,0.029,0,0.098,0.086,2,0,1,0
"GAGE STANALAND","GA STATE",86,45.78,"C",60.6,74.2,0.035,0.018,0,0.093,0.037,1,4,0,1
"ZERIAN HUDSON","SO MISS",33,45.32,"C",50.6,76.3,0,0,0,0.121,0.043,1,0,0,0
"KALIEM CROSWELL","LA MONROE",82,44.96,"C",73.9,52.9,0.073,0,0,0.11,0.057,3,3,0,0
"CECIL WILSON","KENT STATE",43,44.93,"C",50.2,62.7,0,0,0,0.14,0,0,1,0,0
"RHETT LARSON","W KENTUCKY",61,44.47,"C",43.9,58.8,0,0.029,0,0.098,0.029,0,1,0,1
"BRANDON SMITH","AKRON",60,44.25,"C",54.7,61.3,0.033,0,0,0.117,0.023,1,2,0,0
"LUKE PETIT","TROY",77,43.81,"C",45.8,64.1,0,0.024,0,0.091,0.049,1,0,0,1
"DOM SILVIA","CHARLOTTE",33,42.74,"C",62.8,27.6,0.03,0,0,0.091,0.048,1,1,0,0
"JAYMON LAMB","UTEP",45,42.59,"C",52.4,75.1,0,0,0,0.044,0.1,2,0,0,0
"JALEN SLAPPY","MARSHALL",75,41.34,"C",61.3,58.6,0.053,0,0,0.12,0.103,3,0,0,0
"DYLAN SHAW","N TEXAS",73,39.72,"D",49.7,41.9,0,0.022,0,0.096,0.022,0,2,1,0
"KADEN MOREAU","LA LAFAYET",74,39.51,"D",56.5,32.2,0.068,0.036,0,0.176,0.071,1,2,0,1
"REESE BAKER","TULANE",62,38.84,"D",52.9,33,0,0.029,0,0.113,0.059,1,0,0,1
"SETH ANSTEAD","OHIO",60,37.77,"D",62.5,23.7,0.067,0.024,0,0.167,0.073,2,1,0,1
"DENNIS STREY JR.","E MICHIGAN",66,33.31,"D",35.7,61.4,0,0.026,0,0.197,0.026,0,1,0,1
"NATE HAMPTON","AKRON",60,30.69,"D",45.4,54.7,0,0,0,0.117,0.047,2,1,0,0
"JULIUS TATE","USF",55,30.34,"D",57.6,47.4,0.055,0,0,0.145,0.088,3,2,0,0
"DARRELL JONES","UTSA",49,29.79,"D",51.5,39.6,0.02,0,0,0.163,0.08,2,0,0,0
"GAVIN DABO","W MICHIGAN",65,28.84,"D",46,19.7,0.046,0.071,0,0.231,0.107,1,1,0,2
"PATRICK SCREWS JR.","TROY",77,28.47,"D",48.2,47.1,0,0,0,0.104,0.073,3,0,0,0
"LAVAKA TAUKEIAHO","S JOSE ST",74,28.42,"D",61.9,34.3,0.027,0.02,0,0.135,0.082,3,2,0,1
"TRENT RAMSEY","APP STATE",81,24.01,"D",44.8,51.6,0,0,0,0.123,0.065,3,1,0,0
"THOMAS BARR","BUFFALO",64,22.11,"D",55.5,15.3,0,0.036,0,0.125,0.143,3,0,1,0
"LUKE ROGERS","SO MISS",46,20.18,"D",48.5,14.9,0,0.031,0,0.152,0.094,2,1,1,0
"ALEX HARRIS","BOWL GREEN",52,10.87,"F",47.5,39.8,0.019,0,0,0.231,0.136,3,1,0,0
"MARQUISE THORPE-TAYLOR","FRESNO ST",70,5.63,"F",58.6,2.6,0.029,0.059,0,0.2,0.176,4,3,2,0
"DUSTYN MORELL","KENT STATE",35,5.58,"F",49.1,16.8,0,0,0,0.257,0.1,2,2,0,0
"BEN RIOS","UTSA",47,0,"F",40.7,0,0,0.035,0,0.234,0.138,3,1,1,0
