"Name","Team","Offensive.Snaps","Composite_Score","Player_Grade"
"ROGER CARREON","BOISE ST",57,100,"A"
"CARSON RASMUSSEN","BOISE ST",80,87.57,"A"
"MUSTAFA KANNEH","DELAWARE",66,86.48,"A"
"HADINE DIABY","JVILLE ST",31,82.94,"A"
"JACKSON PRUITT","TEMPLE",76,81.08,"A"
"GIOVANNI PANOZZO","WYOMING",52,81.04,"A"
"SNOOP LEOTA-AMAAMA","NEVADA",60,78.96,"B"
"GRACESON SPANN","SM HOUSTON",58,77.32,"B"
"VINCENT FIACABLE","FAU",70,76.59,"B"
"AIDEN JONES","FAU",70,76.38,"B"
"TYLER VOLTIN","OREGON ST",64,75.66,"B"
"EVAN BUSHONG","JAMES MAD",75,74.64,"B"
"DENELL NIX JR.","SM HOUSTON",58,73.54,"B"
"CONNOR DRAKE","DOMINION",67,73.53,"B"
"BRADEN HALES","COLO STATE",71,72.71,"B"
"RASHEED JACKSON","TEXAS ST",71,72.62,"B"
"LOGAN COX","DOMINION",67,72.19,"B"
"COLE PRINCIPE","RICE",53,71.4,"B"
"TIGANA CISSE","OHIO",42,71,"B"
"DARIUS NEALS","KENNESAW",51,70.37,"B"
"JAMAL SILER","S ALABAMA",74,70.21,"B"
"OMORUYI ALIU-OTOKITI","UTEP",35,69.68,"B"
"BRADY BARROWMAN","BALL ST",61,68.74,"B"
"JACOB RUSSELL","C MICHIGAN",55,68.64,"B"
"CHANDLER TELFAIRE","DELAWARE",66,68.46,"B"
"RYAN WALKER","JVILLE ST",52,68.22,"B"
"TRISTIAN SMITH","ARK STATE",55,67.98,"B"
"JOEP ENGBERS","LIBERTY",59,67.83,"B"
"SKYLER GRANT","MEMPHIS",69,67.8,"B"
"GRAYSON MAINS","TEMPLE",76,67.36,"B"
"ETHAN NEWMAN","NEVADA",60,67.03,"B"
"WILL LARKINS","OREGON ST",48,66.73,"B"
"AUSTIN ELLIS","LA TECH",68,65.97,"B"
"IAN MAYES","TULSA",62,65.53,"B"
"JOHN IANNUZZI","C MICHIGAN",61,65.12,"B"
"TYLER BROWN","JAMES MAD",75,64.45,"B"
"TAVO MOTU'APUAKA","UTAH ST",35,64.17,"B"
"GAVIN MCLAUGHLIN","COAST CAR",51,64.17,"B"
"HUNTER WHITENACK","W MICHIGAN",65,64.14,"B"
"LUKE SANDY","CHARLOTTE",65,63.95,"B"
"CALIB PEREZ","UAB",43,63.83,"B"
