"Name","Team","Offensive.Snaps","Composite_Score","Player_Grade"
"TAYVEN JACKSON","N TEXAS",89,100,"A"
"BRADEN ATKINSON","OREGON ST",44,99.97,"A"
"JOHN ALAN RICHTER","TOLEDO",77,98.75,"A"
"BRAD JACKSON","TEXAS ST",73,82.45,"A"
"LANDYN LOCKE","SM HOUSTON",53,78.27,"B"
"DAVID MCCOMB","MIAMI OH",58,76.08,"B"
"CADEN PINNICK","WASH STATE",68,75.2,"B"
"MICHAEL VAN BUREN JR.","USF",53,74.88,"B"
"MALACHI SINGLETON","APP STATE",78,71.82,"B"
"MARCUS STOKES","MEMPHIS",58,71.58,"B"
"SKYLER LOCKLEAR","MO STATE",69,70.87,"B"
"NICK MINICUCCI","DELAWARE",66,70.05,"B"
"DEUCE BAILEY","COAST CAR",61,66.69,"B"
"JACURRI BROWN","RICE",63,62.21,"B"
"AJANI SHEPPARD","TEMPLE",73,61.01,"B"
"DESHAWN PURDIE","LIBERTY",44,60.58,"B"
"CAMERAN BROWN","GA STATE",84,60.2,"B"
"CAMDEN COLEMAN","JAMES MAD",75,58.39,"C"
"LUNCH WINFIELD","LA LAFAYET",74,56.88,"C"
"CARLOS DEL RIO-WILSON","MARSHALL",75,56.47,"C"
"JJ KOHL","FIU",82,55.41,"C"
"MADDUX MADSEN","BOISE ST",80,54.34,"C"
"TREY KUKUK","LA TECH",83,52.99,"C"
"CADEN CREEL","JVILLE ST",52,51.69,"C"
"TARON DICKENS","N ILLINOIS",59,49.67,"C"
"LEVI DAVIS","OHIO",20,48.75,"C"
"KADIN SEMONZA","TULANE",62,46.35,"C"
"JAYDEN MANDAL","FRESNO ST",70,45.85,"C"
"AUSTIN CARLISLE","LA MONROE",52,44.32,"C"
"ROMAN GAGLIANO","MIDDLE TN",71,43.82,"C"
"JARED HOLLINS","S ALABAMA",74,42.9,"C"
"LANDRY LYDDY","SO MISS",39,42.09,"C"
"DEXTER WILLIAMS II","TULSA",65,41.11,"C"
"BROC LOWRY","W MICHIGAN",65,41.01,"C"
"GOOSE CROWDER","TROY",77,40.78,"C"
"TYLER HUGHES","WYOMING",60,40.56,"C"
"RICKIE COLLINS","KENNESAW",65,40.38,"C"
"MATT VEZZA","OHIO",41,40.32,"C"
"JAYDEN DENEGAL","S DIEGO ST",78,39.99,"D"
"CADEN VELTKAMP","FAU",70,38.82,"D"
"CARTER JONES","NEVADA",60,38.37,"D"
"MAX JOHNSON","GA SOUTHRN",70,37.7,"D"
"COLE GONZALES","CHARLOTTE",65,36.74,"D"
"LUKE WEAVER","S JOSE ST",74,35.72,"D"
"TREY OWENS","ARK STATE",52,34.02,"D"
"AIDAN ARMENTA","LA MONROE",30,31.63,"D"
"ETHAN HAMPTON","SO MISS",40,29.91,"D"
"CIBASTIAN BROUGHTON","AKRON",19,27.63,"D"
"DARIUS CURRY","COLO STATE",19,27.08,"D"
"TOA FA'AVAE","NEW MEXICO",43,26.44,"D"
"NOAH KIM","E MICHIGAN",55,24.27,"D"
"BROCK GLENN","W KENTUCKY",61,23.94,"D"
"BRAYDEN ROGGOW","AKRON",41,23.81,"D"
"RYDER BURTON","UAB",57,22.83,"D"
"KELDRIC LUSTER","BALL ST",55,17.58,"F"
"QUINN HENICLE","DOMINION",67,17.45,"F"
"K'SAAN FARRAR","COLO STATE",37,16.72,"F"
"GRADY BROSTERHOUS","UTAH ST",55,15.68,"F"
"JAY KASTANTIN","BOWL GREEN",32,11.66,"F"
"OWEN MCCOWN","UTSA",47,11.46,"F"
"MITCH GRIFFIS","E CAROLINA",50,9.66,"F"
"JASON WRIGHT","BUFFALO",64,7.24,"F"
"DRU DESHIELDS","KENT STATE",30,0,"F"
