"Name","Team","Offensive.Snaps","Composite_Score","Player_Grade"
"D.J. CROWTHER","USF",33,100,"A"
"JAVION KINNARD","S DIEGO ST",71,95.87,"A"
"DYLAN RILEY","BOISE ST",43,94.17,"A"
"TORRANCE BURGESS JR.","TEXAS ST",34,91.46,"A"
"SAM BROWN V","TEMPLE",40,70.29,"B"
"JABARI BATES","S JOSE ST",46,70.18,"B"
"KIRBY VORHEES","WASH STATE",32,67.44,"B"
"KEENAN PHILLIPS","S ALABAMA",30,66.69,"B"
"DAVIAN JACKSON","TEXAS ST",31,63.77,"B"
"MAXWELL WOODS","WASH STATE",30,63.72,"B"
"SIRE GAINES","BOISE ST",40,63.17,"B"
"JORDAN THOMPSON","MEMPHIS",11,58.94,"C"
"TJ HORTON","BALL ST",22,58.64,"C"
"JALEN BUCKLEY","W MICHIGAN",31,58.25,"C"
"PJ MARTIN","S ALABAMA",39,58,"C"
"DERRICK JAMESON","LA MONROE",37,57.76,"C"
"QWANTAVIUS WIGGINS","GA STATE",41,57.52,"C"
"DAVID MBADINGA","GA SOUTHRN",41,56.54,"C"
"MAURICE TURNER","TULANE",33,54.11,"C"
"CONNOR WALENDZAK","TOLEDO",34,53.3,"C"
"DEVIN ROCHE","DOMINION",41,50.41,"C"
"TJ ENGLEMAN JR.","E CAROLINA",33,49.29,"C"
"SETH DAVIS","TULSA",15,48.05,"C"
"JAYLIN CARTER","MEMPHIS",31,46.91,"C"
"ANTONIO MARTIN","MIDDLE TN",41,46.49,"C"
"RAMONE GREEN JR.","MO STATE",36,46.06,"C"
"JAHIEM WHITE","N TEXAS",64,44.71,"C"
"STEVEN ROBINSON","SO MISS",49,44.52,"C"
"DAMARI ALSTON","TULSA",25,44.14,"C"
"JAMES MCNEIL JR.","BUFFALO",38,42.76,"C"
"JAYDEN CLERVEAUX","C MICHIGAN",46,42.74,"C"
"AJ NEWBERRY","OREGON ST",33,41.36,"C"
"LOLO MATAELE","W MICHIGAN",34,39.63,"D"
"D.J. MCKINNEY","TULSA",15,38.92,"D"
"DOMINIC LEE-KNICELY","COAST CAR",25,38.7,"D"
"VICTOR ROSA","OHIO",45,37.89,"D"
"JUDAH PRICE","MARSHALL",12,37.48,"D"
"JO'SHON BARBIE","MARSHALL",33,35.81,"D"
"DALLAN HAYDEN","MEMPHIS",17,35.5,"D"
"TELLY JOHNSON JR.","N ILLINOIS",37,34.83,"D"
"RAYSHON LUKE","FRESNO ST",31,34.25,"D"
"TRAE'VON DUNBAR","S ALABAMA",17,34.13,"D"
"JAQUARI LEWIS","APP STATE",43,33.45,"D"
"WILL HENDERSON III","UTSA",29,33.44,"D"
"ROD ROBINSON II","UAB",34,33.29,"D"
"BRYSON DONELSON","FRESNO ST",22,32.97,"D"
"GEORGE PETTAWAY","JAMES MAD",44,32.07,"D"
"BREEZY DUBAR","MO STATE",29,31.67,"D"
"JO SILVER","DELAWARE",35,31.46,"D"
"BRENDON HAYGOOD","N TEXAS",27,31.34,"D"
"STEVEN BLANCO","LA LAFAYET",36,31.21,"D"
"JASON COLLINS JR.","USF",16,29.78,"D"
"JERRIAN PARKER JR.","SM HOUSTON",22,29.58,"D"
"JOHNNIE DANIELS","TULANE",27,29.24,"D"
"NICK HERMAN","JAMES MAD",29,29.17,"D"
"DURELL ROBINSON","COLO STATE",36,28.25,"D"
"DOMINIC KELLEY","NEVADA",42,27.62,"D"
"CJ MILLER","TOLEDO",40,27.52,"D"
