"Name","Team.Name","Offensive.Snaps","Composite_Score","Player_Grade","Jersey.Number.x","Position","Season","Conference","Receiving.Grade","Key.Plays","Receiving.Snaps","Snaps.on.Press.Coverage","Targets","Receptions","Receiving.Yards","Yards.per.Reception","Receiving.Touchdowns","Receiving.First.Downs","Dropped.Passes","Fumbles","Fumbles.Lost","Catchable.Targets","Contested.Targets","Contested.Catches","Yards.after.Catch","Yards.After.Catch.per.Reception","Receiving.Yards.after.Contract","Contested.Catches.Percentage","Yards.per.Route.Run","Average.Depth.of.Target","Explosive.Plays","Missed.Tackles.forced.on.Receptions","Percentage.of.Catchable.Passes.Caught","Dropped.Catchable.Passes.Percentage","Contested.Catches.Caught.Percentage","Passer.Rating.when.Targetted","Slot.Target.Percentage","Deep.Target.Percentage","Completion.Percentage.when.Targeted","Percentage.of.Targets.per.Receiving.Snaps","Jersey.Number.y","Offensive.Grade","Passblock.Grade","Runblock.Grade","Conference_Level"
"ELI FINLEY","LA TECH",83,100,"A",84,"TE",2026,"Sun Belt",67.9,5,45,0,14,8,65,8.1,1,4,0,0,0,8,2,0,44,5.5,9,0,1.44,4.9,2,1,1,0,"14.30%",63.1,0.156,0.311,0.071,0.571,84,65.6,71,52.3,"G5"
"KYLE FRENDT","WYOMING",29,92.85,"A",83,"TE",2026,"MWC",77.2,3,20,1,4,4,95,23.8,0,3,0,0,0,4,0,0,43,10.8,13,0,4.75,13,3,0,1,0,"0.00%",118.8,0,0.2,0,1,83,76.9,66.8,65.9,"G5"
"CADE KEITH","NEW MEXICO",60,81.69,"A",88,"TE",2026,"MWC",73.5,4,31,1,5,5,78,15.6,0,3,0,0,0,5,0,0,44,8.8,10,0,2.52,6.8,1,1,1,0,"0.00%",118.8,0.065,0.161,0.2,1,88,73.1,64.5,62.9,"G5"
"COLE KELLER","JAMES MAD",57,74.1,"B",0,"TE",2026,"Sun Belt",66.6,4,24,0,5,3,40,13.3,2,3,0,0,0,2,0,0,24,8,10,0,1.67,7.4,1,0,1.5,0,"0.00%",125,0.042,0.208,0,0.6,0,65.5,33.7,61.6,"G5"
"JAMEL HOWSE","APP STATE",49,72.22,"B",19,"TE",2026,"Sun Belt",74.3,3,23,1,3,2,50,25,0,2,0,0,0,2,1,0,28,14,16,0,2.17,7.7,1,0,1,0,"33.30%",109.7,0.043,0.13,0,0.667,19,72.6,72.2,56.5,"G5"
"BRODERICK PETERS","SO MISS",29,67.77,"B",84,"TE",2026,"Sun Belt",84.7,3,14,1,4,4,60,15,0,2,0,0,0,4,0,0,16,4,2,0,4.29,11,1,2,1,0,"0.00%",118.8,0,0.286,0,1,84,85.1,70.5,50.4,"G5"
"SAM LEE","TOLEDO",58,64.08,"B",43,"TE",2026,"MAC",61.6,5,33,1,4,3,38,12.7,0,2,0,0,0,3,1,0,32,10.7,15,0,1.15,5.5,1,0,1,0,"25.00%",104.2,0.03,0.121,0,0.75,43,59.7,28.7,58.7,"G5"
"JACOB NEWELL","TOLEDO",33,59.73,"C",88,"TE",2026,"MAC",73.3,5,22,1,3,3,36,12,1,3,0,0,0,3,0,0,22,7.3,2,0,1.64,4.7,1,0,1,0,"0.00%",156.3,0,0.136,0,1,88,78,22.7,80.2,"G5"
"JABARI BUSH","ARK STATE",15,59.66,"C",17,"TE",2026,"Sun Belt",66.4,1,8,2,1,1,46,46,0,1,0,0,0,1,0,0,22,22,6,0,5.75,24,1,0,1,0,"0.00%",118.8,0.125,0.125,1,1,17,65.6,NA,57.3,"G5"
"ROD GIBBS","S ALABAMA",56,57.87,"C",9,"TE",2026,"Sun Belt",79,2,15,0,2,2,33,16.5,1,1,0,0,0,2,0,0,16,8,8,0,2.2,8.5,1,1,1,0,"0.00%",158.3,0,0.133,0,1,9,84.4,66.3,73.1,"G5"
"ERIC OLSEN","OREGON ST",23,54,"C",80,"TE",2026,"Pac-12",78.8,2,16,0,3,2,31,15.5,1,2,0,0,0,2,0,0,10,5,4,0,1.94,11,1,0,1,0,"0.00%",140.3,0.063,0.188,0,0.667,80,76.7,65.3,55.9,"G5"
"LAKELSEY JOHNSON JR.","LIBERTY",26,53.57,"C",87,"TE",2026,"C-USA",80.4,1,9,0,1,1,37,37,0,1,0,0,0,1,0,0,20,20,9,0,4.11,17,1,0,1,0,"0.00%",118.8,0,0.111,0,1,87,71.7,66,56.1,"G5"
"RIVER HELMS","GA SOUTHRN",61,52.93,"C",87,"TE",2026,"Sun Belt",64.9,3,34,0,5,3,36,12,0,2,0,0,0,3,1,0,16,5.3,6,0,1.06,12.2,1,1,1,0,"20.00%",82.1,0.088,0.147,0.2,0.6,87,60.8,NA,50,"G5"
"WITT EDWARDS","MO STATE",17,51.62,"C",87,"TE",2026,"C-USA",71.1,1,9,0,1,1,38,38,1,1,0,0,0,1,0,0,18,18,0,0,4.22,20,1,0,1,0,"0.00%",158.3,0,0.111,1,1,87,58.4,NA,39.8,"G5"
"JOSHUA LONG","E MICHIGAN",52,48.86,"C",9,"TE",2026,"MAC",66.2,4,26,0,5,4,11,2.8,0,1,0,0,0,4,3,2,6,1.5,5,0.667,0.42,3,0,0,1,0,"60.00%",39.6,0.115,0.192,0,0.8,9,67.8,71,65.6,"G5"
"BLAKE SMITH","TEXAS ST",41,47.87,"C",16,"TE",2026,"Pac-12",66.3,1,16,0,1,1,41,41,1,1,0,0,0,1,0,0,26,26,0,0,2.56,15,1,0,1,0,"0.00%",158.3,0,0.063,0,1,16,60.5,65.1,46.3,"G5"
