"Name","Team.Name","Offensive.Snaps","Composite_Score","Player_Grade","Jersey.Number","Position","Season","Conference","Receiving.Grade","Key.Plays","Receiving.Snaps","Snaps.on.Press.Coverage","Targets","Receptions","Receiving.Yards","Yards.per.Reception","Receiving.Touchdowns","Receiving.First.Downs","Dropped.Passes","Fumbles","Fumbles.Lost","Catchable.Targets","Contested.Targets","Contested.Catches","Yards.after.Catch","Yards.After.Catch.per.Reception","Receiving.Yards.after.Contract","Contested.Catches.Percentage","Yards.per.Route.Run","Average.Depth.of.Target","Explosive.Plays","Missed.Tackles.forced.on.Receptions","Percentage.of.Catchable.Passes.Caught","Dropped.Catchable.Passes.Percentage","Contested.Catches.Caught.Percentage","Passer.Rating.when.Targetted","Slot.Target.Percentage","Deep.Target.Percentage","Completion.Percentage.when.Targeted","Percentage.of.Targets.per.Receiving.Snaps","Conference_Level","Catch_Rate","Yards_Per_Tgt","Tgt_Per_Snap"
"SEAN WILSON","DELAWARE",63,100,"A",18,"WR",2026,"C-USA",90.4,9,37,5,11,9,185,20.6,2,8,0,0,0,9,2,2,34,3.8,23,1,5,16.7,6,5,1,0,"18.20%",158.3,0,0.297,0.364,0.818,"G5",0.818181818181818,16.8181818181818,0.297297297297297
"JOSHUA PORTER","USF",36,66.05,"B",80,"WR",2026,"The American",85.1,8,26,0,9,8,106,13.3,1,8,0,0,0,8,0,0,36,4.5,18,0,4.08,8.8,4,4,1,0,"0.00%",152.8,0.077,0.346,0.111,0.889,"G5",0.888888888888889,11.7777777777778,0.346153846153846
"KAMARI MAXWELL","SM HOUSTON",40,61.28,"B",12,"WR",2026,"C-USA",72.1,3,18,10,2,2,86,43,1,2,0,0,0,2,1,1,43,21.5,38,1,4.78,21.5,2,3,1,0,"50.00%",158.3,0,0.111,0.5,1,"G5",1,43,0.111111111111111
"PARKER FULGHUM","LA MONROE",68,59.32,"C",13,"WR",2026,"Sun Belt",76.1,6,45,13,6,5,88,17.6,1,3,0,0,0,5,1,1,14,2.8,10,1,1.96,14.3,3,2,1,0,"16.70%",118.8,0.022,0.133,0.333,0.833,"G5",0.833333333333333,14.6666666666667,0.133333333333333
"CHRIS DAWN JR.","TEXAS ST",68,58.77,"C",1,"WR",2026,"Pac-12",65.1,5,26,3,6,4,107,26.8,2,4,1,0,0,5,2,1,9,2.3,3,0.5,4.12,21.5,2,0,0.8,0.2,"33.30%",149.3,0.154,0.231,0.5,0.667,"G5",0.666666666666667,17.8333333333333,0.230769230769231
"KYLE KOCH","N TEXAS",25,58.58,"C",14,"WR",2026,"The American",85.7,6,14,5,6,5,78,15.6,1,4,1,0,0,6,2,2,2,0.4,1,1,5.57,14.3,2,0,0.833,0.167,"33.30%",158.3,0.214,0.429,0.167,0.833,"G5",0.833333333333333,13,0.428571428571429
"RASEAN JONES","BOISE ST",61,58.22,"C",19,"WR",2026,"Pac-12",84.9,8,31,0,8,8,95,11.9,1,6,0,0,0,8,0,0,34,4.3,14,0,3.06,7.6,1,2,1,0,"0.00%",155.7,0.129,0.258,0.125,1,"G5",1,11.875,0.258064516129032
"MAGUIRE ANDERSON","FIU",77,57.85,"C",2,"WR",2026,"C-USA",74.7,8,47,17,14,8,139,17.4,0,5,1,0,0,9,2,2,40,5,10,1,2.96,14.3,4,0,0.889,0.111,"14.30%",91.1,0.085,0.298,0.357,0.571,"G5",0.571428571428571,9.92857142857143,0.297872340425532
"MAKAI JACKSON","LIBERTY",39,57.56,"C",2,"WR",2026,"C-USA",77.2,4,19,3,5,4,88,22,1,4,0,0,0,4,2,2,6,1.5,5,1,4.63,20,1,0,1,0,"40.00%",158.3,0,0.263,0.2,0.8,"G5",0.8,17.6,0.263157894736842
"NIC TRUJILLO","LA MONROE",78,56.48,"C",7,"WR",2026,"Sun Belt",67.5,5,50,9,12,5,79,15.8,2,4,0,0,0,6,1,1,12,2.4,3,1,1.58,19.8,1,0,0.833,0,"8.30%",69.1,0.06,0.24,0.5,0.417,"G5",0.416666666666667,6.58333333333333,0.24
