"Name","Team","Total_Snaps","Avg_Snaps_Per_Game","Games_Played","Adjusted_Score","Display_Grade"
"VAN WELLS","OREGON ST",216,72,3,84.75,"A-"
"NINO FRANCAVILLA","BUFFALO",219,73,3,82.88,"A-"
"JOE ROUNDS","SO MISS",174,58,3,79.37,"B+"
"STEWART TAUFA","BOISE ST",222,74,3,78.74,"B+"
"BRADEN CUNNINGHAM","FAU",240,80,3,77.7,"B+"
"JOHN BOCK II","TULANE",106,53,2,76.06,"B+"
"AARON FENIMORE","LIBERTY",196,65.3333333333333,3,74.98,"B+"
"TYHLER WILLIAMS","GA STATE",204,68,3,74.85,"B+"
"JAMES WILLIAMS","NEW MEX ST",127,63.5,2,74.45,"B+"
"ISAAC LUCAS","S DIEGO ST",186,62,3,74.32,"B+"
"CHRIS MORENO","MIDDLE TN",167,55.6666666666667,3,73.96,"B+"
"COLIN LYONS","AKRON",184,61.3333333333333,3,73.95,"B+"
"LUCAS MRACHKOVSKIY","JVILLE ST",178,59.3333333333333,3,73.72,"B+"
"GRIFFIN SCROGGS","UNLV",125,62.5,2,71.31,"B"
"JAYDEN THOMAS","APP STATE",91,45.5,2,71.1,"B"
"SEAN DUGERY","LA MONROE",209,69.6666666666667,3,67.88,"B"
"MIKEL UDENGWU","TEXAS ST",204,68,3,67.23,"B"
"BRIAN WILLIAMS JR.","UTEP",143,47.6666666666667,3,66.93,"B"
"JACOB NORCROSS","NEVADA",189,63,3,66.18,"B-"
"KADEN ROBNETT","NEW MEXICO",170,56.6666666666667,3,65.47,"B-"
"KRIS MANU","MIAMI OH",141,47,3,64.2,"B-"
"CHANTZ CHARGUALAF","UTAH ST",81,40.5,2,63.95,"B-"
"KENTON JERIDO","S ALABAMA",242,80.6666666666667,3,63.67,"B-"
"ALEXIS SANCHEZ","BOWL GREEN",170,56.6666666666667,3,63.27,"B-"
"JOSEPH HARBERT","S JOSE ST",227,75.6666666666667,3,63.24,"B-"
"K'LEYONE IOSUA","UTAH ST",107,53.5,2,63.22,"B-"
"ADAM LEPKOWSKI","UAB",212,70.6666666666667,3,62.07,"B-"
"JOHN STONE","TEMPLE",189,63,3,62.05,"B-"
"ZACH GREENBERG","JAMES MAD",122,40.6666666666667,3,61.87,"B-"
"MALACHI PRECIADO","TULSA",187,62.3333333333333,3,61.5,"B-"
"GRANT HAWORTH","BALL ST",197,65.6666666666667,3,58.19,"C+"
"NOAH DUNHAM","WASH STATE",177,59,3,58.17,"C+"
"PHILLIP OCON","COLO STATE",207,69,3,58.02,"C+"
"NATE BLEDSOE","RICE",162,54,3,57.41,"C+"
"BROCK STUKES","SM HOUSTON",196,65.3333333333333,3,57.23,"C+"
"BRAYDEN WALKER","DOMINION",178,59.3333333333333,3,57.19,"C+"
"TY FURNISH","GA SOUTHRN",201,67,3,57.19,"C+"
"LOSINI MAKA","C MICHIGAN",150,50,3,56.2,"C+"
"PHILLIP GRAY","MEMPHIS",167,55.6666666666667,3,56.09,"C+"
"TYLER CAPPI","TROY",214,71.3333333333333,3,54.83,"C+"
"STEVEN DEMBOSKI","DELAWARE",197,65.6666666666667,3,54.66,"C+"
"LANDON HRON","N ILLINOIS",196,65.3333333333333,3,54.49,"C+"
"MASON MYERS","ARK STATE",145,48.3333333333333,3,54.45,"C+"
"LUKE LAPEZE","UTSA",187,62.3333333333333,3,54.23,"C+"
"BRANDON BEST","E CAROLINA",154,51.3333333333333,3,53.67,"C+"
"CHANDLER STRONG","N TEXAS",226,75.3333333333333,3,48.46,"C"
"LUKE RECTOR","TOLEDO",177,59,3,48,"C"
"NIC CRUJI","CHARLOTTE",197,65.6666666666667,3,46.77,"C"
"MATEO GUEVARA","KENNESAW",169,56.3333333333333,3,46.74,"C"
"DAVEION HARLEY","FIU",237,79,3,46.58,"C-"
"JASON MACIEJCZAK","WYOMING",86,43,2,43.38,"C-"
"COOPER FORDHAM","LA LAFAYET",161,53.6666666666667,3,42.43,"C-"
"KAIN MCDONALD","COAST CAR",181,60.3333333333333,3,42.21,"C-"
"ETHAN SPENCER","HAWAII",149,74.5,2,41.57,"C-"
"BEN MIDEA","KENT STATE",163,54.3333333333333,3,40.79,"C-"
"OSCAR WEIGEL","FRESNO ST",165,55,3,39.38,"D+"
"NICHOLAS GALLEGOS","E MICHIGAN",188,62.6666666666667,3,36.43,"D+"
"ALEC JOHNSON","W KENTUCKY",135,67.5,2,36.39,"D+"
"ANDREW DUDLEY","MARSHALL",192,64,3,35.19,"D+"
"SPENCER BECKEMAN","W MICHIGAN",179,59.6666666666667,3,34.97,"D+"
"ROY BRACKINS III","LA TECH",162,54,3,27.07,"D"
