"Name","Team","Total_Snaps","Avg_Snaps_Per_Game","Games_Played","Adjusted_Score","Display_Grade"
"ETHAN HUBBARD","S ALABAMA",233,77.6666666666667,3,100,"A+"
"REESE OSEI-WUSU","S ALABAMA",242,80.6666666666667,3,99.96,"A+"
"PHERLESKI MARTIN","GA STATE",97,48.5,2,95.05,"A+"
"BRIAN BEIDATSCH","MIAMI OH",74,37,2,93.21,"A"
"DJ FOX","JAMES MAD",118,39.3333333333333,3,89.59,"A"
"DEVON MANUEL","APP STATE",212,70.6666666666667,3,86.5,"A-"
"LUKE MILLER","RICE",88,44,2,85.88,"A-"
"ANTHONY CACCESE","DELAWARE",197,65.6666666666667,3,84.92,"A-"
"TYLER LAWRENCE","NEW MEXICO",170,56.6666666666667,3,84.69,"A-"
"JOHN HOLTHAUS","COLO STATE",207,69,3,84.33,"A-"
"MATT HOFER","TOLEDO",186,62,3,84.19,"A-"
"SULLY BURNS","TEXAS ST",211,70.3333333333333,3,84.09,"A-"
"CARLOS SLAYDEN","AKRON",150,50,3,84.03,"A-"
"JUSTIN MICHAELIS","RICE",138,46,3,84.03,"A-"
"HENRY SELLARDS","NEVADA",189,63,3,83.76,"A-"
"JA'KAVION NONAR","FAU",235,78.3333333333333,3,83.59,"A-"
"DENNIS JONES","S DIEGO ST",187,62.3333333333333,3,83.4,"A-"
"DAVID APPLEWHITE","LA MONROE",209,69.6666666666667,3,82.76,"A-"
"KING LARGE","MO STATE",163,54.3333333333333,3,82.28,"A-"
"SEBASTIAN ESPINOZA","MO STATE",60,30,2,82.2,"A-"
"TEKO SHOATS","OREGON ST",178,59.3333333333333,3,82.18,"A-"
"DEANDRE MARSHALL","UTSA",78,39,2,82.04,"A-"
"ETHAN GREEN","USF",157,52.3333333333333,3,81.95,"A-"
"BEN GALLOWAY","FAU",240,80,3,81.84,"A-"
"MAKHETE GUEYE","MO STATE",118,39.3333333333333,3,81.7,"A-"
"ROLAN FULLWOOD","FRESNO ST",171,57,3,81.64,"A-"
"MOFE ADEWOLE","KENT STATE",143,47.6666666666667,3,81.45,"A-"
"MA'KYI LEE","NEW MEX ST",115,57.5,2,81.06,"A-"
"KEYON COX","UAB",182,60.6666666666667,3,80.69,"A-"
"BRAYLON JENKINS","WYOMING",175,58.3333333333333,3,80.19,"A-"
"TRUMAIN LAWSON","OHIO",194,64.6666666666667,3,79.31,"B+"
"AJ VINSON","LA MONROE",209,69.6666666666667,3,79.19,"B+"
"JONNY LESTER","WASH STATE",168,56,3,79.07,"B+"
"STERLING WIGGINS","ARK STATE",170,56.6666666666667,3,78.98,"B+"
"JAYLIN CALDWELL","WASH STATE",102,51,2,75.45,"B+"
"EVAN MALCORE","MIAMI OH",95,47.5,2,75.37,"B+"
"TYLER ETHRIDGE","BOISE ST",222,74,3,75.35,"B+"
"REX JOHNSEN","WYOMING",175,58.3333333333333,3,75.06,"B+"
"WILLIAM BOONE","TEXAS ST",215,71.6666666666667,3,74.38,"B+"
"CHRIS HOOD","BALL ST",197,65.6666666666667,3,74.31,"B+"
"GEORGE JACKSON","LA LAFAYET",166,55.3333333333333,3,74.19,"B+"
"JACOB BOOTH","C MICHIGAN",165,55,3,74.03,"B+"
"BRODY DUFFEL","TULSA",170,56.6666666666667,3,73.67,"B+"
"ZACH AAMLAND","TEMPLE",148,49.3333333333333,3,73.47,"B+"
"COLIN ALEXANDER","GA SOUTHRN",211,70.3333333333333,3,73.23,"B"
"KEVIN EVEHE","LIBERTY",56,28,2,73.2,"B"
"LUKE NEEDHAM","RICE",132,44,3,72.95,"B"
"ROSS LIEGEL","N ILLINOIS",139,69.5,2,72.4,"B"
"CAM STANCIL","JVILLE ST",176,58.6666666666667,3,71.66,"B"
"CHRISTIAN WILLIAMS","LIBERTY",174,58,3,71.64,"B"
"JOSEPH BORJON","S DIEGO ST",187,62.3333333333333,3,71.12,"B"
"JACKSON BROWN","UNLV",124,62,2,71.01,"B"
"SIMEON AFALAVA","S JOSE ST",231,77,3,70.98,"B"
"TYRONE DAVIS","BUFFALO",151,50.3333333333333,3,70.74,"B"
"COLE MILLWARD","NEW MEXICO",157,52.3333333333333,3,70.63,"B"
"REESE TRIPP","MIDDLE TN",194,64.6666666666667,3,70.48,"B"
"HAYDEN CHRISTMAN","LA TECH",170,56.6666666666667,3,70.25,"B"
"MANASSE ITETE","ARK STATE",156,52,3,70.23,"B"
"MICHAEL WOOTEN","USF",112,56,2,69.88,"B"
"JOHN WATKINS","TEMPLE",179,59.6666666666667,3,69.86,"B"
"BRYCE WEAVER","E CAROLINA",115,57.5,2,69.6,"B"
"JORDON JONES","TROY",214,71.3333333333333,3,69.59,"B"
"TORIYAN JOHNSON","COLO STATE",108,54,2,69.27,"B"
"XAVIER ALLEN","MEMPHIS",84,42,2,69.18,"B"
"CAM EAST","TULSA",196,65.3333333333333,3,69.1,"B"
"DEACON RAWLS","JAMES MAD",163,54.3333333333333,3,69.05,"B"
"DEAN BRISKI","HAWAII",149,74.5,2,68.74,"B"
"JOHNNY WILLIAMS IV","N TEXAS",226,75.3333333333333,3,68.66,"B"
"HAYES CREEL","E CAROLINA",187,62.3333333333333,3,65.2,"B-"
"BEN ROEBUCK","W MICHIGAN",193,64.3333333333333,3,64.96,"B-"
"ZAY ALEXANDER","LA LAFAYET",155,51.6666666666667,3,64.94,"B-"
"BRADEN CAIN","SO MISS",173,57.6666666666667,3,64.87,"B-"
"QUENTIN BUTLER","MIDDLE TN",194,64.6666666666667,3,64.79,"B-"
"ALLEN JONES JR.","AKRON",144,48,3,64.67,"B-"
"D.J. GETH","LIBERTY",171,57,3,64.5,"B-"
"RILEY MCGEHEE","MEMPHIS",92,46,2,64.5,"B-"
"AARON KARAS","MEMPHIS",186,62,3,64.45,"B-"
"JAMES THOMAS JR.","BOWL GREEN",173,57.6666666666667,3,64.34,"B-"
"MATTHEW WILLIAMS","GA SOUTHRN",156,52,3,64.03,"B-"
"CHAD SCHUSTER","W MICHIGAN",175,58.3333333333333,3,63.99,"B-"
"JEREMIAH ORR","JVILLE ST",163,54.3333333333333,3,63.9,"B-"
"GABRIEL ARENA","BUFFALO",203,67.6666666666667,3,63.39,"B-"
"BRAYDEN WALTON","FRESNO ST",108,54,2,63.28,"B-"
"NICKOLAS MOLINA","FIU",152,76,2,62.96,"B-"
"J'VEN WILLIAMS","CHARLOTTE",197,65.6666666666667,3,62.81,"B-"
"ISAAC SOHN","SM HOUSTON",196,65.3333333333333,3,62.78,"B-"
"JAYCE MITCHELL","LA LAFAYET",63,31.5,2,62.41,"B-"
"TROY SMITH III","LA TECH",148,49.3333333333333,3,62.11,"B-"
"TYLER MEADOWS","KENT STATE",116,58,2,61.82,"B-"
"NOAH ROSAHAC","DELAWARE",196,65.3333333333333,3,61.14,"B-"
"QUINTON HARRIS","COLO STATE",91,45.5,2,61,"B-"
"KRISTOS FERNANDEZ","CHARLOTTE",197,65.6666666666667,3,60.96,"B-"
"TARIQ MONTGOMERY","MARSHALL",192,64,3,60.95,"B-"
"TYRIQ POINDEXTER","APP STATE",217,72.3333333333333,3,60.89,"B-"
"TRA'JON TOWNSEND","TROY",137,68.5,2,60.52,"B-"
"MARTIN KOIVISTO","C MICHIGAN",176,58.6666666666667,3,60.2,"B-"
"MANUEL SERNA","S JOSE ST",231,77,3,59.96,"C+"
"IBRAHIM TRAORE","TOLEDO",186,62,3,59.66,"C+"
